@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2}

@data
0.359964,0.427676,0.491758,0.544571,0.587875,0.62338,0.649706,0.667702,0.676312,0.686862,0.690568,0.698688,0.695992,0.677595,0.649617,0.615558,0.575891,0.529661,0.496702,0.47242,0.443818,0.41712,0.396132,0.377327,0.349073,0.3117,0.277377,0.250554,0.225881,0.201679,0.176503,0.149288,0.120116,0.08341,0.031181,-0.027393,-0.089575,-0.156078,-0.233162,-0.315217,-0.402247,-0.491988,-0.581248,-0.66907,-0.750287,-0.814082,-0.858911,-0.88258,2
0.406254,0.467019,0.521336,0.571111,0.614865,0.652755,0.688822,0.72338,0.751915,0.770907,0.777156,0.767918,0.747074,0.718697,0.692139,0.665296,0.629229,0.589554,0.566354,0.549913,0.537381,0.525358,0.515042,0.492979,0.461968,0.427699,0.383435,0.338131,0.290049,0.240137,0.186104,0.126526,0.069185,0.016636,-0.043457,-0.104232,-0.166705,-0.237778,-0.314228,-0.399794,-0.497077,-0.598494,-0.695297,-0.772855,-0.831954,-0.870633,-0.894157,-0.907619,1
0.325933,0.380341,0.440919,0.504474,0.55678,0.595815,0.624914,0.643928,0.662776,0.675006,0.686272,0.689706,0.6787,0.657339,0.625337,0.586379,0.539085,0.487916,0.450712,0.416023,0.384807,0.35781,0.333045,0.307311,0.276502,0.245512,0.223166,0.201519,0.17646,0.158476,0.14396,0.126959,0.104959,0.071856,0.023122,-0.040775,-0.12236,-0.209723,-0.300244,-0.391813,-0.479385,-0.566578,-0.64452,-0.717653,-0.780368,-0.827868,-0.858123,-0.875455,1
0.298399,0.368798,0.435169,0.493144,0.54085,0.582926,0.61419,0.641991,0.664247,0.673741,0.672073,0.654316,0.629521,0.606478,0.576319,0.537291,0.499856,0.462014,0.447631,0.432331,0.410996,0.388118,0.372501,0.361018,0.342763,0.318718,0.298073,0.272256,0.244795,0.218874,0.189464,0.158577,0.134802,0.101604,0.055153,0.006049,-0.05222,-0.116509,-0.193998,-0.280239,-0.377839,-0.479846,-0.573278,-0.656002,-0.718424,-0.765023,-0.805914,-0.82532,2
0.335362,0.381006,0.428858,0.471844,0.51136,0.54487,0.561615,0.562498,0.55643,0.537977,0.515236,0.491823,0.47772,0.460164,0.446771,0.429218,0.39969,0.365836,0.345929,0.326082,0.310794,0.293984,0.275802,0.246463,0.2074,0.16706,0.133788,0.106474,0.089376,0.082896,0.071894,0.057541,0.050497,0.048319,0.032781,0.007566,-0.024011,-0.070272,-0.13031,-0.196561,-0.271542,-0.354749,-0.438467,-0.521322,-0.600148,-0.667578,-0.711974,-0.738671,1
0.266564,0.339739,0.40835,0.471549,0.527072,0.576566,0.61859,0.65821,0.693436,0.720433,0.730928,0.72645,0.705923,0.67668,0.63842,0.596783,0.550696,0.507914,0.484586,0.466839,0.45154,0.437832,0.4219,0.402212,0.382682,0.358182,0.333343,0.307424,0.279787,0.251678,0.221934,0.19051,0.153243,0.111767,0.062288,0.007453,-0.049966,-0.11689,-0.189225,-0.267584,-0.354877,-0.450668,-0.55077,-0.640704,-0.711549,-0.762797,-0.79633,-0.80918,2
0.328888,0.386075,0.442271,0.485827,0.522822,0.565531,0.606717,0.657522,0.709808,0.753425,0.776217,0.773297,0.747062,0.708504,0.664496,0.617483,0.567427,0.516983,0.49945,0.487188,0.478959,0.473763,0.465998,0.452962,0.429092,0.393688,0.35246,0.311461,0.267,0.223905,0.179383,0.134689,0.102288,0.070925,0.035572,-0.006217,-0.054042,-0.115888,-0.191319,-0.281603,-0.385463,-0.495498,-0.598772,-0.683338,-0.746947,-0.791487,-0.814336,-0.816551,1
0.373315,0.435815,0.493888,0.54659,0.593795,0.634237,0.667473,0.692107,0.714778,0.741733,0.759711,0.759311,0.743562,0.722222,0.688805,0.646002,0.598068,0.54862,0.512451,0.474782,0.440095,0.410428,0.37727,0.350054,0.326099,0.303112,0.280838,0.25534,0.227658,0.199107,0.168647,0.129541,0.081164,0.037189,-0.004527,-0.057319,-0.118804,-0.187785,-0.267252,-0.356928,-0.450087,-0.544934,-0.641375,-0.728312,-0.798495,-0.847373,-0.877557,-0.892209,1
0.408732,0.475585,0.541837,0.60044,0.64925,0.690783,0.725847,0.748512,0.758153,0.763636,0.770631,0.770601,0.756072,0.728505,0.695309,0.657069,0.617228,0.575229,0.534901,0.49577,0.459686,0.427443,0.402381,0.383618,0.367699,0.349707,0.328194,0.304272,0.277234,0.242703,0.200159,0.150367,0.093826,0.02812,-0.047794,-0.126183,-0.204114,-0.281925,-0.362205,-0.448206,-0.531823,-0.60645,-0.680923,-0.757867,-0.825235,-0.876731,-0.916064,-0.945419,1
0.318714,0.391816,0.455445,0.503635,0.541719,0.576421,0.616185,0.650115,0.681577,0.710364,0.730108,0.738321,0.734588,0.720847,0.700327,0.673902,0.643212,0.610575,0.594923,0.588838,0.584171,0.573541,0.559731,0.546025,0.526014,0.498457,0.462443,0.420881,0.377491,0.331164,0.28059,0.227299,0.168487,0.100726,0.032399,-0.029325,-0.08964,-0.152373,-0.225153,-0.306201,-0.39558,-0.49114,-0.588269,-0.676776,-0.753676,-0.811706,-0.85028,-0.873494,1
