@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2,3}

@data
0.377263,0.448929,0.518941,0.580081,0.633287,0.677602,0.715224,0.745948,0.772561,0.784511,0.780079,0.761166,0.73315,0.696354,0.655909,0.614058,0.569966,0.528466,0.496273,0.469386,0.448219,0.429842,0.414927,0.399844,0.381655,0.361555,0.337408,0.309879,0.278803,0.243288,0.201643,0.154684,0.09957,0.03571,-0.035951,-0.110159,-0.185104,-0.26403,-0.346796,-0.435033,-0.52594,-0.615572,-0.694703,-0.761188,-0.814086,-0.855124,-0.882543,-0.89955,2
0.409711,0.480786,0.548178,0.609404,0.66067,0.704029,0.739584,0.767213,0.791136,0.799363,0.789804,0.769001,0.739823,0.700927,0.653199,0.600873,0.547234,0.497418,0.459313,0.426499,0.399429,0.37635,0.357063,0.340531,0.324448,0.305206,0.283369,0.25923,0.231057,0.196983,0.156159,0.109442,0.056782,-0.004273,-0.074335,-0.147153,-0.223474,-0.301841,-0.384163,-0.471405,-0.558257,-0.644925,-0.720148,-0.782304,-0.83158,-0.867738,-0.8925,-0.906903,2
0.361469,0.434817,0.505451,0.568676,0.623691,0.67048,0.710494,0.744199,0.770847,0.780711,0.773134,0.753414,0.725931,0.689167,0.643097,0.593307,0.541646,0.493211,0.458647,0.430626,0.408892,0.39242,0.380115,0.371064,0.358903,0.343373,0.321643,0.295348,0.264842,0.229234,0.188044,0.140374,0.087813,0.029141,-0.040095,-0.11052,-0.181473,-0.255136,-0.332854,-0.416206,-0.504588,-0.593735,-0.672683,-0.7391,-0.793763,-0.835571,-0.863117,-0.880854,2
0.37662,0.44484,0.512484,0.576895,0.63146,0.677407,0.715937,0.748637,0.774654,0.785277,0.779067,0.757053,0.727943,0.690063,0.64075,0.586206,0.532062,0.48234,0.447129,0.415895,0.390409,0.3687,0.350003,0.333604,0.317264,0.301171,0.280055,0.258834,0.233854,0.203146,0.167976,0.126568,0.07836,0.022679,-0.042562,-0.112457,-0.188748,-0.26702,-0.349398,-0.436854,-0.527449,-0.61632,-0.695363,-0.761508,-0.812524,-0.84968,-0.872987,-0.885463,2
0.388647,0.462497,0.530815,0.591389,0.647124,0.69364,0.733244,0.763238,0.787143,0.792937,0.781531,0.757234,0.72588,0.684986,0.634439,0.579815,0.525652,0.4787,0.444317,0.414231,0.388471,0.369021,0.353847,0.339808,0.324302,0.308232,0.289508,0.26468,0.235039,0.199352,0.157999,0.111223,0.057719,-0.005422,-0.076249,-0.149131,-0.225058,-0.307228,-0.391827,-0.480623,-0.56816,-0.65454,-0.726948,-0.785198,-0.828528,-0.858056,-0.875024,-0.883837,2
0.382591,0.457454,0.529055,0.590932,0.6446,0.691556,0.730444,0.763538,0.786284,0.790803,0.778456,0.754343,0.722127,0.679868,0.631018,0.577739,0.526092,0.475909,0.443887,0.417736,0.397357,0.38226,0.370426,0.359804,0.34788,0.329815,0.303768,0.273749,0.240108,0.203415,0.162396,0.116625,0.0642,0.00455,-0.060045,-0.128231,-0.197137,-0.270904,-0.352076,-0.439191,-0.532327,-0.622203,-0.698327,-0.760489,-0.807992,-0.842806,-0.864313,-0.874574,2
0.353477,0.42577,0.498172,0.561884,0.617211,0.664635,0.703747,0.734562,0.758707,0.768635,0.760569,0.735823,0.704453,0.665601,0.616002,0.558036,0.496994,0.438728,0.403818,0.374884,0.350827,0.331303,0.315746,0.300893,0.286124,0.27038,0.253903,0.235068,0.213102,0.187623,0.157355,0.121667,0.078121,0.02466,-0.037801,-0.106047,-0.176617,-0.251962,-0.333074,-0.419557,-0.509145,-0.599475,-0.677881,-0.741155,-0.788656,-0.8232,-0.842933,-0.850141,2
0.356874,0.426872,0.497802,0.563984,0.619712,0.66753,0.705611,0.738327,0.762765,0.773101,0.765813,0.744269,0.714973,0.678703,0.630504,0.57259,0.510362,0.449885,0.403251,0.361966,0.322827,0.288527,0.258168,0.233,0.217125,0.206942,0.20016,0.192469,0.180418,0.163674,0.140425,0.107238,0.060261,0.001324,-0.070335,-0.150303,-0.236035,-0.32259,-0.408792,-0.489304,-0.568254,-0.642008,-0.705658,-0.756656,-0.794013,-0.821242,-0.840669,-0.855993,3
0.361234,0.431628,0.499752,0.562331,0.618637,0.668885,0.71098,0.74768,0.772673,0.781575,0.77338,0.749735,0.717267,0.676323,0.627794,0.574909,0.522155,0.472844,0.440455,0.413969,0.393365,0.376761,0.362993,0.350011,0.335366,0.31717,0.29718,0.274341,0.24673,0.214657,0.177967,0.137457,0.090007,0.033877,-0.029383,-0.094271,-0.162749,-0.237183,-0.316443,-0.401079,-0.492629,-0.584594,-0.665528,-0.733182,-0.787265,-0.828036,-0.855967,-0.871264,3
0.337215,0.410181,0.480435,0.545174,0.601315,0.649869,0.689332,0.721788,0.74484,0.748743,0.736028,0.712822,0.68149,0.639176,0.590882,0.537732,0.48561,0.436249,0.407163,0.384718,0.368055,0.353968,0.342779,0.333139,0.322632,0.307302,0.28927,0.268813,0.245794,0.217106,0.183591,0.143905,0.097897,0.04242,-0.020927,-0.087472,-0.158565,-0.234391,-0.316926,-0.403777,-0.495783,-0.585565,-0.662789,-0.726222,-0.776924,-0.813631,-0.836303,-0.846497,3
