@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2,3,4,5,6}

@data
0.415108,0.483581,0.547861,0.607099,0.657922,0.70216,0.738058,0.766459,0.790919,0.800327,0.79593,0.778962,0.751873,0.716658,0.677603,0.636049,0.593724,0.55179,0.510371,0.473502,0.443462,0.418727,0.398566,0.380698,0.361969,0.342971,0.321492,0.292327,0.258243,0.21838,0.171829,0.122926,0.068221,0.003574,-0.068169,-0.141383,-0.218553,-0.298401,-0.382838,-0.470913,-0.557124,-0.642715,-0.720215,-0.785675,-0.838774,-0.881501,-0.911717,-0.934782,1
0.373593,0.445149,0.514982,0.574023,0.627345,0.676636,0.719075,0.755574,0.783979,0.799841,0.797354,0.782708,0.757069,0.72253,0.682141,0.63839,0.593215,0.55012,0.513476,0.485755,0.463703,0.446899,0.43436,0.423259,0.409716,0.392303,0.368567,0.338866,0.30318,0.263054,0.215123,0.160605,0.098952,0.030613,-0.040185,-0.110852,-0.179638,-0.250691,-0.329474,-0.412679,-0.49988,-0.589153,-0.673238,-0.744298,-0.80409,-0.85148,-0.885758,-0.909497,1
0.412065,0.482135,0.548084,0.607608,0.66055,0.706575,0.744955,0.776234,0.801055,0.811343,0.807449,0.789657,0.760978,0.724187,0.682183,0.634925,0.586068,0.537848,0.497787,0.464965,0.440248,0.421242,0.40503,0.391365,0.377258,0.359191,0.336912,0.309369,0.273868,0.231566,0.182835,0.129782,0.070972,0.005073,-0.068521,-0.140064,-0.213123,-0.289314,-0.370766,-0.454975,-0.541886,-0.630923,-0.708779,-0.775365,-0.829986,-0.872767,-0.90499,-0.925892,1
0.411476,0.478286,0.542726,0.604586,0.658749,0.705314,0.743388,0.773847,0.798636,0.810429,0.806819,0.789575,0.76127,0.72614,0.684402,0.641271,0.596402,0.551276,0.510666,0.475061,0.447452,0.42593,0.4096,0.396272,0.38057,0.362083,0.339358,0.31009,0.275603,0.234211,0.186821,0.133141,0.073588,0.006824,-0.064794,-0.138773,-0.21677,-0.296475,-0.378931,-0.462795,-0.54793,-0.632979,-0.709128,-0.774218,-0.828461,-0.872741,-0.905497,-0.929748,1
0.404007,0.468505,0.530734,0.590423,0.644735,0.692738,0.731907,0.762838,0.787248,0.796861,0.789611,0.770787,0.740109,0.701284,0.658327,0.612761,0.56588,0.521095,0.484821,0.455438,0.432427,0.413806,0.398913,0.388909,0.37671,0.362256,0.341295,0.313761,0.279641,0.239937,0.192995,0.139095,0.080088,0.01382,-0.057384,-0.12997,-0.206221,-0.28654,-0.370678,-0.454757,-0.540525,-0.627266,-0.705551,-0.771678,-0.827372,-0.870303,-0.901381,-0.922442,1
0.41172,0.480179,0.546417,0.604629,0.655124,0.699015,0.733061,0.758616,0.781728,0.79778,0.799709,0.78675,0.763479,0.729846,0.690006,0.646608,0.602738,0.559741,0.520927,0.484614,0.453372,0.424875,0.401674,0.380827,0.363621,0.343036,0.317175,0.287558,0.255569,0.218235,0.174628,0.124561,0.068247,0.005707,-0.06432,-0.134735,-0.205052,-0.279872,-0.359799,-0.443037,-0.5302,-0.620303,-0.704115,-0.775188,-0.834207,-0.880569,-0.912248,-0.9334,1
0.482343,0.543904,0.606688,0.663336,0.711048,0.747819,0.77877,0.803703,0.821194,0.825991,0.815552,0.794992,0.769349,0.734731,0.690155,0.642193,0.59264,0.544052,0.487681,0.437934,0.395235,0.360175,0.33246,0.312227,0.297885,0.285274,0.268791,0.246588,0.216735,0.179306,0.134193,0.081798,0.022117,-0.04462,-0.117515,-0.194962,-0.272566,-0.349221,-0.422886,-0.498548,-0.576032,-0.653479,-0.724351,-0.787528,-0.843869,-0.893371,-0.935427,-0.970269,6
0.492671,0.554547,0.612937,0.662555,0.703933,0.740172,0.773673,0.799275,0.816027,0.82244,0.815986,0.801719,0.781946,0.753423,0.716911,0.6787,0.640052,0.602983,0.554334,0.51375,0.480464,0.454365,0.434472,0.417929,0.400368,0.378479,0.350129,0.315073,0.273082,0.224177,0.168624,0.105432,0.035568,-0.040947,-0.12039,-0.198195,-0.272197,-0.344872,-0.418317,-0.4969,-0.575696,-0.653532,-0.726559,-0.794045,-0.854655,-0.90749,-0.952786,-0.990598,6
0.462705,0.522076,0.58325,0.642296,0.692249,0.733653,0.769054,0.799732,0.825269,0.834762,0.831026,0.813809,0.788232,0.756573,0.715804,0.671379,0.626338,0.583151,0.528818,0.482116,0.443208,0.410196,0.384167,0.364546,0.348588,0.332382,0.312159,0.286028,0.252777,0.212434,0.164894,0.110095,0.048875,-0.019644,-0.094894,-0.174119,-0.254019,-0.331107,-0.406942,-0.483335,-0.562524,-0.643949,-0.717414,-0.783324,-0.842294,-0.893696,-0.937463,-0.973868,6
0.484769,0.544742,0.607217,0.664191,0.710471,0.747508,0.776774,0.800422,0.818217,0.823508,0.81421,0.795811,0.77374,0.74231,0.701121,0.655557,0.609051,0.562075,0.506213,0.458044,0.41659,0.383077,0.356595,0.337092,0.322024,0.307331,0.287866,0.262353,0.229721,0.190051,0.142705,0.088435,0.027739,-0.040559,-0.114916,-0.193953,-0.273256,-0.349367,-0.423183,-0.497498,-0.573759,-0.651873,-0.724193,-0.789222,-0.847334,-0.898729,-0.942475,-0.97884,6
0.497018,0.560231,0.620103,0.668323,0.709016,0.74445,0.77205,0.797524,0.8178,0.827135,0.822379,0.809736,0.790908,0.762649,0.728413,0.692151,0.65612,0.621724,0.575184,0.536767,0.506022,0.480684,0.460855,0.443461,0.424515,0.400331,0.370054,0.332385,0.287366,0.234654,0.174516,0.107364,0.033915,-0.044037,-0.124102,-0.203048,-0.276049,-0.346825,-0.418846,-0.491363,-0.569548,-0.649502,-0.72563,-0.793519,-0.854335,-0.907788,-0.954045,-0.993017,6
0.409259,0.478119,0.544539,0.606955,0.66185,0.706702,0.743908,0.771782,0.793777,0.806431,0.806613,0.79196,0.766379,0.730585,0.687971,0.639811,0.588918,0.538666,0.498426,0.461501,0.431783,0.408596,0.390842,0.372716,0.355629,0.336647,0.314344,0.287729,0.25519,0.219209,0.176475,0.126251,0.070915,0.008597,-0.060736,-0.132734,-0.206635,-0.282387,-0.360469,-0.443664,-0.528626,-0.614414,-0.695051,-0.765955,-0.825216,-0.870243,-0.903623,-0.924972,1
