@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute target {1,2}

@data
-0.026381,-0.026125,-0.024845,-0.026253,-0.029581,-0.032653,-0.035854,-0.035982,-0.036366,-0.038798,-0.039566,-0.037774,-0.036238,-0.032781,-0.029709,-0.027917,-0.027149,-0.026253,-0.025613,-0.024845,-0.023821,-0.024077,-0.025229,-0.027533,-0.028429,-0.024973,-0.016524,-0.014092,-0.015116,-0.018956,-0.020748,-0.0219,-0.023949,-0.025485,-0.026381,-0.026637,-0.027021,-0.029581,-0.029837,-0.029965,-0.029709,-0.028813,-0.027661,-0.026253,-0.024717,-0.022284,-0.019084,-0.015756,-0.01166,-0.008203,-0.003979,0.001782,0.008054,0.014583,0.021239,0.026488,0.03212,0.036345,0.038905,0.039673,0.038137,0.036729,0.034425,0.031352,0.027768,0.0238,0.020471,0.018167,0.015607,0.013047,0.013431,0.013431,0.008566,0.004854,0.003574,0.00255,-0.002315,-0.008203,-0.012812,-0.015628,-0.018316,-0.020876,-0.024077,-0.027405,-0.028685,-0.030477,-0.035598,-0.041486,-0.046479,-0.050191,-0.053135,-0.056464,-0.061456,-0.067729,-0.074513,-0.080274,-0.083986,-0.086802,-0.089107,-0.091027,-0.092819,-0.094611,-0.096275,-0.098451,-0.101012,-0.102932,-0.10434,-0.105108,-0.10626,-0.107028,-0.10754,-0.108692,-0.110613,-0.112917,-0.114837,-0.116373,-0.118165,-0.120597,-0.123542,-0.125718,-0.126614,-0.126742,-0.12687,-0.12687,-0.126486,-0.12623,-0.12687,-0.127638,-0.128918,-0.131606,-0.133655,-0.135447,-0.137623,-0.136727,-0.136343,-0.136343,-0.137495,-0.139159,-0.140055,-0.140311,-0.137751,-0.138135,-0.138263,-0.139927,-0.141847,-0.141463,-0.140823,-0.139799,-0.137495,-0.135063,-0.132118,-0.12879,-0.127382,-0.125846,-0.123158,-0.119701,-0.117141,-0.114069,-0.111253,-0.10946,-0.10754,-0.105492,-0.102804,-0.103188,-0.109588,-0.121493,-0.12687,-0.129814,-0.130966,-0.132246,-0.134039,-0.133655,-0.134167,-0.135703,-0.137111,-0.138263,-0.139415,-0.140311,-0.141079,-0.142743,-0.144664,-0.145688,-0.146328,-0.147096,-0.147224,-0.14684,-0.146584,-0.146072,-0.145432,-0.14428,-0.142871,-0.141335,-0.140055,-0.138775,-0.138007,-0.138391,-0.140567,-0.145176,-0.150808,-0.156569,-0.163097,-0.17065,-0.178971,-0.188188,-0.197532,1
0.133074,0.134138,0.134611,0.134611,0.134847,0.135793,0.136858,0.137685,0.139341,0.140996,0.14277,0.144662,0.147618,0.150692,0.153175,0.15554,0.157905,0.159797,0.161216,0.161571,0.161926,0.16299,0.164409,0.166774,0.168902,0.17103,0.173277,0.174814,0.175406,0.175051,0.173868,0.173041,0.172568,0.172804,0.172922,0.173159,0.173632,0.173987,0.174578,0.175406,0.176233,0.177416,0.179071,0.1812,0.183328,0.184865,0.185929,0.18723,0.188413,0.189595,0.19125,0.192315,0.19196,0.191605,0.191132,0.190541,0.190423,0.190068,0.189713,0.190068,0.191605,0.193261,0.195034,0.197044,0.198582,0.199764,0.201301,0.202957,0.204139,0.204849,0.205085,0.20544,0.205085,0.204257,0.203311,0.20272,0.202957,0.204257,0.204612,0.206149,0.209224,0.214072,0.219748,0.225896,0.232518,0.237839,0.243751,0.249782,0.255458,0.260779,0.265863,0.270593,0.274968,0.279107,0.282418,0.284546,0.286675,0.288685,0.290458,0.291996,0.293178,0.294006,0.294952,0.296607,0.298381,0.300746,0.306894,0.311624,0.312452,0.311743,0.311151,0.310915,0.310205,0.308905,0.307722,0.307249,0.307722,0.308313,0.308313,0.308077,0.307604,0.306776,0.306658,0.30654,0.306776,0.307249,0.304411,0.299918,0.293178,0.286083,0.280644,0.275796,0.270475,0.265036,0.259596,0.253329,0.246826,0.239968,0.232991,0.225542,0.217856,0.210051,0.202957,0.195744,0.188649,0.182146,0.17647,0.171385,0.166419,0.162044,0.158378,0.154831,0.151402,0.148209,0.144662,0.141233,0.138276,0.13603,0.134256,0.132364,0.129999,0.12728,0.124087,0.121013,0.118175,0.115337,0.112499,0.110134,0.107887,0.105877,0.103749,0.101266,0.098783,0.096891,0.095117,0.092752,0.090269,0.087549,0.084711,0.08211,0.079509,0.076907,0.074069,0.071113,0.068157,0.065556,0.062954,0.059998,0.057042,0.053967,0.051721,0.051011,0.051248,0.051603,0.052076,0.05243,0.053022,0.053731,0.054204,0.053376,0.051839,0.050065,0.048055,0.046282,0.045217,1
-0.408191,-0.41879,-0.429685,-0.439696,-0.448823,-0.458245,-0.467667,-0.477384,-0.487689,-0.4977,-0.506827,-0.515955,-0.525082,-0.53421,-0.543926,-0.553643,-0.56277,-0.571309,-0.579553,-0.587798,-0.596042,-0.603697,-0.611353,-0.619891,-0.627841,-0.635202,-0.642857,-0.649924,-0.656696,-0.662879,-0.668473,-0.673184,-0.677307,-0.681134,-0.684373,-0.688201,-0.692323,-0.696151,-0.699389,-0.703217,-0.707339,-0.710872,-0.7147,-0.718822,-0.722356,-0.725889,-0.730011,-0.734427,-0.737372,-0.740905,-0.745911,-0.751505,-0.756805,-0.76181,-0.765932,-0.769466,-0.772999,-0.775943,-0.778299,-0.78036,-0.782421,-0.784187,-0.785071,-0.784187,-0.782715,-0.781832,-0.781537,-0.782421,-0.784187,-0.786248,-0.787721,-0.788604,-0.788898,-0.788015,-0.785071,-0.780949,-0.775943,-0.770938,-0.765343,-0.758866,-0.752683,-0.747088,-0.741494,-0.735016,-0.728539,-0.720883,-0.711461,-0.700273,-0.687317,-0.673479,-0.660524,-0.647863,-0.634908,-0.62048,-0.603108,-0.584264,-0.565126,-0.546871,-0.52891,-0.511244,-0.494166,-0.4765,-0.457951,-0.438812,-0.42409,-0.409663,-0.393763,-0.377864,-0.36167,-0.343709,-0.324865,-0.305432,-0.284821,-0.263328,-0.241245,-0.218573,-0.19649,-0.174996,-0.154091,-0.133775,-0.113459,-0.093437,-0.074004,-0.054866,-0.035138,-0.014528,0.006377,0.026693,0.047304,0.067915,0.088231,0.108547,0.128569,0.147413,0.165079,0.181862,0.196289,0.209833,0.223083,0.236627,0.252232,0.269604,0.287859,0.305526,0.323192,0.340858,0.35823,0.374424,0.390618,0.407695,0.424184,0.440084,0.456572,0.474827,0.493082,0.511043,0.52812,0.545492,0.564042,0.582591,0.602024,0.621457,0.641479,0.662384,0.684467,0.707433,0.731282,0.756015,0.781337,0.805186,0.826386,0.844935,0.85789,0.863485,0.867901,0.875851,0.883212,0.886745,0.88969,0.890867,0.890573,0.88969,0.889101,0.888806,0.887628,0.885862,0.883506,0.880856,0.878795,0.877029,0.875557,0.874379,0.872612,0.870551,0.868196,0.866135,0.864368,0.862307,0.859951,0.857301,0.854063,0.84994,0.844935,0.839341,0.833452,2
-0.441512,-0.424846,-0.407902,-0.393458,-0.377347,-0.361514,-0.345682,-0.328182,-0.312072,-0.298183,-0.282628,-0.266518,-0.252629,-0.237908,-0.223186,-0.207076,-0.189021,-0.170132,-0.151522,-0.132634,-0.112912,-0.093468,-0.072914,-0.051526,-0.030693,-0.010416,0.010139,0.030972,0.051804,0.072359,0.093192,0.114302,0.134023,0.153189,0.172078,0.190966,0.210965,0.230964,0.250408,0.269296,0.28874,0.308462,0.327628,0.346238,0.364848,0.383181,0.401236,0.420402,0.440124,0.45929,0.477067,0.494844,0.513176,0.530954,0.548175,0.564841,0.580396,0.595396,0.60984,0.624284,0.639839,0.655394,0.669004,0.681504,0.694003,0.70567,0.717336,0.729002,0.738724,0.746224,0.753446,0.760945,0.769001,0.775945,0.780945,0.784556,0.787333,0.787333,0.783167,0.776778,0.770945,0.76789,0.766223,0.762612,0.757057,0.751224,0.745113,0.739002,0.732613,0.726224,0.719002,0.712058,0.70567,0.699003,0.691503,0.684004,0.676226,0.667893,0.659282,0.650116,0.640116,0.629283,0.617062,0.604562,0.591785,0.579285,0.565675,0.550953,0.535676,0.519565,0.502899,0.486233,0.469845,0.453456,0.43679,0.420402,0.404569,0.388459,0.372626,0.357626,0.342627,0.327628,0.313461,0.299851,0.28624,0.272352,0.259297,0.247908,0.237353,0.227909,0.219576,0.212909,0.207354,0.202354,0.198188,0.194855,0.191244,0.187633,0.183188,0.1768,0.168189,0.159856,0.154578,0.147912,0.141523,0.135134,0.127635,0.122913,0.121246,0.118746,0.115968,0.115413,0.114024,0.112357,0.109858,0.105691,0.100969,0.09708,0.093192,0.087914,0.082359,0.07597,0.069026,0.062637,0.057359,0.05236,0.047638,0.042916,0.038193,0.034582,0.030972,0.027638,0.024305,0.020972,0.018194,0.015972,0.01375,0.011806,0.010694,0.009861,0.00875,0.007639,0.006806,0.005972,0.005139,0.004028,0.001806,-0.000694,-0.003749,-0.007083,-0.011527,-0.015971,-0.020416,-0.025415,-0.030693,-0.036248,-0.041248,-0.044581,-0.047359,-0.051248,-0.055692,-0.059025,-0.061803,-0.064858,-0.067358,2
-0.054774,-0.045723,-0.036404,-0.026687,-0.016437,-0.005522,0.008056,0.019903,0.030286,0.03987,0.049322,0.058773,0.067292,0.074214,0.080604,0.086061,0.089789,0.091519,0.084863,0.078341,0.070088,0.059971,0.049721,0.039072,0.02789,0.016043,0.004861,-0.005522,-0.015905,-0.023359,-0.028151,-0.029349,-0.029349,-0.026021,-0.024823,-0.025489,-0.026021,-0.02469,-0.022294,-0.018966,-0.014041,-0.011379,-0.008051,-0.003525,-0.000197,0.001933,0.002066,0.002066,0.002864,0.002465,-0.001528,-0.003126,-0.007785,-0.008717,-0.007252,-0.007918,-0.009116,-0.010181,-0.010979,-0.011645,-0.013509,-0.01697,-0.020164,-0.02296,-0.025755,-0.028817,-0.032677,-0.037736,-0.042927,-0.048651,-0.054375,-0.059833,-0.065157,-0.070748,-0.07594,-0.080599,-0.085125,-0.089517,-0.093644,-0.096972,-0.098835,-0.0999,-0.100566,-0.100566,-0.100699,-0.100433,-0.100433,-0.100965,-0.100832,-0.100433,-0.100167,-0.099767,-0.098702,-0.097637,-0.096839,-0.096972,-0.097504,-0.097504,-0.097371,-0.096972,-0.09604,-0.094975,-0.094709,-0.095374,-0.09604,-0.095907,-0.094975,-0.095108,-0.096173,-0.09604,-0.095774,-0.096839,-0.09817,-0.099501,-0.101631,-0.105491,-0.11015,-0.113744,-0.117205,-0.119202,-0.121332,-0.122397,-0.121731,-0.1204,-0.117472,-0.114011,-0.110683,-0.107887,-0.106024,-0.103894,-0.100965,-0.098037,-0.096306,-0.09604,-0.096173,-0.09817,-0.09777,-0.098303,-0.098969,-0.100566,-0.101231,-0.101498,-0.101231,-0.101098,-0.101631,-0.104293,-0.105624,-0.105624,-0.104826,-0.104293,-0.103894,-0.103228,-0.102163,-0.101631,-0.101498,-0.100433,-0.097637,-0.093378,-0.088852,-0.082329,-0.073011,-0.063427,-0.05331,-0.04306,-0.032677,-0.022694,-0.013642,-0.005655,-0.000596,0.001267,-0.000197,-0.005522,-0.013109,-0.018966,-0.024557,-0.030547,-0.038268,-0.045722,-0.053976,-0.062628,-0.071547,-0.080865,-0.089917,-0.098702,-0.106556,-0.112014,-0.117338,-0.123595,-0.128387,-0.129718,-0.131715,-0.130251,-0.132913,-0.138237,-0.141832,-0.144095,-0.145825,-0.148088,-0.150484,-0.151283,-0.150218,-0.149153,-0.148887,-0.14862,-0.147689,1
0.153929,0.156806,0.160401,0.163853,0.166442,0.168456,0.170469,0.17162,0.17162,0.172195,0.17349,0.175359,0.176798,0.176654,0.177229,0.178523,0.180249,0.182119,0.183845,0.185283,0.186146,0.186721,0.18629,0.184564,0.183126,0.182694,0.182838,0.183126,0.183701,0.184564,0.185427,0.185715,0.186002,0.186434,0.188447,0.190749,0.193337,0.19607,0.198227,0.200529,0.203118,0.206138,0.209158,0.212035,0.215199,0.218795,0.221959,0.224691,0.227856,0.230876,0.233177,0.234903,0.236054,0.236485,0.236917,0.237492,0.238355,0.239362,0.2408,0.242382,0.244539,0.247272,0.25058,0.254463,0.258778,0.262086,0.265106,0.267839,0.270572,0.273448,0.276181,0.278482,0.280352,0.28179,0.283228,0.285242,0.285098,0.284235,0.284379,0.287687,0.292002,0.290851,0.288262,0.288262,0.290563,0.292721,0.294015,0.294591,0.293296,0.2897,0.285242,0.279633,0.270859,0.260504,0.249429,0.238067,0.226705,0.216206,0.206713,0.198659,0.193194,0.18931,0.186578,0.185283,0.182119,0.177517,0.174209,0.171907,0.168456,0.164429,0.160258,0.154361,0.147745,0.141992,0.136958,0.133506,0.129191,0.123726,0.119267,0.115384,0.110494,0.105892,0.102008,0.097981,0.094098,0.090071,0.086331,0.083742,0.081297,0.078277,0.074825,0.071086,0.067634,0.064182,0.061018,0.058861,0.056272,0.053827,0.051813,0.050375,0.048649,0.046204,0.043903,0.042177,0.040882,0.039876,0.0393,0.039444,0.039588,0.038581,0.037143,0.036424,0.036999,0.036568,0.035561,0.033979,0.031246,0.028657,0.027075,0.026356,0.026212,0.027363,0.029952,0.032684,0.034267,0.035273,0.03628,0.037431,0.038437,0.0393,0.040595,0.042321,0.044047,0.043471,0.041602,0.0393,0.036999,0.034842,0.032397,0.029664,0.0265,0.022473,0.017727,0.012837,0.007946,0.003488,-0.000395,-0.003991,-0.005861,-0.005717,-0.004566,-0.002409,0.000468,0.003344,0.005933,0.007659,0.008953,0.009241,0.008953,0.007659,0.006364,0.004782,0.002625,-0.000252,-0.001977,1
0.628572,0.618421,0.608049,0.598119,0.587747,0.576934,0.566562,0.557293,0.547804,0.537653,0.527281,0.517571,0.50742,0.497048,0.487118,0.476967,0.467257,0.457326,0.447616,0.438789,0.431507,0.425328,0.419149,0.41297,0.407012,0.401715,0.39686,0.392226,0.387371,0.382075,0.376337,0.370379,0.364641,0.359124,0.353828,0.348532,0.343677,0.339484,0.335733,0.332864,0.330436,0.328229,0.326243,0.323816,0.321609,0.319844,0.318299,0.316313,0.313665,0.311237,0.309251,0.307706,0.306162,0.303734,0.301307,0.2991,0.29601,0.292038,0.287404,0.28277,0.278136,0.273722,0.268867,0.263571,0.258275,0.252316,0.245475,0.238413,0.231352,0.223628,0.215684,0.208181,0.201119,0.192733,0.182803,0.171769,0.160293,0.148818,0.136681,0.124102,0.111303,0.099386,0.089676,0.082173,0.075774,0.068491,0.060106,0.050837,0.039582,0.026783,0.012439,-0.002788,-0.018235,-0.033462,-0.050013,-0.069874,-0.090618,-0.111582,-0.132767,-0.152187,-0.16962,-0.186613,-0.202722,-0.217508,-0.230086,-0.238913,-0.246196,-0.252375,-0.25723,-0.261423,-0.265174,-0.268264,-0.269588,-0.271132,-0.274663,-0.279518,-0.285918,-0.294083,-0.303572,-0.314606,-0.327405,-0.340646,-0.354769,-0.370217,-0.385885,-0.401333,-0.41678,-0.431345,-0.444365,-0.455619,-0.464226,-0.469522,-0.471067,-0.469743,-0.468198,-0.467536,-0.46555,-0.46224,-0.45915,-0.456943,-0.455178,-0.452971,-0.451868,-0.447675,-0.443703,-0.442379,-0.443041,-0.440393,-0.441275,-0.443261,-0.44591,-0.447013,-0.44613,-0.444806,-0.441275,-0.43311,-0.429359,-0.422297,-0.419428,-0.418104,-0.419869,-0.427593,-0.430241,-0.427593,-0.4234,-0.419207,-0.414794,-0.41016,-0.405967,-0.401553,-0.395595,-0.389195,-0.38412,-0.379706,-0.37441,-0.367127,-0.359845,-0.353887,-0.34837,-0.343294,-0.339101,-0.334908,-0.330274,-0.326081,-0.322771,-0.319461,-0.315709,-0.311737,-0.307544,-0.303572,-0.299821,-0.296069,-0.292097,-0.287904,-0.283932,-0.279518,-0.274884,-0.27047,-0.266057,-0.261643,-0.255906,-0.247741,-0.241562,-0.23472,-0.230086,2
-0.10427,-0.109326,-0.115434,-0.122807,-0.131232,-0.14029,-0.149558,-0.159037,-0.168727,-0.178627,-0.188105,-0.196531,-0.203693,-0.208748,-0.213172,-0.216963,-0.219702,-0.221176,-0.221808,-0.221597,-0.220965,-0.219702,-0.217595,-0.214014,-0.208116,-0.199269,-0.189159,-0.180312,-0.172729,-0.165356,-0.159037,-0.15335,-0.147662,-0.141975,-0.13713,-0.133128,-0.129969,-0.127441,-0.125756,-0.125334,-0.125545,-0.12723,-0.131022,-0.135024,-0.137973,-0.140501,-0.142818,-0.145135,-0.14703,-0.149137,-0.151243,-0.153771,-0.157141,-0.160722,-0.16346,-0.164935,-0.165567,-0.166409,-0.168516,-0.170622,-0.170833,-0.168727,-0.165988,-0.16346,-0.15988,-0.154614,-0.147873,-0.139237,-0.129758,-0.120068,-0.109747,-0.099426,-0.089104,-0.078783,-0.069093,-0.059614,-0.051189,-0.044027,-0.037918,-0.033074,-0.02865,-0.024859,-0.02212,-0.021067,-0.019803,-0.018118,-0.016854,-0.016644,-0.016222,-0.014959,-0.014116,-0.013905,-0.012642,-0.010324,-0.008429,-0.007375,-0.005901,-0.004427,-0.002952,-0.001056,0.001261,0.002946,0.005052,0.008423,0.011582,0.014321,0.016216,0.01748,0.018955,0.021272,0.024642,0.028433,0.031382,0.03391,0.036859,0.039808,0.042968,0.045917,0.048655,0.050761,0.052236,0.053078,0.053921,0.054974,0.056449,0.058134,0.06024,0.062768,0.065717,0.069087,0.072247,0.075828,0.079409,0.082147,0.084043,0.085938,0.088256,0.090994,0.093522,0.096049,0.098577,0.101105,0.103843,0.107003,0.110794,0.114375,0.117956,0.121326,0.123643,0.124907,0.124907,0.124064,0.121537,0.117535,0.112901,0.107003,0.09963,0.092047,0.083621,0.073932,0.062979,0.051815,0.040861,0.029065,0.01748,0.006948,-0.002741,-0.011799,-0.019382,-0.02528,-0.030125,-0.033916,-0.036233,-0.037287,-0.038129,-0.038761,-0.038972,-0.038129,-0.036655,-0.034759,-0.032231,-0.029072,-0.026333,-0.025069,-0.024859,-0.025701,-0.027176,-0.028861,-0.029703,-0.030546,-0.032231,-0.034338,-0.036865,-0.040235,-0.045291,-0.051399,-0.057719,-0.063617,-0.069936,-0.077519,-0.086787,-0.097109,-0.108694,-0.121122,-0.132918,2
-0.086424,-0.084223,-0.082756,-0.081876,-0.081729,-0.082756,-0.08437,-0.086424,-0.089945,-0.09552,-0.102562,-0.110925,-0.119874,-0.128677,-0.137186,-0.145842,-0.154205,-0.162274,-0.167849,-0.171957,-0.174891,-0.174744,-0.17093,-0.164768,-0.157139,-0.149657,-0.140854,-0.130877,-0.120754,-0.110044,-0.098894,-0.087304,-0.07498,-0.06339,-0.05356,-0.045051,-0.038743,-0.034048,-0.029353,-0.023485,-0.017176,-0.012188,-0.008667,-0.005586,-0.003238,-0.001625,-0.000598,-0.000451,0.00131,0.002924,0.004831,0.007178,0.008939,0.009966,0.010846,0.011286,0.010846,0.010259,0.009672,0.009672,0.010259,0.012313,0.01466,0.015541,0.015101,0.01466,0.015541,0.017595,0.018475,0.019502,0.019355,0.018328,0.016861,0.015101,0.014074,0.014367,0.014954,0.015394,0.015687,0.015247,0.015834,0.017741,0.018182,0.018182,0.018622,0.019942,0.021556,0.023023,0.02405,0.02449,0.024637,0.025224,0.026397,0.027571,0.028745,0.030212,0.031826,0.032706,0.032853,0.033586,0.035347,0.036227,0.033586,0.032413,0.031092,0.030652,0.030799,0.031239,0.031386,0.031092,0.030799,0.031532,0.032999,0.035347,0.037841,0.038721,0.039015,0.037841,0.037401,0.035934,0.034613,0.034026,0.032853,0.031386,0.030652,0.029918,0.029478,0.029332,0.030212,0.030359,0.029772,0.028892,0.027865,0.027131,0.027865,0.028892,0.029185,0.029478,0.029772,0.029918,0.030652,0.030505,0.030799,0.030359,0.030505,0.029918,0.028305,0.025811,0.02361,0.021409,0.018035,0.01334,0.007912,0.00131,-0.005586,-0.013068,-0.021431,-0.03038,-0.039329,-0.048279,-0.057668,-0.067791,-0.077915,-0.087304,-0.093173,-0.097427,-0.100508,-0.102269,-0.103589,-0.104616,-0.106083,-0.108284,-0.110778,-0.112979,-0.115619,-0.11782,-0.118554,-0.119141,-0.121048,-0.123689,-0.126329,-0.12853,-0.130584,-0.132931,-0.135279,-0.13792,-0.141294,-0.145109,-0.14863,-0.152297,-0.156405,-0.160513,-0.164034,-0.167262,-0.170196,-0.172397,-0.174157,-0.175918,-0.177825,-0.180466,-0.183694,-0.186188,-0.187948,-0.190589,-0.193523,1
0.145632,0.147572,0.149391,0.151209,0.152907,0.15412,0.155211,0.155817,0.157151,0.158364,0.159212,0.160183,0.16091,0.161395,0.162001,0.162244,0.162365,0.16285,0.163335,0.163699,0.163941,0.163699,0.162729,0.161031,0.159455,0.158242,0.157272,0.156787,0.156181,0.155453,0.15509,0.154726,0.15412,0.153998,0.154605,0.155332,0.156545,0.158485,0.161274,0.16479,0.168671,0.171823,0.173763,0.174855,0.175461,0.175218,0.173642,0.171096,0.168307,0.165639,0.163578,0.162608,0.162729,0.16382,0.165518,0.167822,0.170732,0.174491,0.178735,0.182979,0.187344,0.191467,0.194983,0.197894,0.200561,0.202623,0.203956,0.205169,0.206624,0.207837,0.208807,0.209292,0.209413,0.210747,0.214263,0.21584,0.21487,0.2139,0.212687,0.210747,0.208079,0.204441,0.199349,0.192801,0.185525,0.17825,0.170853,0.163578,0.156424,0.149391,0.143328,0.13775,0.133748,0.132415,0.132778,0.133748,0.134597,0.135931,0.137022,0.137629,0.137871,0.138235,0.138841,0.13969,0.14066,0.14163,0.142479,0.144177,0.146723,0.147936,0.147936,0.147936,0.148057,0.147572,0.14648,0.145389,0.144419,0.142843,0.140296,0.137629,0.134112,0.130474,0.128171,0.1272,0.12623,0.124775,0.123078,0.121744,0.121138,0.120531,0.119319,0.118106,0.116409,0.114468,0.11265,0.110467,0.107678,0.105738,0.103434,0.101373,0.099675,0.097856,0.095795,0.093733,0.092036,0.090581,0.089247,0.087428,0.085488,0.083912,0.082093,0.080274,0.078576,0.076879,0.075424,0.07409,0.072635,0.07118,0.069603,0.068148,0.066936,0.06645,0.06645,0.066693,0.066572,0.064874,0.062206,0.059903,0.057962,0.055659,0.053355,0.051172,0.048747,0.046079,0.043654,0.04135,0.039046,0.036621,0.034075,0.031892,0.030801,0.030437,0.029588,0.028012,0.026314,0.024859,0.023525,0.021464,0.018675,0.015159,0.011036,0.006671,0.002427,-0.001454,-0.00497,-0.008244,-0.011518,-0.014671,-0.017217,-0.019642,-0.021704,-0.022431,-0.02231,-0.020976,-0.02037,1
