@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute target {1,2,3,4}

@data
-0.404972,-0.420148,-0.435785,-0.450626,-0.464762,-0.478042,-0.492074,-0.505788,-0.517907,-0.530325,-0.542922,-0.55563,-0.567348,-0.579437,-0.590288,-0.601216,-0.612656,-0.623749,-0.634357,-0.643872,-0.654174,-0.662615,-0.671796,-0.680253,-0.689014,-0.696629,-0.704173,-0.712219,-0.719755,-0.726399,-0.733119,-0.738962,-0.746235,-0.752696,-0.759316,-0.765208,-0.770614,-0.775519,-0.781338,-0.785853,-0.790488,-0.795252,-0.799708,-0.804186,-0.80846,-0.812067,-0.815397,-0.81873,-0.822035,-0.824375,-0.82715,-0.829276,-0.835623,-0.853188,-0.881963,-0.9134,-0.944441,-0.950224,-0.935333,-0.915064,-0.893764,-0.872997,-0.851772,-0.830797,-0.809329,-0.787271,-0.765386,-0.744456,-0.723861,-0.702724,-0.681824,-0.660811,-0.638883,-0.617475,-0.59574,-0.574122,-0.552733,-0.531292,-0.509886,-0.488523,-0.467758,-0.447211,-0.425877,-0.40439,-0.383249,-0.362171,-0.34176,-0.320782,-0.300526,-0.279398,-0.259914,-0.239897,-0.22001,-0.200318,-0.180177,-0.160632,-0.141241,-0.121949,-0.102791,-0.08413,-0.064921,-0.046118,-0.027827,-0.009182,0.007935,0.025876,0.043711,0.060515,0.077273,0.093511,0.110254,0.126486,0.141903,0.15707,0.172323,0.186635,0.200098,0.213877,0.227481,0.240462,0.25303,0.265891,0.278211,0.289849,0.301779,0.311996,0.322554,0.333332,0.344262,0.354073,0.363449,0.373488,0.382259,0.39085,0.399064,0.407179,0.415112,0.422027,0.429645,0.436393,0.442878,0.448504,0.453973,0.46043,0.466507,0.472489,0.478122,0.484271,0.489225,0.494037,0.498348,0.50335,0.507474,0.511861,0.515749,0.519706,0.523452,0.526669,0.529785,0.532735,0.534861,0.536086,0.53813,0.54076,0.542785,1
0.665489,0.639794,0.615431,0.589926,0.565054,0.539341,0.513884,0.489184,0.464099,0.439573,0.414443,0.389577,0.365879,0.341353,0.316543,0.292112,0.266615,0.242078,0.21813,0.193507,0.16999,0.145674,0.122685,0.098665,0.074904,0.052112,0.028026,0.004502,-0.018988,-0.041345,-0.064526,-0.086977,-0.10955,-0.131947,-0.153548,-0.174793,-0.196476,-0.21865,-0.240196,-0.260311,-0.280505,-0.301575,-0.322067,-0.342762,-0.362679,-0.381872,-0.401058,-0.418847,-0.437348,-0.455538,-0.473434,-0.490774,-0.508206,-0.525236,-0.54214,-0.558097,-0.574061,-0.590544,-0.606719,-0.621987,-0.636553,-0.650821,-0.66477,-0.679724,-0.693811,-0.707465,-0.720452,-0.732881,-0.745196,-0.758029,-0.770306,-0.782672,-0.793588,-0.804749,-0.815292,-0.825898,-0.835288,-0.843699,-0.853221,-0.862069,-0.871056,-0.879758,-0.887874,-0.894993,-0.902548,-0.910073,-0.916994,-0.923353,-0.929893,-0.936074,-0.94092,-0.946388,-0.952209,-0.958047,-0.963384,-0.968312,-0.972467,-0.976917,-0.981027,-0.985875,-0.990021,-0.994427,-0.998524,-1.002201,-1.005636,-1.008943,-1.012952,-1.014893,-1.015203,-1.005317,-0.985248,-0.963014,-0.940006,-0.917024,-0.893836,-0.870275,-0.846584,-0.823206,-0.799646,-0.776181,-0.753756,-0.729797,-0.706742,-0.684622,-0.660829,-0.637123,-0.613193,-0.589836,-0.566458,-0.543176,-0.52008,-0.498,-0.474705,-0.452443,-0.429401,-0.40617,-0.383816,-0.361078,-0.338213,-0.315092,-0.292737,-0.270639,-0.248724,-0.226531,-0.204461,-0.183046,-0.161665,-0.140491,-0.118839,-0.097896,-0.077751,-0.057856,-0.037712,-0.017846,0.001555,0.020938,0.039753,0.058553,0.076864,0.094729,0.11278,0.129841,0.147326,0.164438,0.181424,2
-0.822805,-0.79953,-0.775285,-0.751604,-0.728498,-0.705942,-0.68236,-0.658938,-0.635766,-0.612053,-0.588337,-0.565107,-0.541808,-0.51802,-0.494287,-0.470654,-0.447114,-0.423357,-0.399451,-0.376134,-0.352457,-0.328826,-0.30594,-0.282179,-0.258477,-0.234712,-0.212197,-0.188099,-0.164647,-0.141533,-0.118156,-0.094374,-0.071294,-0.047921,-0.024444,-0.001304,0.022238,0.045211,0.0681,0.091218,0.114174,0.136584,0.159693,0.18231,0.204436,0.226339,0.247567,0.268729,0.289877,0.310181,0.329092,0.347508,0.364518,0.381414,0.397369,0.413016,0.428596,0.442922,0.455878,0.46758,0.478413,0.488161,0.496662,0.503931,0.511186,0.517311,0.522931,0.528335,0.532983,0.537037,0.540574,0.543414,0.545753,0.548376,0.550738,0.552197,0.553412,0.554925,0.55625,0.556915,0.557512,0.558302,0.558977,0.559819,0.559868,0.559384,0.559697,0.55995,0.560642,0.560471,0.560501,0.560665,0.560667,0.561179,0.561644,0.561045,0.561286,0.56198,0.561415,0.560946,0.560968,0.561138,0.560621,0.560943,0.560964,0.560778,0.560524,0.561344,0.56127,0.562083,0.561792,0.561312,0.56137,0.561004,0.56114,0.561558,0.562352,0.562061,0.561542,0.562012,0.56152,0.561171,0.56058,0.560293,0.559848,0.559095,0.558899,0.558673,0.558369,0.557605,0.557491,0.557231,0.557002,0.557566,0.557266,0.556911,0.557146,0.557686,0.55737,0.557248,0.557209,0.557122,0.556669,0.557067,0.556941,0.55669,0.556882,0.556124,0.556457,0.556392,0.555947,0.555869,0.555659,0.555209,0.554775,0.554798,0.554389,0.553844,0.553811,0.553852,0.554156,0.55387,0.554023,0.554265,0.55463,4
-0.920357,-0.899341,-0.877786,-0.856309,-0.834828,-0.813283,-0.791534,-0.770463,-0.749391,-0.728047,-0.706273,-0.684068,-0.662297,-0.64109,-0.61994,-0.598094,-0.576694,-0.555352,-0.533359,-0.511897,-0.490696,-0.469139,-0.447773,-0.426743,-0.405271,-0.383646,-0.362472,-0.340668,-0.319399,-0.298595,-0.277081,-0.256096,-0.234517,-0.213261,-0.191906,-0.17056,-0.149579,-0.128152,-0.106408,-0.084473,-0.063193,-0.041982,-0.021352,0.000256,0.021389,0.042559,0.063265,0.08479,0.10605,0.127679,0.148591,0.16989,0.190765,0.211844,0.233334,0.253661,0.274116,0.294746,0.315147,0.335843,0.356366,0.37816,0.400534,0.423079,0.445646,0.467868,0.488075,0.505871,0.52215,0.536207,0.549179,0.559855,0.567829,0.574294,0.578856,0.5827,0.587587,0.592075,0.597454,0.602156,0.606143,0.609702,0.612424,0.614648,0.616338,0.618272,0.619664,0.620328,0.621482,0.622733,0.622994,0.623547,0.623828,0.623452,0.624105,0.624385,0.62463,0.624645,0.624594,0.624769,0.624561,0.624576,0.624137,0.623834,0.624263,0.623993,0.623575,0.623903,0.622943,0.622978,0.622928,0.622489,0.622218,0.621967,0.621926,0.621825,0.621811,0.621528,0.621723,0.621305,0.621279,0.621255,0.620828,0.620585,0.620735,0.62027,0.619482,0.618764,0.619141,0.618353,0.618299,0.618496,0.618449,0.618914,0.619708,0.620209,0.619964,0.620606,0.620101,0.6207,0.620629,0.620619,0.620281,0.61987,0.619589,0.61963,0.620009,0.620059,0.620476,0.620242,0.619899,0.620396,0.62029,0.620481,0.620351,0.620583,0.620767,0.621441,0.621413,0.621352,0.621301,0.620822,0.620729,0.62078,0.620239,3
-0.228344,-0.246165,-0.263876,-0.281005,-0.297489,-0.31354,-0.330251,-0.345463,-0.361129,-0.375243,-0.390393,-0.404951,-0.418992,-0.432215,-0.445768,-0.459164,-0.472831,-0.485414,-0.49794,-0.510057,-0.52297,-0.534733,-0.546001,-0.556738,-0.568211,-0.578759,-0.589055,-0.599018,-0.609299,-0.618575,-0.627946,-0.63674,-0.644917,-0.653586,-0.661031,-0.668318,-0.675156,-0.681435,-0.687469,-0.694323,-0.700563,-0.7058,-0.711051,-0.717053,-0.721618,-0.725957,-0.730662,-0.734641,-0.739832,-0.744312,-0.749118,-0.752925,-0.756446,-0.76027,-0.763545,-0.767096,-0.770244,-0.772303,-0.776352,-0.77903,-0.781984,-0.785442,-0.791929,-0.809807,-0.838711,-0.870112,-0.901033,-0.926384,-0.911195,-0.890185,-0.869128,-0.84736,-0.826273,-0.804286,-0.783069,-0.76202,-0.740957,-0.718832,-0.696934,-0.675203,-0.653361,-0.631576,-0.609689,-0.588853,-0.566203,-0.544777,-0.523573,-0.502494,-0.481383,-0.46012,-0.440037,-0.419074,-0.398348,-0.377815,-0.357134,-0.336077,-0.316268,-0.296136,-0.276203,-0.256323,-0.23635,-0.216754,-0.197706,-0.177894,-0.158586,-0.140387,-0.121249,-0.102171,-0.084232,-0.065977,-0.048842,-0.03192,-0.014385,0.002706,0.019584,0.036451,0.052753,0.068574,0.083797,0.099257,0.114413,0.128923,0.143526,0.157509,0.171552,0.184756,0.197946,0.211344,0.224015,0.236662,0.248646,0.260501,0.272265,0.283133,0.294686,0.305901,0.316544,0.32671,0.336062,0.345815,0.35471,0.363744,0.372246,0.379913,0.388015,0.395559,0.402969,0.409424,0.416522,0.422467,0.42894,0.434588,0.440161,0.445693,0.45095,0.456046,0.460786,0.465484,0.46939,0.47406,0.478036,0.482239,0.485437,0.488377,0.491265,1
-1.194809,-1.184851,-1.174091,-1.16248,-1.150455,-1.137653,-1.124029,-1.109433,-1.09466,-1.078658,-1.061911,-1.045057,-1.027815,-1.010861,-0.993863,-0.976124,-0.957812,-0.94055,-0.921946,-0.903132,-0.885132,-0.865912,-0.846868,-0.828081,-0.808751,-0.789556,-0.770662,-0.7514,-0.731899,-0.712732,-0.693469,-0.674147,-0.65434,-0.635587,-0.616787,-0.597162,-0.57798,-0.558742,-0.54014,-0.521781,-0.502735,-0.483635,-0.464964,-0.444993,-0.426071,-0.406375,-0.386962,-0.367826,-0.348769,-0.329282,-0.310821,-0.291457,-0.272189,-0.253076,-0.233948,-0.21464,-0.19561,-0.176396,-0.158132,-0.138533,-0.119524,-0.100719,-0.081486,-0.062997,-0.043901,-0.024758,-0.005884,0.012969,0.032371,0.051373,0.07068,0.089809,0.108627,0.127479,0.146804,0.166693,0.185662,0.204539,0.223417,0.242194,0.261562,0.279894,0.299136,0.317641,0.33662,0.356246,0.375533,0.394212,0.413164,0.431673,0.450134,0.469346,0.487939,0.506494,0.525386,0.544105,0.562357,0.580384,0.598203,0.615686,0.633203,0.650686,0.666612,0.682196,0.697913,0.712444,0.726632,0.740476,0.753804,0.766038,0.77808,0.788772,0.797815,0.80632,0.813982,0.82115,0.827922,0.833085,0.83709,0.84085,0.843426,0.845799,0.847894,0.84998,0.852081,0.853849,0.854867,0.855561,0.857257,0.857542,0.857945,0.858568,0.858695,0.85832,0.858247,0.857928,0.857663,0.857879,0.857484,0.857505,0.85741,0.857855,0.857507,0.857115,0.857649,0.857776,0.857131,0.856619,0.856299,0.856576,0.856769,0.856455,0.856236,0.856302,0.855982,0.85622,0.856015,0.855742,0.856451,0.856198,0.855672,0.85572,0.855919,0.855736,0.855732,4
-1.154104,-1.136087,-1.118523,-1.100596,-1.081952,-1.062691,-1.04424,-1.025987,-1.006814,-0.987306,-0.968759,-0.949763,-0.930451,-0.912058,-0.892465,-0.873412,-0.854386,-0.835315,-0.816398,-0.797067,-0.777547,-0.758252,-0.739443,-0.719937,-0.70044,-0.680852,-0.6612,-0.642165,-0.622961,-0.603198,-0.58405,-0.565389,-0.54625,-0.526679,-0.507089,-0.487595,-0.468384,-0.448563,-0.42896,-0.409525,-0.38918,-0.369575,-0.349972,-0.330773,-0.311074,-0.291711,-0.271509,-0.252516,-0.233755,-0.214719,-0.195274,-0.175885,-0.156731,-0.137126,-0.117102,-0.098253,-0.078909,-0.059664,-0.040122,-0.020255,-0.000617,0.018839,0.037974,0.057018,0.076308,0.095876,0.115273,0.134771,0.154111,0.173653,0.192902,0.212203,0.231804,0.251012,0.27037,0.289742,0.309181,0.328352,0.347851,0.367411,0.386639,0.406305,0.424667,0.443797,0.46221,0.480698,0.499524,0.517993,0.536614,0.554412,0.572313,0.589549,0.606304,0.622747,0.639203,0.654166,0.669401,0.68371,0.696149,0.707971,0.718933,0.728427,0.736765,0.74428,0.751346,0.757128,0.762427,0.767241,0.7711,0.774392,0.776561,0.778436,0.779924,0.781265,0.782604,0.783332,0.783785,0.784388,0.785232,0.785315,0.785882,0.78625,0.786727,0.78722,0.787082,0.786644,0.786494,0.786762,0.787257,0.787813,0.787642,0.787752,0.78806,0.78818,0.788352,0.787512,0.787354,0.787246,0.787079,0.787712,0.787604,0.787358,0.78749,0.787921,0.787891,0.787971,0.787895,0.787798,0.78791,0.787393,0.787688,0.787381,0.787434,0.787576,0.787078,0.786708,0.787158,0.786731,0.787117,0.78735,0.787709,0.787858,0.787446,0.787534,0.787391,4
-0.379577,-0.395221,-0.410478,-0.42555,-0.440148,-0.454681,-0.468725,-0.48252,-0.496181,-0.508715,-0.52169,-0.534228,-0.546053,-0.557355,-0.568298,-0.580223,-0.591066,-0.602612,-0.613069,-0.623755,-0.633735,-0.643137,-0.652628,-0.661393,-0.669813,-0.677998,-0.686079,-0.694204,-0.701802,-0.709504,-0.716285,-0.723902,-0.730368,-0.737196,-0.743984,-0.750678,-0.756277,-0.761708,-0.766828,-0.772799,-0.778226,-0.78337,-0.788813,-0.793375,-0.797888,-0.801845,-0.805971,-0.810167,-0.814971,-0.82217,-0.84036,-0.869831,-0.901925,-0.933583,-0.960131,-0.966648,-0.952934,-0.934269,-0.914115,-0.893322,-0.872521,-0.85243,-0.832625,-0.812424,-0.792351,-0.771237,-0.750785,-0.73076,-0.709624,-0.689161,-0.669308,-0.648913,-0.628301,-0.607273,-0.586417,-0.566153,-0.545572,-0.525694,-0.506479,-0.486402,-0.464843,-0.444563,-0.425018,-0.404985,-0.385349,-0.365373,-0.346038,-0.325709,-0.306457,-0.287688,-0.268912,-0.249908,-0.230865,-0.211633,-0.192697,-0.174488,-0.156087,-0.137649,-0.119529,-0.101192,-0.08417,-0.0667,-0.049337,-0.032442,-0.015819,0.001591,0.017987,0.034555,0.050366,0.065852,0.081478,0.096802,0.112175,0.127155,0.141772,0.155931,0.169725,0.183031,0.196325,0.209137,0.222479,0.235194,0.247905,0.259729,0.271765,0.283072,0.294426,0.305871,0.317548,0.327619,0.338134,0.347689,0.357113,0.366656,0.374718,0.383694,0.391243,0.399778,0.407655,0.415771,0.42236,0.428734,0.436081,0.442545,0.448956,0.455615,0.46178,0.467917,0.473891,0.478105,0.483688,0.489022,0.493775,0.498466,0.502945,0.50687,0.510829,0.514473,0.518255,0.52242,0.526455,0.529687,0.53316,0.536582,0.539171,1
0.629357,0.63022,0.633954,0.647729,0.666763,0.691306,0.718575,0.745693,0.767309,0.779805,0.782572,0.767578,0.747301,0.725897,0.70426,0.683618,0.66176,0.64061,0.618724,0.597162,0.576208,0.554413,0.533547,0.512904,0.492673,0.47168,0.450281,0.42847,0.40794,0.387362,0.366495,0.345573,0.325037,0.304587,0.284019,0.263314,0.242765,0.222772,0.202295,0.182956,0.163668,0.144005,0.124384,0.105252,0.085787,0.066674,0.047912,0.029328,0.010366,-0.009382,-0.028403,-0.046363,-0.064691,-0.082972,-0.100539,-0.118094,-0.135555,-0.153285,-0.170449,-0.188581,-0.206778,-0.223795,-0.241008,-0.257927,-0.274533,-0.29103,-0.306624,-0.3229,-0.33901,-0.354557,-0.369791,-0.385131,-0.40005,-0.415215,-0.429458,-0.443211,-0.456761,-0.47041,-0.483961,-0.497641,-0.510431,-0.522814,-0.534618,-0.547189,-0.558958,-0.570624,-0.582583,-0.594809,-0.606125,-0.616882,-0.627133,-0.636842,-0.647582,-0.657452,-0.667262,-0.67682,-0.686577,-0.696485,-0.70534,-0.714215,-0.722656,-0.730787,-0.738327,-0.746198,-0.753615,-0.761042,-0.768379,-0.775089,-0.782127,-0.789351,-0.796248,-0.802687,-0.80926,-0.818246,-0.837238,-0.862258,-0.892065,-0.924218,-0.955441,-0.981557,-0.997738,-1.004971,-0.993265,-0.976884,-0.958462,-0.939916,-0.922423,-0.903367,-0.885313,-0.86717,-0.848089,-0.829566,-0.810404,-0.79181,-0.773554,-0.754629,-0.73549,-0.716047,-0.696679,-0.677492,-0.658693,-0.638941,-0.619627,-0.60081,-0.58167,-0.562403,-0.542664,-0.523821,-0.505278,-0.486274,-0.4677,-0.450302,-0.431737,-0.413537,-0.395597,-0.377263,-0.358942,-0.340984,-0.322901,-0.304679,-0.285743,-0.267714,-0.250229,-0.232612,-0.214766,1
-1.166468,-1.149872,-1.132482,-1.115459,-1.09729,-1.078848,-1.060735,-1.042288,-1.023616,-1.004789,-0.985662,-0.966511,-0.947547,-0.928379,-0.909408,-0.890276,-0.87096,-0.851773,-0.832482,-0.813124,-0.793327,-0.773719,-0.754368,-0.734886,-0.715316,-0.695688,-0.676835,-0.657648,-0.638004,-0.618239,-0.598633,-0.579415,-0.560328,-0.540294,-0.521005,-0.501459,-0.481932,-0.462676,-0.443314,-0.424473,-0.405205,-0.386393,-0.36684,-0.34771,-0.328261,-0.309294,-0.289577,-0.270623,-0.251625,-0.232406,-0.213074,-0.194251,-0.175827,-0.156791,-0.137327,-0.118084,-0.098209,-0.078849,-0.060109,-0.04137,-0.021958,-0.002613,0.016406,0.035837,0.055209,0.074675,0.093676,0.112834,0.13245,0.152038,0.172135,0.191725,0.211493,0.230484,0.249857,0.269159,0.287973,0.307443,0.326839,0.345979,0.364838,0.384105,0.403306,0.422571,0.441707,0.460762,0.47889,0.497284,0.515367,0.534008,0.552334,0.570518,0.588062,0.604808,0.621391,0.637401,0.653069,0.667173,0.68161,0.695572,0.707909,0.719621,0.730803,0.740333,0.748502,0.755913,0.762461,0.767805,0.773517,0.777472,0.780726,0.783807,0.786257,0.788468,0.790896,0.792381,0.79323,0.794121,0.794945,0.795715,0.79651,0.796641,0.796862,0.797896,0.797906,0.79804,0.798371,0.798448,0.798179,0.798084,0.798335,0.797807,0.797769,0.797599,0.797105,0.796913,0.796883,0.796991,0.797181,0.797212,0.797022,0.79701,0.796976,0.797309,0.797122,0.797359,0.797455,0.797227,0.797456,0.797676,0.797808,0.797687,0.79842,0.797963,0.798516,0.798343,0.79867,0.798537,0.799118,0.79951,0.799522,0.799347,0.79966,0.799865,0.799961,4
