@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute target {1,2,3,4}

@data
3.701449,3.668683,3.561263,3.427472,3.181523,2.96777,2.734141,2.501131,2.260721,2.046181,1.808936,1.57157,1.357112,1.129261,0.901233,0.693376,0.472402,0.269943,0.054367,-0.139952,-0.350692,-0.532713,-0.739276,-0.902271,-1.137154,-1.278723,-1.476082,-1.608182,-1.785496,-1.897295,-2.070789,-2.216454,-2.29155,-2.470675,-2.513612,-2.615671,-2.637437,-2.70247,-2.775767,-2.718189,-2.802801,-2.732948,-2.701635,-2.62231,-2.53528,-2.55145,-2.422621,-2.288686,-2.232391,-2.162938,-1.994214,-1.81598,-1.72965,-1.599454,-1.483745,-1.340496,-1.205785,-1.049153,-0.899601,-0.730843,-0.569507,-0.389879,-0.220037,-0.027735,0.124665,0.241738,0.447979,0.582444,0.752126,0.913531,1.051955,1.168921,1.278215,1.41625,1.54458,1.585362,1.706654,1.771481,1.925459,2.14446,2.353713,2.584746,2.798453,3.034414,3.21063,3.321333,3.522554,3.520812,3.408802,3.287942,3.049123,2.836515,2.595055,2.377322,2.134775,1.969671,1.886911,1.752681,1.697189,1.525647,1.380954,1.238572,1.115621,1.001687,0.852638,0.700681,0.56739,0.389349,0.256139,0.094813,-0.02618,-0.179884,-0.376346,-0.462021,-0.590887,-0.755676,-0.909034,-1.054109,-1.198172,-1.324177,-1.457679,-1.556426,-1.757103,-1.919921,-1.99471,-2.071943,-2.149752,-2.330362,-2.373475,-2.399023,-2.527224,-2.555492,-2.561154,-2.66032,-2.568898,-2.625665,-2.577718,-2.578374,-2.508985,-2.46519,-2.372464,-2.292285,-2.176609,-2.065784,-1.930424,-1.792374,-1.689905,-1.502213,-1.353624,-1.160879,-0.956055,-0.786974,-0.581371,-0.39944,-0.184461,0.002365,0.203996,0.400403,0.621345,0.839882,1.048583,1.272998,1.508423,1.733046,1.960308,2.207459,2.42881,2.666741,2.89131,3.131504,3.33108,3.448516,3.603095,2
3.091553,3.086023,3.009863,2.802283,2.631233,2.440678,2.228507,1.995327,1.776709,1.545739,1.327819,1.097633,0.882198,0.650089,0.459659,0.284078,0.068066,-0.150838,-0.352855,-0.501601,-0.689809,-0.907176,-1.050494,-1.188937,-1.381575,-1.474286,-1.615893,-1.805845,-1.906586,-1.964244,-2.114986,-2.249626,-2.357506,-2.327202,-2.405193,-2.490838,-2.561922,-2.616782,-2.657942,-2.680399,-2.689385,-2.678601,-2.654257,-2.610632,-2.555455,-2.480484,-2.397759,-2.294419,-2.190433,-2.056294,-2.01641,-1.963974,-1.785356,-1.657602,-1.587779,-1.433294,-1.232037,-1.118256,-0.980933,-0.778365,-0.65689,-0.464472,-0.255102,-0.039015,0.130261,0.301995,0.5322,0.74299,0.970309,1.185082,1.412383,1.630248,1.824769,2.016947,2.253041,2.417817,2.614411,2.787339,3.006213,3.067606,3.194463,3.234212,3.223451,3.214851,3.238132,3.126578,3.028572,2.925595,2.866317,2.712075,2.512894,2.321695,2.112652,1.923776,1.728542,1.530336,1.296323,1.084209,0.855638,0.642905,0.417265,0.210655,0.055035,-0.142695,-0.358158,-0.565763,-0.719852,-0.862184,-1.080833,-1.238866,-1.346139,-1.505026,-1.698318,-1.771228,-1.868913,-2.013577,-2.019205,-2.117593,-2.253149,-2.262375,-2.234922,-2.335554,-2.375855,-2.448057,-2.402368,-2.280517,-2.279802,-2.26715,-2.235,-2.199841,-2.128461,-2.125642,-2.177961,-2.0724,-1.970173,-1.966793,-1.895995,-1.724036,-1.635087,-1.576306,-1.399487,-1.30785,-1.179069,-0.990433,-0.893453,-0.697579,-0.502364,-0.287993,-0.145164,0.034691,0.250541,0.466672,0.679632,0.902562,1.081496,1.268054,1.494072,1.715334,1.93848,2.164624,2.367553,2.53461,2.714131,2.903312,3.073163,3.074389,3.047669,3.032604,3.021117,3.017109,3.017902,3.026639,3.035332,3
3.851216,3.846599,3.686378,3.460267,3.249487,3.029377,2.807081,2.597632,2.400219,2.188722,2.020083,1.818199,1.640927,1.466294,1.280907,1.089512,0.864915,0.698497,0.505207,0.291821,0.083509,-0.123003,-0.332843,-0.51527,-0.652829,-0.852396,-1.044738,-1.181407,-1.308697,-1.513971,-1.58969,-1.732628,-1.81338,-1.903304,-2.003577,-2.019192,-2.165369,-2.173194,-2.184751,-2.271602,-2.330177,-2.383215,-2.416703,-2.439579,-2.444114,-2.436702,-2.411301,-2.374456,-2.319975,-2.256313,-2.173206,-2.10007,-2.117967,-2.0108,-1.903011,-1.877345,-1.737353,-1.687839,-1.52871,-1.437911,-1.289285,-1.153719,-1.018804,-0.805041,-0.671347,-0.498959,-0.289132,-0.086592,0.124976,0.32933,0.547754,0.724969,0.90811,1.11172,1.286865,1.470417,1.625359,1.807242,2.009531,2.204422,2.409732,2.624792,2.845714,3.063106,3.280217,3.492927,3.716688,3.853867,3.699929,3.474149,3.257534,3.034269,2.810213,2.596113,2.377892,2.169003,1.975567,1.794827,1.617026,1.419517,1.252639,1.070776,0.891832,0.688878,0.520027,0.325868,0.109146,-0.092617,-0.304115,-0.503179,-0.710928,-0.901276,-1.033077,-1.204025,-1.393356,-1.480511,-1.652795,-1.719884,-1.867016,-1.927408,-2.026517,-2.097412,-2.116738,-2.255072,-2.23768,-2.252497,-2.326547,-2.374611,-2.414503,-2.436201,-2.445248,-2.43778,-2.416265,-2.380025,-2.328413,-2.266699,-2.182951,-2.177305,-2.159819,-2.014012,-2.006214,-1.895847,-1.813158,-1.723335,-1.585387,-1.505006,-1.299654,-1.174207,-1.036534,-0.841053,-0.644692,-0.506378,-0.322672,-0.112035,0.09359,0.302967,0.515631,0.708056,0.873878,1.059479,1.237218,1.431363,1.606707,1.778563,1.959424,2.152126,2.359203,2.578889,2.789565,3.017502,3.233614,3.465747,3.620803,4
3.015059,3.013901,2.912222,2.835143,2.751158,2.699143,2.512165,2.29807,2.093602,1.858142,1.680366,1.447786,1.221125,0.98844,0.761019,0.533886,0.302974,0.118377,-0.053953,-0.27807,-0.49666,-0.686126,-0.813949,-1.025088,-1.219179,-1.325753,-1.486135,-1.632951,-1.694528,-1.882645,-2.007341,-2.045822,-2.135689,-2.290881,-2.274103,-2.291217,-2.388685,-2.453781,-2.512623,-2.552232,-2.578793,-2.587508,-2.582091,-2.558637,-2.522266,-2.466521,-2.403593,-2.311717,-2.266804,-2.300606,-2.171478,-2.053614,-2.020823,-1.91748,-1.726168,-1.640951,-1.531553,-1.343774,-1.253662,-1.06093,-0.902019,-0.760586,-0.531496,-0.335648,-0.179741,0.031541,0.26306,0.481935,0.664264,0.869229,1.111677,1.334915,1.577198,1.79825,2.000458,2.207183,2.405428,2.586178,2.80438,2.979034,3.048104,3.174934,3.182009,3.165458,3.180256,3.169843,3.211281,3.119967,3.02648,2.938876,2.876415,2.736634,2.538207,2.348243,2.135634,1.94525,1.75153,1.542947,1.30145,1.084989,0.847081,0.641058,0.478267,0.272695,0.046316,-0.158682,-0.300909,-0.474616,-0.701838,-0.833617,-0.958694,-1.159896,-1.31702,-1.384031,-1.541228,-1.703187,-1.747097,-1.82145,-1.974511,-2.075782,-2.206058,-2.167807,-2.178084,-2.252858,-2.307315,-2.344169,-2.375446,-2.376825,-2.385422,-2.342503,-2.400636,-2.481207,-2.403534,-2.322977,-2.268576,-2.304153,-2.184127,-2.056946,-2.029928,-1.931728,-1.738089,-1.638387,-1.546213,-1.351734,-1.259158,-1.082751,-0.875013,-0.665434,-0.517921,-0.344242,-0.117251,0.101753,0.294365,0.461234,0.702347,0.919767,1.159365,1.379914,1.621104,1.805079,2.016641,2.211277,2.431299,2.611507,2.814852,2.865889,2.985603,3.00634,2.977439,2.972583,2.964066,2.968579,2.972685,3
3.168856,3.126377,2.996369,2.902168,2.713645,2.541597,2.345562,2.166694,1.973658,1.793319,1.601759,1.420941,1.230175,1.04973,0.858459,0.688337,0.514488,0.329684,0.166258,-0.008382,-0.173151,-0.335869,-0.519243,-0.657394,-0.837062,-0.989954,-1.13059,-1.297202,-1.461854,-1.620722,-1.779972,-1.929563,-2.080466,-2.21633,-2.356702,-2.42343,-2.500996,-2.602984,-2.679927,-2.744932,-2.786855,-2.809737,-2.809844,-2.788638,-2.746697,-2.684682,-2.606357,-2.510971,-2.404254,-2.283563,-2.157171,-2.018004,-1.879015,-1.723586,-1.596367,-1.475009,-1.304178,-1.141995,-0.970733,-0.801849,-0.630868,-0.488851,-0.317154,-0.137145,0.018297,0.187242,0.373342,0.539257,0.707941,0.896389,1.069424,1.244626,1.448385,1.629898,1.817176,2.000763,2.187287,2.3723,2.557911,2.745351,2.917193,3.079705,3.197814,3.258467,3.266072,3.248048,3.258151,3.232727,3.150335,3.011775,2.832967,2.660937,2.479013,2.303097,2.121619,1.922897,1.730746,1.545273,1.358469,1.172141,0.986519,0.799327,0.628089,0.450472,0.265326,0.10451,-0.081221,-0.248915,-0.413452,-0.584884,-0.734988,-0.908661,-1.045421,-1.216936,-1.381314,-1.509801,-1.654192,-1.818939,-1.95527,-2.046389,-2.178604,-2.306862,-2.42247,-2.529664,-2.620115,-2.698402,-2.75507,-2.795243,-2.810497,-2.807952,-2.779611,-2.735117,-2.666875,-2.586767,-2.48598,-2.37853,-2.253321,-2.127655,-1.982781,-1.858828,-1.751824,-1.593882,-1.431703,-1.269868,-1.098331,-0.947548,-0.803061,-0.627827,-0.449884,-0.29386,-0.13251,0.052361,0.206863,0.387816,0.563642,0.729557,0.915149,1.098687,1.284886,1.468714,1.655827,1.83913,2.030956,2.229647,2.414585,2.58371,2.753805,2.911695,3.090703,3.165245,3.151073,3.151267,3.150598,3
3.754249,3.718534,3.519102,3.300557,3.081726,2.854815,2.624723,2.402766,2.187446,1.952486,1.741753,1.519438,1.313799,1.088069,0.880307,0.667655,0.468222,0.251713,0.046523,-0.149887,-0.342823,-0.538279,-0.717648,-0.906642,-1.070093,-1.279893,-1.42265,-1.614303,-1.762247,-1.911209,-2.031862,-2.180586,-2.305419,-2.393624,-2.479812,-2.559381,-2.659203,-2.6525,-2.762612,-2.696288,-2.777421,-2.698022,-2.698676,-2.645311,-2.547871,-2.510764,-2.363661,-2.292342,-2.24077,-2.082435,-1.930403,-1.836251,-1.729644,-1.554622,-1.354658,-1.237779,-1.085992,-0.946112,-0.786364,-0.631266,-0.463653,-0.296386,-0.123232,0.058435,0.204791,0.333571,0.526394,0.650613,0.832869,0.955642,1.125361,1.240361,1.373202,1.467595,1.528105,1.606939,1.690563,1.79053,1.906357,2.133065,2.328018,2.557224,2.764572,2.984844,3.182324,3.408348,3.485289,3.478928,3.413504,3.183549,2.978043,2.752784,2.541876,2.311177,2.10586,1.901768,1.839093,1.662866,1.582567,1.484783,1.331639,1.191633,1.027591,0.889804,0.733907,0.581675,0.448922,0.283891,0.146943,-0.015866,-0.174226,-0.288671,-0.476439,-0.636267,-0.809051,-0.96236,-1.122075,-1.26428,-1.41034,-1.538375,-1.668512,-1.777823,-1.892368,-1.973899,-2.11659,-2.273474,-2.323108,-2.381006,-2.516565,-2.558752,-2.62156,-2.703001,-2.627105,-2.704731,-2.662858,-2.639403,-2.614209,-2.576602,-2.507824,-2.392062,-2.330864,-2.169845,-2.079022,-1.940968,-1.817683,-1.662619,-1.515558,-1.352254,-1.184114,-1.011904,-0.816561,-0.626094,-0.443695,-0.246016,-0.046788,0.169699,0.343684,0.562132,0.758078,0.979231,1.181035,1.409923,1.620978,1.842932,2.064467,2.283374,2.508472,2.742031,2.95719,3.181935,3.387648,3.6227,3.746775,2
3.741536,3.729801,3.559014,3.328268,3.111397,2.890335,2.677686,2.462061,2.267032,2.076396,1.894097,1.691625,1.521951,1.329254,1.146559,0.926876,0.717347,0.498823,0.290266,0.080123,-0.075386,-0.287815,-0.48526,-0.698237,-0.832796,-1.027279,-1.19844,-1.331885,-1.490731,-1.603425,-1.746146,-1.844618,-1.896351,-2.007677,-2.066757,-2.127642,-2.18719,-2.185889,-2.291048,-2.348533,-2.415946,-2.452032,-2.485577,-2.495137,-2.494955,-2.476187,-2.442919,-2.396714,-2.33192,-2.260922,-2.172742,-2.191101,-2.094106,-2.069045,-1.958364,-1.891795,-1.774085,-1.669225,-1.543481,-1.40622,-1.274537,-1.10844,-0.97638,-0.752725,-0.579815,-0.41602,-0.226971,-0.007052,0.19162,0.411404,0.614065,0.834208,1.040069,1.230522,1.405144,1.58201,1.768735,1.956409,2.128747,2.339073,2.541086,2.760409,2.96787,3.199115,3.400297,3.639073,3.743525,3.74608,3.665221,3.439333,3.225743,3.004434,2.791589,2.56855,2.357536,2.147205,1.960078,1.776284,1.608173,1.426301,1.238282,1.058296,0.873629,0.658075,0.448419,0.236854,0.027079,-0.170996,-0.321547,-0.527246,-0.722988,-0.92216,-1.042737,-1.236392,-1.387561,-1.507804,-1.657289,-1.743465,-1.810372,-1.925781,-1.994648,-2.017812,-2.045525,-2.161922,-2.171235,-2.15967,-2.241601,-2.276107,-2.321442,-2.331794,-2.345512,-2.327721,-2.311373,-2.264691,-2.220678,-2.147013,-2.182892,-2.127669,-2.022265,-2.021101,-1.909388,-1.869263,-1.742525,-1.667251,-1.529577,-1.421193,-1.277327,-1.085659,-0.977592,-0.78372,-0.595214,-0.386401,-0.209364,-0.053304,0.150263,0.361136,0.56622,0.780824,0.984765,1.162463,1.336848,1.526975,1.693464,1.864132,2.039692,2.245516,2.447797,2.672271,2.875998,3.103657,3.305284,3.527765,3.67824,4
3.252998,3.23404,3.086891,2.909147,2.747019,2.560026,2.366112,2.172605,1.97962,1.786541,1.593613,1.402095,1.202746,0.989154,0.80006,0.603237,0.426109,0.254892,0.061228,-0.117925,-0.275697,-0.466083,-0.619291,-0.784279,-0.960773,-1.089595,-1.268307,-1.40155,-1.529002,-1.705168,-1.828945,-1.919714,-2.065421,-2.195309,-2.322863,-2.435343,-2.535204,-2.528684,-2.578928,-2.638129,-2.67007,-2.690188,-2.685796,-2.666904,-2.625682,-2.570599,-2.495933,-2.410585,-2.307258,-2.199622,-2.070742,-1.963241,-1.891465,-1.744228,-1.595199,-1.498813,-1.334129,-1.194838,-1.057791,-0.899637,-0.756165,-0.5647,-0.423904,-0.240947,-0.086543,0.099233,0.260491,0.455198,0.641369,0.819373,1.001406,1.20998,1.413957,1.611105,1.799901,1.99905,2.186564,2.388272,2.569432,2.757437,2.925494,3.115764,3.234896,3.329954,3.361543,3.356016,3.353956,3.269796,3.176426,2.993199,2.827625,2.643763,2.484271,2.292504,2.101352,1.907756,1.716226,1.525164,1.322181,1.110384,0.923134,0.728176,0.5417,0.374902,0.194684,0.001354,-0.177727,-0.33222,-0.510983,-0.695107,-0.832504,-1.003283,-1.159641,-1.28145,-1.459045,-1.559794,-1.696831,-1.84967,-1.994797,-2.128618,-2.2662,-2.343681,-2.374793,-2.476021,-2.546806,-2.613783,-2.653942,-2.684853,-2.688118,-2.680862,-2.646485,-2.602185,-2.533417,-2.456296,-2.362233,-2.338611,-2.238387,-2.102274,-1.9664,-1.818891,-1.722708,-1.591942,-1.41344,-1.287287,-1.145488,-0.967584,-0.835811,-0.656682,-0.491387,-0.336947,-0.14164,0.031011,0.197508,0.385168,0.579918,0.757715,0.932795,1.126299,1.338099,1.537571,1.72868,1.922276,2.114951,2.30915,2.495309,2.670216,2.847565,3.014522,3.20022,3.244104,3.228991,3.231186,3.231637,3
3.672207,3.662601,3.50005,3.274913,3.067274,2.845404,2.635474,2.425816,2.234886,2.053935,1.877974,1.687337,1.495903,1.316285,1.114448,0.901516,0.686944,0.510233,0.327269,0.113664,-0.088457,-0.295799,-0.496298,-0.701316,-0.857047,-1.010292,-1.219876,-1.328967,-1.498264,-1.601954,-1.741742,-1.837536,-1.939594,-2.032779,-2.079933,-2.229579,-2.307713,-2.304165,-2.362038,-2.446744,-2.491637,-2.543858,-2.56055,-2.580378,-2.566839,-2.553607,-2.510345,-2.463162,-2.411804,-2.45997,-2.359495,-2.264624,-2.136304,-2.122149,-1.989958,-1.931248,-1.796276,-1.695962,-1.559213,-1.421747,-1.287287,-1.081488,-0.948579,-0.773343,-0.56435,-0.383274,-0.222388,-0.013808,0.19471,0.40356,0.61622,0.824277,1.042292,1.226197,1.421676,1.621425,1.786237,1.961767,2.148343,2.353623,2.562645,2.76906,2.991118,3.200815,3.422118,3.623401,3.863239,3.902319,3.66509,3.467973,3.247924,3.045184,2.824956,2.614515,2.40366,2.207532,2.0266,1.851987,1.655643,1.492935,1.307288,1.133051,0.913994,0.734997,0.559353,0.34956,0.146331,-0.057916,-0.259818,-0.459535,-0.658752,-0.799276,-0.962206,-1.155927,-1.256032,-1.430261,-1.577098,-1.666428,-1.801047,-1.864655,-1.903439,-1.983934,-2.040208,-2.048149,-2.168565,-2.117654,-2.14595,-2.198054,-2.235911,-2.254792,-2.265867,-2.255371,-2.237622,-2.199984,-2.149527,-2.122869,-2.174966,-2.05202,-2.034157,-1.985916,-1.908988,-1.854891,-1.735351,-1.671136,-1.515324,-1.439077,-1.249279,-1.109323,-0.978959,-0.787291,-0.594554,-0.453507,-0.274019,-0.066057,0.133498,0.341397,0.544803,0.753447,0.922106,1.100407,1.275725,1.462609,1.643509,1.814302,1.986559,2.180229,2.383645,2.595486,2.799924,3.026437,3.227758,3.452185,3.603625,4
2.904861,2.90342,2.807286,2.73893,2.603027,2.401398,2.225212,2.027118,1.821981,1.617093,1.412012,1.209499,1.002129,0.823019,0.646791,0.442346,0.254618,0.132013,-0.031362,-0.158312,-0.267868,-0.413615,-0.478172,-0.598667,-0.696468,-0.793144,-0.878098,-1.029436,-1.174256,-1.258069,-1.290243,-1.422367,-1.519234,-1.629264,-1.71075,-1.798576,-1.859503,-1.923323,-1.960564,-1.998379,-2.009087,-2.020005,-2.003079,-1.987511,-1.942009,-1.90336,-1.826507,-1.862596,-1.839271,-1.72603,-1.627121,-1.502409,-1.386308,-1.241677,-1.167881,-1.091197,-0.940318,-0.875718,-0.74863,-0.702478,-0.555964,-0.461904,-0.328868,-0.17988,-0.018737,0.125689,0.280666,0.46061,0.637966,0.852017,1.038144,1.224706,1.430598,1.638309,1.843565,2.052932,2.24035,2.422821,2.608077,2.811161,2.890905,2.895006,3.049087,3.055028,3.080758,3.083005,3.130115,3.064381,2.999658,2.911882,2.736824,2.596335,2.448461,2.316493,2.126398,1.930781,1.733463,1.539593,1.344515,1.151832,0.96009,0.763989,0.515866,0.314917,0.12952,-0.065302,-0.312012,-0.513843,-0.69151,-0.881251,-1.05043,-1.267461,-1.504511,-1.676325,-1.842949,-2.044732,-2.287271,-2.436317,-2.597622,-2.734227,-2.876048,-2.98964,-3.122254,-3.334561,-3.435438,-3.487609,-3.528999,-3.533456,-3.52312,-3.475866,-3.418406,-3.323817,-3.23179,-3.028578,-2.834803,-2.710104,-2.556155,-2.408093,-2.240533,-2.083045,-1.872454,-1.630933,-1.466411,-1.278424,-1.108108,-0.87651,-0.649238,-0.469113,-0.279574,-0.091732,0.09911,0.291233,0.483777,0.679104,0.874213,1.118369,1.329006,1.521035,1.721306,1.91016,2.069639,2.246383,2.388239,2.547619,2.70381,2.88328,2.957481,2.924976,2.909566,2.892585,2.885345,2.881,2.882288,1
