@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
-1.445141,-0.660035,0.562339,1.652746,2.307383,2.628512,2.634359,2.155306,1.646625,1.251979,0.115008,-1.036885,-1.190018,-1.227808,0.062772,1.207557,2.677467,2.781338,2.475185,2.648464,2.532535,3.02658,2.000845,0.366379,-0.955344,-0.521513,-0.920681,-1.951991,-3.243676,-3.45212,-2.192123,-1.09145,-0.218274,-0.682608,-1.763583,-2.616282,-3.319356,-3.072204,-2.122079,-1.050208,2
-1.55303,-0.715064,0.720874,1.769201,2.444815,2.828765,2.769595,2.041087,0.685904,0.38482,-0.440471,-1.66132,-1.634835,-1.039444,0.557159,1.463915,2.716526,2.904303,2.90519,3.305363,3.252289,1.967441,1.240771,0.325235,-1.187563,-0.591299,-1.29324,-2.114457,-3.035578,-3.070908,-2.047351,-0.812277,0.10741,-0.145444,-1.234142,-2.264639,-3.232771,-3.121545,-2.253875,-0.941409,2
-1.536395,-1.095294,-0.111333,0.792244,2.088442,2.786712,2.726203,2.017647,1.154523,-0.249556,-1.094086,-1.620933,-1.392581,-0.333477,0.865058,2.178118,3.268503,2.947069,2.848364,3.002799,3.528826,2.742156,1.182873,-0.261112,-1.269064,-0.918814,-1.7086,-2.506184,-3.141202,-2.593811,-1.579721,-0.514539,0.249694,-0.161676,-1.33058,-2.047822,-2.827288,-2.933495,-2.161499,-0.990168,2
-1.825901,-0.935108,0.257168,1.398846,2.176627,2.616989,2.655782,2.124937,1.674162,0.61294,-0.494145,-1.671915,-1.841625,-0.974529,0.366267,1.707474,2.920169,2.738131,2.632627,3.077178,3.120692,2.700409,1.254201,-0.131504,-1.230211,-0.107205,-0.867305,-2.041199,-3.027807,-3.253498,-2.125708,-1.052716,0.057897,-0.260493,-1.663929,-2.855804,-3.447262,-2.578585,-1.449397,-0.25665,2
-1.679265,-0.925442,-0.227309,1.194111,2.095148,2.705605,3.037978,2.499093,1.729676,0.688329,-0.59669,-1.813285,-1.478393,-0.505355,0.990074,1.527501,2.016837,3.122331,2.819762,2.953796,3.091214,2.665989,1.179119,-0.222037,-1.375016,-0.146003,-0.833511,-1.909664,-3.188068,-3.228333,-2.084802,-1.111173,-0.046445,-0.311079,-1.47248,-2.481281,-3.298405,-2.858349,-1.871634,-0.652546,2
-1.713083,-0.841313,-0.214155,0.92389,1.63228,2.183046,3.051245,2.798014,2.112092,1.085099,0.024677,-1.2644,-2.008588,-1.466146,-0.071172,1.286252,2.759786,2.880471,2.683496,3.020636,3.459756,2.78033,1.100653,-0.383881,-1.584802,0.00145,-0.57264,-1.854645,-3.021825,-3.195962,-2.225312,-0.833174,-0.063009,-0.695643,-1.855552,-2.811348,-3.099655,-2.339833,-1.339549,-0.327488,3
-1.606404,-0.862243,0.404726,1.491085,2.265764,2.695138,2.775347,2.388148,1.876774,0.995888,0.079848,-1.070213,-1.561659,-0.917,0.237515,1.437091,2.664402,2.775619,2.81609,2.90952,3.02448,2.690992,1.329434,-0.047804,-1.131506,-0.345688,-0.60279,-1.490826,-2.518361,-3.33131,-2.81058,-1.982928,-0.833818,-0.779563,-1.612651,-2.580588,-3.226629,-2.629356,-1.922255,-0.993691,3
-1.879195,-1.164417,0.038914,1.348207,2.221085,2.632608,2.75165,2.504316,1.826764,0.96716,-0.248564,-1.520305,-1.92033,-1.137523,0.102866,1.412248,2.694029,2.97836,2.791815,2.896309,3.119667,2.751465,1.166697,-0.325121,-1.509322,-0.05959,-0.681041,-1.877202,-2.965114,-3.199509,-2.258866,-1.088356,-0.104053,-0.334305,-1.436346,-2.570647,-3.174661,-2.719478,-1.604862,-0.425352,3
-1.942213,-1.232689,0.09441,1.299275,2.174417,2.80293,2.911176,2.419833,1.741245,0.8097,-0.174836,-1.560013,-2.166822,-1.310572,0.151489,1.458233,2.780324,3.142193,3.087898,2.75078,3.234145,2.83551,1.186859,-0.278718,-1.595379,-0.391216,-1.14393,-1.759845,-2.159383,-2.997283,-2.412143,-1.433276,-0.422532,-0.440175,-1.405582,-2.405873,-2.897414,-2.392808,-1.762273,-0.595442,3
-2.022767,-1.037816,0.182739,1.099009,1.922493,2.839684,3.087969,2.561196,1.766313,0.956754,0.141843,-0.67958,-1.804082,-1.738153,-0.476182,0.920477,2.387362,3.054619,3.020473,3.165816,3.194426,2.491164,1.109355,-0.323224,-1.548793,-0.130558,-0.496003,-1.730215,-2.910308,-3.225907,-2.079957,-1.029576,-0.035722,-0.322402,-1.52908,-2.678525,-3.129698,-2.588689,-1.789383,-0.595071,3
-1.994746,-1.008516,-0.227391,0.733273,1.981473,2.707833,3.088823,2.617306,1.754877,0.851952,-0.27157,-1.594477,-2.154355,-1.175885,0.186489,1.654755,2.944957,3.214353,2.788277,3.366343,2.725094,2.184745,1.248903,-0.253271,-1.553308,-0.1951,-0.572971,-1.83419,-2.833754,-3.138949,-2.050429,-1.080974,-0.109466,-0.275412,-1.160438,-2.336802,-3.119232,-2.756644,-1.825973,-0.5256,3
-1.919234,-1.216706,0.099225,0.987846,2.027524,2.923731,3.010902,2.32548,1.516478,0.452636,-0.663471,-1.921497,-1.905962,-0.837571,0.474159,1.942883,3.056654,3.279587,3.139426,3.27453,3.166783,2.149426,0.73386,-0.578365,-1.673891,-0.297869,-0.616125,-1.670363,-2.664922,-3.11493,-2.253162,-1.185247,-0.415581,-0.677705,-1.628749,-2.509167,-2.745072,-2.157913,-1.356894,-0.550734,3
-1.808675,-0.896215,0.310279,1.584177,2.464702,2.95208,2.710413,1.992817,1.205604,0.296468,-0.747606,-1.725145,-1.326326,-0.384877,1.016467,2.309482,3.228325,2.957841,3.214183,3.214341,2.838224,1.69222,0.969401,-0.088596,-1.451882,-0.910131,-1.374691,-2.149582,-2.784553,-2.767532,-1.973384,-1.110143,-0.170658,-0.552042,-1.483548,-2.333538,-2.982239,-2.733281,-2.067055,-1.135323,2
-1.388069,-0.545582,0.197145,1.11107,2.282284,2.765469,3.099825,2.637065,2.007567,1.231096,0.4466,-0.953878,-1.657763,-1.289947,-0.141652,1.137155,2.236078,2.928642,2.886669,2.849082,2.792961,2.5171,1.403858,-0.052942,-1.034578,-1.040216,-1.687937,-2.548288,-3.27773,-2.745863,-1.854073,-0.817593,0.085229,-0.30898,-1.346078,-2.295041,-3.131811,-2.95739,-2.273417,-1.266068,2
