@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2}

@data
-1.445141,-0.660035,0.562339,1.652746,2.307383,2.628512,2.634359,2.155306,1.646625,1.251979,0.115008,-1.036885,-1.190018,-1.227808,0.062772,1.207557,2.677467,2.781338,2.475185,2.648464,2.532535,3.02658,2.000845,0.366379,-0.955344,-0.521513,-0.920681,-1.951991,-3.243676,-3.45212,-2.192123,-1.09145,-0.218274,-0.682608,-1.763583,-2.616282,-3.319356,-3.072204,-2.122079,-1.050208,2
-1.34273,-0.737379,0.281888,1.300595,2.497203,2.787422,2.364433,1.496142,1.183848,-0.125448,-1.155676,-1.275702,-0.412334,0.51047,1.942547,2.82656,2.57384,2.311581,2.493359,3.032264,3.62138,2.606004,1.056402,0.043784,-1.040668,-0.800433,-1.424487,-2.465881,-3.105818,-2.901087,-2.049399,-1.182842,-0.943226,-1.480367,-2.064646,-2.638638,-3.207489,-2.496261,-1.411533,-0.667678,1
-1.448834,-0.591178,0.680026,1.704892,2.190566,2.822674,2.891718,2.453974,1.953379,1.096867,-0.234842,-0.752662,-1.397126,-1.083683,-0.598399,0.338912,1.717179,3.011127,3.129486,2.804792,3.01886,2.942148,1.942676,0.289805,-0.973853,-0.855603,-1.472532,-2.264967,-3.045221,-2.944564,-2.163938,-1.262447,-0.744378,-1.3497,-2.31936,-3.139012,-2.84508,-2.008631,-1.052825,-0.440247,1
-1.55303,-0.715064,0.720874,1.769201,2.444815,2.828765,2.769595,2.041087,0.685904,0.38482,-0.440471,-1.66132,-1.634835,-1.039444,0.557159,1.463915,2.716526,2.904303,2.90519,3.305363,3.252289,1.967441,1.240771,0.325235,-1.187563,-0.591299,-1.29324,-2.114457,-3.035578,-3.070908,-2.047351,-0.812277,0.10741,-0.145444,-1.234142,-2.264639,-3.232771,-3.121545,-2.253875,-0.941409,2
-1.033669,-1.110156,0.150112,1.863442,3.310409,3.849114,2.611058,2.00561,1.635163,0.193865,-1.158495,-1.418765,-1.114158,-0.806201,0.074491,1.101683,1.969863,1.815044,1.77566,1.692162,1.728419,2.281156,2.340406,1.012368,-0.020705,-0.440504,-1.516444,-3.089629,-3.846505,-3.101941,-1.149371,-0.216631,1.248047,0.799075,-0.924498,-2.382178,-3.565953,-3.615009,-2.334721,-0.611614,1
-1.536395,-1.095294,-0.111333,0.792244,2.088442,2.786712,2.726203,2.017647,1.154523,-0.249556,-1.094086,-1.620933,-1.392581,-0.333477,0.865058,2.178118,3.268503,2.947069,2.848364,3.002799,3.528826,2.742156,1.182873,-0.261112,-1.269064,-0.918814,-1.7086,-2.506184,-3.141202,-2.593811,-1.579721,-0.514539,0.249694,-0.161676,-1.33058,-2.047822,-2.827288,-2.933495,-2.161499,-0.990168,2
-1.587473,-0.828922,-0.129809,0.209091,1.248009,2.9267,3.229418,2.293014,1.593824,0.344562,-0.918238,-1.592406,-0.907898,0.04509,1.555272,2.280419,2.200975,1.971816,2.114329,3.136078,3.852729,2.769603,1.145496,-0.268455,-1.283468,-0.058774,-0.725609,-2.045678,-3.334732,-3.229558,-2.108453,-0.801972,0.104668,-0.348418,-1.717522,-2.891937,-3.516441,-2.709705,-1.671673,-0.34395,1
-1.535326,-0.804869,0.393004,1.557933,1.935429,2.665359,2.52326,2.256083,1.748295,1.138693,-0.099194,-1.125421,-1.587206,-0.700225,0.56743,2.070762,2.57233,2.427082,2.649676,2.938205,3.402332,2.972707,1.369665,-0.058149,-1.230063,-0.934421,-1.651513,-2.594198,-3.013122,-2.87757,-1.887074,-1.025342,-0.51485,-0.587615,-1.860639,-2.737917,-3.14963,-2.654698,-1.776457,-0.782749,1
-1.195796,-0.652433,0.485668,1.595685,2.30347,2.771,2.982541,2.205855,1.548472,0.887183,-0.072958,-1.157704,-1.229873,-0.635953,0.524951,1.723836,3.00615,3.108657,2.893425,2.95286,2.5022,2.782885,1.601093,0.273642,-0.881056,-1.38278,-1.818272,-2.103098,-2.431041,-2.485317,-2.118019,-1.927877,-1.633593,-1.889946,-2.191204,-2.518308,-2.580207,-2.282767,-1.650308,-1.311063,1
-1.327147,-0.586373,0.131081,0.907177,2.002584,2.443228,2.164922,1.450768,0.539472,-0.70053,-1.055285,-1.547963,-0.788425,0.322901,1.612201,3.081102,3.656317,2.594964,2.253466,2.846605,3.474862,3.292515,1.772374,0.27718,-1.053291,-0.878316,-1.38477,-2.279323,-2.870225,-2.771206,-2.089452,-1.001228,-0.629695,-1.110153,-1.778494,-2.541749,-2.967994,-2.61707,-1.847696,-0.997333,1
