@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
-1.371537,-0.697102,0.446847,1.371118,2.371754,3.0579,2.878438,2.152522,1.210965,0.191132,-0.914665,-1.488542,-1.162825,-0.182789,0.952166,2.11078,3.175823,3.249157,3.044234,3.242005,3.114812,2.047774,0.884805,-0.188473,-1.126412,-1.24432,-1.659468,-2.304437,-2.68754,-2.41682,-1.814941,-1.391332,-1.218646,-1.489852,-1.955831,-2.543907,-2.705221,-2.179482,-1.638598,-1.119493,2
-1.451094,-0.729458,0.463881,1.491662,2.519572,3.01767,3.06063,2.677595,1.577113,0.51722,-0.630486,-1.401847,-1.282854,-0.373627,0.725375,1.949871,2.941287,3.141154,2.926538,3.175642,3.016699,1.891472,0.772724,-0.343067,-1.276102,-1.287306,-1.731381,-2.246288,-2.641675,-2.387105,-1.890084,-1.542575,-1.253196,-1.585836,-2.077045,-2.579053,-2.53522,-2.072682,-1.486023,-1.062102,2
-1.629218,-0.910797,0.249346,1.347269,2.602547,3.123032,3.054378,2.601268,1.361539,0.198384,-0.977669,-1.669748,-1.263019,-0.245642,0.855244,1.874481,2.904769,3.133756,2.962524,3.292373,3.174122,2.095324,0.952586,-0.257787,-1.272458,-1.33751,-1.634957,-2.147768,-2.471109,-2.379204,-1.855092,-1.564101,-1.283868,-1.450436,-1.748758,-2.231908,-2.51253,-2.16738,-1.6226,-1.149383,2
-1.499645,-0.862966,0.326612,1.353113,2.527531,3.108154,3.117463,2.793343,1.555934,0.564417,-0.63819,-1.391847,-1.378955,-0.589057,0.467491,1.685487,2.730494,3.14934,3.002065,3.253497,3.144675,2.02924,0.834556,-0.339752,-1.248232,-1.139144,-1.604293,-2.241136,-2.586652,-2.412847,-1.898565,-1.46521,-1.171911,-1.441914,-2.001705,-2.533694,-2.627309,-2.167287,-1.481564,-0.921537,2
-1.53507,-0.810589,0.30274,1.43157,2.6429,3.113663,3.089741,2.565378,1.386226,0.410628,-0.80405,-1.512891,-1.315813,-0.343974,0.735029,2.010324,3.057921,3.101855,3.041275,3.238068,3.001389,1.826603,0.69677,-0.55824,-1.366773,-1.223599,-1.692473,-2.196755,-2.583719,-2.268996,-2.010434,-1.519374,-1.245991,-1.567321,-2.166546,-2.614944,-2.517924,-1.910944,-1.108117,-0.777548,2
-1.71352,-0.89719,0.343638,1.460791,2.649624,3.118474,3.089881,2.508178,1.384412,0.257879,-0.888708,-1.592028,-1.266121,-0.211331,0.872426,2.047091,3.031934,3.060108,2.96549,3.365464,2.96511,1.786401,0.659186,-0.490754,-1.391156,-1.139906,-1.492773,-2.038023,-2.562503,-2.62709,-1.986741,-1.405952,-1.079525,-1.224259,-1.773597,-2.398586,-2.757813,-2.188039,-1.49498,-0.945494,2
-1.687313,-0.965454,0.229383,1.353391,2.562152,3.185533,3.051607,2.949983,1.833661,0.549442,-0.654891,-1.584077,-1.654942,-0.772218,0.40322,1.572731,2.797066,3.122885,2.966957,3.157675,3.072988,1.948791,0.746223,-0.47738,-1.44112,-0.985495,-1.475931,-2.178121,-2.764756,-2.451418,-1.753766,-1.176301,-0.984127,-1.213685,-1.808402,-2.487405,-2.761787,-2.117645,-1.363691,-0.743764,2
-1.730794,-1.041065,0.137002,1.306722,2.588435,3.152292,3.012556,3.08235,2.047396,0.875687,-0.309434,-1.376322,-1.670275,-0.974406,0.160903,1.358928,2.539337,3.11518,2.901095,3.104096,3.109069,2.072751,0.861014,-0.384229,-1.395036,-1.500269,-2.110311,-2.728798,-2.509286,-1.87271,-1.360745,-1.084698,-1.539709,-2.056819,-2.702469,-2.584801,-1.793244,-1.152722,-0.612543,-0.934126,3
-1.60263,-0.845706,0.207203,1.371353,2.542084,3.222911,3.149541,2.623385,1.413833,0.266328,-0.816202,-1.516092,-1.417125,-0.446924,0.655304,1.798688,2.767851,3.08395,3.124677,3.436189,3.110163,1.930381,0.778516,-0.385035,-1.315271,-1.141675,-1.516259,-2.092568,-2.680191,-2.402817,-1.870144,-1.302563,-1.092174,-1.228119,-1.606245,-2.163701,-2.655822,-2.399718,-1.775244,-1.210132,3
-1.640237,-0.895085,0.354562,1.545748,2.759363,3.191893,3.140775,2.517054,1.304311,0.125609,-0.991198,-1.77269,-1.525334,-0.597466,0.535038,1.741047,2.852549,3.171167,3.109057,3.412967,3.052184,1.892025,0.767423,-0.455107,-1.406163,-1.031788,-1.442327,-2.141951,-2.628061,-2.375278,-1.741344,-1.273082,-1.013367,-1.177155,-1.724222,-2.363686,-2.636019,-2.195804,-1.535224,-0.910184,3
-1.748031,-1.016247,0.205399,1.482281,2.709528,3.170788,3.146503,2.64547,1.453938,0.255064,-0.931024,-1.763273,-1.637046,-0.502867,0.625819,1.821723,2.871982,3.132384,3.135586,3.44592,2.895225,1.764867,0.658068,-0.483642,-1.47367,-0.908837,-1.295115,-2.042319,-2.641928,-2.397705,-1.719879,-1.091452,-0.924265,-1.232774,-1.73193,-2.33405,-2.699196,-2.252932,-1.647599,-0.944763,3
-1.762663,-0.944357,0.322002,1.485233,2.858564,3.190989,3.103774,2.960606,1.672821,0.525398,-0.760749,-1.73202,-1.658206,-0.646203,0.45947,1.575531,2.618403,3.103627,2.878691,3.090776,3.05539,1.955379,0.817472,-0.349757,-1.350643,-1.061297,-1.500429,-2.219762,-2.680517,-2.337743,-1.664641,-1.206764,-1.073823,-1.399095,-1.95346,-2.569097,-2.641887,-1.996722,-1.36346,-0.800831,3
-1.932506,-1.072045,0.2052,1.391819,2.834746,3.300791,3.147285,3.194413,2.119221,1.058637,-0.232439,-1.324516,-1.943295,-1.317799,-0.138196,1.067882,2.300334,3.026819,2.847701,3.153186,3.20519,2.026569,0.791481,-0.47072,-1.567723,-1.12698,-1.458547,-1.993212,-2.443679,-2.285889,-1.721786,-1.23859,-1.084786,-1.222023,-1.513673,-2.135495,-2.536921,-2.194505,-1.584282,-1.131667,3
-1.510805,-0.808604,0.287628,1.370928,2.519106,3.137132,3.158494,2.715239,1.807137,0.754551,-0.386318,-1.403913,-1.567672,-0.700877,0.430871,1.548018,2.739764,3.1344,3.045685,3.198965,3.08055,2.004357,0.797252,-0.39646,-1.312993,-1.150113,-1.596512,-2.14322,-2.669562,-2.433303,-1.973638,-1.551306,-1.173469,-1.309858,-1.795528,-2.301875,-2.65142,-2.21504,-1.640996,-1.036591,2
-1.895301,-1.082084,0.11515,1.297903,2.398204,2.971854,2.933741,2.667898,1.577369,0.385883,-0.799964,-1.751181,-1.822352,-0.674873,0.547186,1.759728,2.959487,3.759425,3.014376,3.160915,3.131766,2.08048,0.810792,-0.39554,-1.590557,-1.093933,-1.05506,-1.841555,-2.283259,-2.294542,-2.219267,-1.556064,-1.098346,-1.26796,-1.703612,-2.424562,-2.601108,-1.987758,-1.220407,-0.912873,2
-1.842418,-1.061979,0.158838,1.413095,2.636475,3.245337,3.240903,2.975878,1.980298,0.981169,-0.273815,-1.347667,-1.844154,-1.238334,-0.136865,1.0312,2.174059,3.054675,2.984281,3.217886,3.252211,2.193363,0.928392,-0.364816,-1.4562,-0.895574,-1.334698,-2.056328,-2.587293,-2.451728,-1.897961,-1.305941,-1.072828,-1.247847,-1.636297,-2.244441,-2.634663,-2.148419,-1.501723,-0.88607,2
-1.774373,-0.932794,0.295974,1.454153,2.704624,3.318321,3.240207,2.918612,1.840145,0.755907,-0.4164,-1.465411,-1.848113,-0.940202,0.115063,1.222016,2.326048,3.147679,3.119857,3.362142,3.0554,1.90974,0.771795,-0.446562,-1.461446,-1.139951,-1.536126,-2.120832,-2.575062,-2.273142,-1.687028,-1.197199,-1.114739,-1.310641,-1.705859,-2.251131,-2.563125,-2.146514,-1.54976,-1.101274,3
-1.667573,-0.97953,0.20491,1.269041,2.597112,2.915152,2.894685,2.859475,1.783118,0.62861,-0.631253,-1.495924,-1.691456,-0.736394,0.516538,1.84533,2.949042,3.00685,2.843466,3.138839,3.21976,2.11877,0.881339,-0.414581,-1.377227,-0.940542,-1.44473,-2.202205,-2.701019,-2.573924,-1.892621,-1.430607,-0.962287,-1.09085,-1.667149,-2.438019,-2.819547,-2.235832,-1.478399,-0.800366,2
-1.596334,-0.903728,0.186232,1.404308,2.606549,3.112734,3.060083,2.833328,1.65238,0.461317,-0.694545,-1.495465,-1.540197,-0.600645,0.519838,1.750689,2.916364,3.173347,3.022633,3.293149,3.012148,1.887845,0.743756,-0.439854,-1.328714,-1.227135,-1.63618,-2.29781,-2.652629,-2.234737,-1.621486,-1.335241,-1.10752,-1.30663,-1.890753,-2.456313,-2.636305,-2.164407,-1.4542,-1.015872,2
