@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2}

@data
-1.371537,-0.697102,0.446847,1.371118,2.371754,3.0579,2.878438,2.152522,1.210965,0.191132,-0.914665,-1.488542,-1.162825,-0.182789,0.952166,2.11078,3.175823,3.249157,3.044234,3.242005,3.114812,2.047774,0.884805,-0.188473,-1.126412,-1.24432,-1.659468,-2.304437,-2.68754,-2.41682,-1.814941,-1.391332,-1.218646,-1.489852,-1.955831,-2.543907,-2.705221,-2.179482,-1.638598,-1.119493,2
-1.451094,-0.729458,0.463881,1.491662,2.519572,3.01767,3.06063,2.677595,1.577113,0.51722,-0.630486,-1.401847,-1.282854,-0.373627,0.725375,1.949871,2.941287,3.141154,2.926538,3.175642,3.016699,1.891472,0.772724,-0.343067,-1.276102,-1.287306,-1.731381,-2.246288,-2.641675,-2.387105,-1.890084,-1.542575,-1.253196,-1.585836,-2.077045,-2.579053,-2.53522,-2.072682,-1.486023,-1.062102,2
-1.629218,-0.910797,0.249346,1.347269,2.602547,3.123032,3.054378,2.601268,1.361539,0.198384,-0.977669,-1.669748,-1.263019,-0.245642,0.855244,1.874481,2.904769,3.133756,2.962524,3.292373,3.174122,2.095324,0.952586,-0.257787,-1.272458,-1.33751,-1.634957,-2.147768,-2.471109,-2.379204,-1.855092,-1.564101,-1.283868,-1.450436,-1.748758,-2.231908,-2.51253,-2.16738,-1.6226,-1.149383,2
-1.499645,-0.862966,0.326612,1.353113,2.527531,3.108154,3.117463,2.793343,1.555934,0.564417,-0.63819,-1.391847,-1.378955,-0.589057,0.467491,1.685487,2.730494,3.14934,3.002065,3.253497,3.144675,2.02924,0.834556,-0.339752,-1.248232,-1.139144,-1.604293,-2.241136,-2.586652,-2.412847,-1.898565,-1.46521,-1.171911,-1.441914,-2.001705,-2.533694,-2.627309,-2.167287,-1.481564,-0.921537,2
-1.426699,-0.695187,0.475567,1.483312,2.544142,3.001982,2.949191,2.541592,1.444528,0.325127,-0.744574,-1.420046,-1.290341,-0.337228,0.828608,1.982672,2.962424,3.033521,2.934475,3.308968,3.072092,1.998751,0.933382,-0.269495,-1.213562,-1.63812,-2.020968,-2.372641,-2.535446,-2.235825,-1.843116,-1.725635,-1.924139,-2.336871,-2.591365,-2.277863,-1.763993,-1.285891,-0.806052,-1.065277,1
-1.53507,-0.810589,0.30274,1.43157,2.6429,3.113663,3.089741,2.565378,1.386226,0.410628,-0.80405,-1.512891,-1.315813,-0.343974,0.735029,2.010324,3.057921,3.101855,3.041275,3.238068,3.001389,1.826603,0.69677,-0.55824,-1.366773,-1.223599,-1.692473,-2.196755,-2.583719,-2.268996,-2.010434,-1.519374,-1.245991,-1.567321,-2.166546,-2.614944,-2.517924,-1.910944,-1.108117,-0.777548,2
-1.384564,-0.75114,0.29904,1.409384,2.495501,3.154957,3.098339,2.888132,1.818457,0.820427,-0.369297,-1.12077,-1.442861,-0.670629,0.432798,1.641065,2.623861,3.010909,3.016966,3.283985,3.073364,1.956877,0.894288,-0.255758,-1.193867,-1.37093,-1.465489,-1.684345,-2.023531,-2.467742,-2.39607,-1.915266,-1.729624,-1.485032,-1.681178,-2.071257,-2.462911,-2.390775,-2.013078,-1.572236,1
-1.71352,-0.89719,0.343638,1.460791,2.649624,3.118474,3.089881,2.508178,1.384412,0.257879,-0.888708,-1.592028,-1.266121,-0.211331,0.872426,2.047091,3.031934,3.060108,2.96549,3.365464,2.96511,1.786401,0.659186,-0.490754,-1.391156,-1.139906,-1.492773,-2.038023,-2.562503,-2.62709,-1.986741,-1.405952,-1.079525,-1.224259,-1.773597,-2.398586,-2.757813,-2.188039,-1.49498,-0.945494,2
-1.687313,-0.965454,0.229383,1.353391,2.562152,3.185533,3.051607,2.949983,1.833661,0.549442,-0.654891,-1.584077,-1.654942,-0.772218,0.40322,1.572731,2.797066,3.122885,2.966957,3.157675,3.072988,1.948791,0.746223,-0.47738,-1.44112,-0.985495,-1.475931,-2.178121,-2.764756,-2.451418,-1.753766,-1.176301,-0.984127,-1.213685,-1.808402,-2.487405,-2.761787,-2.117645,-1.363691,-0.743764,2
-1.680559,-0.983127,0.120129,1.375088,2.418967,3.041456,3.08723,2.980818,2.202122,1.349573,0.220197,-0.820182,-1.660857,-1.359961,-0.278433,0.985205,2.150873,3.228491,3.091685,3.173659,3.202201,2.100926,0.937891,-0.250631,-1.336457,-1.178248,-1.583812,-2.219284,-2.579363,-2.243205,-1.754201,-1.36407,-1.193223,-1.358493,-1.826859,-2.349767,-2.654697,-2.235729,-1.655389,-1.099963,1
-1.730794,-1.041065,0.137002,1.306722,2.588435,3.152292,3.012556,3.08235,2.047396,0.875687,-0.309434,-1.376322,-1.670275,-0.974406,0.160903,1.358928,2.539337,3.11518,2.901095,3.104096,3.109069,2.072751,0.861014,-0.384229,-1.395036,-1.500269,-2.110311,-2.728798,-2.509286,-1.87271,-1.360745,-1.084698,-1.539709,-2.056819,-2.702469,-2.584801,-1.793244,-1.152722,-0.612543,-0.934126,2
-1.819148,-0.990752,0.210413,1.399826,2.572827,3.16959,3.251685,3.121551,2.106084,1.094241,-0.020195,-1.185858,-1.805931,-1.189,-0.041934,1.084612,2.196689,3.129545,3.090236,3.219728,3.08102,1.946093,0.789604,-0.383708,-1.433776,-1.165654,-1.509581,-2.115664,-2.570885,-2.320052,-1.689397,-1.175456,-1.162899,-1.352184,-1.716541,-2.242518,-2.60659,-2.222179,-1.589471,-1.154373,1
-1.60263,-0.845706,0.207203,1.371353,2.542084,3.222911,3.149541,2.623385,1.413833,0.266328,-0.816202,-1.516092,-1.417125,-0.446924,0.655304,1.798688,2.767851,3.08395,3.124677,3.436189,3.110163,1.930381,0.778516,-0.385035,-1.315271,-1.141675,-1.516259,-2.092568,-2.680191,-2.402817,-1.870144,-1.302563,-1.092174,-1.228119,-1.606245,-2.163701,-2.655822,-2.399718,-1.775244,-1.210132,2
-1.640237,-0.895085,0.354562,1.545748,2.759363,3.191893,3.140775,2.517054,1.304311,0.125609,-0.991198,-1.77269,-1.525334,-0.597466,0.535038,1.741047,2.852549,3.171167,3.109057,3.412967,3.052184,1.892025,0.767423,-0.455107,-1.406163,-1.031788,-1.442327,-2.141951,-2.628061,-2.375278,-1.741344,-1.273082,-1.013367,-1.177155,-1.724222,-2.363686,-2.636019,-2.195804,-1.535224,-0.910184,2
-1.748031,-1.016247,0.205399,1.482281,2.709528,3.170788,3.146503,2.64547,1.453938,0.255064,-0.931024,-1.763273,-1.637046,-0.502867,0.625819,1.821723,2.871982,3.132384,3.135586,3.44592,2.895225,1.764867,0.658068,-0.483642,-1.47367,-0.908837,-1.295115,-2.042319,-2.641928,-2.397705,-1.719879,-1.091452,-0.924265,-1.232774,-1.73193,-2.33405,-2.699196,-2.252932,-1.647599,-0.944763,2
-1.762663,-0.944357,0.322002,1.485233,2.858564,3.190989,3.103774,2.960606,1.672821,0.525398,-0.760749,-1.73202,-1.658206,-0.646203,0.45947,1.575531,2.618403,3.103627,2.878691,3.090776,3.05539,1.955379,0.817472,-0.349757,-1.350643,-1.061297,-1.500429,-2.219762,-2.680517,-2.337743,-1.664641,-1.206764,-1.073823,-1.399095,-1.95346,-2.569097,-2.641887,-1.996722,-1.36346,-0.800831,2
-1.932506,-1.072045,0.2052,1.391819,2.834746,3.300791,3.147285,3.194413,2.119221,1.058637,-0.232439,-1.324516,-1.943295,-1.317799,-0.138196,1.067882,2.300334,3.026819,2.847701,3.153186,3.20519,2.026569,0.791481,-0.47072,-1.567723,-1.12698,-1.458547,-1.993212,-2.443679,-2.285889,-1.721786,-1.23859,-1.084786,-1.222023,-1.513673,-2.135495,-2.536921,-2.194505,-1.584282,-1.131667,2
-1.320495,-0.717523,0.303946,1.29801,2.312536,2.99253,3.044683,2.328319,1.489623,0.640186,-0.37322,-1.117513,-1.229533,-0.441314,0.670722,1.794698,2.9003,3.395818,3.087004,3.166374,3.167986,2.165158,1.037632,-0.046622,-1.048502,-1.575719,-1.802888,-2.131457,-2.289536,-2.226109,-2.078547,-1.808979,-1.61828,-1.680815,-1.967368,-2.249635,-2.431454,-2.209232,-1.831688,-1.599098,1
-1.470405,-0.781938,0.356623,1.40837,2.462212,3.011232,2.911038,2.480679,1.570764,0.546881,-0.611087,-1.46695,-1.465919,-0.57503,0.578232,1.729113,2.767347,3.467043,3.035248,3.089604,3.299317,2.284004,1.080586,-0.178421,-1.197726,-1.473612,-1.777267,-2.036693,-2.27482,-2.29368,-1.921269,-1.662044,-1.379409,-1.566196,-1.799534,-2.147309,-2.375596,-2.278937,-1.845317,-1.499137,1
