@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute target {1,2,3,4}

@data
1.180175,1.183931,1.09045,1.169423,1.112918,1.263556,1.168536,1.247638,1.195092,1.195947,1.150678,1.219861,1.177331,1.278873,1.233437,1.31699,1.292014,1.217274,1.22533,1.285672,1.250125,1.302232,1.119535,1.289266,1.174425,1.542632,5.018944,8.263,0.835161,-4.185974,-3.589938,-4.018562,-3.843537,-3.879124,-3.667172,-3.861066,-3.740845,-3.764933,-3.739769,-3.640328,-3.540181,-3.666187,-3.429232,-3.508361,-3.379979,-3.304681,-3.288264,-3.217793,-3.102798,-3.07638,-2.985057,-2.845097,-2.820134,-2.635853,-2.49942,-2.423409,-2.130169,-2.007559,-1.872656,-1.687829,-1.561749,-1.484109,-1.236486,-1.270267,-1.117575,-0.940823,-0.76939,-0.661799,-0.474301,-0.422515,-0.129958,-0.183555,-0.142976,-0.017228,0.131917,0.207607,0.298238,0.283494,0.439853,0.537488,0.733607,0.677167,0.634341,0.712376,0.778843,0.788846,0.845887,0.824216,0.92234,0.814844,0.914653,0.908955,1.064791,0.981309,1.017622,1.045154,1.05052,1.132511,1.13536,1.089253,1.120608,1.069746,1.1348,1.124715,1.142401,1.115904,1.201919,1.094778,1.127845,1.119428,1.1599,1.150705,1.252594,1.111657,1.160796,1.218684,1.192941,1.159297,1.09498,1.125882,1.099532,1.167518,1.10082,1.145809,1.141966,1.120072,1.137103,1.171469,1.201606,1.242008,1.165515,1.250608,1.196682,1.149192,1.200837,1.11934,1.120905,1.18282,1
1.42692,1.375481,1.474633,1.367837,1.462282,1.424684,1.381825,1.468303,1.513076,1.490478,1.441366,1.384244,1.472734,1.524462,1.411759,1.478334,1.410432,1.366531,1.495664,1.348259,1.476283,1.557029,1.405777,1.333133,1.406483,1.403972,1.430312,1.374298,1.459989,1.386288,1.315187,1.531356,1.428636,1.455434,1.505691,1.464783,1.417038,1.51917,1.3229,1.493795,1.496536,1.475498,1.540277,1.459661,1.460079,1.430431,1.466452,1.448987,1.428108,1.581244,1.493585,1.625661,1.483275,1.5513,-1.545619,-4.235889,-4.04384,-4.243534,-4.111812,-4.135414,-4.008523,-3.985826,-4.024659,-4.053476,-3.842424,-3.841921,-3.792761,-3.831527,-3.682112,-3.698978,-3.558164,-3.561951,-3.377907,-3.422533,-3.250399,-3.141634,-3.069772,-2.910132,-2.780357,-2.689773,-2.542253,-2.424921,-2.279416,-2.166624,-2.112384,-1.904636,-1.769091,-1.658887,-1.459108,-1.268996,-1.277495,-1.091314,-0.925984,-0.661306,-0.613443,-0.496982,-0.29991,-0.149733,-0.031337,0.020151,0.261655,0.183854,0.24688,0.43943,0.532029,0.55415,0.63745,0.783035,0.811944,0.875066,0.887003,0.923376,0.962225,1.055829,1.030994,1.066194,1.080475,1.141091,1.209971,1.194484,1.263602,1.169007,1.25564,1.250154,1.351895,1.379263,1.283133,1.393642,1.33085,1.354422,1.347763,1.280439,1.340344,1.349633,1.342376,1.298454,1.327463,1.411441,2
-4.117048,-4.105615,-4.003088,-4.080452,-4.092724,-4.027315,-4.067957,-4.110662,-4.113484,-4.051751,-3.985537,-4.127507,-4.053203,-4.057699,-4.045893,-4.073653,-4.002922,-4.025878,-4.034578,-3.99941,-3.887802,-3.849807,-3.665083,-3.556608,-3.267239,-2.926877,-2.541224,-2.265072,-1.969561,-1.408775,-0.93627,-0.448809,-0.199208,0.028516,0.296885,0.513751,0.587228,0.7457,0.800154,0.926091,0.934704,1.005986,1.114665,1.05295,1.089192,1.082957,1.029158,1.088468,1.103667,1.165312,1.096701,1.17152,1.078942,0.993542,1.064653,1.116755,1.146265,1.05023,1.10303,1.113192,1.119172,1.162801,1.154277,1.120307,1.134806,1.192385,1.140222,1.108324,1.11776,1.138778,1.113209,1.121075,1.159114,1.121609,1.048887,1.100731,1.152314,1.138368,1.086908,1.165656,1.091545,1.026266,1.130023,1.206606,1.098478,1.144531,1.13138,1.185348,1.146714,1.166518,1.159788,1.10558,1.137261,1.062293,1.123307,1.069031,1.127507,1.094333,1.084986,1.169909,1.070449,1.128769,1.072798,1.119638,1.116911,1.084913,1.112939,1.164258,1.019094,1.114138,1.094976,1.056071,1.140495,1.148647,1.082786,1.075383,1.029367,1.064718,1.045371,1.06087,1.034257,1.201608,1.102994,1.114692,1.160247,1.087404,1.088145,1.13495,1.125832,1.057316,1.037677,1.048029,1.097712,1.043904,1.042264,1.199571,1.04466,1.116537,4
-3.417923,-3.512782,-3.503309,-3.374116,-3.515726,-3.542198,-3.423993,-3.448538,-3.536803,-3.477793,-3.497277,-3.535535,-3.509318,-3.502347,-3.425922,-3.477116,-3.497663,-3.449441,-3.499738,-3.554251,-3.41965,-3.450815,-3.4667,-3.499989,-3.423073,-3.388715,-3.391853,-3.310415,-3.279441,-3.171692,-3.066817,-2.832495,-2.624664,-2.296431,-1.9375,-1.531241,-1.026326,-0.607288,-0.235917,0.152029,0.519234,0.719573,0.888832,0.989446,1.132155,1.117927,1.21871,1.142131,1.207256,1.18507,1.282607,1.274463,1.234606,1.288239,1.246907,1.270735,1.302007,1.223422,1.313906,1.253914,1.294423,1.296508,1.294047,1.297989,1.23884,1.28463,1.18163,1.201895,1.2488,1.232157,1.242021,1.236868,1.232389,1.23412,1.269444,1.23584,1.218085,1.263931,1.145127,1.273464,1.27644,1.271677,1.286079,1.234148,1.273368,1.46418,1.894525,2.268322,1.992466,1.417085,1.038988,0.546162,0.166621,0.473448,0.992584,1.22762,1.212931,1.217433,1.222685,1.255064,1.315135,1.161077,1.269945,1.203617,1.21396,1.195023,1.245208,1.239294,1.228904,1.205837,1.203615,1.223708,1.243914,1.227106,1.288304,1.219551,1.263455,1.253763,1.184954,1.182015,1.225007,1.27286,1.30971,1.280169,1.259441,1.268152,1.19681,1.149789,1.281968,1.280925,1.247621,1.244054,1.249693,1.275632,1.242245,1.246303,1.233941,1.212907,3
1.109339,1.080691,1.104943,1.122746,1.094523,1.08775,0.975776,1.192819,1.052596,1.173787,1.086715,1.134494,1.162916,1.159898,1.166923,1.081905,1.217479,1.008217,1.038564,1.08683,1.176011,1.087862,1.211402,1.109108,1.263105,1.103941,1.288217,1.046372,1.313291,1.102086,1.636231,4.833425,8.650694,3.071942,-4.516166,-3.583161,-4.201813,-3.670355,-4.106633,-3.771553,-3.976296,-3.73562,-3.841067,-3.565586,-3.758749,-3.545281,-3.666019,-3.391074,-3.432585,-3.301384,-3.242129,-3.150014,-3.121743,-2.990621,-2.898315,-2.748299,-2.816487,-2.54359,-2.483085,-2.198324,-2.177845,-2.035709,-1.940079,-1.765471,-1.70006,-1.548652,-1.454613,-1.228044,-1.184311,-0.963649,-0.96281,-0.690854,-0.609722,-0.431525,-0.411974,-0.185501,-0.090934,0.047812,0.20686,0.137729,0.174862,0.39904,0.382461,0.494818,0.543757,0.569789,0.606596,0.669719,0.742191,0.764919,0.773766,0.811697,0.801098,0.822876,0.896239,0.951207,0.91803,1.004182,1.023485,1.003148,0.922359,0.950231,1.025324,1.095763,1.015555,1.100429,1.115605,1.087815,1.086818,1.133011,1.029314,1.006871,1.047205,1.109294,1.035756,1.176559,1.069137,1.067983,1.056437,1.128483,1.062094,1.036847,1.116767,1.212878,1.028124,1.112405,0.986995,1.108331,1.073445,1.069403,1.012137,1.131004,1.109647,1.214198,1.160614,1.072193,1.057253,1.034533,1
-2.541967,-2.522915,-2.511092,-2.444286,-2.514173,-2.505025,-2.479868,-2.495966,-2.495606,-2.512917,-2.516867,-2.512587,-2.511832,-2.560603,-2.538382,-2.591873,-2.53117,-2.502332,-2.480539,-2.454971,-2.496385,-2.562847,-2.535212,-2.549836,-2.469328,-2.570966,-2.475118,-2.54161,-2.483967,-2.471042,-2.479598,-2.514688,-2.498495,-2.530994,-2.463215,-2.466032,-2.535181,-2.574938,-2.476613,-2.461706,-2.446277,-2.48198,-2.515287,-2.454637,-2.427714,-2.476629,-2.417285,-2.385603,-2.253818,-2.162117,-2.076751,-1.812106,-1.556577,-1.32284,-1.02697,-0.563009,-0.111749,0.154058,0.550114,0.886389,1.167581,1.278205,1.323598,1.469799,1.522044,1.627177,1.666713,1.738703,1.687357,1.727517,1.709648,1.711781,1.66649,1.813815,1.638336,1.713525,1.698482,1.757841,1.730305,1.726422,1.703923,1.691326,1.769234,1.685336,1.707071,1.761445,1.684681,1.67505,1.702312,1.687,1.827083,1.671702,1.721316,1.720201,1.688596,1.749253,1.693084,1.705286,1.779873,1.694642,1.692945,1.684752,1.735012,1.732014,1.710614,1.74865,1.643812,1.667724,1.709039,1.697943,1.767476,1.734204,1.715071,1.762555,1.667472,1.636234,1.697062,1.751774,1.655807,1.710048,1.68283,1.69269,1.631089,1.697012,1.658793,1.736531,1.700545,1.691748,1.688084,1.662204,1.697072,1.656427,1.708707,1.72883,1.75838,1.683586,1.678651,1.716391,4
-2.697222,-2.714596,-2.742893,-2.721155,-2.74538,-2.670768,-2.686191,-2.674756,-2.712832,-2.718679,-2.729759,-2.66327,-2.699427,-2.694922,-2.720982,-2.608613,-2.727281,-2.696497,-2.770979,-2.754117,-2.785393,-2.696932,-2.800091,-2.689995,-2.70755,-2.704769,-2.781503,-2.725867,-2.719308,-2.823976,-2.704395,-2.690203,-2.730953,-2.707191,-2.720547,-2.722127,-2.696968,-2.696248,-2.683217,-2.697407,-2.643829,-2.545348,-2.568245,-2.545625,-2.426008,-2.28084,-2.059789,-1.897732,-1.519902,-0.930443,-0.481039,-0.070766,0.196593,0.599028,0.874096,1.209636,1.224439,1.404511,1.393683,1.444899,1.508572,1.491057,1.570427,1.521393,1.506453,1.567265,1.509344,1.667822,1.595084,1.565279,1.566251,1.573129,1.619171,1.576525,1.57886,1.629471,1.572529,1.575712,1.58424,1.492752,1.555497,1.568155,1.554987,1.531952,1.564736,1.560035,1.560101,1.547347,1.592749,1.583531,1.563645,1.567747,1.591218,1.580278,1.609344,1.610222,1.59468,1.56474,1.550364,1.572087,1.542181,1.532645,1.568993,1.515521,1.580845,1.636061,1.600657,1.542901,1.540762,1.606991,1.557478,1.576743,1.545309,1.561734,1.519881,1.557776,1.613837,1.531568,1.498702,1.611146,1.569307,1.578468,1.563854,1.562092,1.585076,1.599756,1.548529,1.653222,1.590051,1.564115,1.552154,1.642423,1.500263,1.572335,1.569911,1.577968,1.554392,1.537241,4
1.239472,1.196384,1.24087,1.137833,1.210378,1.161031,1.121012,1.158837,1.22381,1.244231,1.210017,1.155715,1.222804,1.157975,1.326233,1.192504,1.303535,1.15951,1.240773,1.2112,1.341568,1.16543,1.352286,1.098685,3.025362,7.044765,7.592781,0.739841,-3.982186,-3.543724,-3.932795,-3.601092,-3.780096,-3.555788,-3.733349,-3.519315,-3.674344,-3.481898,-3.490624,-3.417868,-3.499586,-3.287045,-3.343774,-3.269318,-3.236822,-3.077414,-3.139649,-2.919813,-2.996934,-2.829056,-2.712699,-2.553283,-2.663205,-2.426121,-2.327597,-2.251368,-2.209398,-1.984949,-1.955389,-1.764984,-1.639552,-1.450916,-1.37752,-1.313697,-1.17868,-0.93737,-0.898521,-0.64674,-0.635177,-0.472761,-0.334251,-0.270297,-0.254871,-0.099888,0.025612,0.047222,0.125007,0.287415,0.311874,0.414808,0.429409,0.523415,0.615949,0.605669,0.731648,0.813429,0.625601,0.807136,0.882651,0.907163,0.833499,0.959514,1.015791,0.987608,0.902018,1.110218,1.026141,1.032604,1.09636,1.014439,0.991671,1.103785,1.133581,1.09388,1.119393,1.073893,1.18409,1.135318,1.125916,1.147655,1.139943,1.132325,1.131849,1.092537,1.01873,1.157395,1.235473,1.1827,1.185648,1.203327,1.203426,1.170895,1.160043,1.15037,1.237534,1.149885,1.190928,1.183123,1.20675,1.219823,1.155635,1.190778,1.173034,1.165675,1.178654,1.307704,1.212826,1.218489,1
1.234398,1.335045,1.316751,1.228912,1.251511,1.189917,1.234807,1.294943,1.289843,1.19436,1.29206,1.131278,1.26055,1.304071,1.194447,1.290971,1.257992,1.270606,1.254163,1.211557,1.216424,1.215754,1.168328,1.213012,1.265885,1.200363,1.205301,1.173471,1.186853,1.275136,1.228313,1.240763,1.194237,1.270475,1.255967,1.28078,1.230374,1.167263,1.238389,1.326913,1.263434,1.210838,1.269903,1.356782,1.202687,1.233114,1.321633,1.272137,1.33559,1.306984,1.352612,1.267364,1.331243,1.243264,1.437588,1.197064,2.450031,5.862292,7.245225,6.100446,1.078378,-3.408313,-3.409772,-3.4401,-3.513562,-3.521947,-3.384335,-3.390048,-3.436431,-3.37267,-3.357861,-3.292579,-3.268908,-3.293128,-3.159398,-3.112025,-3.071328,-3.093872,-2.960837,-2.992451,-2.961239,-2.811035,-2.754848,-2.683841,-2.688313,-2.687587,-2.55653,-2.465336,-2.339317,-2.265597,-2.143625,-2.062884,-2.014493,-1.799835,-1.776694,-1.539266,-1.457538,-1.431814,-1.319537,-1.262125,-1.074875,-0.988843,-0.873727,-0.856105,-0.745619,-0.541709,-0.419189,-0.380826,-0.31117,-0.228743,-0.181948,-0.083277,0.114029,0.11424,0.272015,0.328754,0.367913,0.462622,0.622289,0.610918,0.541759,0.732402,0.696697,0.816844,0.850517,0.880764,0.923484,0.946751,0.998698,0.931725,0.948836,0.902194,0.938973,0.972482,1.037324,1.095508,1.043056,1.105464,1
-2.683585,-2.686754,-2.713632,-2.637987,-2.689452,-2.68675,-2.711556,-2.662291,-2.651467,-2.698342,-2.711076,-2.689077,-2.671559,-2.722096,-2.72279,-2.683534,-2.726262,-2.716488,-2.697669,-2.63727,-2.689039,-2.680097,-2.691643,-2.724119,-2.66401,-2.597981,-2.612762,-2.745156,-2.67716,-2.638072,-2.653117,-2.673759,-2.705877,-2.644943,-2.764887,-2.745932,-2.687195,-2.64016,-2.706143,-2.62057,-2.634048,-2.692383,-2.557897,-2.465915,-2.463418,-2.300707,-2.106812,-1.921849,-1.659819,-1.387114,-0.961564,-0.522594,-0.058191,0.288732,0.673117,0.946917,1.098372,1.277026,1.370444,1.472562,1.530863,1.525752,1.50801,1.611097,1.591562,1.649726,1.584616,1.660493,1.538677,1.595671,1.622783,1.572933,1.62213,1.571897,1.586875,1.549921,1.570781,1.587221,1.563009,1.504431,1.604232,1.537835,1.608104,1.5959,1.54009,1.576501,1.623346,1.580156,1.577086,1.603827,1.642348,1.582837,1.598311,1.567894,1.588878,1.60365,1.590145,1.577531,1.587982,1.547096,1.676115,1.647573,1.62801,1.577694,1.586636,1.59775,1.623617,1.548529,1.520384,1.578762,1.58465,1.557105,1.663928,1.55475,1.587771,1.640512,1.618472,1.61014,1.564177,1.614465,1.575921,1.611734,1.5143,1.629237,1.546565,1.629435,1.57688,1.635957,1.600116,1.598206,1.605832,1.591702,1.603496,1.609134,1.593899,1.588647,1.589291,1.60381,4
