@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute target {1,2}

@data
-3.253976,-3.432562,-3.352231,-3.486903,-3.223221,-1.787094,1.301357,3.028612,3.281998,3.402544,3.53657,3.430649,3.509332,3.321882,3.6022,3.169884,3.984122,0.282561,-3.828211,-3.007771,-3.615348,-3.15476,-1.618904,0.327187,0.389422,0.662357,0.442612,0.626746,0.471161,0.623163,0.482612,0.613239,0.503349,0.623665,0.506243,0.608587,0.511756,0.603399,0.516395,0.599528,0.516403,0.588643,0.518432,0.581194,0.520678,0.578356,0.5236,0.575365,0.527113,0.577351,0.527242,0.572349,0.537465,0.592254,0.557466,0.579017,0.554485,0.562596,0.539368,0.560146,0.541429,0.567045,0.542478,0.577234,0.438759,-2.012782,-2.34546,-2.262664,-2.309271,-2.277593,-2.300824,-2.283349,-2.296394,-2.287058,-2.293096,-2.290128,2
2.169415,2.155996,2.117794,2.144272,2.127265,2.203706,2.122643,2.23736,1.905402,-0.597167,0.282766,0.576627,0.649762,0.819048,0.678705,1.475749,2.285191,2.079682,2.190431,2.101333,2.131868,2.119264,2.126184,2.101984,-0.945257,-2.043229,-1.759921,-2.009179,-1.883588,-2.05777,-1.954507,-2.096845,-2.016055,-2.125778,-2.024546,-2.159089,-2.064011,-2.15938,-2.06432,-2.1598,-2.062596,-2.165309,-2.079264,-2.174432,-2.108442,-2.196105,-2.100856,-2.163369,-2.060637,-2.15048,-1.953871,-2.004424,-1.843007,-2.001563,-1.825221,-2.041807,-1.837858,-2.101519,-1.707398,-2.322752,-0.005182,2.472731,1.980348,2.253799,2.043146,2.196773,2.078905,2.171785,2.097557,2.157158,2.109497,2.14707,2.118289,2.139181,2.125567,2.132283,2
0.729245,0.731773,0.768284,0.674521,0.788532,0.651054,0.856211,0.591488,0.892296,0.498374,1.118763,0.295079,-0.926645,-0.832794,-0.804226,-0.850355,-0.74857,-0.274974,1.161379,0.301647,1.196016,0.17096,1.409954,-0.168756,1.971057,-1.616521,11.290496,5.859986,-2.819466,0.716881,-1.611249,0.05163,-1.292839,-0.160987,-1.146309,-0.306228,-1.04874,-0.382166,-1.006957,-0.454591,-0.919986,-0.460936,-0.891037,-0.491687,-0.840509,-0.502273,-0.843536,-0.498756,-0.831355,-0.511047,-0.805051,-0.529161,-0.789832,-0.542639,-0.778676,-0.633404,-0.867412,-0.613592,-0.896164,-0.690128,-0.815298,-0.642237,-0.85949,-0.677778,-0.909525,-0.697482,-0.881676,-0.647975,-1.014267,0.034597,0.904546,0.741616,0.784483,0.764346,0.796296,0.783772,2
-2.194131,-2.174702,-2.219374,-2.14791,-2.249376,-2.112156,-2.311464,-2.007855,-2.554381,-0.351666,2.405347,1.190356,0.935599,0.403569,0.335736,0.003767,-1.894593,-2.269387,-2.146327,-2.210522,-2.189532,-2.172693,-2.244604,-2.088094,-2.437792,-0.770344,1.989783,1.713131,2.084831,1.879824,2.095059,1.901675,2.027001,1.867565,1.993259,1.854103,1.973135,1.852061,1.928939,1.842943,1.928669,1.825338,1.893412,1.811767,1.894312,1.82965,1.907499,1.84175,1.90854,1.860554,1.966433,2.052181,2.135205,2.039131,2.08896,2.029625,2.064077,1.998169,2.028615,1.985087,1.871359,-1.726831,-2.273883,-2.156961,-2.212093,-2.182606,-2.200121,-2.189298,-2.196075,-2.191849,-2.194435,-2.192904,-2.193768,-2.193311,-2.193531,-2.193445,2
-2.203273,-2.220497,-2.185091,-2.240791,-2.161054,-2.271323,-2.123583,-2.335169,-2.011448,-2.589013,-0.28501,2.129291,0.579125,0.407694,-0.146892,-0.094109,-0.46453,-1.928826,-2.312398,-2.132312,-2.267351,-2.159431,-2.244305,-2.185085,-2.21986,-2.195396,0.061524,1.895067,1.764367,2.035616,1.916089,2.094825,1.932913,2.058794,1.919797,2.027415,1.893387,2.001513,1.871637,1.977551,1.862804,1.970031,1.864031,1.962699,1.848922,1.9597,1.84697,1.967966,1.854696,1.990521,1.878751,2.010773,1.976753,2.200108,1.988779,2.13685,1.906157,2.109585,1.847141,2.154032,1.734372,2.407913,-0.109306,-2.592826,-2.009274,-2.334639,-2.117619,-2.274484,-2.156231,-2.247305,-2.176676,-2.231097,-2.190113,-2.2195,-2.200508,-2.209832,2
0.856144,0.878284,0.84704,0.847214,0.858485,0.83402,0.877875,0.801671,0.939833,0.647225,2.141546,-0.377168,-1.387865,-0.807272,-1.132501,-0.847116,-1.118644,0.994649,0.636461,1.098207,0.561687,1.195437,0.415884,1.434897,-0.235018,3.342727,12.197953,-1.663955,-0.32838,-1.208599,-0.602928,-1.197463,-0.724628,-1.163041,-0.820061,-1.176628,-0.823265,-1.064558,-0.80428,-1.06247,-0.859859,-1.052281,-0.873375,-1.019218,-0.860696,-1.011392,-0.887121,-0.967514,-0.831061,-0.959584,-0.83717,-0.951989,-0.867447,-1.040876,-0.88628,-1.051157,-0.893097,-1.086119,-0.953423,-1.093149,-0.947315,-1.147679,-0.891064,-1.277245,-0.079938,1.013552,0.772833,0.895684,0.820263,0.870485,0.835655,0.860217,0.842972,0.854691,0.847401,0.850899,2
2.121327,2.111715,2.157051,2.069738,2.169673,2.10846,2.230448,2.031997,2.362966,0.877087,0.109358,1.141386,0.912269,1.24076,1.038072,1.333056,2.001802,2.209323,2.033785,2.230515,2.048166,2.277027,1.969184,2.420481,0.880291,-1.786845,-1.816291,-2.00797,-1.946724,-2.003281,-1.943013,-1.990425,-1.985913,-2.035872,-2.037153,-2.049708,-2.073985,-2.083272,-2.079249,-2.116814,-2.116975,-2.116017,-2.121841,-2.134185,-2.113928,-2.118191,-2.1174,-2.115144,-2.123194,-2.131529,-2.129266,-2.073714,-1.928779,-1.886362,-1.874497,-1.878076,-1.89942,-1.886724,-1.867363,-1.842026,-1.932215,-1.657061,1.939896,2.151513,2.123031,2.166517,2.149664,2.159603,2.153076,2.157612,2.154361,2.156718,2.155023,2.156198,2.155456,2.155816,2
2.261607,2.29133,2.295927,2.286468,2.260952,2.310657,2.265474,2.38651,2.051763,0.110796,1.237906,1.398469,1.497227,1.543357,1.524305,1.960704,2.412669,2.237715,2.35918,2.257799,2.350317,2.260579,2.350616,2.220548,2.288909,-0.875278,-1.862277,-1.733614,-1.862331,-1.837784,-1.929078,-1.869406,-1.957883,-1.914175,-1.994872,-1.953565,-1.995978,-1.953415,-1.996349,-1.952766,-1.997234,-1.951729,-1.9982,-1.952319,-2.036038,-1.950921,-2.000018,-1.963391,-2.051474,-1.976982,-2.053548,-1.972661,-2.059165,-1.907954,-1.847435,-1.623381,-1.674641,-1.555187,-1.68885,-1.538162,-1.697049,-1.453938,-1.736271,-1.354367,-1.978795,0.345468,2.623991,2.084194,2.41835,2.186753,2.324027,2.22299,2.296376,2.245043,2.277692,2.261806,2
-2.493687,-2.518019,-2.467992,-2.546716,-2.433987,-2.589756,-2.375061,-2.679186,-2.216564,-3.055644,0.414115,4.021651,3.041727,3.652723,3.183291,3.610729,2.977971,-2.038996,-2.681935,-2.363794,-2.619372,-2.385039,-2.618473,-2.361179,-2.709049,-1.617831,0.895869,1.102147,1.101183,1.14857,1.152862,1.195386,1.191409,1.226606,1.225479,1.241953,1.238451,1.257273,1.256538,1.274161,1.282526,1.288083,1.301834,1.297442,1.320013,1.3031,1.319434,1.309308,1.34111,1.308885,1.347449,1.305825,1.339506,1.294058,1.317317,1.107499,1.055961,0.88776,0.882845,0.775665,0.883654,0.756517,0.905605,0.721436,0.96023,0.635758,1.175052,-0.850284,-2.812564,-2.341402,-2.598261,-2.433516,-2.544739,-2.470244,-2.516414,-2.494258,2
-3.05276,-2.827325,0.652354,3.33547,3.511222,3.811351,3.917956,3.879341,3.935218,3.814011,4.118169,2.763237,-3.067858,-3.021792,-3.349706,-1.297347,0.402697,0.609105,0.821806,0.913044,0.871832,0.924569,0.878547,0.914855,0.875945,0.915334,0.879953,0.91208,0.87459,0.915398,0.876246,0.911278,0.871162,0.909526,0.870961,0.918599,0.874744,0.924876,0.876172,0.928607,0.877562,0.92645,0.873678,0.937554,0.867659,0.940667,0.861284,0.950072,0.836942,0.983649,0.793919,1.093326,-1.234281,-2.25036,-1.957043,-2.12703,-2.009561,-2.097586,-2.026672,-2.084523,-2.036093,-2.077345,-2.041596,-2.072853,-2.045325,-2.069903,-2.047813,-2.067755,-2.049444,-2.066491,-2.050374,-2.066677,-2.050733,-2.068613,-2.044979,-2.093181,1
