@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
-0.745662,-0.42592,0.122604,0.712123,1.01929,1.263163,1.37877,1.13146,0.894797,0.632565,0.274763,-0.501538,-0.504976,-0.68614,-0.152371,0.440921,1.161724,1.440471,1.239773,1.318577,1.249749,1.426303,1.213449,0.38383,-0.314505,-0.251797,-0.398339,-0.783807,-1.47334,-1.788638,-1.275827,-0.618319,-0.163018,-0.234695,-0.735099,-1.249503,-1.565968,-1.578115,-1.149071,-0.707686,2
-0.793737,-0.482605,0.158171,0.787293,1.164524,1.394262,1.419997,1.2234,0.523869,0.195135,-0.0536,-0.773889,-0.782751,-0.626457,0.032529,0.693335,1.19026,1.43244,1.392076,1.563424,1.689127,1.218544,0.603079,0.304754,-0.451225,-0.243642,-0.537961,-0.911064,-1.47427,-1.551749,-1.202105,-0.552103,0.020146,-0.003465,-0.492317,-1.010485,-1.516078,-1.605405,-1.251634,-0.689824,2
-0.789895,-0.674705,-0.1984,0.262185,0.901539,1.307052,1.414148,1.096084,0.739135,0.036438,-0.511362,-0.727608,-0.756757,-0.319573,0.277611,0.908401,1.607403,1.563063,1.431509,1.477315,1.693679,1.559427,0.763592,0.04547,-0.607901,-0.359808,-0.730716,-1.121331,-1.517683,-1.390938,-0.921449,-0.370306,0.016438,-0.007902,-0.483972,-0.952124,-1.311044,-1.51092,-1.178633,-0.657461,2
-0.956286,-0.607952,0.002969,0.538832,1.011174,1.271003,1.329519,1.146377,0.894593,0.428216,-0.136455,-0.669281,-0.950885,-0.639348,0.004713,0.679494,1.333401,1.484696,1.256994,1.49353,1.537754,1.463147,0.822631,0.078588,-0.489909,0.085621,-0.276385,-0.866151,-1.374951,-1.71695,-1.208971,-0.629108,-0.127622,-0.007947,-0.685935,-1.284928,-1.689751,-1.43296,-0.866882,-0.244596,2
-0.872766,-0.548754,-0.313512,0.390733,0.99551,1.276901,1.467587,1.337106,0.910325,0.514272,-0.143369,-0.789345,-0.846989,-0.377416,0.255301,0.881759,0.851315,1.48756,1.414097,1.443573,1.508785,1.509696,0.803629,0.04726,-0.626599,-0.000028,-0.270265,-0.816716,-1.425249,-1.706218,-1.181813,-0.686348,-0.124022,-0.07241,-0.583238,-1.115804,-1.52466,-1.541276,-1.045413,-0.483201,2
-0.893923,-0.552023,-0.236382,0.290911,0.720375,0.966642,1.473023,1.478084,1.186029,0.685282,0.117788,-0.468087,-0.957232,-0.863271,-0.230557,0.478882,1.207467,1.516136,1.306967,1.473978,1.662188,1.536858,0.785642,-0.030459,-0.697453,0.05381,-0.159227,-0.771887,-1.375476,-1.635337,-1.251101,-0.599576,-0.023775,-0.23199,-0.797192,-1.303286,-1.554567,-1.299228,-0.778142,-0.229889,3
-0.809796,-0.534338,0.034307,0.627548,1.06076,1.32126,1.40973,1.239473,1.007387,0.663554,0.168058,-0.390267,-0.749194,-0.569708,-0.054436,0.562218,1.219651,1.403184,1.389727,1.499428,1.428643,1.408139,0.849086,0.14028,-0.458598,-0.159454,-0.305798,-0.604078,-1.112349,-1.570806,-1.507786,-1.124396,-0.589302,-0.329302,-0.716779,-1.157766,-1.632008,-1.403809,-1.058385,-0.594076,3
-0.970372,-0.677569,-0.137446,0.503526,1.006437,1.321957,1.361783,1.311977,1.009622,0.603804,0.036116,-0.632468,-0.970799,-0.690971,-0.113113,0.554521,1.204237,1.47936,1.440865,1.449039,1.524842,1.51258,0.78939,-0.008082,-0.63261,-0.033366,-0.175181,-0.786259,-1.354375,-1.639787,-1.281376,-0.689973,-0.169715,-0.084265,-0.571968,-1.168742,-1.540721,-1.483834,-0.947607,-0.349455,3
-0.956683,-0.72015,-0.136517,0.531388,0.963939,1.349578,1.47365,1.269092,0.954346,0.481322,0.059963,-0.602515,-1.10621,-0.791421,-0.121875,0.58297,1.210569,1.56478,1.613374,1.42493,1.513325,1.544038,0.825309,0.028661,-0.669158,-0.139588,-0.437295,-0.850912,-0.990552,-1.415991,-1.326166,-0.814982,-0.304345,-0.157216,-0.575967,-1.088034,-1.400046,-1.299155,-1.023705,-0.462749,3
-1.075651,-0.676407,-0.046625,0.374496,0.877683,1.307735,1.555445,1.354464,1.027319,0.593254,0.121176,-0.169207,-0.805936,-0.953846,-0.417694,0.298686,0.997978,1.525673,1.542717,1.537021,1.646487,1.377504,0.769857,-0.004944,-0.668511,-0.046754,-0.071693,-0.700612,-1.281595,-1.662933,-1.215018,-0.643485,-0.111303,-0.084724,-0.613756,-1.212731,-1.554318,-1.40422,-1.025729,-0.459806,3
