@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute target {1,2}

@data
-0.523205,-0.611083,-0.69924,-1.191824,-0.984574,-1.440323,-1.181447,-0.84285,-0.510954,-0.226205,0.140609,0.536948,0.702327,0.690928,0.955714,0.572353,0.484023,0.31298,0.47633,0.083914,0.062997,-0.026756,0.04432,0.245521,0.489638,0.64946,1.030599,1.626608,2.023937,2.501063,2.593577,2.36479,2.094197,1.670575,1.097949,0.361603,0.379193,-0.065005,-0.038564,-0.101388,-0.383013,-0.442702,-0.605422,-0.617968,-0.688069,-0.558801,-0.559285,-0.644985,-0.631212,-0.714796,-0.708759,-0.646999,-0.62582,-0.709592,-0.711902,-0.767464,-0.582694,-0.69883,-0.610988,-0.546433,-0.564037,-0.566452,-0.701155,-0.57784,-0.442211,-0.430816,-0.46919,-0.510386,-0.393916,-0.420026,-0.381452,-1.037831,-1.217242,-1.184118,-1.287651,-1.192047,-0.57057,-0.615677,-0.279306,0.04309,0.210907,0.374387,1.727845,0.722353,0.246919,0.323205,0.240901,0.224344,0.075202,0.082484,0.167086,0.167908,0.445076,0.778435,1.07021,1.567751,2.054134,2.462162,2.720414,2.582238,2.279159,1.802535,1.454834,1.145947,0.578168,0.138392,-0.147296,-0.406717,-0.776037,-0.543503,-0.772014,-0.894471,-0.998204,-1.34633,-1.153424,-1.047698,-1.496699,-1.349998,-1.004575,-0.97831,-0.900919,-0.941717,-0.872697,-0.817584,-0.863262,-0.889409,-0.922285,-0.905229,-0.941306,-0.818118,-0.59164,-0.574107,-0.705372,-0.653138,-0.791053,-0.718976,-0.352754,-0.466094,-0.584165,-0.428397,-0.516101,-1.385271,-1.19909,-1.068354,-0.882273,-0.627098,-0.324913,-0.121806,0.173785,0.333432,0.523977,0.444769,0.258558,0.291629,0.125728,0.330395,0.043493,0.039272,-0.038722,-0.099792,0.035033,0.125774,0.604679,0.940569,1.372788,1.935832,2.377724,2.492698,2.096739,1.710175,1.105994,0.416713,1
0.795766,0.451435,0.026672,-0.218808,-0.450036,-0.677147,-0.846628,-0.748148,-0.747348,-0.668676,-0.665924,-0.679368,-0.742072,-0.690971,-0.479494,-0.449835,-0.509765,-0.615408,-0.551756,-0.597843,-0.673953,-0.728752,-0.703191,-0.698976,-0.629416,-0.688799,-0.661758,-0.593902,-0.594308,-0.531434,-0.526847,-0.46341,-0.395523,-0.369697,-0.257948,-0.263734,-0.328372,-0.484548,-0.875491,-0.795762,-0.858474,-0.621423,-0.301695,-0.019262,0.233455,0.341398,0.448462,0.37008,0.238706,0.179383,0.217822,0.185402,0.146255,-0.110659,0.35392,0.425363,0.544551,0.696509,0.920714,1.448805,1.982421,2.626673,2.924545,3.602434,3.540878,2.78849,2.422457,2.045195,1.690894,1.169849,0.827503,0.351496,0.086651,-0.147448,-0.266582,-0.424046,-0.437194,-0.401537,-0.505881,-0.623626,-0.48697,-0.360736,-0.458,-0.478469,-0.5343,-0.538196,-0.509141,-0.540069,-0.486481,-0.484195,-0.502332,-0.421584,-0.506119,-0.492227,-0.449576,-0.596476,-0.68882,-0.661933,-0.610298,-0.413641,-0.270339,-0.15786,-0.240529,-0.119948,-0.142273,-0.251633,-0.477619,-0.587712,-0.719018,-0.549782,-0.089206,0.350629,0.547834,0.868067,1.00023,1.004926,0.99288,0.640105,0.505857,0.407866,0.339459,0.451306,0.668241,0.381673,0.288227,0.378676,0.394218,0.693758,1.140445,1.555207,2.118923,2.739779,3.081644,2.920641,2.371941,1.954309,1.54484,1.059245,0.56883,0.015534,-0.412127,-0.748335,-0.888953,-0.883674,-0.930269,-0.910023,-0.899508,-0.895664,-0.842421,-0.857839,-0.823244,-0.833185,-0.864082,-0.826682,-0.846663,-0.858796,-0.829325,-0.846626,-0.864639,-0.862237,-0.842278,-0.847266,-0.892057,-0.893781,-0.877252,-0.775765,-0.631187,-0.598292,-0.482735,-0.453018,-0.484219,-0.418977,1
0.033075,-0.048421,-0.13076,-0.090851,-0.087653,-0.132453,-0.050026,-0.048659,-0.128973,-0.171795,-0.290434,-0.214915,-0.377274,-0.254925,-0.327956,-0.446406,-0.538453,-0.34942,-0.366326,-0.347086,-0.253172,-0.088076,-0.176505,-0.006231,-0.07844,0.232337,0.274501,0.182305,0.197479,0.160573,0.189028,0.047493,0.178966,0.325607,0.596136,0.522578,0.466419,0.203618,0.176342,0.119453,0.209546,0.174669,0.045616,-0.418515,-0.822726,-0.494755,-0.511318,-0.970265,-0.906173,-0.763012,-0.678775,-0.819868,-0.748842,-0.74114,-0.838096,-0.980068,-1.086045,-1.17939,-1.188204,-1.186819,-1.261903,-1.266887,-1.337439,-1.372006,-1.435807,-1.369562,-1.362709,-1.387717,-1.328926,-1.362407,-1.462962,-1.399727,-1.444212,-1.461804,-1.45858,-1.380164,-1.355758,-1.371631,-1.309398,-1.33098,-1.343995,-1.398162,-1.386067,-1.194596,-1.172077,-1.103924,-1.007976,-0.851262,-0.890014,-0.858824,-0.721711,-0.656051,-0.659415,-0.577297,-0.542715,-0.531741,-0.397943,-0.266068,-0.173321,-0.140244,-0.013241,0.214363,0.312002,0.249032,0.336652,0.430819,0.609552,0.798992,0.913921,1.01221,1.023174,1.04876,1.062685,1.033729,1.092186,1.337353,1.450585,1.63443,1.663252,1.683999,1.729493,1.686641,1.344562,1.454699,1.662063,1.746374,1.879552,1.944371,1.77493,1.617536,1.482912,1.383916,1.514909,1.462731,1.415079,1.464823,1.219424,0.879111,0.570575,0.516554,0.968381,1.039337,1.013102,0.741074,0.93815,0.857502,1.145291,1.132944,1.125179,1.223914,1.335101,1.520026,1.852943,2.248864,2.121997,1.410021,-0.224623,0.261674,-0.395523,-0.679521,-0.82597,-0.708751,-0.910761,-0.902979,-0.783648,-0.660076,-0.660976,-0.536649,-0.416807,-0.498496,-0.53967,-0.498298,2
-1.74305,-1.701581,-1.740025,-1.740034,-1.662428,-1.779055,-1.739789,-1.776917,-1.778194,-1.701196,-1.663926,-1.775757,-1.665411,-1.664624,-1.509028,-1.594546,-1.358274,-1.201421,-1.239466,-1.201746,-1.319307,-1.245348,-1.169433,-1.154975,-1.175325,-0.928734,-1.012431,-0.95523,-0.769104,-0.815917,-0.787718,-0.634681,-0.554619,-0.478933,-0.350188,-0.465547,-0.3845,-0.300014,-0.424983,-0.207759,-0.187049,-0.091652,0.067794,0.055729,0.213271,0.358254,0.353638,0.463532,0.513556,0.54627,0.764985,0.949169,0.923286,1.057744,1.141958,1.149613,1.152953,1.08525,1.049955,1.088893,1.011435,0.844184,0.816436,0.638533,0.410462,0.187581,0.025933,-0.129972,-0.111003,0.165199,0.698699,0.368628,0.386096,0.63954,0.295333,0.266541,0.317539,0.618091,0.845619,0.996383,1.081752,1.160346,1.16172,1.253865,1.310959,1.327829,1.320522,1.478492,1.493444,1.412746,1.40231,1.349135,1.360424,1.524142,1.463945,1.549821,1.417071,1.387237,1.25064,1.243963,1.312368,1.1346,1.065082,1.097667,0.619776,0.597018,0.544886,0.100606,-0.552973,-1.092979,-0.522142,-0.617778,-0.753698,-0.759791,-0.669056,-0.617018,-0.559522,-0.596563,-0.630616,-0.707407,-0.724282,-0.78436,-0.82513,-0.978695,-1.110334,-1.152081,-1.140518,-1.186271,-1.151868,-1.008174,-1.079371,-1.104133,-1.079054,-1.011364,-0.920467,-0.750751,-0.698626,-0.631481,-0.572562,-0.627194,-0.483009,-0.429932,-0.426721,-0.084244,0.071799,0.11582,0.07201,0.151112,0.320256,0.290122,0.259202,0.278385,0.498684,0.650184,0.810947,0.84018,0.887068,1.233932,1.189409,1.300583,1.223003,1.264749,1.221351,1.183202,0.99106,0.917628,0.683051,0.607867,0.727621,0.801425,0.724717,0.725235,2
-0.730599,-0.914835,-1.043758,-1.119682,-1.120018,-1.049047,-0.849192,-0.580144,-0.216227,1.081887,1.496764,1.914021,2.431832,2.752991,2.863419,2.470827,2.212878,2.08048,1.572112,1.059534,0.625128,0.269434,0.194658,-0.101284,-0.141475,-0.306928,-0.373819,-0.303735,-0.444062,-0.446888,-0.504101,-0.489966,-0.486507,-0.50721,-0.492609,-0.452406,-0.521393,-0.584899,-0.682178,-0.716231,-0.712108,-0.750461,-0.732882,-0.749041,-0.7443,-0.763606,-0.807507,-0.785008,-0.761434,-0.726771,-0.65203,-0.566094,-0.507831,-0.424241,-0.294463,-0.344177,-0.371835,-0.456914,-0.455109,-0.681154,-0.603615,-0.651168,-0.676879,-0.336616,0.029525,0.275468,0.61143,0.874103,0.44737,0.609723,0.45779,0.423404,0.635875,0.354134,0.167791,0.239425,0.098085,0.141877,-0.01053,0.185846,0.17032,0.53548,0.870902,1.430689,1.906708,2.391109,2.430088,1.813934,1.702805,1.364085,0.925552,0.821313,0.230016,-0.074827,-0.493319,-0.76452,-0.199883,-0.451835,-0.572487,-0.582183,-0.984885,-0.858312,-0.938304,-1.216583,-1.283787,-1.198302,-1.296038,-1.257106,-1.305094,-1.093064,-0.842516,-0.729988,-0.711133,-0.794986,-0.699311,-0.685209,-0.657126,-0.798018,-0.744506,-0.645085,-0.489528,-0.660339,-0.442391,-0.412565,-0.31867,-0.488184,-0.614321,-1.07463,-0.941697,-1.012147,-0.698403,-0.452418,-0.148176,0.140018,0.393241,0.69617,0.620657,0.631202,0.426424,0.45109,0.440035,0.441673,0.374894,0.325565,0.286825,0.315067,0.226394,0.308309,0.623942,1.103693,1.639468,2.095897,2.427389,2.658624,2.275458,1.768873,1.39179,0.846064,0.585213,0.026026,-0.379391,-0.481786,-0.755493,-0.859053,-0.858731,-0.841875,-0.896459,-0.858001,-0.878578,-0.859386,-0.804222,-0.840993,1
-0.949607,-0.927753,-0.86706,-0.869149,-0.847719,-0.787296,-0.769736,-0.76749,-0.767807,-0.826618,-0.828359,-0.767012,-0.770125,-0.747786,-0.730433,-0.632215,-0.596519,-0.529627,-0.533392,-0.411265,-0.444426,-0.483676,-0.712844,-0.914128,-1.083583,-0.98596,-0.662624,-0.264377,0.077253,0.387021,0.555354,0.618051,0.651177,0.587479,0.415457,0.356244,0.31262,0.124355,0.504777,-0.1807,0.560103,0.370048,0.064268,0.24456,0.674371,1.125183,1.855104,2.567247,3.548959,3.930622,3.598613,2.824373,2.603646,1.809332,1.472863,1.08784,0.963482,0.561703,0.374259,0.016286,0.032484,-0.251569,-0.269329,-0.378922,-0.400829,-0.404068,-0.436053,-0.525574,-0.461013,-0.580202,-0.471115,-0.484074,-0.614273,-0.770175,-0.668932,-0.522524,-0.73039,-0.549391,-0.51665,-0.666557,-0.774902,-1.014957,-0.749222,-0.678817,-0.565261,-0.573157,-0.37859,-0.199464,-0.154739,-0.061856,-0.02805,-0.107531,-0.282052,-0.563976,-0.703524,-0.689247,-0.474752,-0.034215,0.367014,0.709822,1.011909,1.237385,1.061576,0.942194,0.792165,0.674409,0.525632,0.459063,0.414571,0.53828,0.189305,0.274218,0.334604,0.333153,0.185499,0.402421,0.584045,1.260464,2.277543,2.861029,2.958955,2.425745,1.718729,1.386945,0.758788,0.213043,0.09086,-0.046685,-0.456538,-0.566339,-0.710768,-0.835016,-0.833045,-0.784496,-0.816699,-0.956776,-0.878894,-0.865166,-0.826432,-0.801012,-0.783867,-0.766447,-0.787084,-0.801275,-0.770206,-0.711379,-0.734407,-0.766557,-0.901188,-0.805359,-0.681419,-0.606625,-0.58593,-0.501449,-0.445439,-0.342263,-0.340953,-0.485617,-0.445826,-0.428833,-0.619141,-0.831428,-1.011977,-1.081841,-0.71962,-0.359951,0.03741,0.312108,0.530304,0.629629,0.847701,0.867531,1
0.984965,0.921361,0.889714,0.829135,0.798712,0.707544,0.707721,0.616099,0.552738,0.494517,0.307507,0.279838,0.06999,-0.061407,0.059478,0.035268,-0.060338,-0.086481,-0.296095,-0.448451,-0.574845,-0.577287,-0.636635,-0.648757,-0.660303,-0.757697,-0.742613,-0.799397,-0.769795,-0.701235,-0.727801,-0.709892,-0.547871,-0.43742,-0.375088,-0.114268,-0.067479,0.25481,0.357818,0.535987,0.546957,0.271955,0.284788,0.551243,0.961599,1.436373,1.503524,1.791513,1.705273,1.626044,1.67781,1.713673,1.708349,1.636477,1.708254,1.629798,1.398647,1.537149,1.96542,2.392695,2.866304,3.11461,3.13618,2.846502,2.36881,1.616698,0.621918,0.389954,0.081173,-0.209468,-0.484407,-0.500706,-0.587551,-0.458032,-0.663635,-0.665587,-0.723729,-0.80079,-0.842002,-0.686921,-0.541155,-0.61185,-0.686385,-0.68562,-0.696527,-0.810566,-0.805201,-0.842079,-0.892026,-0.846237,-0.870747,-0.935141,-0.888658,-0.949796,-1.017372,-0.984904,-1.092008,-1.12716,-1.339187,-1.347902,-1.363868,-1.414996,-1.337775,-1.464584,-1.353169,-1.14609,-1.217516,-1.269544,-1.230467,-1.195929,-1.090496,-0.75516,-0.675644,-0.741034,-0.703647,-0.627708,-0.614093,-0.984355,-1.270858,-0.970855,-0.659597,-0.220218,0.480412,0.860408,1.145523,1.176167,1.128561,0.912798,0.917633,0.940231,1.075022,0.995042,0.902495,0.753927,0.692968,0.693288,0.64712,0.473472,0.41312,-0.055523,-0.237741,0.040737,-0.454596,-0.159812,-0.947638,-0.816206,-0.566359,0.290786,0.196888,-0.406158,-1.595752,-0.222207,-0.115979,-0.022585,-0.105858,0.053801,-0.175862,0.172653,-0.063669,-0.159464,-0.265733,-0.336373,-0.419998,-0.424319,-0.455821,-0.487935,-0.517368,-0.579829,-0.731742,-0.73112,-0.273579,-0.424611,2
-0.532216,-0.239942,-0.064426,0.051883,0.283171,0.42993,0.375012,0.434275,0.402426,0.318505,0.43382,0.095937,-0.361808,-0.404872,-0.095778,0.111293,0.055839,0.077847,0.309465,0.561725,0.844774,1.170088,1.096617,1.215115,1.277384,1.324339,1.536725,1.486332,1.592787,1.928806,1.500605,1.487449,1.353739,0.911119,0.587579,0.48904,0.442632,0.355105,0.306964,0.190199,0.153616,0.163604,-0.02787,0.048193,-0.223577,-0.298085,-0.554547,-0.554535,-0.679198,-0.733222,-0.765932,-0.911693,-1.078971,-1.041387,-1.272194,-1.460838,-1.53167,-1.632344,-1.689062,-1.734004,-1.610538,-1.571004,-1.562135,-1.554894,-1.626944,-1.605456,-1.530298,-1.312131,-1.295314,-1.201512,-1.230807,-1.277707,-1.308489,-1.237596,-1.010094,-0.61926,-0.233815,-0.036459,0.279612,0.392893,0.62772,0.639423,0.847014,0.864364,0.910474,0.885069,0.791815,0.628626,0.658037,0.655117,0.605002,0.637368,0.803251,0.94425,0.981068,0.979831,1.077089,1.334246,1.547548,1.669266,1.740931,1.931732,2.020109,2.056999,1.941572,1.923197,1.822987,1.623863,1.207775,0.784091,0.681221,0.226016,0.192769,0.048714,-0.130286,-0.259466,-0.28379,-0.429481,-0.475559,-0.508073,-0.498884,-0.535988,-0.731947,-0.909113,-0.995999,-0.961167,-1.203176,-1.231133,-1.305165,-1.451005,-1.460133,-1.431033,-1.310409,-1.19613,-1.178993,-1.105009,-1.124152,-1.01355,-0.903626,-0.853917,-0.879124,-0.839979,-0.793767,-0.739057,-0.763566,-0.641607,-0.736773,-0.806362,-0.734719,-0.881184,-0.937981,-0.896665,-0.602914,-0.332327,0.100706,0.360411,0.574349,0.555877,0.762859,0.935919,1.018872,0.834366,0.720888,0.759318,0.866211,0.694779,0.663796,0.550435,0.755395,0.663771,0.315211,0.287679,2
-0.104751,0.015788,0.278892,0.56223,1.007933,1.57325,1.923209,2.250479,2.535157,2.408547,2.38387,2.117732,1.724118,1.273123,0.810402,0.36019,0.10213,-0.023637,-0.174272,-0.412842,-0.482747,-0.462165,-0.421826,-0.28618,-0.622018,-0.740845,-0.73537,-0.712505,-0.717238,-0.780976,-0.854523,-0.920248,-0.588699,-0.92137,-0.784093,-0.67344,-0.595123,-0.857086,-0.919219,-0.907951,-1.042228,-0.926692,-0.98368,-1.032329,-0.947971,-0.85098,-0.888446,-0.891777,-0.75196,-0.693272,-0.632041,-0.492926,-0.420612,-0.469894,-0.455843,-0.525249,-0.799799,-0.929833,-0.858287,-0.859516,-0.557991,-0.096307,0.237824,0.485933,0.549891,0.709019,0.669792,0.309236,0.279255,0.298336,0.164222,0.148417,0.158673,0.301769,0.241213,0.506436,0.831598,1.115239,1.54421,1.973107,2.60127,3.03203,2.656295,2.523784,2.171156,1.893249,1.53366,1.003943,0.381329,0.371712,0.147118,-0.092149,-0.258805,-0.274892,-0.409253,-0.429095,-0.630735,-0.673984,-0.80974,-0.737789,-0.598357,-0.745613,-0.649548,-0.638886,-0.682862,-0.826546,-0.888187,-0.82698,-0.856528,-0.940541,-0.837319,-0.939358,-0.805231,-0.85375,-0.886775,-0.756615,-0.752796,-0.690456,-0.615774,-0.594966,-0.645894,-0.608977,-0.447478,-0.390588,-0.513737,-0.494591,-0.568261,-0.820475,-1.004008,-0.921915,-0.518962,-0.158122,0.210425,0.546169,0.624477,0.611105,0.497618,0.428628,0.306836,0.336569,0.138929,0.095518,0.102028,-0.061126,-0.02459,-0.085911,0.026044,0.167725,0.424874,0.880867,1.388943,1.747323,2.10671,2.181245,1.927792,1.544083,1.046149,0.483569,0.269097,-0.03447,-0.233045,-0.457134,-0.661098,-0.842584,-0.922458,-1.043847,-1.081111,-1.041764,-1.062147,-1.041987,-1.000568,-1.062361,1
-0.877527,-0.825867,-0.741635,-0.691193,-0.709591,-0.658356,-0.624616,-0.640382,-0.640378,-0.608704,-0.55896,-0.489916,-0.559966,-0.443004,-0.357763,-0.305697,-0.285934,-0.351393,-0.478566,-0.710968,-0.938106,-0.88656,-0.64597,-0.324839,-0.035655,0.155068,0.244267,0.298117,0.258884,0.222739,0.253095,0.122585,0.073387,0.119702,0.049551,0.067302,0.104482,0.144125,0.258244,0.496352,0.781503,1.237096,1.718571,2.344674,2.913476,3.314162,3.262352,2.909611,2.508345,2.201363,1.893067,1.468641,1.06092,0.753754,0.383208,0.262731,-0.023564,-0.173531,-0.429592,-0.499206,-0.492966,-0.623244,-0.701606,-0.670838,-0.819365,-0.700057,-0.652009,-0.640269,-0.585682,-0.543714,-0.602965,-0.551265,-0.576741,-0.580112,-0.552586,-0.521171,-0.539091,-0.631465,-0.569264,-0.549844,-0.621296,-0.746957,-0.676931,-0.474477,-0.412197,-0.368097,-0.25822,-0.251347,-0.219808,-0.265021,-0.598478,-0.71497,-0.66142,-0.61373,-0.313628,0.127394,0.459233,0.660522,0.799017,0.800803,0.763696,0.483264,0.340097,0.284043,0.196273,0.139568,0.462918,0.20412,0.199449,0.252831,0.312919,0.448146,0.866834,1.517133,2.100738,2.653133,3.078048,2.949812,2.586374,2.193554,1.824206,1.472591,1.12063,0.881051,0.487301,0.184195,-0.170924,-0.37978,-0.730742,-0.867027,-1.016622,-0.771814,-0.896272,-0.873118,-0.871479,-0.883117,-0.904248,-0.911971,-0.888855,-0.854389,-0.861679,-0.837491,-0.791656,-0.812322,-0.772474,-0.794298,-0.777189,-0.803477,-0.776515,-0.757859,-0.720766,-0.721836,-0.869554,-0.78245,-0.688336,-0.672924,-0.605522,-0.553821,-0.558948,-0.626112,-0.731596,-0.90986,-0.874293,-0.824127,-0.685709,-0.364854,-0.01365,0.252381,0.386123,0.485829,0.552184,0.620168,1
