@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute target {1,2}

@data
-1.617256,-1.708628,-1.714339,-1.718622,-1.718622,-0.749219,0.447187,1.42944,1.607901,1.68928,1.703556,1.7264,1.703556,1.703556,1.703556,1.70784,1.70784,1.585058,-1.604407,-1.681502,-1.700062,-1.708628,-0.840591,-0.032518,0.21019,0.264442,0.255876,0.255876,0.260159,0.260159,0.260159,0.260159,0.264442,0.268726,0.264442,0.264442,0.264442,0.264442,0.264442,0.264442,0.264442,0.260159,0.260159,0.260159,0.260159,0.260159,0.260159,0.260159,0.260159,0.264442,0.260159,0.260159,0.264442,0.268726,0.278719,0.268726,0.268726,0.260159,0.260159,0.260159,0.260159,0.264442,0.260159,0.260159,0.260159,-1.029047,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,-1.160395,2
1.100704,1.100704,1.08142,1.08142,1.08142,1.100704,1.100704,1.100704,1.100704,-0.576994,0.117226,0.271497,0.348632,0.3872,0.406484,0.425768,1.100704,1.100704,1.100704,1.08142,1.08142,1.08142,1.08142,1.08142,-0.191316,-0.90482,-0.924104,-0.943388,-0.962672,-0.981956,-0.981956,-1.001239,-1.020523,-1.020523,-1.020523,-1.039807,-1.039807,-1.039807,-1.039807,-1.039807,-1.039807,-1.039807,-1.059091,-1.039807,-1.059091,-1.059091,-1.059091,-1.039807,-1.039807,-1.039807,-1.001239,-0.962672,-0.943388,-0.943388,-0.943388,-0.943388,-0.962672,-0.962672,-0.962672,-0.943388,-0.962672,1.062136,1.100704,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,1.08142,2
0.408629,0.408629,0.408629,0.408629,0.408629,0.408629,0.439256,0.408629,0.408629,0.408629,0.408629,0.898662,-0.357047,-0.357047,-0.387674,-0.357047,-0.32642,-0.357047,0.408629,0.408629,0.408629,0.408629,0.408629,0.408629,0.408629,0.378002,0.439256,3.440705,-0.357047,-0.234539,-0.295793,-0.295793,-0.295793,-0.295793,-0.295793,-0.32642,-0.295793,-0.32642,-0.295793,-0.32642,-0.295793,-0.295793,-0.295793,-0.295793,-0.295793,-0.295793,-0.295793,-0.265166,-0.295793,-0.265166,-0.295793,-0.295793,-0.265166,-0.295793,-0.295793,-0.295793,-0.32642,-0.32642,-0.357047,-0.357047,-0.32642,-0.295793,-0.357047,-0.32642,-0.357047,-0.357047,-0.32642,-0.32642,-0.357047,-0.357047,0.439256,0.439256,0.439256,0.439256,0.439256,0.439256,2
-1.078789,-1.078789,-1.078789,-1.078789,-1.078789,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,1.094247,0.782867,0.469279,0.303651,0.173357,0.093856,-0.921995,-1.078789,-1.078789,-1.078789,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,0.840285,0.948495,0.983829,1.005913,1.014746,1.010329,0.997079,0.983829,0.981621,0.974995,0.974995,0.970579,0.961745,0.957329,0.959537,0.950703,0.944078,0.937453,0.944078,0.946287,0.952912,0.952912,0.952912,0.961745,0.972787,1.034621,1.065539,1.054497,1.045663,1.045663,1.03683,1.030205,1.019163,1.016955,1.005913,-0.780659,-1.078789,-1.078789,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,-1.080997,2
-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.107712,-1.10556,-1.10556,-1.10556,-1.107712,1.003937,0.511003,0.181664,0.013765,-0.085252,-0.151981,-0.978559,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.107712,-1.107712,-0.233778,0.842496,0.924292,0.960886,0.993174,1.010394,1.001784,0.995326,0.988869,0.984564,0.975954,0.971648,0.965191,0.958733,0.958733,0.954428,0.958733,0.952276,0.950123,0.950123,0.950123,0.952276,0.954428,0.958733,0.969496,0.971648,1.001784,1.062055,1.042682,1.02331,1.008242,0.995326,0.995326,0.984564,0.988869,0.984564,0.984564,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,-1.10556,2
0.395674,0.426868,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,-0.540152,-0.540152,-0.571346,-0.477764,-0.540152,-0.540152,0.426868,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.302091,0.426868,10.190654,-0.384181,-0.508958,-0.415375,-0.477764,-0.477764,-0.508958,-0.540152,-0.508958,-0.540152,-0.508958,-0.508958,-0.508958,-0.508958,-0.508958,-0.508958,-0.508958,-0.508958,-0.508958,-0.477764,-0.508958,-0.477764,-0.477764,-0.477764,-0.477764,-0.477764,-0.477764,-0.508958,-0.477764,-0.540152,-0.508958,-0.540152,-0.540152,-0.540152,-0.540152,-0.571346,-0.540152,-0.571346,-0.571346,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,0.395674,2
1.044742,1.044742,1.063319,1.044742,1.044742,1.063319,1.063319,1.063319,1.044742,1.044742,0.060133,0.431683,0.505993,0.543148,0.561726,0.580303,1.063319,1.044742,1.044742,1.063319,1.063319,1.063319,1.044742,1.044742,1.063319,-0.813012,-0.961632,-0.980209,-0.998787,-0.998787,-0.998787,-0.998787,-1.017364,-1.017364,-1.035942,-1.035942,-1.054519,-1.054519,-1.054519,-1.073097,-1.073097,-1.073097,-1.073097,-1.091675,-1.073097,-1.073097,-1.073097,-1.073097,-1.073097,-1.091675,-1.073097,-1.054519,-0.998787,-0.961632,-0.943054,-0.943054,-0.961632,-0.961632,-0.943054,-0.943054,-0.961632,-0.943054,1.063319,1.044742,1.044742,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,1.063319,2
1.148767,1.148767,1.168582,1.148767,1.168582,1.148767,1.168582,1.168582,1.168582,-0.297751,0.534492,0.71283,0.752461,0.772276,0.792091,0.811907,1.168582,1.168582,1.168582,1.168582,1.168582,1.168582,1.168582,1.148767,1.168582,-0.159044,-0.812949,-0.872395,-0.892211,-0.912026,-0.931841,-0.931841,-0.951657,-0.951657,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.971472,-0.991287,-0.971472,-0.971472,-0.971472,-0.991287,-0.991287,-0.991287,-0.991287,-0.991287,-0.971472,-0.892211,-0.832765,-0.793134,-0.793134,-0.793134,-0.793134,-0.793134,-0.773319,-0.773319,-0.773319,-0.773319,-0.773319,1.148767,1.148767,1.168582,1.148767,1.148767,1.148767,1.148767,1.148767,1.148767,1.148767,2
-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,1.712751,1.712751,1.712751,1.712751,1.712751,1.712751,-1.187772,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.236763,0.332373,0.555712,0.565798,0.581648,0.593175,0.603261,0.614789,0.620552,0.629198,0.630638,0.636402,0.639284,0.643607,0.64937,0.655134,0.658015,0.662338,0.66522,0.670984,0.670984,0.669543,0.672424,0.678188,0.676747,0.679629,0.679629,0.672424,0.675306,0.66522,0.603261,0.535539,0.492312,0.44044,0.427472,0.427472,0.426031,0.427472,0.426031,0.427472,0.428913,0.428913,0.427472,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,-1.235322,2
-1.412122,-1.574982,-0.421928,1.479073,1.724085,1.858293,1.952054,1.958878,1.962295,1.9709,1.995896,2.074039,-1.51956,-1.596074,-1.603,-0.99,0.129527,0.293287,0.396505,0.452889,0.450417,0.456642,0.456848,0.45459,0.454395,0.454744,0.457684,0.454539,0.45322,0.45396,0.454348,0.454538,0.451398,0.450606,0.452377,0.454349,0.454985,0.456599,0.45829,0.455912,0.457969,0.454963,0.459159,0.459171,0.459032,0.455494,0.458461,0.456937,0.452666,0.445767,0.430443,0.38616,-0.221364,-0.951138,-0.994894,-1.011838,-1.019535,-1.022474,-1.022783,-1.022492,-1.022463,-1.022837,-1.022372,-1.022732,-1.022524,-1.022439,-1.022893,-1.022377,-1.022684,-1.022559,-1.022418,-1.022951,-1.021829,-1.019715,-1.014944,-1.002464,1
