@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute target {1,2,3,4}

@data
1.813416,1.812403,1.796385,1.763918,1.740344,1.714633,1.663946,1.607243,1.550211,1.493159,1.435828,1.379852,1.322149,1.262054,1.205865,1.147352,1.089085,1.036707,1.016976,0.970743,0.917621,0.870369,0.84788,0.800006,0.753837,0.707268,0.65821,0.610148,0.562844,0.520331,0.479665,0.43502,0.391366,0.354264,0.313434,0.257743,0.21689,0.174473,0.130419,0.090797,0.036917,-0.006411,-0.046865,-0.085728,-0.137136,-0.17651,-0.212903,-0.250939,-0.301156,-0.350913,-0.387039,-0.429934,-0.474366,-0.499933,-0.527152,-0.568313,-0.613295,-0.654942,-0.679661,-0.719316,-0.760946,-0.801843,-0.84186,-0.859595,-0.890451,-0.927042,-0.962647,-0.996927,-1.010135,-1.029935,-1.062352,-1.118759,-1.127278,-1.143597,-1.167937,-1.190767,-1.211643,-1.208881,-1.211153,-1.227834,-1.271201,-1.290707,-1.282951,-1.270345,-1.276621,-1.28057,-1.278292,-1.283086,-1.281654,-1.277888,-1.272184,-1.276813,-1.28644,-1.245337,-1.231028,-1.216087,-1.206272,-1.216633,-1.197646,-1.17545,-1.147436,-1.125707,-1.098891,-1.070538,-1.053044,-1.042402,-1.009816,-0.975809,-0.954605,-0.934029,-0.896449,-0.857733,-0.833098,-0.80396,-0.76219,-0.719634,-0.691867,-0.65556,-0.614895,-0.585847,-0.539342,-0.491914,-0.449794,-0.414611,-0.365396,-0.315692,-0.265623,-0.218016,-0.181217,-0.149118,-0.100995,-0.052369,-0.009963,0.043282,0.081572,0.124634,0.171151,0.225301,0.257413,0.305449,0.352479,0.386894,0.429763,0.473637,0.515646,0.55572,0.602116,0.645005,0.690796,0.728051,0.751978,0.802258,0.850322,0.883725,0.91353,0.966399,1.02005,1.074265,1.129978,1.186137,1.241275,1.300361,1.357659,1.411955,1.47225,1.527891,1.583278,1.634378,1.660468,1.6845,1.735116,1.764398,1.772013,2
1.529502,1.499717,1.494433,1.501362,1.465868,1.4169,1.369281,1.322404,1.276891,1.227,1.176885,1.130006,1.07805,1.021327,0.969247,0.920843,0.865961,0.809676,0.75349,0.697354,0.641321,0.585353,0.529481,0.47371,0.418011,0.362448,0.306956,0.251606,0.197563,0.152418,0.11386,0.069272,0.015287,-0.038579,-0.092207,-0.145668,-0.198925,-0.24673,-0.28447,-0.317962,-0.361278,-0.412261,-0.462951,-0.513317,-0.556381,-0.586998,-0.613361,-0.651655,-0.698559,-0.741097,-0.768758,-0.803848,-0.843017,-0.864939,-0.896206,-0.936921,-0.971527,-0.988817,-0.991388,-1.009791,-1.043939,-1.077269,-1.109047,-1.13958,-1.168161,-1.154824,-1.135873,-1.153683,-1.175741,-1.195797,-1.214174,-1.231107,-1.245654,-1.258976,-1.269808,-1.262377,-1.240203,-1.24036,-1.243761,-1.244607,-1.244144,-1.241072,-1.236561,-1.229792,-1.221024,-1.210721,-1.198007,-1.184082,-1.167783,-1.167504,-1.175243,-1.156376,-1.133317,-1.108257,-1.082218,-1.054283,-1.041554,-1.035578,-1.005004,-0.971638,-0.952612,-0.940259,-0.90409,-0.880388,-0.862156,-0.822147,-0.780568,-0.752023,-0.73732,-0.71173,-0.671192,-0.624916,-0.577974,-0.534523,-0.514636,-0.490496,-0.440642,-0.390479,-0.339994,-0.296304,-0.259191,-0.210522,-0.165118,-0.125366,-0.075084,-0.021833,0.031672,0.085304,0.130226,0.173768,0.228286,0.282943,0.337714,0.392653,0.444458,0.489984,0.541444,0.597078,0.652808,0.708613,0.764529,0.820499,0.876574,0.931736,0.979944,1.031332,1.086852,1.13602,1.185617,1.229831,1.274132,1.319646,1.366407,1.413973,1.462885,1.500094,1.521804,1.538861,1.532895,1.540691,1.565428,1.570792,1.567804,1.565799,1.564436,1.563777,1.56407,1.56488,1.566678,1.568976,1.543443,1.523074,1.528716,3
1.924675,1.929966,1.920342,1.889368,1.833804,1.778902,1.724612,1.671331,1.615277,1.558935,1.504525,1.44923,1.393891,1.336717,1.285634,1.234568,1.181285,1.127817,1.078495,1.031406,0.985725,0.94119,0.895141,0.845797,0.798626,0.752351,0.712272,0.665318,0.620898,0.573927,0.527958,0.478677,0.424558,0.370582,0.331316,0.293754,0.240657,0.18774,0.134955,0.08233,0.029938,-0.022295,-0.074358,-0.126149,-0.177735,-0.229134,-0.280224,-0.319797,-0.361394,-0.411284,-0.450198,-0.488019,-0.536453,-0.584366,-0.622026,-0.654809,-0.684427,-0.720507,-0.765079,-0.808896,-0.824232,-0.837264,-0.877925,-0.917626,-0.940186,-0.935151,-0.966995,-1.001886,-1.032163,-1.017898,-1.029222,-1.058511,-1.086213,-1.112497,-1.12335,-1.093807,-1.105538,-1.125129,-1.143245,-1.159241,-1.173806,-1.186911,-1.197739,-1.206896,-1.214582,-1.22003,-1.22352,-1.225493,-1.225493,-1.223211,-1.219415,-1.213888,-1.205978,-1.196524,-1.185549,-1.172302,-1.157458,-1.14125,-1.123076,-1.103226,-1.086677,-1.089884,-1.072041,-1.058964,-1.055316,-1.02588,-1.004782,-0.996661,-0.964159,-0.94645,-0.928588,-0.912728,-0.882254,-0.851357,-0.831873,-0.805106,-0.776104,-0.734183,-0.708484,-0.670333,-0.624752,-0.594262,-0.567246,-0.53099,-0.482546,-0.433696,-0.384558,-0.335077,-0.308873,-0.274452,-0.223347,-0.171923,-0.1203,-0.068491,-0.016412,0.035854,0.088273,0.1409,0.193713,0.246655,0.299753,0.345269,0.386207,0.430663,0.47679,0.525827,0.578494,0.616063,0.665099,0.716996,0.756926,0.798321,0.840749,0.884411,0.929597,0.978494,1.030154,1.077992,1.128119,1.18165,1.235633,1.288526,1.342966,1.397735,1.454152,1.510134,1.564488,1.620417,1.674871,1.728739,1.783608,1.810907,1.861377,4
1.560861,1.540509,1.511914,1.51792,1.497184,1.444637,1.440632,1.442353,1.39531,1.364466,1.347188,1.304169,1.257314,1.198846,1.145376,1.102548,1.04897,0.990198,0.939665,0.893894,0.844713,0.78849,0.730609,0.672876,0.615215,0.557699,0.500303,0.443005,0.385894,0.329479,0.285224,0.236638,0.180436,0.124486,0.072906,0.029843,-0.021024,-0.075827,-0.120544,-0.159485,-0.212208,-0.265424,-0.318326,-0.35642,-0.396812,-0.431578,-0.468122,-0.51796,-0.567219,-0.612508,-0.642064,-0.676768,-0.701845,-0.736266,-0.777668,-0.799802,-0.830962,-0.872168,-0.901629,-0.916582,-0.948205,-0.974724,-0.985302,-1.012359,-1.044914,-1.075649,-1.105599,-1.133628,-1.131543,-1.100496,-1.113047,-1.134311,-1.15327,-1.170847,-1.18686,-1.200505,-1.21306,-1.223018,-1.23152,-1.238145,-1.242363,-1.245341,-1.245583,-1.244401,-1.241139,-1.23562,-1.228794,-1.244134,-1.258868,-1.245591,-1.230333,-1.213765,-1.194725,-1.174595,-1.152405,-1.139934,-1.144218,-1.151252,-1.139056,-1.108009,-1.075755,-1.04246,-1.02389,-1.020524,-1.006683,-0.975672,-0.935336,-0.89373,-0.851615,-0.827966,-0.811589,-0.786969,-0.741726,-0.694526,-0.662713,-0.638252,-0.606643,-0.558147,-0.507087,-0.455437,-0.411456,-0.37462,-0.331227,-0.292326,-0.24093,-0.186423,-0.131608,-0.08659,-0.042933,0.012995,0.068179,0.112682,0.162073,0.218985,0.276106,0.329518,0.376542,0.430945,0.488825,0.546855,0.604943,0.663171,0.721473,0.77986,0.832946,0.882618,0.940822,0.993185,1.036427,1.091572,1.149525,1.196213,1.242834,1.290745,1.33998,1.389983,1.416314,1.442598,1.495906,1.511541,1.509254,1.534934,1.547715,1.544352,1.541773,1.539802,1.538946,1.538566,1.539239,1.540632,1.542668,1.544331,1.601663,3
1.609283,1.60832,1.589011,1.56729,1.52899,1.502886,1.468343,1.424631,1.380444,1.336321,1.291165,1.244171,1.197921,1.153838,1.106933,1.060044,1.013173,0.962925,0.915594,0.868717,0.821858,0.775017,0.728196,0.681395,0.634615,0.587858,0.541124,0.494415,0.447732,0.401076,0.355176,0.317945,0.271613,0.225282,0.178994,0.132752,0.095028,0.052875,0.007047,-0.038712,-0.081003,-0.119846,-0.160521,-0.205618,-0.250606,-0.293447,-0.322558,-0.366741,-0.410751,-0.454583,-0.490335,-0.523094,-0.563045,-0.605436,-0.647539,-0.689332,-0.725739,-0.759035,-0.799357,-0.839229,-0.878612,-0.917461,-0.95573,-0.993337,-1.015553,-1.04935,-1.084094,-1.117894,-1.15066,-1.182296,-1.201953,-1.221415,-1.248406,-1.273798,-1.29746,-1.319258,-1.339055,-1.356715,-1.372098,-1.384948,-1.395238,-1.402913,-1.4079,-1.410152,-1.409647,-1.406392,-1.400419,-1.391786,-1.380575,-1.366883,-1.350828,-1.332534,-1.312135,-1.289768,-1.265544,-1.239542,-1.211986,-1.183003,-1.152708,-1.121207,-1.088601,-1.054981,-1.020432,-0.98503,-0.948845,-0.916043,-0.889334,-0.850746,-0.813171,-0.78572,-0.745254,-0.704371,-0.663119,-0.621525,-0.579617,-0.537415,-0.494943,-0.457524,-0.419601,-0.376181,-0.332568,-0.291464,-0.254232,-0.209907,-0.165948,-0.129114,-0.084242,-0.039236,-0.000624,0.043445,0.084188,0.127567,0.17329,0.219079,0.262024,0.302421,0.344823,0.391052,0.437323,0.483636,0.529605,0.571098,0.617609,0.668643,0.715749,0.762268,0.808817,0.855393,0.901995,0.948622,0.995273,1.043467,1.093106,1.13976,1.186437,1.232779,1.275628,1.322422,1.365877,1.409559,1.450451,1.491495,1.533285,1.575797,1.592422,1.601031,1.611334,1.609055,1.60736,1.606249,1.605724,1.605287,1.630254,3
1.812872,1.811627,1.812414,1.777323,1.721913,1.667266,1.61288,1.557178,1.504668,1.447902,1.392133,1.336124,1.278556,1.221507,1.167765,1.113894,1.060276,1.0075,0.969355,0.936629,0.886567,0.839971,0.790239,0.764833,0.728975,0.683167,0.63609,0.589741,0.544878,0.50623,0.45272,0.40609,0.367799,0.324556,0.273584,0.231947,0.178428,0.146108,0.098251,0.05454,0.015766,-0.029845,-0.079654,-0.114227,-0.153069,-0.201679,-0.251491,-0.286162,-0.314595,-0.362779,-0.410578,-0.457915,-0.492087,-0.534355,-0.579939,-0.625009,-0.66551,-0.694163,-0.73696,-0.779062,-0.806339,-0.839158,-0.878509,-0.917016,-0.952269,-0.96756,-1.001442,-1.035296,-1.053383,-1.072154,-1.1019,-1.13034,-1.157316,-1.157412,-1.176176,-1.21377,-1.250153,-1.259759,-1.25388,-1.268765,-1.281565,-1.292485,-1.299204,-1.308615,-1.313737,-1.316894,-1.316858,-1.314554,-1.313737,-1.308615,-1.301545,-1.281355,-1.252953,-1.268479,-1.25388,-1.237159,-1.218723,-1.211989,-1.196155,-1.152814,-1.128453,-1.126764,-1.1019,-1.072154,-1.041162,-1.01731,-0.994344,-0.93842,-0.902793,-0.866108,-0.842851,-0.812683,-0.772932,-0.736703,-0.711679,-0.669272,-0.626141,-0.59435,-0.556188,-0.510972,-0.469067,-0.435252,-0.388265,-0.34081,-0.302661,-0.258861,-0.210007,-0.16083,-0.116681,-0.09368,-0.043268,0.007622,0.052666,0.090388,0.133054,0.185281,0.236293,0.266463,0.317387,0.355451,0.400446,0.448765,0.489146,0.525768,0.569179,0.613487,0.654826,0.680947,0.713093,0.760228,0.803522,0.819773,0.868295,0.91814,0.949721,0.985186,1.035864,1.092157,1.144423,1.201762,1.255291,1.311359,1.367522,1.421568,1.475788,1.530875,1.583335,1.636657,1.690786,1.745697,1.792003,1.81256,1.745021,2
1.876009,1.8756,1.875888,1.849054,1.79399,1.739681,1.683723,1.62817,1.572939,1.517653,1.464215,1.40896,1.354745,1.29929,1.245553,1.194165,1.141339,1.092381,1.044478,0.997715,0.952094,0.905741,0.856137,0.812873,0.771421,0.724767,0.672279,0.631719,0.582911,0.533359,0.486938,0.433158,0.379472,0.32588,0.272398,0.219045,0.165794,0.11267,0.059682,0.010603,-0.031657,-0.08256,-0.12296,-0.171385,-0.222806,-0.274005,-0.324948,-0.374641,-0.412077,-0.458084,-0.495689,-0.536591,-0.585011,-0.624403,-0.659347,-0.700989,-0.730236,-0.766758,-0.794647,-0.835122,-0.858794,-0.890797,-0.903648,-0.920815,-0.947684,-0.966375,-0.996021,-1.007554,-1.028736,-1.024778,-1.033121,-1.06119,-1.081884,-1.081899,-1.101896,-1.097695,-1.107327,-1.125751,-1.142477,-1.157501,-1.170999,-1.182563,-1.192208,-1.200177,-1.206317,-1.210502,-1.212649,-1.213165,-1.211617,-1.208101,-1.20274,-1.195667,-1.186615,-1.175591,-1.162992,-1.148621,-1.132481,-1.114615,-1.108959,-1.110392,-1.087417,-1.069542,-1.068813,-1.044255,-1.039124,-1.020529,-1.011657,-0.984172,-0.968308,-0.943847,-0.92709,-0.89696,-0.871714,-0.844329,-0.818445,-0.785974,-0.752819,-0.722804,-0.689266,-0.654736,-0.608218,-0.562128,-0.53798,-0.506578,-0.457595,-0.408273,-0.358626,-0.308731,-0.258538,-0.216002,-0.173864,-0.127464,-0.08783,-0.035884,0.016214,0.068484,0.120918,0.173508,0.226221,0.279085,0.332083,0.385196,0.438421,0.491761,0.536158,0.585271,0.628793,0.672161,0.722579,0.765995,0.80637,0.851686,0.89935,0.942707,0.987278,1.033058,1.08208,1.133203,1.183886,1.23819,1.290917,1.346756,1.398174,1.450996,1.507389,1.563789,1.616912,1.668796,1.723218,1.777053,1.830824,1.857964,1.876821,4
1.64792,1.628413,1.630956,1.600845,1.556328,1.512555,1.46958,1.427434,1.382785,1.339964,1.295413,1.251286,1.202706,1.154149,1.105615,1.057108,1.008628,0.960178,0.911755,0.863363,0.815003,0.76668,0.71839,0.667384,0.614867,0.562889,0.511755,0.463432,0.415148,0.366906,0.318709,0.270559,0.226348,0.18883,0.142399,0.094777,0.047222,-0.000259,-0.047655,-0.0901,-0.125547,-0.169163,-0.215734,-0.262176,-0.303552,-0.343236,-0.383932,-0.421561,-0.466597,-0.506631,-0.542218,-0.581475,-0.614327,-0.65727,-0.695541,-0.725531,-0.762843,-0.789225,-0.82906,-0.868363,-0.907078,-0.929939,-0.961506,-0.997407,-1.032507,-1.066646,-1.09978,-1.131738,-1.162552,-1.181807,-1.193651,-1.219753,-1.244163,-1.263259,-1.261809,-1.27796,-1.294518,-1.309016,-1.321533,-1.331686,-1.33964,-1.345006,-1.348169,-1.349027,-1.347313,-1.343213,-1.336673,-1.327987,-1.316957,-1.303738,-1.28827,-1.270868,-1.251674,-1.230453,-1.207573,-1.182966,-1.170385,-1.155011,-1.12556,-1.094832,-1.062962,-1.030097,-0.996162,-0.974714,-0.947282,-0.910255,-0.879195,-0.853171,-0.813633,-0.778991,-0.750846,-0.70933,-0.668062,-0.637821,-0.600777,-0.569133,-0.525053,-0.480718,-0.450113,-0.416813,-0.371207,-0.325416,-0.279454,-0.24309,-0.20831,-0.161464,-0.114511,-0.070995,-0.029321,0.015107,0.057024,0.10078,0.144992,0.193012,0.241086,0.28921,0.337385,0.380124,0.42098,0.469501,0.518052,0.566635,0.619241,0.67523,0.724203,0.772708,0.821242,0.869802,0.918389,0.967,1.015637,1.064296,1.112976,1.161677,1.210399,1.25553,1.302352,1.346438,1.391255,1.435478,1.478873,1.522985,1.567922,1.613551,1.625628,1.627329,1.650227,1.651804,1.651265,1.651331,1.65196,1.652539,1.686162,3
1.913358,1.895891,1.868433,1.836134,1.78249,1.729588,1.676423,1.622751,1.56952,1.515707,1.462608,1.406845,1.353478,1.300206,1.248111,1.196613,1.146813,1.099812,1.05406,1.009442,0.965769,0.922853,0.869203,0.822364,0.780089,0.733632,0.689008,0.641724,0.596706,0.544523,0.491298,0.438151,0.385117,0.33895,0.297973,0.254328,0.202231,0.150262,0.098417,0.04675,-0.004734,-0.056069,-0.107239,-0.158163,-0.208898,-0.25945,-0.309747,-0.359767,-0.398453,-0.422256,-0.4695,-0.517579,-0.565356,-0.612718,-0.633315,-0.661028,-0.706177,-0.750665,-0.781554,-0.810375,-0.833636,-0.869732,-0.899066,-0.921359,-0.939181,-0.966365,-0.990631,-0.9801,-1.005863,-1.037008,-1.067114,-1.071828,-1.088061,-1.104226,-1.102861,-1.123891,-1.134275,-1.126679,-1.142768,-1.157738,-1.171251,-1.183015,-1.192518,-1.200462,-1.206832,-1.210839,-1.212967,-1.213484,-1.212142,-1.208387,-1.203034,-1.196096,-1.186864,-1.175812,-1.163256,-1.149007,-1.132612,-1.14214,-1.168424,-1.146471,-1.122959,-1.098207,-1.072089,-1.064541,-1.048901,-1.02384,-1.014279,-0.998558,-0.980534,-0.945561,-0.928449,-0.906202,-0.885778,-0.845061,-0.818964,-0.790998,-0.765763,-0.723745,-0.689389,-0.655299,-0.608973,-0.572685,-0.536498,-0.489713,-0.454622,-0.409861,-0.360593,-0.311004,-0.270088,-0.228917,-0.179389,-0.139386,-0.091333,-0.039822,0.011881,0.063761,0.115767,0.167907,0.220218,0.272647,0.32518,0.377843,0.423673,0.470241,0.523418,0.568691,0.612439,0.65987,0.706078,0.758184,0.806254,0.846986,0.889267,0.932664,0.977031,1.022559,1.069368,1.120326,1.175268,1.223967,1.27731,1.331448,1.381468,1.436567,1.492385,1.547807,1.599262,1.652774,1.706457,1.759557,1.813579,1.840697,1.929237,4
1.514035,1.497783,1.477813,1.484334,1.458174,1.418683,1.401732,1.370241,1.328639,1.288329,1.246801,1.203443,1.164459,1.126354,1.076881,1.026274,0.975733,0.925268,0.874846,0.824522,0.774261,0.724063,0.673973,0.623943,0.574007,0.524178,0.476722,0.434199,0.386787,0.337542,0.279363,0.221472,0.172332,0.131254,0.091461,0.052773,0.007646,-0.039152,-0.085244,-0.130846,-0.165892,-0.211073,-0.25365,-0.286016,-0.317094,-0.34842,-0.392573,-0.428876,-0.456031,-0.504388,-0.556482,-0.581302,-0.61633,-0.656985,-0.696831,-0.736253,-0.774951,-0.821808,-0.871057,-0.888184,-0.916357,-0.951432,-0.98521,-1.01833,-1.050212,-1.080862,-1.110668,-1.138703,-1.165631,-1.191266,-1.214809,-1.239527,-1.283687,-1.314784,-1.332708,-1.347745,-1.361133,-1.372306,-1.380498,-1.387161,-1.390554,-1.391662,-1.390813,-1.386571,-1.380559,-1.372089,-1.360809,-1.348092,-1.332491,-1.315088,-1.296122,-1.274682,-1.247108,-1.201753,-1.190851,-1.180829,-1.152317,-1.122642,-1.091994,-1.059789,-1.026805,-0.992789,-0.957616,-0.921871,-0.885015,-0.847459,-0.809322,-0.758546,-0.716316,-0.695648,-0.657065,-0.615856,-0.573956,-0.542953,-0.515843,-0.472057,-0.433017,-0.391157,-0.354792,-0.320031,-0.274056,-0.236008,-0.202042,-0.166316,-0.125235,-0.077333,-0.037621,0.002986,0.051749,0.095156,0.135476,0.177186,0.222302,0.272183,0.316804,0.361688,0.42066,0.477633,0.527895,0.578256,0.626592,0.671855,0.72143,0.772182,0.823016,0.871586,0.914263,0.962688,1.013377,1.057272,1.101598,1.145783,1.187488,1.229942,1.273335,1.317911,1.363058,1.409345,1.444838,1.462665,1.458749,1.45534,1.452602,1.475262,1.4916,1.491034,1.491086,1.491669,1.493172,1.495165,1.497854,1.500748,1.562418,1
