@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
0.244756,0.33932,0.492904,0.663631,0.660739,0.603439,0.540689,0.479281,0.345105,0.329302,0.498395,0.559551,0.482927,0.343135,0.166539,-0.071088,-0.296559,-0.458492,-0.585325,-0.520161,-0.50782,-0.528401,-0.567216,-0.506353,-0.341284,-0.360063,-0.467706,-0.484347,-0.451023,-0.378465,-0.411579,-0.302092,-0.20941,-0.118727,-0.07611,-0.084753,0.038063,0.193952,0.298158,0.447089,2
0.449683,0.362007,0.369958,0.315028,0.382613,0.597632,0.548012,0.447073,0.358638,0.276333,0.577298,0.557784,0.443007,0.247715,0.158157,-0.182353,-0.473212,-0.670634,-0.676318,-0.654149,-0.625864,-0.607291,-0.661008,-0.596912,-0.379314,-0.385869,-0.312972,-0.239954,-0.227905,-0.153522,-0.156587,-0.236919,-0.16092,-0.071839,-0.084494,-0.038413,0.07221,0.307987,0.438788,0.686522,2
0.446975,0.540758,0.437444,0.374336,0.277679,0.264893,0.148911,0.121726,0.141902,0.265304,0.468705,0.440963,0.336799,0.16724,-0.01754,-0.237082,-0.394191,-0.582522,-0.682167,-0.705281,-0.721322,-0.627715,-0.553874,-0.505809,-0.375076,-0.171206,-0.168654,-0.132877,-0.108097,-0.087804,-0.026778,0.063926,0.143263,0.07382,0.021155,-0.003684,0.121521,0.248735,0.40501,0.590611,2
0.289682,0.372081,0.426545,0.423817,0.411748,0.369409,0.307658,0.314438,0.25958,0.158529,0.67726,0.634415,0.525515,0.330558,0.139061,-0.083493,-0.241231,-0.419463,-0.645419,-0.647152,-0.673765,-0.677985,-0.650246,-0.668814,-0.540305,-0.352325,-0.324699,-0.309227,-0.341663,-0.302531,-0.303769,-0.270103,-0.179227,-0.089511,0.024816,0.066058,0.194004,0.418275,0.623415,0.754062,2
0.316818,0.376624,0.479279,0.388119,0.243867,0.263214,0.217805,0.242871,0.183264,0.147926,0.637245,0.682911,0.597469,0.469861,0.259003,0.040918,-0.258654,-0.471102,-0.597165,-0.645374,-0.663783,-0.690556,-0.739038,-0.690442,-0.486697,-0.28537,-0.226105,-0.17987,-0.16516,-0.116905,-0.118214,-0.369816,-0.337864,-0.228927,-0.02805,0.128095,0.18315,0.316562,0.478995,0.645098,2
0.382887,0.500936,0.491172,0.443666,0.273384,0.19198,0.12898,0.141036,0.010215,-0.022919,0.508981,0.627364,0.655653,0.538941,0.351853,0.117737,-0.095969,-0.356154,-0.476272,-0.539565,-0.567902,-0.537488,-0.535077,-0.523428,-0.491749,-0.5457,-0.548876,-0.504712,-0.51512,-0.47024,-0.413448,-0.320465,-0.174795,-0.013729,0.107209,0.169444,0.263167,0.407237,0.620799,0.720968,3
0.308459,0.403567,0.435936,0.464259,0.440732,0.423911,0.382949,0.334054,0.300117,0.246789,0.579938,0.646405,0.551002,0.485876,0.316733,0.139907,-0.053445,-0.301534,-0.454591,-0.673716,-0.670829,-0.682374,-0.758296,-0.754318,-0.670213,-0.528824,-0.45047,-0.396983,-0.386572,-0.308149,-0.298738,-0.265346,-0.207143,-0.071599,-0.001277,0.068508,0.164706,0.277113,0.451711,0.511745,3
0.276492,0.342932,0.416763,0.356216,0.325229,0.311257,0.246979,0.241324,0.186171,0.146155,0.643553,0.6705,0.592558,0.413935,0.262116,0.058328,-0.173119,-0.392809,-0.518734,-0.569503,-0.623373,-0.63965,-0.661963,-0.618882,-0.571,-0.449977,-0.388361,-0.357636,-0.343283,-0.317834,-0.307853,-0.275013,-0.168985,-0.044873,-0.002979,0.106661,0.245886,0.363867,0.549049,0.669858,3
0.278606,0.364582,0.412229,0.37144,0.344681,0.306921,0.28031,0.225805,0.147676,0.117762,0.60528,0.626422,0.518463,0.348489,0.209375,0.136295,-0.017818,-0.21678,-0.46705,-0.596327,-0.632816,-0.679454,-0.708463,-0.759624,-0.704992,-0.587714,-0.474034,-0.402173,-0.348636,-0.284622,-0.252247,-0.218336,-0.094453,0.052823,0.133097,0.221703,0.29512,0.379034,0.481376,0.588051,3
0.283609,0.324341,0.34874,0.344037,0.359808,0.324362,0.182967,0.17779,0.102778,0.07059,0.628682,0.745655,0.740067,0.518375,0.325117,0.095141,-0.128946,-0.448489,-0.536648,-0.519842,-0.548729,-0.47005,-0.408154,-0.429836,-0.460428,-0.461959,-0.521093,-0.501979,-0.517533,-0.495917,-0.458831,-0.398705,-0.279978,-0.085928,0.058918,0.148751,0.256685,0.398986,0.536799,0.700846,3
