@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2}

@data
0.244756,0.33932,0.492904,0.663631,0.660739,0.603439,0.540689,0.479281,0.345105,0.329302,0.498395,0.559551,0.482927,0.343135,0.166539,-0.071088,-0.296559,-0.458492,-0.585325,-0.520161,-0.50782,-0.528401,-0.567216,-0.506353,-0.341284,-0.360063,-0.467706,-0.484347,-0.451023,-0.378465,-0.411579,-0.302092,-0.20941,-0.118727,-0.07611,-0.084753,0.038063,0.193952,0.298158,0.447089,2
0.538257,0.605566,0.470682,0.427766,0.385191,0.306973,0.305496,0.36682,0.389509,0.286405,0.562991,0.464053,0.355154,0.084856,-0.140253,-0.291269,-0.459766,-0.51453,-0.724814,-0.784328,-0.795581,-0.819747,-0.651948,-0.526041,-0.421232,-0.292068,-0.269531,-0.186843,-0.103663,-0.014384,0.117965,0.01457,-0.184836,-0.132492,-0.095458,0.012244,0.174589,0.372161,0.513939,0.653595,1
0.382465,0.393151,0.552099,0.647671,0.655973,0.607311,0.581527,0.433785,0.332624,0.269384,0.497436,0.500642,0.411591,0.290427,0.105202,-0.020346,-0.189769,-0.343364,-0.441832,-0.480162,-0.57246,-0.612491,-0.55169,-0.470531,-0.471106,-0.614245,-0.604463,-0.569007,-0.721845,-0.771467,-0.736266,-0.623386,-0.398805,-0.158495,0.106654,0.394055,0.475927,0.516287,0.58824,0.609283,1
0.449683,0.362007,0.369958,0.315028,0.382613,0.597632,0.548012,0.447073,0.358638,0.276333,0.577298,0.557784,0.443007,0.247715,0.158157,-0.182353,-0.473212,-0.670634,-0.676318,-0.654149,-0.625864,-0.607291,-0.661008,-0.596912,-0.379314,-0.385869,-0.312972,-0.239954,-0.227905,-0.153522,-0.156587,-0.236919,-0.16092,-0.071839,-0.084494,-0.038413,0.07221,0.307987,0.438788,0.686522,2
0.220583,0.161289,0.193923,0.394029,0.603143,0.594452,0.739429,0.744634,0.795418,0.799673,0.948497,0.753324,0.454817,0.085746,-0.183929,-0.310995,-0.490629,-0.664953,-0.67688,-0.704585,-0.643164,-0.532361,-0.478227,-0.298579,-0.08666,0.099189,0.064653,-0.068691,-0.18402,-0.258658,-0.250827,-0.367243,-0.399357,-0.399221,-0.430488,-0.463928,-0.254584,0.04347,0.138205,0.313507,1
0.446975,0.540758,0.437444,0.374336,0.277679,0.264893,0.148911,0.121726,0.141902,0.265304,0.468705,0.440963,0.336799,0.16724,-0.01754,-0.237082,-0.394191,-0.582522,-0.682167,-0.705281,-0.721322,-0.627715,-0.553874,-0.505809,-0.375076,-0.171206,-0.168654,-0.132877,-0.108097,-0.087804,-0.026778,0.063926,0.143263,0.07382,0.021155,-0.003684,0.121521,0.248735,0.40501,0.590611,2
0.563839,0.561789,0.510755,0.461066,0.293779,0.212925,0.019819,-0.049537,-0.045301,0.010103,0.666074,0.797356,0.70524,0.500703,0.193158,-0.057639,-0.321218,-0.547645,-0.687953,-0.711627,-0.785354,-0.749449,-0.649298,-0.522689,-0.278314,-0.145452,-0.081374,-0.057707,-0.05932,-0.064531,-0.05068,-0.243582,-0.321427,-0.308157,-0.214976,-0.165926,0.021937,0.263555,0.515495,0.821562,1
0.365923,0.545816,0.592546,0.47424,0.437186,0.460466,0.425517,0.314639,0.172142,0.173252,0.448939,0.438779,0.253707,0.148264,0.006735,-0.152127,-0.291664,-0.371559,-0.349978,-0.475371,-0.540202,-0.466918,-0.486641,-0.584627,-0.593563,-0.431571,-0.339049,-0.349978,-0.326527,-0.27123,-0.22985,-0.134425,-0.129615,-0.167782,-0.087267,0.027681,0.095101,0.29799,0.510811,0.590213,1
0.302809,0.338472,0.53098,0.542718,0.521179,0.517259,0.495554,0.431927,0.367923,0.372977,0.31672,0.341519,0.356587,0.220997,0.10142,-0.054256,-0.143928,-0.28281,-0.372889,-0.422538,-0.492924,-0.61401,-0.734697,-0.78642,-0.734838,-0.698939,-0.65808,-0.590227,-0.468501,-0.385083,-0.234583,-0.124659,0.009342,0.174527,0.202837,0.228349,0.236514,0.356776,0.44683,0.385164,1
0.493525,0.594991,0.660042,0.646715,0.580276,0.375635,0.334563,0.281997,0.243799,0.216748,0.393644,0.405832,0.251924,0.119889,-0.125824,-0.306015,-0.467937,-0.678125,-0.837341,-0.901855,-0.780943,-0.745172,-0.735784,-0.556137,-0.387193,-0.330514,-0.23918,-0.141133,-0.082919,-0.00459,0.070098,0.211942,0.170751,0.122964,0.042242,-0.005184,0.00626,0.195345,0.395279,0.511385,1
