@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute target {1,2,3}

@data
0.511273,0.547445,0.485468,0.491085,0.478086,0.449667,0.385942,0.376263,0.402844,0.368898,0.366884,0.342545,0.263419,0.170285,0.05352,-0.117415,-0.34052,-0.566847,-0.672996,-0.733245,-0.794233,-0.792979,-0.769948,-0.639759,-0.497154,-0.344676,-0.291389,-0.226709,-0.15742,-0.078717,0.001699,0.094567,0.088182,0.011125,0.044306,0.038913,0.111929,0.188301,0.31879,0.43257,2
0.48143,0.481691,0.415831,0.388429,0.36311,0.394197,0.362699,0.354999,0.359109,0.372851,0.350779,0.334229,0.285207,0.236336,0.155529,-0.026733,-0.223943,-0.401502,-0.532276,-0.622446,-0.686333,-0.72079,-0.739286,-0.67966,-0.562039,-0.438567,-0.349676,-0.27887,-0.212695,-0.140752,-0.042928,0.047265,0.102532,0.082872,0.043456,0.061746,0.148939,0.209304,0.274575,0.351382,2
0.432897,0.503543,0.474627,0.466287,0.444995,0.438737,0.429232,0.442526,0.376617,0.328008,0.439389,0.420241,0.381881,0.315739,0.114502,-0.135873,-0.389276,-0.65027,-0.802161,-0.855393,-0.901859,-0.88855,-0.841851,-0.700932,-0.530832,-0.346103,-0.253559,-0.188442,-0.115762,-0.031651,0.036991,0.120946,0.149515,0.077407,0.127609,0.133495,0.104143,0.183268,0.255265,0.434652,2
0.484936,0.422075,0.436509,0.389328,0.352269,0.358591,0.367778,0.344857,0.318635,0.295091,0.408559,0.462638,0.449013,0.335296,0.179054,-0.0123,-0.254464,-0.417931,-0.605402,-0.763237,-0.818547,-0.842869,-0.801979,-0.687655,-0.557278,-0.498652,-0.409117,-0.330888,-0.248095,-0.16303,0.00106,0.134272,0.139831,0.066973,0.065026,0.057474,0.117766,0.214526,0.440573,0.569316,2
0.343958,0.383689,0.376438,0.307274,0.300454,0.312503,0.292301,0.32408,0.347867,0.344188,0.524484,0.500791,0.460279,0.41253,0.337004,0.165347,-0.044612,-0.205138,-0.35255,-0.434693,-0.488668,-0.570959,-0.618682,-0.67321,-0.63949,-0.607509,-0.581162,-0.569167,-0.473547,-0.440542,-0.38251,-0.287105,-0.139168,0.023501,0.126897,0.147072,0.231641,0.329646,0.425966,0.490805,3
0.365509,0.274703,0.195073,0.181423,0.197959,0.210688,0.224723,0.255967,0.258153,0.250579,0.561129,0.561692,0.516385,0.458955,0.278057,0.112665,-0.111271,-0.320375,-0.468736,-0.593151,-0.649578,-0.703806,-0.776646,-0.745745,-0.664685,-0.563226,-0.447636,-0.370465,-0.319399,-0.262174,-0.17974,-0.044396,0.055331,0.195086,0.186633,0.188859,0.266318,0.369234,0.469429,0.586476,3
0.334323,0.412863,0.364907,0.330899,0.302883,0.309516,0.263205,0.283318,0.312338,0.379069,0.592598,0.468362,0.377304,0.374416,0.308205,0.18425,-0.034119,-0.264141,-0.358992,-0.423076,-0.507942,-0.559803,-0.621279,-0.640001,-0.569297,-0.553531,-0.513759,-0.485662,-0.478989,-0.438321,-0.391663,-0.329732,-0.187067,0.000731,0.096081,0.151352,0.21331,0.321378,0.446015,0.530052,3
0.326093,0.376118,0.352802,0.317387,0.298317,0.297011,0.289109,0.285579,0.295378,0.351395,0.568441,0.518806,0.471067,0.443077,0.349912,0.164976,-0.030587,-0.251916,-0.433284,-0.485308,-0.537669,-0.600433,-0.657568,-0.650558,-0.61037,-0.544202,-0.510735,-0.488637,-0.462959,-0.450182,-0.351276,-0.267885,-0.1132,0.024852,0.086158,0.136296,0.220529,0.320289,0.44456,0.508617,3
0.258017,0.366881,0.333189,0.305948,0.310472,0.318772,0.320287,0.323073,0.321769,0.315318,0.55251,0.656327,0.681629,0.624406,0.497192,0.31094,0.071909,-0.178185,-0.391411,-0.640035,-0.811164,-0.927107,-0.982692,-0.95281,-0.839846,-0.68655,-0.494292,-0.373418,-0.298546,-0.200457,-0.159734,-0.091771,-0.056642,0.046296,0.116798,0.107161,0.193842,0.337334,0.327462,0.387125,3
0.581673,0.545583,0.544191,0.540499,0.535086,0.474136,0.457686,0.486121,0.459889,0.408856,0.295269,0.241819,0.213906,0.13985,0.008942,-0.193779,-0.375594,-0.549068,-0.654355,-0.734038,-0.823586,-0.834187,-0.747083,-0.598971,-0.446799,-0.382061,-0.295382,-0.215372,-0.114465,-0.065443,0.036852,0.060592,0.096849,0.081767,0.041031,0.048531,0.06531,0.107838,0.218178,0.33973,1
