@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute target {1,2,3}

@data
-0.75295,-0.681524,-0.196545,0.44252,0.958349,1.012002,1.296702,1.255875,1.371482,0.538258,0.267475,-0.508826,-0.512263,-0.663248,-0.693428,-0.468921,0.205186,0.433633,1.481556,1.232485,1.311289,1.242462,1.523808,1.206162,0.000213,-0.638098,-0.259085,-0.176006,-0.791095,-1.745559,-1.795926,-1.578579,-0.625607,-0.464478,-0.170305,-0.056878,-0.241983,-1.256791,-1.719009,-1.479118,-0.404537,2
-0.791748,-0.755816,0.533688,1.166513,1.39625,1.421985,1.225389,0.786126,0.232996,0.168111,-0.051612,-0.771901,-0.868469,-0.624468,0.420428,0.695323,0.806702,1.531422,1.394065,1.706714,1.691115,1.47983,1.220533,0.810283,0.605067,0.661576,-0.722918,-0.241653,-0.307752,-0.806558,-0.909075,-1.472281,-1.574264,-1.476408,0.022135,0.096731,-0.185994,-1.28054,-1.675099,-1.509373,-0.33367,2
-0.794812,-0.679621,0.085597,0.257269,0.526301,1.208176,1.436035,1.409232,1.303132,0.734218,0.031521,-0.516278,-0.878096,-0.761674,-0.32449,0.903485,1.602486,1.619965,1.558146,1.405947,1.429994,1.472399,1.78753,1.55451,0.758676,-0.612818,-0.677568,-0.364724,-1.126248,-1.382224,-1.522599,-1.570171,-1.395855,-0.133522,0.23375,-0.488888,-0.781908,-1.472324,-1.515837,-1.413315,-0.383493,2
-0.957338,-0.838226,-0.609004,0.861696,1.377136,1.27012,0.762051,0.427164,0.195973,-0.137507,-0.97011,-0.951937,-0.6404,1.043655,1.332349,1.50705,1.483644,1.270233,1.255942,1.419503,1.492478,1.582389,1.462095,1.174752,0.077536,-0.805311,0.084569,-0.277437,-1.172607,-1.600977,-1.718002,0.126093,-0.008999,-0.293135,-0.686987,-1.583861,-1.690803,-1.686072,-0.582954,-0.245648,-0.04574,2
-0.873958,-0.797024,-0.318972,-0.314704,0.766531,0.994318,1.071196,1.484832,1.491888,1.20549,0.909133,0.51308,-0.790537,-0.952087,-0.84818,-0.378608,0.618808,0.880567,0.674005,0.850123,1.231609,1.486368,1.566945,1.412905,1.550272,1.508504,1.095209,-0.627791,-0.775343,-0.001219,-0.119011,-0.271457,-1.702249,-1.70741,-0.125213,0.06331,-0.303267,-1.413637,-1.689463,-1.310754,-0.214382,2
-0.895168,-0.79223,-0.260545,-0.237628,0.289665,0.652716,0.965397,1.471777,1.52401,1.476838,1.184784,0.444454,-0.77552,-0.958478,-1.014005,-0.864516,1.206221,1.4766,1.514891,1.305721,1.794102,1.535612,-0.031704,-0.698699,-0.927778,0.052565,0.026305,-0.160472,-1.615111,-1.636582,-1.523584,-0.02502,-0.233235,-1.304532,-1.488158,-1.555812,-1.504057,-1.300473,-0.581485,-0.231134,-0.106186,3
-0.81076,-0.794712,-0.279076,0.626583,1.059795,1.320296,1.408766,1.161359,0.662589,0.348307,-0.08636,-0.6736,-0.769253,-0.570673,-0.0554,1.218687,1.411039,1.400673,1.498463,1.427678,1.601845,1.207594,-0.18856,-0.692785,-0.160419,-0.078813,-0.306763,-0.38073,-1.113313,-1.423186,-1.695738,-1.125361,-0.288396,-0.330267,-0.487613,-0.895093,-1.632973,-1.554236,-1.236926,-0.59504,-0.43133,3
-0.971115,-0.895169,-0.467348,0.843396,1.321214,1.3839,1.311234,0.821962,0.349039,-0.633211,-0.865846,-0.971542,-0.913989,-0.427142,1.485841,1.440122,1.372827,1.581034,1.511838,1.179779,-0.360749,-0.870409,-0.034108,0.01912,-0.175923,-0.55603,-1.607581,-1.64053,-1.488046,-1.282119,-0.371917,0.014035,-0.085008,-0.28813,-1.169485,-1.407728,-1.541464,-1.575587,-1.484576,-0.350198,-0.120509,3
-0.956398,-0.995862,0.790379,1.349863,1.473935,1.422018,1.147703,0.787981,0.481607,0.319669,0.060248,-0.896528,-1.105924,-1.045802,-0.791136,1.539401,1.518659,1.613659,1.482644,1.364799,1.725026,1.544323,-0.33877,-0.945796,-0.139303,-0.189327,-0.72504,-0.990266,-1.415706,-1.512322,-0.622719,-0.30406,-0.129626,-0.156931,-0.328925,-1.33825,-1.433755,-1.29887,-1.075253,-1.02342,-0.188696,3
-1.07746,-0.678215,0.269824,0.372687,0.682487,1.048465,1.528439,1.553637,1.496639,1.02551,0.716358,0.43331,0.119368,-0.171015,-0.807744,-0.96739,-0.955654,-0.733487,1.354122,1.523865,1.535213,1.644678,1.375696,0.768049,-0.670319,-0.907286,-0.048562,-0.073502,-0.459888,-1.613335,-1.664741,-1.216826,-0.113111,0.043471,-0.27047,-1.21454,-1.447536,-1.556126,-1.406028,-1.027538,-0.187454,3
