@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute target {1,2,3,4,5,6,7}

@data
2.48394,2.067516,1.921893,-0.156189,-0.208985,-0.797171,-0.974597,-1.128163,-1.350834,-1.428298,-1.476542,-1.454615,-1.318836,-1.119976,-1.104096,-1.393178,-1.410399,-1.243482,-0.966537,-0.644422,0.33845,0.502352,0.630603,0.802583,0.924996,1.018569,0.941606,0.337626,-0.163099,-0.368195,-0.444798,-0.578858,-0.604171,-0.440134,0.157949,0.980212,1.163211,1.2201,1.257672,1.113846,0.949496,-0.476485,-0.573086,-0.455704,-0.186352,-0.074928,0.310688,0.750491,0.8775,0.860533,0.728972,0.565174,0.272961,-0.129862,-0.676339,-1.131615,-1.254445,-1.407287,-1.346796,-1.145076,-1.071061,-1.257938,-1.408538,-1.438567,-1.384523,-1.306864,-1.213696,-1.097053,-0.960141,-0.205275,-0.116994,2.361228,2.483939,1
2.60332,0.03662,-0.076146,-0.077345,-0.327159,-0.777401,-1.177238,-1.487761,-1.591384,-1.539839,-1.361748,-0.944457,-0.018474,1.214663,1.353093,1.429684,1.229809,-0.277013,-1.49426,-1.944247,-2.102479,-1.89029,-0.580455,-0.236612,0.080088,0.129462,0.227202,0.341617,0.512348,0.54215,0.603805,0.470661,-0.015294,-0.155687,-0.255515,-0.098247,0.371018,0.175757,-0.335955,-0.240189,-0.077119,-0.234805,-0.317426,-0.18653,0.027555,0.595115,0.480473,0.288884,0.60415,0.592329,0.059411,-1.150297,-1.388949,-1.564791,-1.651999,1.323906,1.242016,1.122753,0.895639,0.124934,-0.598588,-1.036672,-1.164681,-1.030184,-0.927159,-0.79056,-0.465536,-0.279973,-0.064031,0.011087,-0.058284,2.405276,2.605294,4
2.757321,2.576667,0.482842,-0.044849,-0.626913,-1.358288,-1.46597,-1.508949,-1.478207,-1.323923,-0.897045,-0.516016,-0.106258,0.04362,0.224522,0.226481,-0.401338,-0.667066,-0.778706,-0.880961,-0.822913,-0.669114,-0.427322,0.396115,0.590199,0.749911,0.811053,0.712065,0.612403,0.473542,0.054452,-0.195017,-0.382116,-0.53878,-0.561132,-0.723743,-0.535097,-0.628415,-0.651604,-0.563214,-0.630903,-0.415406,-0.242403,-0.009837,0.598177,0.64696,0.748467,0.724612,0.546738,0.343734,-0.42481,-0.795951,-0.428456,0.14491,0.134075,0.004181,-0.133171,-0.869736,-1.024173,-1.277489,-1.382455,-1.46212,-1.505878,-1.521235,-1.514344,-1.46524,-1.353707,-1.184009,-0.080204,0.561279,0.750142,2.584945,2.759135,6
0.916063,-0.054012,-0.574453,-1.644878,-1.830656,-1.919581,-1.803539,-0.185914,-0.104358,0.021735,0.091275,0.017601,0.180527,0.161358,0.107642,-0.03497,-0.449143,-0.630571,-0.718658,-0.752345,-0.758706,-0.705807,0.223694,0.443558,0.987339,1.122091,1.168995,2.348291,2.534063,2.659484,2.454807,1.73652,1.287824,1.143285,1.109422,-0.328256,-0.524141,-0.655584,-0.711926,-0.729304,-0.681295,-0.558144,-0.14599,-0.066734,0.024303,-0.113239,-0.051202,-0.079004,-0.221939,-0.279545,-0.420773,-1.800757,-1.861114,-1.784232,-1.505152,-1.162365,-0.568062,0.301596,0.710093,0.813405,0.576479,0.522695,0.55844,0.77279,0.794096,0.987738,1.133398,0.984352,0.541502,0.517342,0.658641,0.853401,0.916217,5
2.656142,1.310169,0.750668,0.280109,0.202769,0.190427,-0.848439,-1.273412,-1.584146,-1.701056,-1.618863,-1.204867,-1.465617,-1.396953,-0.474111,-0.650893,-0.455141,0.08632,0.041223,0.22912,0.483767,0.559157,0.946656,0.982478,0.34053,0.436915,0.654899,0.604009,-0.419168,-0.855717,-1.056647,-0.819121,-0.646091,-0.570673,-0.038956,0.145073,0.132646,0.298854,1.381179,1.327946,0.253333,-0.956323,-0.750359,-0.27794,0.388832,0.557583,0.424678,0.376797,1.041235,0.500499,0.295355,0.085226,0.122572,-0.434789,-0.620523,-0.788246,-1.038618,-1.227594,-1.366765,-1.383944,-1.252014,-1.505062,-1.5541,-1.514516,-1.406161,-1.099404,0.218445,0.190445,0.636663,0.792403,1.392679,2.469993,2.655524,2
2.716798,0.503446,-0.296803,-1.558268,-1.630423,-1.582334,-1.402207,-0.995539,-0.056332,0.054337,0.098968,0.189226,0.221619,0.124358,-0.034593,-0.304053,-0.661607,-0.760526,-0.760445,-0.397951,-0.124836,0.373611,0.722978,0.758149,0.655287,0.627307,0.589851,0.178364,-0.268749,-0.456178,-0.546939,-0.441283,-0.623459,-0.538105,-0.483729,-0.594606,-0.431194,-0.572487,-0.355097,-0.170275,0.284475,0.489598,0.625175,0.65756,0.761223,0.767523,0.611223,0.433163,0.190264,-0.339755,-0.443723,-0.598053,-0.700149,-0.321944,0.131724,0.22918,0.113027,0.140952,-0.003838,-0.183236,-0.800912,-1.138189,-1.277809,-1.467743,-1.519882,-1.537841,-1.493581,-1.418848,-1.074251,-0.155972,0.525989,2.608897,2.71483,6
2.682277,0.489314,-0.191889,-1.280996,-1.591189,-1.641761,-1.547253,-1.459305,-1.324409,-0.827266,-0.202748,-0.021691,0.082824,0.219924,0.260698,0.1456,-0.149783,-0.531616,-0.833434,-0.735199,-0.564823,-0.338822,-0.055566,0.429953,0.757973,0.785803,0.690029,0.638039,0.586543,0.440957,0.079708,-0.168109,-0.351703,-0.497236,-0.423764,-0.582028,-0.438065,-0.506969,-0.438578,-0.510187,-0.068827,0.177004,0.57767,0.616529,0.646837,0.74114,0.738847,0.390456,-0.120322,-0.303982,-0.412457,-0.56363,-0.643428,-0.424809,0.127537,0.190812,0.083664,-0.019605,-0.168862,-0.768793,-0.945064,-1.097742,-1.357228,-1.456463,-1.519927,-1.571157,-1.54614,-1.455947,-0.074508,0.389518,0.761326,2.546425,2.682868,6
2.483831,2.06263,1.259224,-0.110644,-0.242856,-0.322113,-0.706448,-1.007991,-1.140845,-1.243487,-1.362335,-1.315753,-1.204609,-1.059919,-0.886025,-0.95361,-1.052347,-1.205562,-1.194685,-1.090506,-0.947528,-0.596953,0.228397,0.497445,0.663686,0.777097,0.789829,0.35685,-0.031832,-0.343378,-0.494776,-0.5503,-0.445311,0.077912,0.639649,0.808774,0.892972,0.900412,0.846569,0.990917,1.358108,1.458484,1.521795,1.347756,-0.568715,-0.612131,-0.578296,-0.451704,-0.293715,0.26596,0.307971,-0.069057,-0.250072,-0.567785,-0.843684,-0.975299,-1.204621,-1.296506,-1.422757,-1.434855,-1.129171,-1.114042,-1.3102,-1.437452,-1.306701,-1.12195,-0.999939,-0.459123,-0.313051,-0.217442,0.379996,2.417056,2.488396,1
2.546714,1.128527,0.553447,0.300101,0.161854,0.088628,0.103565,-0.005486,-0.543683,-0.743723,-0.531876,-0.509337,-0.686179,-0.93994,-1.292163,-1.421215,-1.553179,-1.521715,-1.115731,-1.085254,-1.256966,-1.256864,-0.525512,-0.432797,0.070965,0.08793,0.38312,0.798049,0.824775,0.333294,0.446371,0.389188,-0.113319,-0.306961,-0.855632,-0.547126,0.143653,0.136216,1.875509,2.027556,1.809778,0.230618,0.059689,-0.743103,-0.930656,-0.613464,0.160043,-0.097687,0.083184,0.022216,0.528541,0.178924,0.133998,-0.005681,-0.226333,-0.194874,-0.61399,-0.762871,-0.663342,-1.346097,-1.440745,-1.196711,-1.446057,-1.572705,-1.462445,-1.21011,-0.159416,0.037331,0.091763,0.514004,0.990087,2.449755,2.554036,2
2.73701,0.682196,0.230549,-0.400424,-1.204231,-1.351651,-1.393171,-1.427666,-1.39273,-1.25422,-1.018924,-0.737614,-0.389698,-0.009985,0.203359,0.22317,0.100189,-0.260156,-0.586535,-0.852585,-0.953809,-1.020946,0.463523,0.661121,0.796799,0.874518,0.818019,0.734775,0.717685,0.57844,-0.099903,-0.307303,-0.498868,-0.659005,-0.586051,-0.651062,-0.512328,-0.618135,-0.600306,-0.282438,0.574346,0.680486,0.722519,0.814496,0.653311,0.46408,-0.483402,-0.589603,-0.54987,-0.535937,-0.620543,-0.356512,0.075362,0.081297,-0.000282,-0.051638,-0.18776,-0.535145,-0.855877,-0.997532,-1.233048,-1.396433,-1.448012,-1.47199,-1.45455,-1.412971,-1.304604,0.013493,0.63812,0.831415,2.284577,2.687123,2.747746,6
