@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute target {1,2}

@data
-0.706732,-0.652137,-0.456754,0.349941,0.779359,1.308566,1.493231,1.521142,1.511764,1.369302,0.977197,-0.571952,-0.720264,-0.676297,-0.476203,0.044653,1.495464,1.658245,1.658245,1.560889,1.537666,1.657575,1.45661,0.297489,-0.477833,-0.655107,-0.571929,-0.752731,-1.218009,-1.330023,-1.339604,-1.273051,-0.841267,-0.64479,-0.611899,-0.790602,-1.320345,-1.39102,-1.300293,-0.607344,-0.526601,2
-0.764312,-0.663666,-0.488526,0.055587,0.380786,1.106183,1.399836,1.49246,1.536048,1.424073,1.219473,0.910038,0.68233,-0.428781,-0.64176,-0.74962,-0.697484,-0.326049,1.106747,1.581139,1.48006,1.486448,1.554084,1.557278,1.65009,-0.038972,-0.55062,-0.733895,-0.575119,-1.280357,-1.332493,-1.260292,-0.985295,-0.631032,-0.730927,-1.324922,-1.308821,-1.104691,-0.672816,-0.56054,-0.514284,2
-0.838371,-0.776588,-0.570641,0.822461,1.430478,1.563154,1.535389,1.543702,1.373949,1.171111,0.521695,-0.608432,-0.809658,-0.825137,-0.733593,-0.513031,0.296577,1.582108,1.51577,1.513276,1.660583,1.701816,1.464728,0.912408,-0.269093,-0.533731,-0.746296,-0.61889,-0.684496,-0.764219,-1.226424,-1.230132,-0.87849,-0.609446,-0.825669,-1.173354,-1.256002,-1.240058,-0.891458,-0.591673,-0.561945,2
-0.778612,-0.705656,-0.538213,0.310679,0.793301,1.113998,1.581767,1.524722,1.600021,1.496096,1.242816,0.920252,-0.430264,-0.634277,-0.746729,-0.752205,-0.448228,1.269367,1.472655,1.587368,1.509994,1.506882,1.652295,1.65188,1.464565,-0.303872,-0.720592,-0.497452,-0.720675,-1.047283,-1.285939,-1.261648,-0.77689,-0.568105,-0.77996,-1.211594,-1.337321,-1.280857,-1.012164,-0.494444,-0.439017,2
-0.747953,-0.663562,-0.452362,0.384476,0.847531,1.149007,1.384953,1.497264,1.476659,1.353581,0.893013,0.572416,-0.242981,-0.676111,-0.724229,-0.714613,-0.549116,-0.03217,1.403703,1.570591,1.455682,1.453825,1.675663,1.648003,0.608058,-0.264311,-0.711754,-0.730559,-0.984865,-1.230983,-1.257505,-0.965057,-0.860951,-0.921376,-1.216337,-1.302016,-0.968101,-0.672213,-0.392345,-0.43829,-0.6031,1
-0.80592,-0.715253,-0.280654,1.437568,1.585491,1.520301,1.559575,1.401883,1.132352,0.793643,0.621199,-0.512068,-0.71003,-0.78124,-0.746711,-0.081775,1.440359,1.631144,1.496378,1.558578,1.58589,1.649883,-0.400727,-0.655007,-0.755782,-0.513443,-0.811702,-1.012833,-1.29295,-1.277002,-1.15974,-1.059942,-0.627077,-0.706162,-1.26191,-1.333201,-1.302839,-1.039826,-0.488803,-0.378379,-0.399291,2
-0.731686,-0.644377,-0.284337,0.595477,1.083874,1.386639,1.575758,1.522421,1.583776,1.531311,0.810393,-0.291204,-0.658566,-0.704041,-0.670209,-0.474362,0.935542,1.259746,1.472571,1.474139,1.581685,1.480414,1.665176,1.654718,-0.264902,-0.500717,-0.678924,-0.672301,-0.809321,-0.961871,-1.190609,-1.25284,-1.253388,-0.908307,-0.895583,-0.722291,-0.880645,-1.189337,-1.248042,-1.242729,-0.752672,1
-0.902376,-0.784397,-0.579397,0.328143,1.453505,1.54851,1.574996,1.517417,1.379228,1.084232,0.860441,-0.028386,-0.563486,-0.748871,-0.821037,-0.715936,-0.512279,1.433736,1.568087,1.578451,1.462525,1.468475,1.681709,1.628161,-0.379003,-0.620124,-0.795587,-0.499727,-0.796393,-1.214512,-1.371814,-0.757853,-0.562507,-0.534716,-0.563543,-0.671677,-1.391778,-1.337727,-0.814818,-0.529303,-0.433223,2
-0.871359,-0.797164,-0.604187,0.852288,1.393766,1.610424,1.506223,1.542223,1.369987,-0.477247,-0.857471,-0.876726,-0.748878,-0.518614,1.514315,1.592094,1.498297,1.488884,1.549489,1.649065,1.434555,0.79383,0.544146,-0.097354,-0.644381,-0.838315,-0.400806,-0.665534,-1.344867,-1.396257,-1.292635,-0.656171,-0.534814,-0.489583,-0.546918,-0.660002,-1.310387,-1.406908,-1.331855,-0.427046,-0.335231,2
-0.887089,-0.625076,-0.108418,0.844211,1.510771,1.556718,1.41658,1.189798,0.813033,0.230818,-0.004233,-0.552283,-0.755615,-0.866068,-0.748641,-0.586251,0.640731,1.522422,1.673883,1.565579,1.523407,1.668632,1.516022,1.189142,-0.566001,-0.797246,-0.514754,-0.605631,-0.862918,-1.172519,-1.286484,-1.27567,-0.716379,-0.592733,-0.599641,-0.713754,-1.231068,-1.319861,-1.314774,-0.60056,-0.513671,1
