@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute target {1,2}

@data
0.671931,0.599688,0.536503,0.480566,0.436178,0.407191,0.382959,0.350574,0.311395,0.260666,0.208126,0.163738,0.127956,0.098968,0.072924,0.047107,0.02129,-0.007019,-0.034874,-0.063635,-0.094435,-0.124329,-0.151958,-0.163508,-0.158299,-0.142899,-0.140861,-0.176869,-0.211972,-0.233939,-0.235977,-0.219898,-0.181172,-0.116629,-0.022418,0.125238,0.360085,0.648605,0.756403,0.512271,0.169853,-0.063409,-0.176869,-0.218313,-0.21718,-0.184116,-0.124555,-0.049368,0.010872,0.011099,-0.056615,-0.136332,-0.187513,-0.203819,-0.192722,-0.177549,-0.142673,-0.109155,-0.059559,-0.011548,0.04371,0.105083,0.175061,0.25591,0.350574,0.456787,0.577721,0.693672,0.809397,0.936445,1.036091,1.143436,1.208433,1.239685,1.27207,1.261879,1.187824,1.119884,1.031109,0.982871,0.885943,0.780862,0.663778,0.542618,0.426667,0.313886,0.173476,0.07383,-0.022192,-0.132935,-0.243451,-0.328602,-0.410584,-0.477165,-0.547823,-0.611913,-0.652451,-0.696839,-0.744623,-0.807808,-0.857178,-0.903604,-0.939385,-0.974261,-0.998946,-1.019328,-1.036993,-1.050354,-1.06281,-1.077531,-1.087495,-1.098139,-1.109462,-1.121918,-1.13913,-1.157021,-0.41149,-0.426436,1
0.670267,0.597555,0.53481,0.47886,0.433556,0.405242,0.38191,0.350424,0.311916,0.262083,0.209531,0.16536,0.131382,0.102841,0.077018,0.052101,0.027637,-0.000225,-0.028313,-0.057534,-0.088793,-0.11892,-0.146555,-0.159013,-0.15403,-0.139306,-0.137268,-0.173963,-0.210433,-0.233311,-0.236482,-0.2204,-0.181892,-0.115748,-0.019252,0.131156,0.370131,0.663698,0.773333,0.525069,0.176233,-0.061837,-0.177361,-0.219267,-0.217455,-0.182798,-0.120052,-0.040318,0.02356,0.025598,-0.043489,-0.125262,-0.176682,-0.193217,-0.183477,-0.168754,-0.133417,-0.099439,-0.049605,-0.002037,0.052781,0.112808,0.18031,0.258685,0.35269,0.457567,0.576036,0.690427,0.803686,0.926685,1.026806,1.135534,1.199412,1.229765,1.260798,1.25287,1.180158,1.109258,1.021822,0.974933,0.877531,0.77152,0.655317,0.535036,0.418606,0.305801,0.16468,0.06388,-0.03307,-0.144063,-0.255057,-0.34068,-0.422227,-0.487917,-0.557231,-0.620203,-0.658937,-0.701749,-0.749091,-0.811837,-0.860311,-0.906747,-0.942311,-0.976968,-1.001205,-1.021365,-1.038581,-1.051719,-1.063498,-1.077768,-1.087735,-1.098381,-1.109934,-1.122619,-1.140287,-1.158182,-0.413845,-0.428343,1
0.668705,0.596547,0.533465,0.477645,0.433397,0.404579,0.381661,0.351028,0.311999,0.261624,0.209888,0.16564,0.131377,0.103239,0.077598,0.052638,0.027678,0.000448,-0.027008,-0.056507,-0.088502,-0.118908,-0.146364,-0.158391,-0.153399,-0.137969,-0.135019,-0.172232,-0.208311,-0.231003,-0.234406,-0.218069,-0.178359,-0.111647,-0.014528,0.136142,0.376669,0.672336,0.783296,0.533012,0.18107,-0.059457,-0.175863,-0.218523,-0.216707,-0.180628,-0.117093,-0.037219,0.027451,0.029947,-0.039489,-0.122312,-0.175863,-0.192881,-0.181763,-0.166787,-0.132523,-0.099167,-0.049927,-0.002956,0.051049,0.110727,0.178801,0.25754,0.350801,0.454954,0.573402,0.687766,0.801449,0.925116,1.02405,1.131153,1.194915,1.225549,1.257543,1.249601,1.176989,1.106873,1.018604,0.973676,0.877238,0.771043,0.654183,0.532558,0.416606,0.304284,0.16201,0.061714,-0.03495,-0.146137,-0.257552,-0.342871,-0.423651,-0.488775,-0.55753,-0.620385,-0.660094,-0.703661,-0.750632,-0.81326,-0.862046,-0.908563,-0.944189,-0.978679,-1.003186,-1.0227,-1.039719,-1.053107,-1.064906,-1.078975,-1.088732,-1.099397,-1.110742,-1.123677,-1.141149,-1.159529,-0.413213,-0.42819,1
0.666378,0.59466,0.531934,0.475954,0.430539,0.400413,0.374559,0.341285,0.30284,0.254278,0.203468,0.159628,0.12523,0.096228,0.070823,0.045868,0.020463,-0.006516,-0.034169,-0.062947,-0.093972,-0.124323,-0.151077,-0.163442,-0.159845,-0.146131,-0.145007,-0.17963,-0.213353,-0.23561,-0.239657,-0.225718,-0.190421,-0.129944,-0.040914,0.096902,0.317229,0.591512,0.699652,0.471232,0.145239,-0.076436,-0.183901,-0.222795,-0.221447,-0.189072,-0.130393,-0.056427,0.003151,0.006973,-0.053954,-0.126796,-0.17266,-0.184351,-0.169513,-0.152426,-0.114881,-0.079583,-0.028549,0.020013,0.075095,0.135122,0.202569,0.280807,0.373434,0.477977,0.597133,0.711793,0.826227,0.951903,1.052174,1.15964,1.22214,1.251592,1.281943,1.273175,1.198084,1.125916,1.034413,0.986526,0.889403,0.782387,0.66458,0.542276,0.425818,0.313407,0.170195,0.0679,-0.028773,-0.140735,-0.253147,-0.339703,-0.422213,-0.488986,-0.558905,-0.622305,-0.661649,-0.705265,-0.751354,-0.812955,-0.860168,-0.905357,-0.93953,-0.973703,-0.99731,-1.016869,-1.034181,-1.04767,-1.059586,-1.074199,-1.084541,-1.095333,-1.106798,-1.119164,-1.13625,-1.153562,-0.417492,-0.430532,1
0.667513,0.596067,0.532934,0.477215,0.431156,0.400601,0.374763,0.34241,0.303542,0.254338,0.203562,0.159975,0.125151,0.096393,0.070555,0.045841,0.021127,-0.006283,-0.034143,-0.063126,-0.093906,-0.123787,-0.150973,-0.16333,-0.15996,-0.146704,-0.145356,-0.180405,-0.213882,-0.235675,-0.239494,-0.226014,-0.191639,-0.131202,-0.042456,0.09482,0.314551,0.588203,0.694249,0.467104,0.143574,-0.077505,-0.184225,-0.223318,-0.22197,-0.189617,-0.131202,-0.057509,0.002704,0.006523,-0.054813,-0.126484,-0.172092,-0.184674,-0.170295,-0.15277,-0.114801,-0.078853,-0.028077,0.020228,0.075049,0.135037,0.203337,0.282422,0.375213,0.478787,0.598089,0.714245,0.828604,0.953298,1.05193,1.158425,1.222682,1.252563,1.283568,1.27548,1.19954,1.126521,1.033506,0.986774,0.890165,0.782995,0.664817,0.54237,0.426214,0.313652,0.17031,0.069207,-0.028077,-0.141312,-0.253649,-0.339699,-0.422379,-0.489332,-0.559205,-0.622788,-0.66233,-0.705468,-0.751301,-0.812862,-0.860268,-0.904978,-0.939353,-0.972829,-0.996645,-1.016416,-1.033716,-1.047196,-1.059778,-1.074382,-1.084267,-1.095052,-1.10651,-1.119092,-1.136167,-1.153467,-0.41811,-0.43159,1
0.666878,0.594473,0.531707,0.476338,0.431057,0.400347,0.374792,0.342064,0.30306,0.253295,0.203307,0.160043,0.125522,0.096829,0.070378,0.04572,0.021062,-0.006959,-0.034531,-0.063,-0.094383,-0.124196,-0.151096,-0.163873,-0.160735,-0.147061,-0.14594,-0.180461,-0.213862,-0.235157,-0.239641,-0.226415,-0.191445,-0.13137,-0.043273,0.093467,0.313147,0.585058,0.692208,0.465803,0.141214,-0.079139,-0.184496,-0.223277,-0.222156,-0.189204,-0.130697,-0.057171,0.002232,0.005819,-0.055378,-0.127335,-0.172392,-0.184721,-0.170374,-0.153786,-0.116351,-0.080484,-0.029823,0.018596,0.073964,0.134265,0.202634,0.281316,0.372999,0.477908,0.597163,0.71171,0.826258,0.952462,1.05356,1.159814,1.224149,1.255532,1.287139,1.279517,1.200612,1.125741,1.035627,0.989001,0.892162,0.784564,0.665084,0.543139,0.427247,0.315165,0.171476,0.069481,-0.027806,-0.140112,-0.252866,-0.339394,-0.422334,-0.488911,-0.559298,-0.622512,-0.661965,-0.705005,-0.751182,-0.812379,-0.859453,-0.904286,-0.938359,-0.972208,-0.995969,-1.015471,-1.032732,-1.046406,-1.058511,-1.072633,-1.082721,-1.093929,-1.105585,-1.118138,-1.134951,-1.151987,-0.419868,-0.433766,1
0.608401,0.538638,0.478937,0.428851,0.390168,0.366467,0.347685,0.320853,0.285301,0.237898,0.190047,0.148905,0.117601,0.091888,0.067739,0.044485,0.021454,-0.006272,-0.033328,-0.061725,-0.092805,-0.122991,-0.149599,-0.159214,-0.152282,-0.135289,-0.131711,-0.170394,-0.203934,-0.224952,-0.227188,-0.209747,-0.166816,-0.093923,0.011392,0.171936,0.421472,0.721318,0.830211,0.573743,0.210619,-0.03847,-0.161673,-0.207735,-0.206169,-0.169276,-0.105326,-0.026843,0.032187,0.030174,-0.041824,-0.126121,-0.180456,-0.199238,-0.188058,-0.174195,-0.138195,-0.10555,-0.05524,-0.008061,0.045826,0.105527,0.173948,0.253773,0.347908,0.454565,0.577991,0.697169,0.814559,0.945811,1.048443,1.161584,1.226204,1.252141,1.286799,1.278973,1.191323,1.114628,1.018481,0.973314,0.873142,0.76246,0.640375,0.514042,0.398441,0.283959,0.137725,0.038224,-0.055911,-0.166145,-0.276827,-0.358664,-0.438041,-0.499084,-0.567058,-0.626088,-0.660969,-0.701441,-0.747502,-0.810557,-0.857513,-0.90268,-0.93689,-0.970654,-0.992343,-1.010678,-1.027,-1.039298,-1.051596,-1.065907,-1.075074,-1.086254,-1.097881,-1.111074,-1.129185,-1.146626,-0.41434,-0.429992,1
0.608136,0.53987,0.480781,0.429974,0.390581,0.366408,0.348055,0.32142,0.28628,0.239053,0.190484,0.149077,0.117742,0.092226,0.068277,0.044552,0.021275,-0.006479,-0.033562,-0.06154,-0.092651,-0.122419,-0.14883,-0.158455,-0.15174,-0.135401,-0.132267,-0.170989,-0.204338,-0.225601,-0.227168,-0.20971,-0.166736,-0.09377,0.011203,0.171235,0.420125,0.720495,0.828601,0.572101,0.209957,-0.038262,-0.161588,-0.207695,-0.206352,-0.169869,-0.105633,-0.027742,0.031123,0.030227,-0.041396,-0.126,-0.180165,-0.198295,-0.187104,-0.173674,-0.138087,-0.104513,-0.054601,-0.007822,0.046566,0.106327,0.174145,0.254273,0.348726,0.455713,0.578591,0.697665,0.815171,0.94566,1.048842,1.161648,1.226332,1.253863,1.286317,1.27714,1.189849,1.114645,1.018178,0.972071,0.872246,0.762349,0.64059,0.514131,0.398191,0.283818,0.136991,0.037614,-0.056392,-0.167184,-0.277304,-0.358551,-0.438008,-0.499335,-0.567601,-0.626914,-0.661383,-0.701671,-0.748002,-0.810896,-0.857451,-0.902887,-0.936684,-0.970257,-0.992192,-1.011216,-1.027555,-1.039866,-1.051728,-1.066277,-1.075677,-1.086421,-1.098059,-1.111265,-1.128947,-1.146405,-0.412493,-0.42816,1
0.609533,0.54111,0.481184,0.429531,0.390176,0.366474,0.348138,0.321306,0.285976,0.238572,0.190273,0.14913,0.117378,0.091663,0.068184,0.044482,0.021004,-0.005829,-0.033109,-0.06173,-0.093035,-0.122998,-0.14916,-0.159222,-0.152067,-0.13552,-0.132166,-0.170626,-0.205062,-0.226304,-0.227198,-0.209086,-0.167272,-0.095048,0.010047,0.169478,0.417009,0.717982,0.825313,0.568837,0.208161,-0.040264,-0.162129,-0.207745,-0.20685,-0.171073,-0.106899,-0.028413,0.031513,0.029277,-0.043618,-0.127694,-0.181136,-0.19813,-0.18762,-0.173757,-0.137756,-0.104663,-0.054575,-0.007394,0.047389,0.106868,0.174621,0.254671,0.349256,0.455693,0.579123,0.698528,0.816592,0.947178,1.049813,1.164075,1.229368,1.255977,1.287282,1.279008,1.191802,1.115776,1.017613,0.971551,0.872941,0.763821,0.640838,0.512712,0.398226,0.284634,0.136608,0.037774,-0.054575,-0.165707,-0.27751,-0.359126,-0.437835,-0.498879,-0.566855,-0.626334,-0.660993,-0.701242,-0.74641,-0.810138,-0.857542,-0.902487,-0.936475,-0.97024,-0.992153,-1.010489,-1.027259,-1.039557,-1.050961,-1.065943,-1.075334,-1.086291,-1.097695,-1.110664,-1.128999,-1.146888,-0.413909,-0.429561,1
0.635128,0.565056,0.504417,0.451189,0.409415,0.382464,0.360904,0.331483,0.293976,0.246588,0.197852,0.155404,0.122165,0.095439,0.071408,0.047601,0.022897,-0.005851,-0.034149,-0.062897,-0.094564,-0.124434,-0.152283,-0.163513,-0.158347,-0.1433,-0.141503,-0.177437,-0.211799,-0.233809,-0.236055,-0.219435,-0.180806,-0.113878,-0.016856,0.13317,0.369887,0.65826,0.764716,0.520812,0.176965,-0.059079,-0.173619,-0.214944,-0.212698,-0.176314,-0.112531,-0.0337,0.028736,0.02941,-0.038866,-0.118146,-0.168229,-0.182827,-0.172047,-0.157673,-0.121514,-0.086928,-0.036844,0.010544,0.065344,0.125534,0.193585,0.272416,0.364722,0.468931,0.588862,0.705424,0.821762,0.948655,1.048597,1.157074,1.220183,1.250278,1.281496,1.269818,1.190088,1.117321,1.024566,0.974932,0.874315,0.765839,0.646582,0.523282,0.406496,0.293302,0.150239,0.049398,-0.045828,-0.155877,-0.266824,-0.350147,-0.429651,-0.493435,-0.56171,-0.621675,-0.658733,-0.700282,-0.746547,-0.808534,-0.856371,-0.902412,-0.937673,-0.972484,-0.996515,-1.016055,-1.033123,-1.046599,-1.059176,-1.073549,-1.083207,-1.093538,-1.104543,-1.117569,-1.135087,-1.153279,-0.420218,-0.435041,1
