@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute target {1,2}

@data
-0.19866,-0.166035,-0.133522,-0.100844,-0.068166,-0.035479,-0.002832,0.029778,0.062412,0.095119,0.127746,0.160389,0.193027,0.225655,0.258233,0.290704,0.322845,0.354815,0.386095,0.416333,0.445344,0.472683,0.498457,0.522587,0.544848,0.564511,0.583065,0.598142,0.613003,0.623485,0.631881,0.637385,0.640397,0.641851,0.641846,0.640764,0.639226,0.63758,0.636068,0.634873,0.633978,0.633337,0.632824,0.632473,0.632164,0.631887,0.631615,0.631331,0.631079,0.630884,0.630835,0.631024,0.631317,0.63149,0.631187,0.629929,0.627719,0.624107,0.619475,0.613461,0.603013,0.590032,0.575324,0.55901,0.540133,0.518727,0.494471,0.467546,0.438119,0.407171,0.375353,0.343325,0.311252,0.27903,0.246671,2
-0.005158,0.028572,0.062395,0.096136,0.129919,0.16371,0.197483,0.231097,0.264752,0.298114,0.331157,0.363515,0.395085,0.425286,0.453753,0.480244,0.504931,0.52785,0.548891,0.568405,0.586077,0.602363,0.616471,0.627435,0.635277,0.640172,0.643208,0.644706,0.644682,0.643363,0.641287,0.638783,0.636104,0.633403,0.630749,0.628197,0.625856,0.623708,0.621681,0.619905,0.618268,0.616773,0.615413,0.614137,0.612927,0.611884,0.610954,0.610006,0.608772,0.606855,0.604528,0.601227,0.59713,0.59127,0.583896,0.57408,0.561437,0.546041,0.528431,0.509342,0.488676,0.465922,0.441052,0.41394,0.384597,0.353553,0.321102,0.288385,0.255628,0.2226,0.189409,0.156067,0.122589,0.089076,0.055638,2
-0.051362,-0.018901,0.013531,0.045839,0.078066,0.110222,0.142256,0.174202,0.206015,0.237753,0.269367,0.300982,0.332566,0.364023,0.395261,0.426176,0.456286,0.485021,0.512099,0.537301,0.560432,0.581376,0.600157,0.616587,0.630701,0.6433,0.653929,0.663024,0.670449,0.676505,0.681577,0.685818,0.689374,0.692479,0.695272,0.698014,0.700551,0.702696,0.703999,0.70435,0.704337,0.704303,0.70428,0.704612,0.705096,0.705443,0.705705,0.706007,0.706156,0.705759,0.704285,0.701163,0.696511,0.687567,0.674484,0.659217,0.641436,0.620042,0.595373,0.568006,0.538306,0.507478,0.47612,0.444508,0.412771,0.38092,0.349049,0.317243,0.285525,0.253892,0.222292,0.190708,0.159138,0.127502,0.095874,1
0.06687,0.100126,0.133283,0.166314,0.199317,0.23231,0.265247,0.298114,0.330842,0.363263,0.395152,0.426238,0.455973,0.484196,0.5106,0.535125,0.557531,0.577675,0.595581,0.611306,0.624902,0.636599,0.646642,0.655004,0.661975,0.667652,0.672507,0.676632,0.68034,0.683751,0.686812,0.689599,0.691884,0.6934,0.694206,0.694577,0.694796,0.694911,0.695132,0.695469,0.695852,0.696249,0.696419,0.696227,0.695533,0.694153,0.691726,0.687858,0.682497,0.675708,0.666296,0.654389,0.640644,0.623922,0.604568,0.582795,0.558573,0.531973,0.50305,0.471958,0.439927,0.407597,0.375042,0.342314,0.309516,0.276684,0.243753,0.210728,0.177695,0.144654,0.111653,0.078648,0.045721,0.012799,-0.020107,1
0.230188,0.264716,0.299253,0.333629,0.36716,0.399233,0.429301,0.457178,0.482848,0.506541,0.528142,0.547221,0.563349,0.575889,0.584771,0.590732,0.593328,0.593796,0.5926,0.590625,0.588574,0.586613,0.584977,0.583588,0.582392,0.581275,0.58027,0.579358,0.578556,0.577893,0.577426,0.577213,0.577228,0.577581,0.578174,0.578817,0.579441,0.579943,0.580326,0.580451,0.580364,0.580084,0.579677,0.579168,0.578437,0.5773,0.575312,0.571912,0.565757,0.556703,0.545014,0.530534,0.513998,0.495872,0.476695,0.456154,0.433687,0.408587,0.38069,0.349857,0.31658,0.281629,0.246439,0.211176,0.175745,0.140253,0.104987,0.069703,0.034329,-0.000917,-0.03621,-0.071467,-0.106734,-0.14184,-0.176916,2
0.190773,0.223122,0.255417,0.287628,0.319434,0.350533,0.380755,0.409632,0.436747,0.461824,0.48494,0.506187,0.525654,0.543702,0.560738,0.576747,0.591584,0.605395,0.617696,0.628607,0.637915,0.645261,0.650836,0.654376,0.656455,0.657155,0.656718,0.655285,0.653022,0.650378,0.647558,0.644916,0.642441,0.640077,0.637851,0.635841,0.634045,0.632473,0.631149,0.629879,0.628733,0.627669,0.626643,0.625605,0.624554,0.623319,0.621202,0.6176,0.611285,0.601658,0.588776,0.572293,0.55318,0.532011,0.509076,0.484664,0.458812,0.431434,0.402355,0.371763,0.339908,0.306871,0.272842,0.238698,0.204477,0.17019,0.135919,0.101528,0.067067,0.03256,-0.001944,-0.036444,-0.070977,-0.105678,-0.14038,2
0.058124,0.086498,0.11529,0.144308,0.173435,0.202553,0.231585,0.260498,0.289267,0.317868,0.346329,0.374795,0.403208,0.431514,0.459726,0.487936,0.516143,0.544361,0.572547,0.600717,0.628932,0.656973,0.685001,0.712884,0.740311,0.766564,0.790855,0.812295,0.830213,0.844646,0.855309,0.862617,0.867136,0.869158,0.869505,0.868649,0.866739,0.863773,0.85992,0.854702,0.848022,0.839301,0.828495,0.815014,0.798819,0.779957,0.758399,0.734521,0.708735,0.681223,0.652419,0.623194,0.593704,0.564035,0.534375,0.504779,0.475643,0.446932,0.418623,0.39054,0.362684,0.334843,0.307022,0.278933,0.250736,0.222496,0.194029,0.165566,0.137032,0.10848,0.079934,0.051304,0.022689,-0.005937,-0.034564,2
-0.457483,-0.423311,-0.38907,-0.354884,-0.320737,-0.286631,-0.252576,-0.218556,-0.184457,-0.1504,-0.11636,-0.082252,-0.048161,-0.014071,0.020101,0.054082,0.088185,0.122124,0.156106,0.19007,0.224036,0.25804,0.292038,0.326026,0.359637,0.392598,0.424132,0.453602,0.480316,0.503587,0.523366,0.539255,0.55136,0.560033,0.565942,0.569529,0.571371,0.572083,0.572207,0.572036,0.57185,0.571677,0.571622,0.571794,0.572005,0.57228,0.572523,0.572878,0.573277,0.573632,0.573784,0.574014,0.574205,0.574312,0.574495,0.57454,0.574652,0.574693,0.574549,0.574498,0.574335,0.574137,0.573624,0.572863,0.571449,0.56934,0.566263,0.562095,0.556442,0.54891,0.539211,0.527014,0.512034,0.493942,0.472885,2
0.410861,0.438824,0.466785,0.494769,0.522769,0.550704,0.578675,0.606607,0.634249,0.661673,0.689131,0.716324,0.743205,0.769469,0.795484,0.821167,0.846121,0.870378,0.893074,0.913882,0.931842,0.945771,0.9547,0.958366,0.956324,0.948711,0.936164,0.919046,0.898156,0.874225,0.848344,0.82077,0.792261,0.763396,0.734289,0.705263,0.676403,0.647781,0.619422,0.591078,0.562801,0.534609,0.506431,0.478272,0.450174,0.42208,0.394019,0.366082,0.338133,0.310226,0.282291,0.254468,0.226694,0.198939,0.171127,0.143319,0.11547,0.087665,0.059829,0.031987,0.004238,-0.023549,-0.051356,-0.079099,-0.106881,-0.134671,-0.162422,-0.190151,-0.217827,-0.245513,-0.273071,-0.300577,-0.328043,-0.355562,-0.38304,2
0.051474,0.082613,0.113761,0.144878,0.175937,0.206957,0.237974,0.268996,0.300035,0.331125,0.362195,0.393279,0.424264,0.455325,0.486399,0.517383,0.548068,0.578201,0.607292,0.635311,0.66208,0.687624,0.712312,0.736232,0.759213,0.781142,0.801706,0.820522,0.837614,0.853063,0.866921,0.879134,0.889899,0.899154,0.906731,0.912394,0.915765,0.916275,0.913353,0.907337,0.897989,0.885832,0.870871,0.853874,0.834913,0.814321,0.792094,0.768641,0.744205,0.718978,0.693255,0.667147,0.640944,0.614539,0.588006,0.561352,0.534542,0.507419,0.480004,0.452275,0.424236,0.395734,0.366592,0.336577,0.305625,0.27373,0.24089,0.207668,0.174454,0.141589,0.109143,0.076776,0.044455,0.012079,-0.020136,1
0.265926,0.295294,0.324673,0.353818,0.383048,0.412256,0.441402,0.470594,0.499681,0.528694,0.5579,0.586827,0.615184,0.642459,0.66864,0.692913,0.714947,0.7345,0.751551,0.766286,0.779002,0.789693,0.798838,0.806327,0.812145,0.816066,0.8183,0.819086,0.818742,0.817647,0.816162,0.814421,0.812195,0.809961,0.807309,0.804313,0.800707,0.796306,0.790554,0.783131,0.773771,0.762121,0.747759,0.731029,0.712035,0.690966,0.667751,0.642477,0.614772,0.584674,0.552893,0.5202,0.48676,0.453463,0.420188,0.386846,0.353542,0.320433,0.28746,0.254449,0.221475,0.188823,0.156245,0.123787,0.091712,0.059539,0.027436,-0.004528,-0.036603,-0.068697,-0.100713,-0.132638,-0.164611,-0.196667,-0.228686,1
0.02334,0.054196,0.085025,0.115778,0.146371,0.176873,0.20737,0.237784,0.268235,0.298658,0.329157,0.359634,0.390129,0.420603,0.451127,0.481577,0.511962,0.54197,0.571452,0.599979,0.6276,0.654044,0.679675,0.704644,0.728594,0.751732,0.773934,0.79484,0.814203,0.832123,0.848213,0.862277,0.87441,0.884666,0.892993,0.899586,0.904278,0.907204,0.907929,0.905829,0.900793,0.892541,0.881305,0.867527,0.851398,0.833333,0.813496,0.792015,0.769127,0.745033,0.719642,0.693282,0.666357,0.639306,0.61203,0.584692,0.55737,0.529836,0.501956,0.472995,0.443051,0.411815,0.379939,0.347828,0.315847,0.284189,0.253049,0.222224,0.19163,0.160977,0.1304,0.099793,0.069287,0.038868,0.008455,1
