@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute target {1,2,3,4,5,6,7}

@data
0.004764,-0.011807,-0.027515,-0.042624,-0.058554,-0.074492,-0.090347,-0.106134,-0.121875,-0.137568,-0.153092,-0.167099,-0.177582,-0.184358,-0.187133,-0.187971,-0.185153,-0.178136,-0.166551,-0.150846,-0.131402,-0.108424,-0.082096,-0.052653,-0.020842,0.010444,0.038117,0.060889,0.08145,0.101464,0.119791,0.136863,0.151642,0.163023,0.170687,0.174541,0.174497,0.170049,0.161806,0.149963,0.134452,0.116986,0.09823,0.078182,0.05692,0.031399,0.001519,-0.030421,-0.062895,-0.09328,-0.120308,-0.143729,-0.163341,-0.178387,-0.189015,-0.195298,-0.197544,-0.196921,-0.192162,-0.183162,-0.17032,-0.153713,-0.133514,-0.110209,-0.086337,-0.062367,-0.038256,-0.014097,0.010127,0.034388,0.057511,1
-0.067707,-0.100512,-0.133241,-0.16592,-0.193836,-0.216063,-0.236969,-0.255545,-0.2689,-0.275915,-0.275483,-0.267935,-0.260414,-0.255465,-0.244881,-0.229232,-0.210722,-0.192799,-0.176087,-0.161304,-0.148692,-0.138815,-0.133551,-0.133918,-0.139386,-0.148947,-0.158097,-0.167108,-0.176008,-0.18479,-0.193559,-0.202288,-0.21108,-0.219912,-0.228508,-0.235559,-0.240224,-0.238952,-0.235342,-0.229955,-0.224256,-0.218712,-0.213243,-0.207811,-0.202405,-0.19696,-0.191387,-0.185552,-0.179368,-0.171809,-0.160559,-0.146069,-0.133053,-0.122468,-0.114261,-0.108232,-0.104172,-0.099607,-0.09626,-0.09813,-0.097526,-0.094822,-0.090303,-0.084776,-0.076269,-0.065254,-0.049133,-0.027428,-0.000109,0.032602,0.069912,4
-0.010088,-0.05496,-0.098306,-0.135856,-0.168207,-0.194559,-0.215247,-0.230388,-0.240001,-0.246667,-0.250255,-0.250744,-0.248136,-0.242616,-0.234335,-0.223937,-0.213315,-0.202838,-0.193193,-0.184637,-0.1769,-0.16825,-0.15911,-0.150056,-0.138837,-0.126185,-0.112,-0.09687,-0.080964,-0.064785,-0.04871,-0.034775,-0.024369,-0.017339,-0.01501,-0.017857,-0.025272,-0.035996,-0.050073,-0.066947,-0.08567,-0.103778,-0.12114,-0.137475,-0.152402,-0.165652,-0.177102,-0.186379,-0.192768,-0.197648,-0.20224,-0.207539,-0.214163,-0.221876,-0.230894,-0.239954,-0.248961,-0.256763,-0.261751,-0.263789,-0.262832,-0.258823,-0.251814,-0.241667,-0.226899,-0.206649,-0.180711,-0.148639,-0.111302,-0.069089,-0.024221,6
0.176744,0.170956,0.165002,0.158951,0.152808,0.146556,0.140203,0.134526,0.130441,0.128348,0.129128,0.133082,0.140469,0.151486,0.166171,0.184805,0.205878,0.226852,0.246176,0.263284,0.278218,0.290574,0.297981,0.303035,0.304469,0.304812,0.301519,0.296508,0.290584,0.279769,0.266526,0.251318,0.234383,0.215768,0.195755,0.174686,0.154179,0.136138,0.121172,0.109353,0.100533,0.094537,0.091342,0.091174,0.09375,0.097788,0.101826,0.105635,0.109488,0.113011,0.116662,0.120264,0.122902,0.121918,0.117451,0.110078,0.101344,0.090497,0.079787,0.066676,0.053487,0.039673,0.021241,-0.002724,-0.031346,-0.057528,-0.079544,-0.097274,-0.110499,-0.119359,-0.124381,5
-0.090269,-0.114744,-0.13182,-0.141785,-0.148836,-0.155952,-0.162888,-0.170742,-0.1799,-0.189971,-0.20048,-0.210711,-0.22316,-0.239125,-0.253581,-0.262856,-0.266523,-0.264388,-0.256679,-0.242883,-0.223562,-0.19876,-0.169818,-0.141551,-0.113472,-0.083516,-0.053231,-0.022878,0.006664,0.035465,0.063818,0.089459,0.111588,0.129307,0.141504,0.15199,0.156171,0.159091,0.157971,0.152083,0.140264,0.125672,0.105986,0.082702,0.057463,0.032328,0.006191,-0.025202,-0.058996,-0.092739,-0.122032,-0.146558,-0.166016,-0.183214,-0.199774,-0.212049,-0.218126,-0.217422,-0.21484,-0.209162,-0.197979,-0.181624,-0.161138,-0.136249,-0.107215,-0.074116,-0.04061,-0.005808,0.031622,0.069129,0.105541,2
-0.036077,-0.079327,-0.121428,-0.158601,-0.194938,-0.225597,-0.251023,-0.270569,-0.284355,-0.292653,-0.296361,-0.297111,-0.295028,-0.29031,-0.282884,-0.27296,-0.260688,-0.248418,-0.236021,-0.224409,-0.214113,-0.204799,-0.194428,-0.183822,-0.172226,-0.158389,-0.142529,-0.125197,-0.106262,-0.086439,-0.065711,-0.045443,-0.027809,-0.012828,0.000003,0.008455,0.011925,0.009793,0.00237,-0.009188,-0.023733,-0.041671,-0.061934,-0.082312,-0.101679,-0.119948,-0.136621,-0.150962,-0.162678,-0.170562,-0.174801,-0.176602,-0.178185,-0.179982,-0.18297,-0.186848,-0.191604,-0.196608,-0.201524,-0.204662,-0.204569,-0.201164,-0.194571,-0.184918,-0.172332,-0.156423,-0.134898,-0.107769,-0.074713,-0.035826,0.007026,6
-0.021475,-0.064573,-0.104246,-0.14215,-0.174316,-0.200796,-0.221237,-0.236247,-0.245835,-0.25219,-0.255563,-0.256098,-0.253562,-0.248095,-0.239949,-0.229701,-0.219458,-0.209051,-0.199562,-0.191066,-0.182711,-0.173432,-0.163737,-0.152842,-0.138715,-0.122453,-0.104257,-0.084716,-0.064008,-0.042564,-0.022088,-0.004561,0.010143,0.021057,0.02725,0.027878,0.022859,0.012763,-0.001128,-0.018017,-0.037648,-0.059512,-0.081161,-0.101606,-0.120585,-0.138053,-0.153425,-0.165916,-0.174712,-0.179892,-0.181424,-0.182002,-0.182547,-0.183655,-0.186259,-0.189607,-0.194453,-0.199534,-0.204513,-0.207472,-0.207093,-0.203457,-0.196878,-0.187357,-0.174968,-0.159217,-0.138822,-0.113106,-0.082447,-0.045764,-0.004756,6
0.061161,0.048161,0.035714,0.02346,0.011181,-0.000864,-0.012802,-0.024591,-0.036331,-0.047986,-0.059528,-0.071196,-0.082779,-0.092278,-0.098597,-0.102243,-0.103995,-0.102146,-0.096568,-0.087453,-0.074892,-0.059018,-0.040136,-0.018786,0.003786,0.024077,0.040994,0.054384,0.062978,0.070302,0.07685,0.082666,0.087556,0.090521,0.091323,0.08978,0.085065,0.077091,0.065931,0.051951,0.036465,0.01961,0.001265,-0.01881,-0.043238,-0.071632,-0.100709,-0.12904,-0.154243,-0.176133,-0.194468,-0.208632,-0.21843,-0.224205,-0.226546,-0.226124,-0.221605,-0.213381,-0.20156,-0.186511,-0.170393,-0.154226,-0.137788,-0.12122,-0.104624,-0.088089,-0.071533,-0.054713,-0.036573,-0.016077,0.006109,1
-0.001327,-0.008343,-0.014334,-0.02,-0.025526,-0.030782,-0.035803,-0.042537,-0.050724,-0.059086,-0.069498,-0.08006,-0.092289,-0.106063,-0.118975,-0.129025,-0.133581,-0.131423,-0.122843,-0.113493,-0.106345,-0.098392,-0.084566,-0.069293,-0.049703,-0.025681,0.001789,0.028561,0.053217,0.07381,0.090699,0.105288,0.118182,0.132535,0.14416,0.150527,0.152242,0.152676,0.148717,0.141156,0.130665,0.114868,0.094439,0.074908,0.054306,0.032957,0.007229,-0.021543,-0.051642,-0.082189,-0.111598,-0.135415,-0.153188,-0.168934,-0.179893,-0.18433,-0.182295,-0.176847,-0.169323,-0.156535,-0.139449,-0.118903,-0.098287,-0.077513,-0.056959,-0.036237,-0.015086,0.009548,0.034581,0.059608,0.0825,2
-0.040714,-0.085813,-0.125814,-0.160412,-0.18902,-0.211588,-0.228247,-0.238981,-0.245221,-0.248203,-0.247891,-0.245278,-0.240218,-0.232692,-0.221936,-0.210519,-0.198837,-0.187502,-0.176637,-0.16633,-0.156589,-0.146292,-0.134896,-0.122988,-0.112081,-0.099811,-0.086624,-0.072445,-0.057828,-0.04304,-0.029958,-0.019994,-0.013007,-0.010278,-0.012327,-0.019424,-0.029799,-0.043137,-0.059365,-0.077451,-0.095468,-0.11205,-0.127405,-0.141179,-0.153145,-0.163249,-0.171384,-0.177589,-0.181422,-0.186138,-0.191587,-0.197786,-0.204799,-0.212546,-0.221187,-0.229939,-0.238354,-0.245848,-0.250504,-0.252329,-0.251023,-0.24682,-0.239683,-0.227852,-0.210115,-0.186648,-0.157264,-0.122238,-0.081867,-0.036649,0.008402,6
