@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute target {1,2}

@data
-1.245868,-1.423112,-2.001614,-2.252935,-2.322671,-2.325235,-2.419843,-2.418324,-2.417734,-2.542695,-2.623446,-2.647494,-2.724848,-2.606365,-2.525853,-2.265857,-1.979175,-1.659865,-1.526896,-1.337372,-1.072452,-0.481003,0.096493,0.83499,1.326965,1.447723,1.729697,2.079278,2.542399,2.638558,2.343664,1.847488,1.96282,1.779687,1.545684,1.647391,1.658206,1.451938,1.153381,0.956375,0.668167,0.515888,0.546383,0.476795,0.802469,1.081408,1.323105,1.551936,1.698386,1.820776,1.55769,1.215952,0.972357,0.616626,0.567328,0.556511,0.715858,1.188897,1.801295,2.102079,2.39885,2.608615,2.567976,2.510164,2.29464,1.859301,1.58934,1.345985,0.567198,-0.189919,-0.766158,-0.88329,-0.830141,-0.546294,-0.253029,-0.314188,-0.204322,0.451608,1.13637,1.637123,2.409488,3.210254,3.85658,4.293961,4.296183,3.607733,3.626161,3.761284,4.083175,3.367525,2.343612,2.318465,2.781077,3.481161,2.297816,0.547983,-0.854633,-1.926726,-2.611653,-2.751811,-2.694246,-2.840366,-3.491719,-4.174752,-4.495058,-4.614018,-4.669347,-4.704091,-4.730289,-4.749338,-4.766535,-4.779554,-4.793021,-4.803938,-4.813177,1
-1.330824,-1.415377,-1.934444,-2.132152,-2.119787,-2.219121,-2.400786,-2.393169,-2.42137,-2.540945,-2.53905,-2.518392,-2.632923,-2.53474,-2.474768,-2.191228,-1.870758,-1.515409,-1.249955,-1.127899,-1.010375,-0.675532,-0.026281,0.517,1.03074,1.310527,1.497666,1.714861,2.201454,2.295895,2.010484,1.632725,1.863102,1.660266,1.501722,1.47474,1.800343,1.755867,1.586426,1.227538,0.904915,0.838126,0.736673,0.63226,0.924492,1.191488,1.563568,1.945481,2.029088,2.075376,2.037255,1.369759,1.087905,0.847407,0.709001,0.809054,0.839477,1.220696,1.877642,2.07713,2.487971,2.473636,2.590818,2.514693,2.244312,2.152945,1.752973,1.637625,0.734613,-0.107949,-0.773334,-0.853148,-0.825046,-0.332757,-0.062653,-0.373294,-0.260514,0.296206,0.689012,1.496832,2.102838,2.867289,3.167987,3.876296,3.926431,3.875277,3.758902,3.727095,4.150067,3.144322,1.983212,2.336442,2.70049,3.720994,2.507684,0.712643,-0.724082,-2.079713,-2.787185,-3.137637,-3.207877,-3.402643,-3.844238,-4.31363,-4.533126,-4.634572,-4.680338,-4.712558,-4.734415,-4.75396,-4.772322,-4.78683,-4.806942,-4.81782,-4.833885,1
-1.071653,-1.092961,-1.799965,-2.066401,-2.176364,-2.231042,-2.220736,-2.249708,-2.259678,-2.444315,-2.514708,-2.598333,-2.65132,-2.536645,-2.448043,-2.175412,-1.992441,-1.673057,-1.511815,-1.340583,-0.93661,-0.547073,0.33682,0.98071,1.286599,1.570332,1.816916,2.178468,2.494295,2.950911,2.475192,2.05033,2.047401,1.905291,1.578445,1.687124,1.629886,1.325898,1.251677,1.044844,0.757514,0.457869,0.655272,0.373162,0.756659,1.084521,1.184837,1.505958,1.60279,1.645012,1.635906,1.115598,0.937992,0.621059,0.596551,0.516843,0.605311,1.089523,1.911056,2.207062,2.448003,2.725358,2.589815,2.62673,2.165907,1.717806,1.535896,1.137066,0.602489,-0.230418,-0.851766,-0.945437,-0.88498,-0.658877,-0.453816,-0.537802,-0.36831,0.206117,0.747117,1.530696,2.59158,3.076111,3.726538,4.373894,4.473913,3.508134,3.780696,4.133814,4.11282,3.350723,2.14475,1.890905,2.484047,3.264681,1.978467,0.438575,-0.881458,-1.867666,-2.554269,-2.648295,-2.49953,-2.621355,-3.354431,-4.152822,-4.560139,-4.701643,-4.777413,-4.811872,-4.850257,-4.867351,-4.890671,-4.907033,-4.925534,-4.939567,-4.952705,1
-1.229005,-1.27857,-1.777628,-2.045697,-2.06427,-2.128282,-2.298809,-2.281531,-2.33859,-2.508832,-2.547054,-2.515872,-2.590086,-2.573767,-2.41928,-2.146178,-1.91261,-1.455901,-1.234096,-1.273657,-0.928069,-0.555863,-0.067234,0.570745,0.959349,1.11513,1.584327,1.71331,2.111153,2.114398,1.993522,1.827339,1.870286,1.53926,1.29665,1.431394,1.645203,1.556828,1.103745,1.162297,0.773556,0.483934,0.552912,0.543543,0.739862,1.082344,1.356084,1.563045,1.998382,2.034186,1.77601,1.282121,0.984267,0.709287,0.592762,0.504986,0.686698,1.043728,1.814233,2.236923,2.454344,2.620465,2.606183,2.48163,2.177217,1.85577,1.625005,1.382084,0.712774,-0.139647,-0.737667,-0.833849,-0.796743,-0.530165,-0.274349,-0.350095,-0.165787,0.333986,0.891499,1.510788,2.362445,2.996022,3.646206,4.06654,4.505093,4.201418,3.900203,4.044553,4.38403,3.76866,2.296334,2.330169,2.716523,3.589565,2.141028,0.711617,-0.830488,-1.973496,-2.701774,-2.957708,-2.980974,-3.123821,-3.666818,-4.236615,-4.522182,-4.620871,-4.688463,-4.719851,-4.751955,-4.766331,-4.79177,-4.80546,-4.830579,-4.842383,-4.855224,1
-1.358777,-1.522842,-2.145025,-2.341812,-2.42976,-2.443701,-2.47473,-2.465457,-2.489069,-2.619952,-2.676119,-2.71799,-2.757497,-2.669697,-2.587313,-2.304084,-2.044362,-1.690318,-1.496387,-1.389363,-1.081135,-0.506989,0.289506,1.05742,1.406669,1.716711,1.975194,2.283515,2.752727,2.828594,2.548033,1.767059,2.159555,1.814785,1.458969,1.763751,1.661508,1.506174,1.200227,0.987231,0.557956,0.55351,0.550423,0.413081,0.818514,1.121124,1.495819,1.688737,1.790499,1.952689,1.75937,1.32942,1.004246,0.740451,0.581227,0.498853,0.834709,1.218002,1.945388,2.369305,2.435441,2.726317,2.672703,2.51767,2.128839,1.769587,1.580647,1.071773,0.35594,-0.527744,-0.904516,-1.035477,-0.987251,-0.570982,-0.353218,-0.444504,-0.256904,0.386372,1.16921,1.696278,2.669046,3.391362,4.124871,4.42414,4.184103,3.541466,3.690622,4.020635,4.077478,3.170838,2.069922,1.794891,2.538565,3.168676,1.606478,-0.040313,-1.236212,-2.181609,-2.748968,-2.821631,-2.673933,-2.733387,-3.374608,-4.057398,-4.360999,-4.476003,-4.521785,-4.556795,-4.574784,-4.591377,-4.605462,-4.618746,-4.630191,-4.64004,-4.647608,1
-1.098277,-1.27221,-1.790196,-2.085039,-2.091256,-2.129865,-2.37328,-2.355766,-2.432969,-2.554844,-2.527685,-2.502258,-2.604516,-2.532032,-2.372407,-2.137485,-1.725542,-1.329818,-1.03235,-0.992226,-0.873847,-0.492299,0.104411,0.544733,1.138419,1.239408,1.286578,1.666691,2.105296,2.07223,2.154604,1.749555,1.727315,1.933063,1.567816,1.507893,1.854048,1.85442,1.535658,1.438399,1.055904,0.812615,0.874359,0.687211,0.969673,1.240659,1.401757,1.786612,1.90527,2.138717,1.949421,1.537483,1.257439,0.907075,0.820029,0.768952,0.814667,1.147205,1.617148,1.843486,2.019231,2.50377,2.612464,2.573288,2.135727,2.053376,1.769185,1.601392,0.858646,0.09558,-0.474885,-0.611367,-0.549503,-0.265928,0.257595,-0.195959,-0.055274,0.421987,0.770784,1.239295,1.724767,2.279146,2.813236,3.273487,3.688168,3.384669,3.438356,3.614715,4.082419,3.474106,2.406772,2.417381,2.862072,3.617957,2.628541,1.19907,-0.494024,-1.768007,-2.6187,-2.921882,-2.966025,-3.120947,-3.774667,-4.444724,-4.777273,-4.902428,-4.970019,-5.00515,-5.036471,-5.051606,-5.075285,-5.086895,-5.10681,-5.121159,-5.132245,1
-1.165242,-1.193141,-1.811855,-2.07526,-2.154839,-2.14275,-2.328045,-2.350381,-2.313406,-2.502914,-2.555643,-2.543494,-2.655777,-2.544688,-2.464615,-2.232094,-1.923462,-1.539636,-1.38119,-1.238787,-0.945736,-0.422838,0.217966,0.881048,1.179604,1.460603,1.714974,2.392106,2.764719,2.764409,2.39388,1.728283,1.981864,1.868191,1.42221,1.612101,1.690299,1.661108,1.39651,1.244251,0.775721,0.660841,0.569053,0.5249,0.808301,1.094819,1.517525,1.881486,1.963936,2.0719,1.756699,1.298593,1.008825,0.625677,0.455348,0.455233,0.564077,1.092519,1.836588,2.125482,2.399633,2.696794,2.626474,2.414317,2.082827,1.572047,1.448877,0.955927,0.234272,-0.44174,-1.087455,-1.174991,-1.145266,-0.756631,-0.449795,-0.685157,-0.588581,0.12198,0.551882,1.519054,2.373162,3.276187,3.922733,4.403374,4.383702,3.985448,3.871866,3.944059,4.200584,3.225867,2.017,2.012465,2.657882,3.469435,2.146785,0.259697,-1.001377,-2.093246,-2.706889,-2.937926,-2.867996,-3.032083,-3.557792,-4.147886,-4.421667,-4.543592,-4.588701,-4.631968,-4.645685,-4.669769,-4.685769,-4.702546,-4.715176,-4.730102,-4.740396,1
-1.01443,-1.110247,-1.752305,-1.929919,-2.119411,-2.162642,-2.236378,-2.278729,-2.267472,-2.445241,-2.453851,-2.499511,-2.557868,-2.547661,-2.432716,-2.168105,-1.894686,-1.605051,-1.412072,-1.384765,-1.098392,-0.709892,-0.033576,0.578913,0.925916,0.926177,1.456788,1.763878,2.015763,1.928882,1.857534,1.607038,1.584052,1.503747,1.201911,1.428699,1.442603,1.299689,1.089371,0.936307,0.540489,0.590671,0.483385,0.386379,0.841707,1.124423,1.372563,1.622544,1.776461,1.928804,1.666425,1.317329,0.967244,0.709037,0.70982,0.600535,0.713343,1.122705,1.875975,1.851788,2.391895,2.652651,2.583036,2.720607,2.384487,1.852658,1.575549,1.327019,0.671397,-0.049349,-0.625884,-0.763697,-0.838287,-0.574627,-0.287846,-0.422206,-0.393848,0.284566,0.894155,1.72232,2.158773,2.973337,3.672814,4.444722,4.767557,4.185366,4.004248,4.192374,4.224513,3.684441,2.412877,2.293819,2.830188,3.738834,2.38391,0.821424,-0.527936,-1.702237,-2.487793,-2.673268,-2.565478,-2.703655,-3.404374,-4.200721,-4.558946,-4.713002,-4.773225,-4.825239,-4.846622,-4.875684,-4.895346,-4.916743,-4.936753,-4.952523,-4.968224,1
-1.437537,-1.529528,-1.970042,-2.17463,-2.147185,-2.2597,-2.407915,-2.411147,-2.449654,-2.570947,-2.488936,-2.461305,-2.535493,-2.520908,-2.510094,-2.222427,-1.909332,-1.434663,-1.052843,-1.033839,-0.762365,-0.350839,0.243782,0.89386,1.223285,1.689191,1.965651,2.36355,2.564275,2.735272,2.126764,1.932488,2.127835,1.65613,1.505385,1.538364,1.855738,1.578226,1.418279,1.219287,0.898677,0.602034,0.794794,0.545678,0.913282,1.203829,1.508538,2.015424,2.238894,2.344403,1.987128,1.308791,0.970675,0.71742,0.645863,0.591117,0.761619,1.242593,1.9783,2.393438,2.454678,2.781433,2.675262,2.457617,2.018869,1.841221,1.550426,1.224057,0.389152,-0.338394,-1.032356,-1.104571,-1.115655,-0.705813,-0.551392,-0.706481,-0.647993,-0.094351,0.388326,1.250957,2.111286,3.224387,3.804411,4.284669,4.135591,3.835404,3.819512,3.470458,4.146073,2.918703,1.634995,1.8233,2.974336,3.780606,2.034718,0.124707,-1.286793,-2.347852,-3.021144,-3.320267,-3.449661,-3.618175,-3.931895,-4.21085,-4.348625,-4.414174,-4.446227,-4.468269,-4.483728,-4.495124,-4.512228,-4.522709,-4.535247,-4.548473,-4.555237,1
-1.517039,-1.713016,-2.303498,-2.460748,-2.494905,-2.530152,-2.604474,-2.55227,-2.542212,-2.660901,-2.636458,-2.680502,-2.742131,-2.624062,-2.55513,-2.246196,-1.87534,-1.576261,-1.284113,-1.289364,-0.934421,-0.436428,0.181637,0.970516,1.075675,1.52262,1.774153,2.027273,2.365897,2.478322,2.18716,1.8044,2.031083,1.881817,1.452394,1.581868,1.743775,1.544337,1.392913,1.23065,0.755919,0.683781,0.663633,0.657394,0.813446,1.243353,1.360491,1.774019,1.929885,2.005628,1.800969,1.403435,1.142127,0.834891,0.633148,0.692234,0.887381,1.365259,1.921417,2.144967,2.486264,2.659119,2.674355,2.639003,2.043834,1.753681,1.571781,1.118005,0.55801,-0.240566,-0.864933,-0.992706,-0.86523,-0.34385,-0.121444,-0.424581,-0.243162,0.240999,0.876478,1.406347,2.424818,3.136191,3.780224,4.310922,4.300279,3.716068,3.697423,3.956654,3.959047,3.033516,1.829045,1.9521,2.829717,3.467455,2.21939,0.549978,-0.975657,-2.011787,-2.680761,-2.859627,-2.824889,-2.954064,-3.527213,-4.111071,-4.41541,-4.520764,-4.576163,-4.604576,-4.631434,-4.646011,-4.665007,-4.675815,-4.693859,-4.703383,-4.716984,1
