@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute target {1,2}

@data
-1.733982,-0.275715,1.607205,2.816214,3.305146,3.142351,2.233589,1.678833,-0.106169,-1.443446,-1.56648,-0.309062,1.904224,3.513868,3.242989,3.1793,3.359954,3.498051,1.204394,-0.981922,-0.759945,-1.482708,-3.561249,-4.33125,-2.628212,-0.803428,-0.4668,-2.021525,-3.437999,-4.16755,-3.171602,-1.437075,2
-1.625499,-0.47189,1.153312,2.897649,3.54458,2.470151,1.639283,0.172831,-1.629923,-1.199968,0.142498,2.199596,3.550658,3.03092,2.972493,3.702629,4.457055,2.493575,0.474707,-1.079785,-1.135864,-2.206104,-3.738885,-3.673714,-2.450039,-1.197617,-1.576414,-2.457107,-3.472224,-3.826358,-2.250853,-0.909695,1
-1.727346,-0.165189,1.738841,2.682388,3.577816,3.437938,2.711528,1.497514,-0.341955,-1.29669,-1.65131,-0.757923,0.536045,2.913539,3.979759,3.568461,3.763785,3.393937,1.114759,-1.019137,-1.211925,-2.147566,-3.534757,-3.751489,-2.576196,-1.204905,-1.25733,-2.789347,-3.909177,-3.22636,-1.738968,-0.608738,1
-1.877361,-0.229376,1.792076,2.983764,3.527978,3.29488,1.4161,0.476702,-0.754005,-2.251307,-1.624767,0.302142,2.170683,3.576135,3.579717,4.085498,3.873305,2.028905,0.950027,-1.19509,-0.926623,-1.931976,-3.436271,-3.899777,-2.3937,-0.451518,0.097491,-1.317913,-3.067055,-4.114412,-3.342045,-1.342207,2
-1.349897,-0.980039,1.541655,3.972018,4.657433,2.810955,2.347381,0.512281,-1.568114,-1.646999,-1.175113,-0.1236,1.608922,2.467452,2.177067,2.177149,2.172764,3.115225,1.957654,0.094022,-0.688945,-2.594723,-4.730444,-3.971063,-1.41649,0.525312,1.535846,-0.876327,-3.213873,-4.678626,-3.690535,-0.968349,1
-1.894948,-0.942698,0.57621,2.34393,3.600255,3.07157,1.931225,-0.08053,-1.490514,-2.069184,-0.964281,0.867879,2.988979,4.06317,3.481612,3.794911,4.293797,2.804881,0.229093,-1.367155,-1.35704,-2.445032,-3.774854,-3.387793,-1.817092,-0.165189,0.162793,-1.453309,-2.731828,-3.693338,-3.196934,-1.378586,2
-1.904453,-0.635826,0.082485,1.327558,3.825833,3.66377,2.2702,0.75284,-1.42908,-1.732841,-0.470606,1.705759,2.883019,2.640756,2.446058,3.751434,4.728752,2.713767,0.256017,-1.40696,-0.22863,-1.391784,-3.732269,-4.124112,-2.467578,-0.406761,-0.056584,-1.859501,-3.864858,-4.106602,-2.627819,-0.601986,1
-1.848517,-0.49442,1.474396,2.441865,3.283016,3.062676,2.460661,1.494592,-0.239633,-1.822407,-1.421459,0.518124,2.731284,3.15426,3.155541,3.636414,4.26691,3.058717,0.51007,-1.31942,-1.313733,-2.495299,-3.692796,-3.623505,-2.243858,-0.965646,-0.578072,-2.019397,-3.617517,-3.76325,-2.696525,-1.093072,1
-1.451597,-0.349123,1.546217,2.762063,3.57768,3.44464,2.177217,1.26738,-0.319257,-1.626837,-1.130195,0.396394,2.456026,3.924116,3.717927,3.600705,3.290358,3.079534,0.895165,-0.88704,-1.868361,-2.366073,-2.931828,-3.085464,-2.663941,-2.220931,-2.175678,-2.724158,-3.149872,-3.170348,-2.351393,-1.663324,1
-1.573752,-0.367751,0.718596,2.326212,3.078104,2.394601,1.144029,-0.640906,-1.497797,-1.731968,-0.087169,1.739145,4.112975,4.142499,2.787995,3.430519,4.422166,3.516142,0.982613,-1.077077,-1.220503,-2.085767,-3.437827,-3.503565,-2.459683,-0.89838,-1.117847,-2.096268,-3.303503,-3.630701,-2.71926,-1.345874,1
