@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute target {1,2}

@data
-1.236922,-0.068256,1.381829,2.708945,3.25567,3.079376,1.984272,0.243466,-1.246433,-1.292111,0.058255,1.686722,3.4586,3.6513,3.21149,3.640483,3.837476,2.514689,0.663413,-0.787803,-1.560569,-2.296347,-3.458744,-3.728832,-2.756627,-1.752775,-1.522705,-2.416272,-3.135577,-3.443512,-2.822695,-1.849803,2
-1.499653,-0.369749,1.389571,2.830971,3.494157,3.595614,2.384458,0.358934,-0.943873,-1.632884,-0.358162,1.296791,3.19899,3.643042,3.385892,3.638692,3.806898,2.324631,0.431437,-0.997441,-1.824007,-2.487183,-3.228954,-3.164765,-2.647492,-1.640147,-1.457283,-2.312863,-3.037454,-3.268045,-2.864929,-2.045194,2
-1.591246,-0.447318,1.158992,2.966718,3.539581,3.506284,2.473607,0.569593,-0.828383,-1.337061,-0.38343,1.198244,3.063166,3.780786,3.425713,3.724892,3.565412,2.239713,0.476102,-0.998706,-1.432308,-2.065872,-3.10008,-3.485291,-2.82953,-2.034737,-1.956189,-2.766833,-3.339415,-3.163221,-2.378889,-1.550293,1
-1.687454,-0.437456,1.599841,2.989258,3.430213,3.482088,1.914535,0.001526,-1.595836,-1.258991,0.207657,1.911669,3.570136,3.749993,3.108887,3.578265,3.853652,2.102576,0.409046,-1.166752,-1.823123,-2.323388,-3.130383,-3.157307,-2.414408,-1.838328,-1.80516,-2.459231,-3.202588,-3.14353,-2.615557,-1.849851,1
-1.552584,-0.39124,1.194691,2.954733,3.732344,3.767861,3.253874,1.254868,-0.441958,-1.636833,-0.785836,0.730726,2.369593,3.436731,3.582667,3.427977,3.382175,2.358186,0.408802,-1.032099,-1.614975,-2.394242,-3.363504,-3.335164,-2.529203,-1.703552,-1.632306,-2.505949,-3.200785,-3.174137,-2.700068,-1.860791,1
-1.578483,-0.206996,1.649187,2.930581,3.285971,3.206787,1.401646,-0.502694,-1.698264,-1.539352,-0.064443,1.720301,3.69498,4.093173,3.264912,3.233378,3.932946,2.521691,0.5201,-1.007538,-1.249965,-1.826298,-3.147297,-3.536487,-2.840563,-1.722424,-1.33062,-2.181959,-3.243574,-3.446975,-2.735481,-1.596242,2
-1.315622,-0.386022,1.288266,2.931963,3.309543,3.346611,2.530884,0.896778,-0.760382,-1.323383,-0.243825,1.191871,3.057832,3.773287,3.336032,3.512539,3.816517,2.312741,0.571105,-0.943891,-1.787281,-2.37895,-3.294266,-3.310573,-2.595166,-1.75699,-1.905485,-2.50489,-3.20775,-3.448974,-2.727195,-1.985322,1
-1.907096,-0.512372,1.468955,3.107037,3.591328,3.774686,2.452541,0.624774,-1.121828,-2.005493,-0.831828,0.705431,2.687324,3.874492,3.530972,3.562729,3.726466,2.097149,0.162347,-1.479987,-1.541241,-0.477003,-1.244348,-2.562386,-3.730542,-3.011771,-2.2251,-1.68431,-1.830875,-3.031996,-3.665021,-2.503035,1
-1.38875,-0.449339,1.186455,2.793031,3.759107,3.874207,3.276698,1.396297,-0.164651,-1.393137,-1.002358,0.100342,1.963948,3.365914,3.47128,3.482557,3.739143,2.627038,0.696597,-0.89406,-1.94041,-2.496359,-3.185208,-3.009974,-2.407386,-1.862232,-2.036165,-2.579133,-2.96605,-3.105631,-2.743801,-2.10797,1
-1.682392,-0.392983,1.408699,2.755551,3.279832,3.409613,2.074468,0.347576,-1.419093,-1.475715,0.04554,1.75396,3.506475,3.456544,3.072229,3.93577,3.995814,2.260085,0.411385,-1.194062,-1.083423,-1.834608,-3.009827,-3.564083,-2.839439,-1.81233,-2.176301,-2.893306,-3.092734,-2.98903,-2.671481,-1.582733,2
