@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute target {1,2}

@data
-1.433649,-1.520326,-1.433851,-1.554763,-1.561825,-1.427841,-1.097732,-0.784422,-0.433296,0.15019,0.355451,1.550087,3.441254,4.779158,6.146724,5.960721,6.519605,6.817502,6.837632,6.330987,4.303054,4.418183,3.292431,1.835659,1.200579,0.971211,1.178008,0.632368,0.043987,0.176544,0.441968,0.717475,1.079937,1.50751,1.806865,1.628061,1.221475,0.839115,0.530275,0.313258,0.283607,0.352713,0.571083,0.753721,0.945507,1.122037,1.328778,1.355015,1.081972,0.813239,0.673873,0.787617,1.051046,1.111279,0.732586,0.329016,0.058972,-0.336072,-0.888222,-1.651032,-2.247133,-2.459788,-2.515454,-2.4394,-2.420149,-2.439871,-2.497596,-2.455393,-2.370859,-1.990391,-1.630349,-1.333456,-1.354578,-1.669333,-2.217897,-2.574885,-2.964387,-2.746495,-2.462808,-2.442678,-2.30918,-1.96833,-1.735269,-1.255044,-0.664086,-0.386689,-0.604572,-1.222741,-2.122898,-3.073446,-3.68215,-3.928712,-4.010729,-4.059554,2
-0.844969,-0.741706,-0.450758,-0.586442,-0.676299,-0.752312,-0.28878,0.403321,0.88139,1.337089,1.509049,2.25067,3.256042,4.35576,5.690435,6.248632,8.216894,8.763715,7.354195,6.680103,4.724004,4.42861,3.133888,1.932267,1.643901,1.539637,1.594053,1.121322,0.308852,0.086646,-0.066757,-0.354602,-0.468021,-0.334887,-0.055964,0.16261,0.243758,0.269501,0.092869,-0.158908,-0.261342,-0.312211,-0.251807,-0.126283,0.005551,0.224971,0.387196,0.297655,0.222971,0.153198,0.064125,0.182862,0.413948,0.536865,0.495764,0.339435,0.099648,-0.061849,-0.386343,-1.076437,-1.553104,-1.813819,-1.943064,-2.005467,-2.034664,-2.07183,-2.062865,-2.077278,-2.085925,-2.102325,-2.128469,-2.211198,-2.359591,-2.524386,-2.618337,-2.610869,-2.514699,-2.385772,-2.245867,-2.241155,-2.220968,-2.230332,-2.221637,-2.155674,-2.059597,-1.951659,-1.920414,-1.973962,-2.07093,-2.167147,-2.202886,-2.213192,-2.210224,-2.20742,2
-1.673436,-1.476123,-0.989807,-0.940751,-1.198147,-1.335461,-1.249647,-0.672025,0.194714,1.888516,2.845204,3.130321,4.041732,4.958729,6.036926,6.667985,7.787627,7.35957,6.436196,5.141276,3.254838,3.678729,3.128264,2.159954,1.85019,1.564403,0.960811,0.25437,-0.364283,-0.275577,-0.002493,0.277294,0.637997,0.970046,1.146298,1.035264,0.701906,0.454724,0.223409,0.03575,-0.071338,-0.020598,0.234614,0.463089,0.646541,0.826794,0.984824,1.04214,0.772931,0.542463,0.430645,0.620803,0.968017,1.035154,0.676079,0.240751,-0.064094,-0.46155,-1.007338,-1.734811,-2.254686,-2.41572,-2.431356,-2.323324,-2.278752,-2.296467,-2.345809,-2.317377,-2.235417,-1.975388,-1.622803,-1.305859,-1.217161,-1.403399,-1.763752,-2.040387,-2.240169,-2.315585,-2.352098,-2.304912,-2.274597,-2.167844,-2.007427,-1.571095,-1.054062,-0.737328,-0.959073,-1.642116,-2.439961,-3.174697,-3.636406,-3.828815,-3.90292,-3.933646,2
-1.577011,-1.545838,-1.258249,-1.342609,-1.376057,-1.377115,-1.041532,-0.451584,0.065448,0.871148,1.241412,2.161043,3.689605,4.897716,6.083773,6.123295,7.10657,7.161256,6.621669,5.83463,3.901073,4.112993,3.209441,1.99721,1.469683,1.228223,1.148269,0.559812,0.042602,0.251359,0.575339,0.851845,1.188682,1.603465,1.855775,1.683569,1.267096,0.902049,0.584637,0.349005,0.278265,0.266896,0.452752,0.650545,0.803833,0.946174,1.05051,0.949484,0.751229,0.504262,0.319287,0.372859,0.516544,0.49462,0.267065,-0.00116,-0.256486,-0.686772,-1.286564,-2.008899,-2.531883,-2.797646,-2.904923,-2.910542,-2.918936,-2.977946,-2.950312,-2.873801,-2.744746,-2.533464,-2.299693,-2.151609,-2.150743,-2.252251,-2.351507,-2.385501,-2.215973,-2.135236,-2.161424,-2.249407,-2.203083,-1.963331,-1.537654,-0.825331,-0.165859,0.233451,0.014869,-0.723645,-1.64646,-2.529468,-3.068848,-3.310041,-3.398545,-3.432654,2
-1.563608,-1.449927,-1.15513,-1.174526,-1.276473,-1.30682,-1.067366,-0.505615,0.115222,1.198823,1.738189,2.402651,3.683407,4.778246,5.887562,6.043718,7.0177,6.900038,6.244322,5.379378,3.541337,3.901545,3.164516,2.06259,1.654853,1.435295,1.232719,0.662023,0.167724,0.386822,0.717161,1.012406,1.391741,1.829647,2.078972,1.893459,1.425139,1.021816,0.710003,0.466761,0.355275,0.317843,0.47597,0.654901,0.784643,0.891763,0.950828,0.84597,0.662906,0.431653,0.239773,0.271982,0.418844,0.406951,0.200593,-0.016462,-0.251316,-0.669189,-1.265904,-2.049567,-2.659467,-2.917749,-3.045789,-3.018217,-3.002475,-2.955281,-2.922025,-2.846705,-2.839954,-2.752871,-2.640714,-2.569049,-2.609403,-2.682248,-2.741297,-2.685774,-2.581306,-2.451048,-2.342635,-2.276007,-2.218002,-1.934815,-1.441586,-0.642105,0.114698,0.615503,0.496139,-0.102167,-1.183877,-2.358734,-3.012238,-3.286182,-3.383148,-3.427249,2
-1.267492,-1.197725,-0.932028,-1.015288,-1.09773,-1.142713,-0.857753,-0.290373,0.298398,1.297144,1.739552,2.532999,3.972886,5.257993,6.50624,6.487455,7.428441,7.431031,6.875719,6.006212,3.955174,4.102074,3.224365,2.102058,1.623927,1.369676,1.247642,0.617457,-0.025194,0.017645,0.198799,0.365588,0.573398,0.859903,1.078716,1.026196,0.773163,0.546933,0.308857,0.110631,0.047376,0.033445,0.20435,0.395244,0.555431,0.725591,0.843972,0.779417,0.632951,0.425699,0.230338,0.246939,0.39348,0.440389,0.283873,0.066948,-0.154945,-0.485558,-0.975889,-1.672461,-2.186705,-2.446288,-2.563379,-2.586432,-2.603954,-2.661989,-2.666577,-2.630156,-2.559501,-2.419385,-2.262277,-2.180658,-2.196502,-2.322336,-2.433817,-2.418849,-2.322124,-2.190274,-2.152424,-2.249743,-2.218317,-2.069482,-1.810696,-1.328803,-0.900471,-0.623285,-0.759477,-1.217038,-1.828543,-2.442857,-2.816061,-2.975242,-3.031046,-3.051879,2
-1.705092,-1.622947,-1.343632,-1.384514,-1.428667,-1.434861,-1.106265,-0.498106,0.04959,0.860847,1.206896,2.077446,3.581018,4.845278,6.073368,6.090236,7.125992,7.244051,6.656485,5.882493,3.859896,4.032501,3.136368,1.976341,1.482798,1.258955,1.19348,0.60736,0.061131,0.263305,0.607083,0.900124,1.237663,1.644604,1.890323,1.737595,1.320604,0.94838,0.6203,0.382031,0.309283,0.305025,0.462273,0.658406,0.808,0.989132,1.064941,0.922583,0.703479,0.463641,0.290833,0.367396,0.525198,0.534693,0.320132,0.063423,-0.210208,-0.592097,-1.16941,-1.921897,-2.473025,-2.727873,-2.836369,-2.816601,-2.799341,-2.823625,-2.79988,-2.769563,-2.71967,-2.565144,-2.438672,-2.336723,-2.327537,-2.356289,-2.457463,-2.447247,-2.305393,-2.321372,-2.305831,-2.360761,-2.248074,-2.008519,-1.582707,-0.856271,-0.166921,0.234501,0.038116,-0.688227,-1.610933,-2.488262,-2.992875,-3.228743,-3.305447,-3.33254,2
-2.174763,-2.168138,-1.954308,-2.039092,-1.991172,-1.929618,-1.578872,-1.029467,-0.641855,-0.127548,0.044288,1.079074,2.676196,3.868881,4.968541,4.914128,5.822979,5.976568,5.630526,5.063695,3.306133,3.646229,2.801512,1.57482,1.019629,0.78785,0.820375,0.295976,0.10181,0.744074,1.421486,1.998725,2.658357,3.331794,3.61368,3.179368,2.381646,1.687552,1.187569,0.877181,0.825207,0.839113,1.035984,1.211807,1.334527,1.439426,1.472629,1.290584,0.95325,0.621248,0.483277,0.671373,0.830453,0.664618,0.280413,-0.106107,-0.459241,-1.063788,-1.82034,-2.58179,-3.113793,-3.363587,-3.437737,-3.382777,-3.345909,-3.390507,-3.315769,-3.27042,-3.127699,-2.840568,-2.520996,-2.27056,-2.140771,-2.116777,-2.085942,-1.968996,-1.89329,-1.838345,-1.864604,-1.998522,-1.839938,-1.412759,-0.680197,0.520208,1.616119,2.251039,1.818791,0.462376,-1.16846,-2.610479,-3.464389,-3.873049,-4.022993,-4.077158,2
-1.660071,-1.523497,-1.133432,-1.107036,-1.218573,-1.293447,-1.102584,-0.550809,0.147216,1.402846,2.053057,2.562418,3.677981,4.758355,5.896573,6.168288,7.207261,7.018509,6.270055,5.281389,3.408864,3.748614,3.100742,2.111953,1.735397,1.489748,1.159202,0.568553,0.061282,0.281828,0.662488,0.999246,1.406818,1.839037,2.059212,1.853571,1.374347,0.958449,0.63171,0.40177,0.289055,0.272309,0.423591,0.621539,0.747333,0.870404,0.909193,0.788251,0.595679,0.364103,0.182044,0.243338,0.378439,0.379114,0.193795,-0.029332,-0.302611,-0.696639,-1.28188,-2.050455,-2.635257,-2.904183,-3.017595,-2.984404,-2.943285,-2.953127,-2.905697,-2.86514,-2.867443,-2.815344,-2.743722,-2.670523,-2.688909,-2.678136,-2.652608,-2.56748,-2.377996,-2.311195,-2.246658,-2.243969,-2.160866,-1.889604,-1.415138,-0.60215,0.160176,0.625567,0.453898,-0.232333,-1.271115,-2.354354,-2.950405,-3.225907,-3.316932,-3.352769,2
-1.101003,-1.058116,-0.783421,-0.861179,-0.947744,-0.981187,-0.708999,-0.194248,0.39252,1.390552,1.803694,2.582286,4.032867,5.374045,6.672106,6.600129,7.522156,7.555798,7.017839,6.143715,4.05445,4.155628,3.229481,2.122375,1.636713,1.383988,1.294068,0.661289,-0.056712,-0.09599,0.022381,0.132681,0.285335,0.526861,0.741818,0.735074,0.560382,0.394854,0.173839,-0.017183,-0.0732,-0.088255,0.058071,0.253039,0.410598,0.594611,0.722665,0.67035,0.5547,0.377613,0.190585,0.212502,0.34862,0.412354,0.291766,0.100924,-0.146653,-0.420666,-0.849476,-1.513341,-2.015261,-2.282573,-2.410574,-2.446594,-2.481059,-2.532212,-2.516405,-2.517071,-2.471197,-2.348533,-2.234388,-2.171547,-2.206565,-2.319339,-2.443766,-2.418591,-2.301144,-2.160888,-2.089881,-2.188936,-2.168091,-2.037785,-1.847507,-1.535824,-1.212702,-1.023013,-1.144684,-1.529732,-1.975161,-2.393589,-2.657549,-2.775975,-2.813443,-2.828374,2
