@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute target {1,2}

@data
-0.817534,-0.695657,-0.952856,-1.110151,-1.170223,-1.157377,-1.200057,-1.22885,-1.210584,-1.242893,-1.321955,-1.311368,-1.370572,-1.32152,-1.281871,-1.18791,-1.026474,-0.881043,-0.785687,-0.698525,-0.592378,-0.339859,-0.020565,0.309867,0.644306,0.642038,0.807419,0.998421,1.187209,1.305652,1.232304,0.971155,0.952506,0.944283,0.779061,0.787527,0.852548,0.75546,0.582538,0.531613,0.385449,0.263169,0.279352,0.223239,0.325957,0.500301,0.628232,0.741774,0.803775,0.891524,0.834579,0.646425,0.526482,0.33943,0.304076,0.255662,0.316657,0.520475,0.818776,1.054252,1.077278,1.292321,1.27819,1.28456,1.209902,0.970716,0.824865,0.754026,0.378741,0.025463,-0.322806,-0.436837,-0.42682,-0.305528,-0.168997,-0.130082,-0.162122,0.10335,0.488663,0.728951,1.109096,1.455674,1.852868,2.068997,2.244283,1.907568,1.746179,1.912337,2.007535,1.804367,1.274762,1.13118,1.239516,1.649805,1.428245,0.524655,-0.242201,-0.810389,-1.232368,-1.373197,-1.361544,-1.368432,-1.627428,-2.003338,-2.214995,-2.294702,-2.327388,-2.346189,-2.359871,-2.369942,-2.377339,-2.382226,-2.386069,-2.385828,-2.375041,1
-0.857333,-0.695621,-0.91965,-1.066832,-1.071763,-1.084281,-1.177993,-1.222134,-1.188541,-1.25448,-1.29922,-1.23166,-1.327296,-1.285241,-1.256988,-1.156088,-0.990066,-0.825602,-0.652081,-0.594074,-0.535187,-0.400969,-0.116606,0.203327,0.442794,0.64197,0.755442,0.795468,1.016911,1.18513,1.057566,0.811405,0.836819,0.880502,0.743584,0.777965,0.786742,0.925691,0.789912,0.648396,0.540376,0.419234,0.378511,0.297781,0.422517,0.569815,0.700102,0.924319,1.022421,0.982903,1.063787,0.786283,0.535163,0.473819,0.325996,0.39506,0.425258,0.52874,0.832396,1.100954,1.083437,1.255151,1.256112,1.296086,1.100223,1.161469,0.879667,0.872058,0.527876,0.065155,-0.28085,-0.436129,-0.461244,-0.197669,-0.066736,-0.110836,-0.213104,0.103921,0.231998,0.639511,0.946895,1.341184,1.499225,1.935819,1.947411,1.958075,1.954038,1.716373,1.952663,1.89359,1.05174,1.040692,1.278212,1.726895,1.623259,0.584581,-0.125194,-0.886106,-1.315121,-1.534805,-1.602522,-1.658037,-1.844174,-2.098194,-2.245416,-2.303639,-2.334927,-2.350019,-2.362692,-2.371635,-2.380912,-2.38548,-2.39244,-2.393608,-2.38718,1
-0.776023,-0.509493,-0.807023,-1.042243,-1.073573,-1.138727,-1.109283,-1.134266,-1.127158,-1.191121,-1.268969,-1.280499,-1.341716,-1.293934,-1.247658,-1.143758,-1.016209,-0.906108,-0.753985,-0.724308,-0.532288,-0.351386,-0.017919,0.442418,0.597848,0.768991,0.834075,1.031512,1.200839,1.430134,1.372286,1.042399,1.02066,0.977505,0.839269,0.792177,0.847547,0.678462,0.66026,0.532059,0.417435,0.266632,0.298418,0.205413,0.283995,0.51584,0.566188,0.720055,0.820883,0.790327,0.866158,0.623296,0.474958,0.372704,0.262572,0.261868,0.285062,0.425357,0.7966,1.121755,1.123127,1.329692,1.310492,1.323237,1.175797,0.922147,0.792786,0.655469,0.401241,0.012795,-0.376489,-0.45449,-0.458797,-0.335406,-0.270949,-0.240459,-0.264514,0.020349,0.286384,0.636001,1.147345,1.434991,1.760316,2.118672,2.319649,1.837858,1.794889,2.074482,1.986439,1.907744,1.134071,0.935368,1.102126,1.597853,1.251344,0.443598,-0.267582,-0.807735,-1.190786,-1.34622,-1.271383,-1.263061,-1.537275,-1.975858,-2.237901,-2.336694,-2.37945,-2.400855,-2.416518,-2.429645,-2.438218,-2.445477,-2.451179,-2.452689,-2.442943,1
-0.811558,-0.647936,-0.827549,-1.011394,-1.040319,-1.040783,-1.158914,-1.144142,-1.158128,-1.2361,-1.278166,-1.262773,-1.294624,-1.304911,-1.24131,-1.118448,-0.996774,-0.81347,-0.62683,-0.648543,-0.541495,-0.343097,-0.151312,0.181698,0.474098,0.477605,0.712566,0.816595,1.037423,1.076317,1.028634,0.910396,0.936576,0.862947,0.649471,0.657694,0.812696,0.817496,0.570747,0.610157,0.455222,0.24424,0.255272,0.279159,0.30242,0.508672,0.62326,0.748162,0.934441,1.006177,0.939857,0.704052,0.527816,0.397021,0.3159,0.300945,0.280431,0.453368,0.787013,1.128786,1.097744,1.33434,1.295294,1.27493,1.109274,0.977603,0.833915,0.723386,0.468735,0.075031,-0.32608,-0.397912,-0.430816,-0.281279,-0.176997,-0.162163,-0.147617,0.093329,0.324811,0.656959,1.051936,1.404901,1.743019,1.974462,2.070144,2.253903,1.917381,2.002105,2.136194,2.142501,1.31276,1.09633,1.229604,1.788215,1.307504,0.580858,-0.183896,-0.839056,-1.263096,-1.468793,-1.479514,-1.522541,-1.729124,-2.047556,-2.228345,-2.300034,-2.332517,-2.355173,-2.368639,-2.37749,-2.387801,-2.394718,-2.40266,-2.404701,-2.395409,1
-0.861399,-0.737615,-1.005892,-1.173967,-1.20577,-1.231771,-1.24043,-1.247884,-1.252777,-1.290228,-1.35301,-1.356299,-1.391576,-1.349922,-1.306897,-1.215343,-1.057752,-0.912461,-0.768298,-0.727633,-0.606602,-0.348232,0.010255,0.414728,0.634921,0.822107,0.981082,1.116843,1.319194,1.337504,1.351789,0.93506,1.031052,1.007522,0.713037,0.849859,0.841319,0.762248,0.649539,0.546917,0.322894,0.240618,0.328545,0.202047,0.335529,0.503244,0.664729,0.824429,0.889138,0.946796,0.925507,0.727268,0.573477,0.389377,0.321849,0.229091,0.366032,0.537495,0.846105,1.222893,1.155108,1.305031,1.336348,1.295397,1.181844,0.909933,0.836603,0.61325,0.322275,-0.146635,-0.432569,-0.496064,-0.519916,-0.345518,-0.172356,-0.184751,-0.202236,0.071302,0.50847,0.762199,1.162809,1.6012,2.001045,2.246816,2.127734,1.847223,1.780084,1.935823,2.068548,1.744617,1.164863,0.865481,1.145194,1.604661,1.068503,0.171074,-0.452777,-0.979053,-1.320781,-1.428883,-1.37124,-1.330109,-1.570462,-1.948787,-2.153386,-2.229312,-2.257512,-2.276588,-2.285482,-2.29335,-2.299946,-2.304863,-2.307156,-2.30787,-2.296117,1
-0.752996,-0.616729,-0.829667,-1.039332,-1.083915,-1.038201,-1.172948,-1.18962,-1.20306,-1.276576,-1.290757,-1.246906,-1.298268,-1.293617,-1.212072,-1.116611,-0.920389,-0.73266,-0.553056,-0.522791,-0.4612,-0.32597,0.022157,0.176064,0.467721,0.663611,0.538534,0.750136,1.037504,1.00942,1.111587,0.946512,0.783712,1.026714,0.785557,0.772555,0.878599,0.965154,0.778602,0.747558,0.614937,0.39173,0.44152,0.361828,0.388106,0.611446,0.653949,0.868463,0.895769,1.019413,1.024981,0.814281,0.649994,0.494077,0.418319,0.403322,0.367029,0.556842,0.70045,0.954833,0.884288,1.234218,1.285266,1.314258,1.088196,1.053894,0.914791,0.81805,0.58529,0.147342,-0.177381,-0.297661,-0.283617,-0.175461,0.079085,-0.005171,-0.076071,0.153622,0.363951,0.545955,0.768921,1.049343,1.353576,1.539247,1.748115,1.817079,1.627058,1.729822,2.0178,1.857577,1.330224,1.111962,1.350183,1.806496,1.479626,0.822475,-0.017976,-0.703529,-1.211468,-1.443013,-1.494396,-1.512577,-1.770974,-2.140787,-2.354605,-2.439227,-2.47673,-2.498037,-2.51231,-2.521498,-2.5298,-2.536603,-2.541004,-2.542068,-2.53139,1
-0.795179,-0.564317,-0.853381,-1.022461,-1.088151,-1.065779,-1.141323,-1.198663,-1.162735,-1.223098,-1.301919,-1.258987,-1.330452,-1.293413,-1.261394,-1.164865,-1.016432,-0.827449,-0.700107,-0.649947,-0.549994,-0.310304,-0.012348,0.359233,0.574469,0.63166,0.802881,1.061454,1.319438,1.422035,1.283523,0.912496,0.900197,1.049498,0.730721,0.791038,0.878037,0.839784,0.708707,0.6394,0.468353,0.335764,0.31572,0.237727,0.366064,0.496531,0.712307,0.888769,0.965392,1.010006,0.991647,0.66693,0.5573,0.379051,0.221846,0.213067,0.22714,0.418971,0.829549,1.065154,1.092032,1.293116,1.377576,1.234682,1.102424,0.810334,0.746519,0.59951,0.229318,-0.115777,-0.460976,-0.587954,-0.597819,-0.432842,-0.237147,-0.293198,-0.343137,-0.047085,0.173352,0.592211,1.09529,1.429918,1.863877,2.150456,2.299055,2.049667,1.911768,1.901791,2.152007,1.787634,1.192934,0.892896,1.21823,1.716112,1.336606,0.379595,-0.328244,-0.892404,-1.292113,-1.455076,-1.452349,-1.466822,-1.688092,-1.998125,-2.18624,-2.257444,-2.290682,-2.310496,-2.320624,-2.328906,-2.339039,-2.344363,-2.349362,-2.350256,-2.341495,1
-0.760239,-0.53597,-0.799471,-0.970064,-1.029586,-1.099281,-1.09673,-1.156987,-1.133956,-1.195369,-1.245676,-1.238634,-1.282715,-1.277119,-1.245875,-1.129515,-0.977971,-0.863638,-0.715073,-0.716866,-0.61156,-0.415583,-0.146117,0.172166,0.469024,0.412372,0.649669,0.848499,0.939963,1.047172,0.913082,0.845705,0.72808,0.802579,0.623853,0.645617,0.734515,0.689612,0.557842,0.508904,0.331186,0.29235,0.26557,0.198633,0.310235,0.544406,0.668948,0.732524,0.87433,0.95641,0.880511,0.737766,0.513806,0.354864,0.388502,0.30441,0.334782,0.469907,0.849556,0.946696,1.070999,1.347658,1.251647,1.380342,1.209479,1.046058,0.779973,0.682969,0.460233,0.089674,-0.249516,-0.372055,-0.411178,-0.32454,-0.211007,-0.153229,-0.255604,0.091089,0.325232,0.742722,1.026648,1.375237,1.775726,2.106566,2.382395,2.153799,1.97841,2.082574,2.150483,1.934085,1.320313,0.979302,1.327824,1.900634,1.446073,0.609585,-0.08059,-0.694591,-1.163497,-1.337876,-1.305928,-1.309573,-1.570797,-2.003212,-2.245371,-2.341709,-2.37913,-2.406758,-2.419626,-2.432259,-2.441925,-2.449935,-2.457457,-2.46015,-2.450265,1
-0.893558,-0.761309,-0.937218,-1.107408,-1.07357,-1.112629,-1.203926,-1.226649,-1.203215,-1.280273,-1.273532,-1.235321,-1.270502,-1.273273,-1.265921,-1.173147,-0.998109,-0.805269,-0.555135,-0.543573,-0.478895,-0.231943,0.009453,0.367544,0.533883,0.781357,0.953858,1.09131,1.215266,1.30501,1.179837,0.965155,1.06228,0.845039,0.807558,0.695514,0.913205,0.871568,0.726271,0.649319,0.526222,0.315935,0.376288,0.310409,0.355339,0.586915,0.688365,0.98528,1.060805,1.155125,1.086648,0.744889,0.530084,0.412432,0.301254,0.306724,0.326091,0.545767,0.84049,1.278007,1.144293,1.38651,1.328222,1.287106,1.028143,0.937869,0.834549,0.680716,0.299196,-0.045794,-0.452389,-0.569402,-0.575504,-0.391752,-0.294913,-0.316566,-0.398503,-0.110751,0.110178,0.465,0.967888,1.425834,1.846057,2.057572,2.192162,1.857863,1.940601,1.78369,2.032179,1.723103,0.873836,0.791062,1.209421,1.996562,1.411766,0.301762,-0.442175,-1.03872,-1.42997,-1.629018,-1.705516,-1.77444,-1.912813,-2.069542,-2.159234,-2.197992,-2.218198,-2.229297,-2.237377,-2.24295,-2.250225,-2.254921,-2.257477,-2.260104,-2.249716,1
-0.952142,-0.812091,-1.1085,-1.236887,-1.254566,-1.262741,-1.297545,-1.305779,-1.266529,-1.322488,-1.333205,-1.321997,-1.387009,-1.328387,-1.301295,-1.194247,-0.981785,-0.835772,-0.686987,-0.653223,-0.548938,-0.32097,-0.007783,0.405336,0.478843,0.693249,0.840372,1.034941,1.092062,1.234263,1.146812,0.974324,0.971484,0.995823,0.798243,0.760425,0.832051,0.841403,0.71781,0.646555,0.431971,0.34323,0.328508,0.315154,0.352255,0.553458,0.665134,0.787936,0.993086,0.947126,0.986486,0.750939,0.602434,0.452998,0.338547,0.334594,0.380137,0.607516,0.859954,1.08981,1.125399,1.332758,1.316747,1.377877,1.095043,0.875749,0.846797,0.621965,0.382605,0.020554,-0.374589,-0.493706,-0.454787,-0.241251,-0.041224,-0.167992,-0.214881,0.04472,0.35731,0.594088,1.069356,1.521679,1.748747,2.110039,2.172279,1.889139,1.781151,1.962317,1.971127,1.711567,1.074507,0.845574,1.234805,1.773961,1.36954,0.522353,-0.291316,-0.860649,-1.270516,-1.421486,-1.425538,-1.433761,-1.654117,-1.982951,-2.173285,-2.248938,-2.279345,-2.297208,-2.309232,-2.317977,-2.326653,-2.330304,-2.336457,-2.336944,-2.32905,1
