@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute target {1,2,3,4}

@data
2.310797,2.307921,2.225087,2.064121,1.887807,1.71297,1.52541,1.346017,1.16548,0.978615,0.812712,0.627147,0.465797,0.288114,0.126014,-0.026857,-0.200429,-0.342842,-0.486943,-0.648895,-0.787161,-0.937386,-1.034893,-1.160676,-1.277082,-1.393701,-1.478893,-1.579678,-1.633617,-1.644947,-1.721412,-1.70585,-1.744416,-1.702216,-1.698156,-1.598866,-1.586272,-1.503384,-1.427503,-1.370802,-1.2677,-1.14,-1.052691,-0.956492,-0.852,-0.739545,-0.620458,-0.494713,-0.363596,-0.227188,-0.086052,0.060136,0.143801,0.300932,0.397727,0.541485,0.661786,0.743933,0.839678,0.949622,0.977847,1.091722,1.147523,1.3004,1.473292,1.648523,1.826993,2.001892,2.07012,2.213929,2.169292,2.09622,1.91672,1.735677,1.554848,1.380323,1.219204,1.156265,1.096066,0.977902,0.858748,0.751428,0.656765,0.548349,0.436055,0.331925,0.194394,0.07179,-0.011998,-0.15318,-0.279741,-0.355559,-0.481357,-0.600754,-0.71379,-0.819088,-0.915978,-1.002543,-1.179812,-1.248795,-1.308308,-1.388428,-1.47659,-1.495492,-1.601141,-1.592451,-1.662683,-1.624933,-1.653621,-1.597011,-1.598062,-1.554941,-1.46334,-1.419669,-1.319639,-1.203411,-1.118626,-1.023187,-0.874073,-0.737442,-0.576486,-0.433801,-0.292773,-0.11979,0.030862,0.185733,0.345644,0.51722,0.687277,0.867418,1.047219,1.22826,1.416254,1.59179,1.777796,1.958699,2.120316,2.229999,2
1.939025,1.934234,1.849028,1.700742,1.561203,1.391098,1.21401,1.037269,0.86098,0.685213,0.509954,0.335386,0.206948,0.036459,-0.132906,-0.27242,-0.41142,-0.57326,-0.676409,-0.816652,-0.911385,-1.027914,-1.162841,-1.201733,-1.309506,-1.415873,-1.47825,-1.485502,-1.554637,-1.610235,-1.651253,-1.676359,-1.685654,-1.678494,-1.65497,-1.616072,-1.562167,-1.494609,-1.414762,-1.324017,-1.261828,-1.207061,-1.084558,-1.018587,-0.900487,-0.755636,-0.680057,-0.525913,-0.420944,-0.266933,-0.102171,0.056723,0.184927,0.357231,0.529912,0.703431,0.877792,1.052875,1.192753,1.370677,1.514886,1.658472,1.809474,1.924447,2.009584,2.022493,2.018309,2.018974,1.958589,1.907014,1.809469,1.721766,1.575821,1.414168,1.268372,1.113956,0.951058,0.776837,0.603192,0.430382,0.258781,0.097049,-0.031222,-0.197917,-0.362987,-0.467455,-0.617785,-0.770016,-0.841648,-0.983099,-1.106195,-1.154883,-1.272108,-1.275014,-1.372238,-1.429561,-1.414422,-1.471755,-1.514466,-1.529357,-1.426262,-1.425745,-1.409683,-1.379221,-1.334394,-1.357895,-1.320551,-1.235077,-1.243406,-1.142202,-1.026366,-0.998601,-0.862319,-0.801691,-0.656336,-0.569409,-0.418364,-0.258899,-0.113887,0.013979,0.181949,0.351072,0.521279,0.67329,0.824947,0.999499,1.174701,1.350487,1.506554,1.641689,1.78589,1.929326,1.92131,1.905734,1.895753,1.891607,1.893691,1.902195,3
2.398026,2.411038,2.264964,2.099173,1.930455,1.75291,1.595243,1.429254,1.284701,1.135472,0.998725,0.848537,0.70655,0.535328,0.406902,0.24128,0.076512,-0.086857,-0.249198,-0.36557,-0.51325,-0.666608,-0.754282,-0.89444,-0.995045,-1.096475,-1.141736,-1.25035,-1.261944,-1.35488,-1.347051,-1.404795,-1.456959,-1.496294,-1.521808,-1.532498,-1.528002,-1.509048,-1.4761,-1.429285,-1.369384,-1.307381,-1.307777,-1.207485,-1.187504,-1.078203,-1.027229,-0.916124,-0.815697,-0.720087,-0.580705,-0.441077,-0.317817,-0.157317,0.004957,0.168787,0.334112,0.474286,0.634562,0.770987,0.91557,1.044936,1.191529,1.347638,1.51072,1.675709,1.851397,2.022788,2.190193,2.36498,2.384689,2.210654,2.040232,1.862807,1.692765,1.523859,1.355431,1.206062,1.065829,0.913956,0.784513,0.6343,0.488999,0.349521,0.193018,0.029389,-0.133101,-0.293879,-0.452414,-0.599663,-0.707639,-0.858773,-0.93257,-1.058785,-1.123955,-1.205322,-1.282337,-1.299618,-1.376135,-1.411919,-1.422997,-1.47066,-1.505575,-1.526678,-1.532801,-1.52388,-1.500545,-1.46331,-1.412074,-1.348973,-1.369943,-1.278275,-1.258376,-1.151394,-1.114996,-0.998544,-0.917174,-0.771987,-0.689467,-0.536945,-0.382773,-0.275302,-0.112422,0.050976,0.215761,0.382779,0.511769,0.650801,0.798993,0.952837,1.084052,1.225929,1.37646,1.546744,1.717358,1.889098,2.066513,2.243146,4
1.890908,1.888461,1.785812,1.753118,1.716724,1.57001,1.413067,1.231379,1.081077,0.904202,0.723185,0.54296,0.36371,0.185225,0.049528,-0.112342,-0.282617,-0.438026,-0.552381,-0.71327,-0.816502,-0.942752,-1.027606,-1.13315,-1.25956,-1.273401,-1.374453,-1.452992,-1.430675,-1.499202,-1.55257,-1.591055,-1.614485,-1.622066,-1.614041,-1.590177,-1.551275,-1.497523,-1.428906,-1.453114,-1.372255,-1.272663,-1.256552,-1.129763,-1.027658,-0.938416,-0.815578,-0.708958,-0.569007,-0.447532,-0.278091,-0.149617,0.014495,0.190594,0.35858,0.5052,0.687314,0.869913,1.053264,1.214679,1.385767,1.531397,1.686351,1.852856,1.891533,1.998107,1.989092,1.988135,1.993564,2.007501,1.897179,1.858829,1.819651,1.67787,1.53646,1.368178,1.207021,1.067939,0.886756,0.707547,0.529902,0.366947,0.229746,0.057563,-0.112213,-0.211287,-0.374416,-0.518745,-0.612769,-0.761621,-0.845087,-0.952075,-1.079146,-1.094485,-1.198956,-1.296926,-1.384777,-1.341711,-1.395098,-1.441068,-1.473141,-1.490477,-1.493281,-1.481689,-1.514277,-1.532297,-1.475663,-1.412857,-1.43882,-1.340246,-1.272736,-1.208779,-1.079067,-1.018274,-0.885209,-0.798909,-0.653798,-0.493092,-0.346812,-0.220138,-0.047912,0.126599,0.250208,0.428757,0.608573,0.7892,0.970755,1.127231,1.295435,1.453527,1.607727,1.764078,1.793172,1.888594,1.871268,1.861905,1.858918,1.862846,3
1.982681,1.967312,1.872494,1.757063,1.617471,1.470806,1.324288,1.177893,1.031641,0.885557,0.739675,0.594079,0.450595,0.316601,0.173195,0.045577,-0.088711,-0.219677,-0.355178,-0.475268,-0.609788,-0.716676,-0.847211,-0.974738,-1.098844,-1.218725,-1.333141,-1.440609,-1.514616,-1.578045,-1.649913,-1.706421,-1.744397,-1.761841,-1.757909,-1.732843,-1.688076,-1.625864,-1.5487,-1.45913,-1.359698,-1.252268,-1.13827,-1.019026,-0.933122,-0.802933,-0.671309,-0.537696,-0.40222,-0.291513,-0.151726,-0.018267,0.112691,0.255281,0.381963,0.525716,0.668683,0.807762,0.959527,1.105083,1.250716,1.396517,1.542499,1.688655,1.827872,1.956602,2.022499,2.043301,2.037896,2.036421,1.993373,1.912118,1.776503,1.637833,1.494784,1.354563,1.200616,1.052291,0.905611,0.759085,0.612637,0.466005,0.33404,0.187787,0.059104,-0.084969,-0.210295,-0.351268,-0.466836,-0.597559,-0.717909,-0.85126,-0.94946,-1.073955,-1.196669,-1.266336,-1.373042,-1.471444,-1.559464,-1.634915,-1.695255,-1.737495,-1.759539,-1.7603,-1.739752,-1.699101,-1.640468,-1.5663,-1.47919,-1.38177,-1.276021,-1.166255,-1.08436,-0.958663,-0.830539,-0.700056,-0.579932,-0.456591,-0.319733,-0.191043,-0.059048,0.077263,0.208126,0.34993,0.480849,0.626102,0.771387,0.916888,1.062586,1.208331,1.365505,1.511996,1.645812,1.77339,1.906178,1.982927,1.976098,1.974829,3
2.34876,2.333758,2.1705,1.997758,1.821883,1.642154,1.470835,1.292928,1.116752,0.946138,0.783829,0.605761,0.447621,0.287826,0.114989,-0.033095,-0.193967,-0.351609,-0.484341,-0.623322,-0.779908,-0.896966,-1.050089,-1.145446,-1.258476,-1.374574,-1.447648,-1.543856,-1.594028,-1.661174,-1.697792,-1.708831,-1.734423,-1.691064,-1.69706,-1.602365,-1.586429,-1.465602,-1.424011,-1.357574,-1.217833,-1.140879,-1.053399,-0.877653,-0.77728,-0.666975,-0.549874,-0.426548,-0.298097,-0.165008,-0.027481,0.111933,0.204017,0.346981,0.464262,0.574746,0.692135,0.793716,0.890748,0.930262,1.020597,1.087252,1.135888,1.295702,1.460302,1.63434,1.802408,1.964757,2.133812,2.178832,2.177378,2.030435,1.860777,1.6893,1.515579,1.347028,1.188645,1.131679,0.996795,0.948774,0.831787,0.718255,0.604746,0.481798,0.363357,0.254571,0.117596,0.009572,-0.114047,-0.223834,-0.358438,-0.488967,-0.614687,-0.734497,-0.848063,-0.9546,-1.05279,-1.142305,-1.222451,-1.305145,-1.428129,-1.473425,-1.546225,-1.603031,-1.668146,-1.673149,-1.659223,-1.676779,-1.647879,-1.608502,-1.600194,-1.499938,-1.446416,-1.333135,-1.238795,-1.155779,-1.03224,-0.896018,-0.77813,-0.648356,-0.484767,-0.352433,-0.195013,-0.034113,0.121489,0.274049,0.443537,0.608099,0.769615,0.948467,1.113156,1.291724,1.461861,1.641928,1.818631,1.991028,2.15981,2.328669,2
2.339112,2.340295,2.188521,2.01422,1.844077,1.675642,1.508963,1.357044,1.21359,1.054535,0.921102,0.774736,0.609679,0.441356,0.273668,0.106466,-0.025023,-0.185755,-0.346487,-0.48978,-0.620136,-0.765487,-0.867195,-0.972123,-1.093118,-1.150703,-1.198157,-1.299559,-1.318213,-1.362926,-1.399868,-1.460009,-1.508101,-1.541666,-1.560748,-1.565238,-1.553926,-1.527505,-1.487083,-1.43251,-1.363771,-1.377655,-1.294915,-1.260406,-1.192813,-1.089671,-1.029103,-0.901722,-0.803484,-0.690881,-0.548041,-0.390837,-0.274707,-0.113143,0.050549,0.215441,0.381386,0.548107,0.712485,0.853739,0.983049,1.138976,1.277774,1.427818,1.591786,1.759637,1.933921,2.102447,2.274716,2.345227,2.343296,2.19144,2.018945,1.84758,1.677053,1.509388,1.343439,1.195532,1.056294,0.922073,0.77703,0.632929,0.473214,0.307322,0.142186,-0.021817,-0.15481,-0.305002,-0.461721,-0.605637,-0.719936,-0.864095,-0.946113,-1.053643,-1.126337,-1.197471,-1.236914,-1.263655,-1.324535,-1.370149,-1.369132,-1.413959,-1.446155,-1.464367,-1.467653,-1.456904,-1.431929,-1.392203,-1.339815,-1.371665,-1.287081,-1.278506,-1.185345,-1.149864,-1.061307,-0.962211,-0.888949,-0.748265,-0.639225,-0.501305,-0.347143,-0.190095,-0.071957,0.088297,0.251554,0.416155,0.582558,0.718125,0.860056,1.008508,1.137966,1.276634,1.438379,1.602348,1.770353,1.943986,2.108279,2.27835,4
2.037454,2.030517,1.902943,1.770422,1.632798,1.48046,1.328501,1.176746,1.025188,0.873774,0.714115,0.555947,0.40499,0.261137,0.121368,-0.028217,-0.152189,-0.299062,-0.415749,-0.558355,-0.665483,-0.801697,-0.896256,-1.022652,-1.144741,-1.213094,-1.323455,-1.425377,-1.518303,-1.598875,-1.588312,-1.639349,-1.671353,-1.685573,-1.680022,-1.656793,-1.615145,-1.558284,-1.486669,-1.403376,-1.310089,-1.220539,-1.148811,-1.028934,-0.948886,-0.819986,-0.722331,-0.589566,-0.478781,-0.336388,-0.217684,-0.086461,0.056636,0.186274,0.337298,0.479277,0.626425,0.785202,0.943176,1.095428,1.247761,1.400291,1.553267,1.694092,1.835658,1.9767,2.045063,2.103393,2.10331,2.098197,2.034494,1.903184,1.770102,1.629895,1.495871,1.344226,1.193088,1.042271,0.891692,0.722433,0.572488,0.422469,0.281412,0.143689,-0.003617,-0.143517,-0.271758,-0.416186,-0.526279,-0.664857,-0.763848,-0.894398,-0.978806,-1.09749,-1.213294,-1.322522,-1.424466,-1.468006,-1.529773,-1.592832,-1.641036,-1.672977,-1.685918,-1.68102,-1.656666,-1.615551,-1.557448,-1.484143,-1.466902,-1.369857,-1.26332,-1.149051,-1.077253,-0.952303,-0.825638,-0.725849,-0.589077,-0.479145,-0.336395,-0.21766,-0.07031,0.062363,0.205949,0.355304,0.495818,0.640357,0.799533,0.958024,1.109546,1.261171,1.412844,1.561235,1.702179,1.835791,1.976707,2.028644,2.024416,2.025005,3
2.295653,2.297945,2.152193,1.983543,1.814377,1.64935,1.485555,1.339098,1.20148,1.048337,0.899979,0.758688,0.590941,0.423835,0.291331,0.129213,-0.032902,-0.193804,-0.353104,-0.505487,-0.61807,-0.771914,-0.859081,-0.98846,-1.074542,-1.15227,-1.254989,-1.27904,-1.37919,-1.461239,-1.449075,-1.512655,-1.560417,-1.593416,-1.611692,-1.614121,-1.600376,-1.571933,-1.528407,-1.541041,-1.487724,-1.405016,-1.326366,-1.280962,-1.213791,-1.105218,-1.040567,-0.910272,-0.80995,-0.658379,-0.554975,-0.397243,-0.242269,-0.114591,0.049233,0.213797,0.379283,0.545572,0.712009,0.851725,1.012664,1.144044,1.284113,1.44216,1.603532,1.767155,1.941046,2.109429,2.277087,2.454225,2.366528,2.199393,2.036867,1.870203,1.698731,1.537589,1.379409,1.238626,1.093325,0.958718,0.811944,0.668004,0.503087,0.375342,0.212271,0.051218,-0.108431,-0.266569,-0.42338,-0.52454,-0.675001,-0.773447,-0.902324,-1.009596,-1.103447,-1.15207,-1.193048,-1.277722,-1.269038,-1.344386,-1.31809,-1.359727,-1.393205,-1.41372,-1.419696,-1.411287,-1.389467,-1.354555,-1.335176,-1.330833,-1.259253,-1.258245,-1.192777,-1.121793,-1.07372,-0.951608,-0.882161,-0.739466,-0.65087,-0.502178,-0.350791,-0.242557,-0.083034,0.076836,0.237785,0.399641,0.54588,0.687456,0.829964,0.973843,1.106621,1.244505,1.394649,1.556545,1.721968,1.895217,2.059796,2.231204,4
1.822836,1.823742,1.730814,1.679855,1.538198,1.392487,1.235092,1.074246,0.913549,0.753108,0.592875,0.46201,0.305604,0.155848,0.058258,-0.072477,-0.1477,-0.262981,-0.315281,-0.406964,-0.498607,-0.560682,-0.676072,-0.783326,-0.799958,-0.892826,-0.977226,-1.052282,-1.117393,-1.171472,-1.213681,-1.24358,-1.260046,-1.263168,-1.252846,-1.228755,-1.191652,-1.139458,-1.182024,-1.108758,-1.024944,-0.932703,-0.832972,-0.733285,-0.691342,-0.578516,-0.510584,-0.451212,-0.356267,-0.278103,-0.158894,-0.047216,0.072228,0.199224,0.331524,0.4918,0.647426,0.794005,0.956458,1.119083,1.282037,1.428788,1.573796,1.725661,1.812363,1.832624,1.91577,1.924103,1.938517,1.960327,1.878778,1.844285,1.717903,1.600757,1.492927,1.360651,1.206069,1.052248,0.899226,0.74709,0.595718,0.437531,0.251924,0.103437,-0.044622,-0.241582,-0.386335,-0.530104,-0.671513,-0.849807,-1.004242,-1.140202,-1.293469,-1.463177,-1.58662,-1.702096,-1.808189,-1.902675,-2.044047,-2.142435,-2.19005,-2.213803,-2.211782,-2.184299,-2.133723,-2.061874,-1.95945,-1.789423,-1.682404,-1.565668,-1.441313,-1.31055,-1.147299,-0.981809,-0.842159,-0.69979,-0.520027,-0.360686,-0.213885,-0.065555,0.084248,0.235369,0.387499,0.539624,0.734118,0.888167,1.042785,1.197022,1.320758,1.449088,1.568173,1.69531,1.829458,1.84229,1.825779,1.814144,1.807951,1.80733,1
