@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute target {1,2}

@data
-0.80934,-0.798035,-0.79926,-0.805687,-0.811671,-0.825803,-0.826221,-0.827743,-0.827088,-0.827815,-0.826643,-0.826217,-0.82421,-0.822262,-0.82341,-0.816646,-0.810514,-0.808007,-0.804961,-0.80454,-0.823074,-0.794871,-0.581276,-0.315752,0.458829,0.877452,1.505026,2.083229,2.248587,2.277375,2.293388,2.300288,2.310373,2.297281,2.296457,2.288338,2.262378,2.192438,1.938431,1.561379,1.08776,0.605061,-0.063557,-0.632933,-0.936698,-0.980434,-0.904112,-0.854675,-0.835314,-0.832322,-0.81918,-0.800298,-0.793792,-0.794935,-0.796362,-0.795928,-0.800428,-0.801274,-0.800217,-0.800567,2
-0.80357,-0.808808,-0.804524,-0.795831,-0.793294,-0.790541,-0.785806,-0.777879,-0.765211,-0.760475,-0.762133,-0.763888,-0.763728,-0.7603,-0.753561,-0.747274,-0.746638,-0.743032,-0.748401,-0.673103,-0.508265,-0.18249,0.395479,0.945236,1.357448,1.883946,2.277158,2.324906,2.371421,2.386607,2.397774,2.402168,2.403611,2.396649,2.340228,2.147836,1.728548,1.302687,0.91431,0.437787,-0.291325,-0.692676,-0.961713,-1.017973,-0.998304,-0.947217,-0.901208,-0.869702,-0.844251,-0.826547,-0.811608,-0.806295,-0.806201,-0.80517,-0.803288,-0.803334,-0.801669,-0.797947,-0.794646,-0.793976,2
-0.963981,-0.969988,-0.964316,-0.952728,-0.956644,-0.964964,-0.97672,-0.969827,-0.977504,-0.966306,-0.961253,-0.96619,-0.967713,-0.961617,-0.963553,-0.862577,-0.793132,-0.79064,-0.719061,-0.679165,-0.499738,0.193642,0.771568,1.550415,2.016174,2.102515,2.129337,2.124685,2.120281,2.12065,2.110621,2.102895,2.083783,2.074295,2.047539,2.037416,1.958464,1.681153,1.222524,0.700199,0.227033,-0.179929,-0.48587,-0.646796,-0.704675,-0.76174,-0.800504,-0.776304,-0.715561,-0.671955,-0.737709,-0.84815,-0.902932,-0.924936,-0.922157,-0.910212,-0.903198,-0.890706,-0.879935,-0.884299,1
-0.934662,-0.932278,-0.929579,-0.93154,-0.932291,-0.931967,-0.932286,-0.93097,-0.930921,-0.931279,-0.927736,-0.925017,-0.912177,-0.77948,-0.712609,-0.720015,-0.73408,-0.688267,-0.597901,-0.374875,0.137706,0.736453,1.337457,1.926882,2.166627,2.212776,2.223151,2.228948,2.226537,2.221055,2.222321,2.210224,2.205177,2.186553,2.098999,1.823424,1.395488,0.874002,0.358372,-0.058303,-0.385715,-0.556983,-0.630365,-0.663353,-0.685967,-0.692151,-0.694178,-0.707617,-0.775488,-0.897902,-0.983128,-0.988233,-0.977408,-0.952051,-0.917571,-0.902403,-0.902406,-0.912545,-0.910811,-0.907647,1
-0.753408,-0.750045,-0.740789,-0.734162,-0.727699,-0.72225,-0.723131,-0.72025,-0.721333,-0.720643,-0.716767,-0.717935,-0.715824,-0.711821,-0.711237,-0.711366,-0.703176,-0.686746,-0.558167,-0.018066,0.624835,1.021862,1.37806,2.016397,2.525005,2.555398,2.544179,2.546054,2.547928,2.540812,2.528028,2.529084,2.297289,1.803834,1.319746,0.642712,-0.167176,-0.76421,-0.917172,-0.861108,-0.821415,-0.799733,-0.761266,-0.692518,-0.648914,-0.669465,-0.71451,-0.73848,-0.74314,-0.741067,-0.741492,-0.751555,-0.757228,-0.768399,-0.783684,-0.795295,-0.804303,-0.807568,-0.806222,-0.800484,2
-0.705795,-0.70214,-0.712868,-0.722876,-0.73529,-0.747337,-0.757738,-0.76693,-0.77757,-0.777341,-0.776798,-0.770791,-0.768516,-0.76809,-0.771395,-0.769813,-0.773377,-0.773056,-0.67006,-0.108178,0.699744,1.234016,1.587991,1.962238,2.263381,2.363972,2.373034,2.393134,2.3947,2.408593,2.388109,2.369281,2.247453,1.943979,1.466752,1.03195,0.762353,0.476542,0.107321,-0.346366,-0.705624,-0.949459,-1.031448,-0.996341,-0.96035,-0.906718,-0.881855,-0.868961,-0.869903,-0.865099,-0.860291,-0.864202,-0.866308,-0.87106,-0.875818,-0.874688,-0.88261,-0.878743,-0.880308,-0.882433,2
-1.582725,-1.645788,-1.647017,-1.613422,-1.597526,-1.592458,-1.593378,-1.591574,-1.590613,-1.563161,-1.242014,-0.493974,0.299248,0.807834,0.993026,1.057883,1.08438,1.102014,1.109769,1.103962,1.107825,1.11395,1.115576,1.118714,1.116908,1.118491,1.115514,1.112182,1.116866,1.119256,1.11896,1.117374,1.11516,1.110232,1.104203,1.101137,1.087888,1.087084,1.086747,1.073372,1.071712,1.049779,1.009747,0.954696,0.861233,0.718353,0.432731,-0.057789,-0.683479,-1.257231,-1.626099,-1.701818,-1.689636,-1.593239,-1.531798,-1.543441,-1.575625,-1.596785,-1.602103,-1.601117,2
-2.400244,-2.492479,-2.503129,-2.505869,-2.507985,-2.510447,-2.513182,-2.515613,-2.518585,-2.500817,-2.286086,-1.675866,-0.811167,0.013974,0.528506,0.713785,0.729296,0.693691,0.69584,0.689222,0.705288,0.718709,0.723279,0.72843,0.730802,0.737581,0.746371,0.746193,0.743754,0.746373,0.734359,0.741619,0.728769,0.723872,0.721332,0.724768,0.71758,0.706831,0.705979,0.710588,0.702918,0.706368,0.70244,0.695135,0.700993,0.703376,0.707822,0.711927,0.715985,0.725828,0.725689,0.729331,0.724531,0.72117,0.724075,0.672466,0.530894,0.275081,-0.193067,-0.848283,2
-1.32737,-1.33361,-1.337185,-1.333966,-1.337484,-1.334637,-1.336507,-1.261421,-0.857868,-0.120528,0.639427,1.139644,1.335342,1.36317,1.352077,1.350431,1.359281,1.358146,1.35545,1.344898,1.339664,1.334315,1.336779,1.335004,1.32477,1.325835,1.325854,1.320129,1.314687,1.323987,1.322761,1.321899,1.317272,1.305967,1.267319,1.186325,1.10442,0.919963,0.624023,0.171509,-0.367142,-0.846429,-1.187467,-1.368105,-1.393323,-1.356477,-1.326818,-1.316507,-1.309145,-1.307341,-1.306435,-1.305056,-1.306653,-1.308465,-1.310475,-1.310987,-1.312782,-1.30966,-1.299389,-1.291114,2
-1.480989,-1.466613,-1.459097,-1.460264,-1.462281,-1.468076,-1.441592,-1.252428,-1.020705,-0.949723,-0.932172,-0.86832,-0.844438,-0.834963,-0.675222,-0.220779,0.28848,0.706556,1.064736,1.322584,1.448546,1.486319,1.492583,1.502108,1.501733,1.499829,1.498885,1.496073,1.489675,1.483471,1.487395,1.489929,1.485156,1.488904,1.492878,1.482113,1.477215,1.469171,1.441786,1.348585,1.133744,0.815437,0.462787,0.10939,-0.225022,-0.530575,-0.786653,-0.97091,-1.032582,-1.044507,-1.030831,-1.024657,-1.046103,-1.088074,-1.165692,-1.310756,-1.533454,-1.664282,-1.590252,-1.584053,1
