@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute target {1,2}

@data
2.410014,2.345692,2.248847,2.133079,1.957657,1.775352,1.611746,1.443257,1.304078,1.171293,1.00611,0.802341,0.595955,0.381834,0.222394,0.047622,-0.07735,-0.237764,-0.427559,-0.593605,-0.759597,-0.93638,-1.101414,-1.209529,-1.413519,-1.557968,-1.44285,-1.325647,-1.180082,-1.025419,-0.871536,-0.711303,-0.536447,-0.356996,-0.237802,-0.227258,-0.30931,-0.311757,-0.374154,-0.483408,-0.47445,-0.626565,-0.669918,-0.740582,-0.864308,-0.913089,-0.952972,-1.065687,-1.23128,-1.399004,-1.558072,-1.627853,-1.696227,-1.660691,-1.512229,-1.344355,-1.170186,-1.051332,-0.95483,-0.838472,-0.749512,-0.706537,-0.617389,-0.600162,-0.501018,-0.50387,-0.591856,-0.489674,-0.357987,-0.24835,-0.19834,-0.04461,0.045537,0.201653,0.352602,0.410457,0.445059,0.531792,0.57373,0.604113,0.774901,0.923961,0.995237,1.071061,1.143559,1.224854,1.29727,1.317247,1.349914,1.392983,1.441321,1.506771,1.534821,1.499361,1.440065,1.348557,1.232778,1.134562,1.30987,1.456432,1.575682,1.652524,1.73533,1.835833,1.915891,1.931623,1.845613,1.756128,1.664312,1.538217,1.411544,1.292778,1.138836,0.997969,0.959609,0.979517,0.892849,0.770261,0.686086,0.532756,0.33505,0.161053,-0.019741,0.061382,0.103073,0.110195,0.054476,-0.066165,-0.146544,-0.283369,-0.453346,-0.613449,-0.775036,-0.958917,-0.930604,-0.775576,-0.627441,-0.58269,-0.726091,-0.861726,-0.916061,-1.08356,-1.261659,-1.43896,-1.614417,-1.693386,-1.623111,-1.496441,-1.403935,-1.489483,-1.612184,-1.785504,-1.901859,-1.808842,-1.725811,-1.706632,-1.811753,-1.982464,-2.11831,-2.043933,-1.919158,-1.799215,-1.776169,-1.707088,-1.792693,-1.885123,-1.760657,-1.608521,-1.450523,-1.339557,-1.342052,-1.17618,-1.0323,-0.934169,-0.765271,-0.657837,-0.582744,-0.461224,-0.286863,-0.142792,-0.130735,-0.159123,-0.070573,0.095129,0.278308,0.433467,0.578803,0.749192,0.907294,0.999751,1.104347,1.298586,1.395476,1.566616,1.686521,1.761645,1.942737,1.976685,2.052742,2.173074,2.285416,2.363085,2.391701,2.398655,2.394079,1
2.393442,2.344666,2.272746,2.174709,2.048854,1.860485,1.689258,1.515539,1.344575,1.172021,0.981785,0.796045,0.612932,0.438801,0.283443,0.101306,-0.078829,-0.264654,-0.455004,-0.640744,-0.8444,-1.063361,-1.270661,-1.467079,-1.673361,-1.858245,-2.009445,-2.178099,-2.375423,-2.410726,-2.251147,-2.086298,-1.924518,-1.752336,-1.60245,-1.453101,-1.288848,-1.121472,-0.962401,-0.81625,-0.668739,-0.514788,-0.346624,-0.198723,-0.12482,-0.081148,-0.161182,-0.207126,-0.291427,-0.356036,-0.439065,-0.505524,-0.544885,-0.60147,-0.708987,-0.807425,-0.849826,-0.939951,-1.071426,-1.108054,-1.016557,-0.920205,-0.891798,-0.970719,-1.108378,-1.179586,-1.090834,-0.998356,-0.884059,-0.774573,-0.711358,-0.72983,-0.817842,-0.937671,-0.903863,-0.791108,-0.709797,-0.575764,-0.428847,-0.32351,-0.180713,-0.012523,0.140684,0.253829,0.419569,0.571634,0.73171,0.809791,0.908962,0.95212,0.958212,1.049197,1.162998,1.195829,1.24905,1.31529,1.383714,1.456221,1.513226,1.558463,1.556519,1.467605,1.348094,1.214808,1.066126,0.911382,0.949618,1.163762,1.32315,1.465905,1.571136,1.690198,1.781901,1.876212,1.886913,1.882411,1.887707,1.844998,1.744191,1.618543,1.489766,1.373781,1.270511,1.174494,1.109746,1.049283,0.963751,0.825355,0.629913,0.437198,0.401017,0.4892,0.476733,0.389747,0.269457,0.167866,0.011228,-0.175936,-0.333974,-0.442053,-0.311374,-0.271216,-0.425482,-0.605645,-0.778596,-0.925916,-1.09756,-1.131139,-1.067417,-1.11134,-1.267407,-1.368446,-1.264548,-1.169899,-1.213404,-1.374597,-1.53222,-1.657537,-1.532902,-1.387512,-1.399562,-1.482225,-1.500978,-1.518823,-1.551617,-1.700984,-1.865497,-1.819096,-1.653472,-1.486385,-1.378891,-1.396493,-1.367962,-1.234471,-1.122776,-1.006069,-0.921157,-0.897505,-0.868543,-0.709963,-0.544854,-0.379247,-0.285588,-0.161756,-0.014109,0.15172,0.332079,0.507353,0.685456,0.875782,1.03418,1.117149,1.30322,1.455066,1.56692,1.695579,1.783534,1.890132,1.946531,2.029544,2.095291,2.19234,2.255999,2.312673,2.376232,1
2.355761,2.275932,2.15822,2.011535,1.852701,1.714068,1.578069,1.42817,1.278818,1.128134,0.956018,0.795467,0.656275,0.483021,0.30361,0.131991,-0.029944,-0.185994,-0.341893,-0.512616,-0.683281,-0.841704,-0.989549,-1.144955,-1.302784,-1.440416,-1.575302,-1.699308,-1.793625,-1.861139,-1.751553,-1.601224,-1.444348,-1.293028,-1.123825,-0.951612,-0.791472,-0.63743,-0.500174,-0.392297,-0.357373,-0.393588,-0.460156,-0.539714,-0.615726,-0.669571,-0.730711,-0.791436,-0.836134,-0.930626,-1.018529,-1.111807,-1.192396,-1.222547,-1.241446,-1.305356,-1.404587,-1.396326,-1.295526,-1.160173,-1.023874,-0.939253,-0.947442,-0.904342,-0.822492,-0.796377,-0.765739,-0.670505,-0.584446,-0.534078,-0.52827,-0.439358,-0.316776,-0.205928,-0.165977,-0.05987,0.091459,0.22154,0.261702,0.359625,0.50324,0.639683,0.77012,0.856278,0.924819,0.998221,1.065379,1.131599,1.210785,1.313926,1.396862,1.455789,1.55345,1.6058,1.609705,1.510728,1.391968,1.270033,1.150716,1.231734,1.403613,1.563217,1.675463,1.73405,1.742838,1.779534,1.848941,1.916628,1.955502,1.906068,1.824825,1.734155,1.639384,1.516037,1.366707,1.242719,1.279412,1.214912,1.106969,1.015147,0.964576,0.82342,0.635717,0.562242,0.560968,0.494602,0.364589,0.216526,0.103896,0.039871,-0.05963,-0.134446,-0.300083,-0.451578,-0.589825,-0.729895,-0.879544,-1.007838,-0.959998,-0.891273,-0.763251,-0.665417,-0.708826,-0.826736,-0.982193,-1.102585,-1.252996,-1.410762,-1.562002,-1.564351,-1.420557,-1.387286,-1.502082,-1.604487,-1.671356,-1.70832,-1.847914,-2.02847,-2.090376,-1.975234,-1.822846,-1.737051,-1.646295,-1.599821,-1.626324,-1.638305,-1.533143,-1.427337,-1.444813,-1.482914,-1.398775,-1.250749,-1.094528,-0.969759,-0.872935,-0.876174,-0.827821,-0.680342,-0.525721,-0.377456,-0.290575,-0.278788,-0.178409,-0.016741,0.139866,0.295824,0.399272,0.533498,0.695068,0.865213,1.039994,1.165617,1.339245,1.524948,1.678287,1.830891,1.931925,2.005805,2.079977,2.110447,2.173094,2.253462,2.313951,2.352187,2.350804,2
2.533384,2.509684,2.408473,2.271369,2.127882,1.956083,1.835381,1.713219,1.565163,1.400298,1.203036,0.993255,0.821277,0.677634,0.512232,0.3523,0.158318,-0.03011,-0.233307,-0.433868,-0.618368,-0.792771,-0.977907,-1.114048,-1.247177,-1.263774,-1.141888,-1.012678,-0.860499,-0.717219,-0.572737,-0.424707,-0.291603,-0.346429,-0.346144,-0.374273,-0.425897,-0.430723,-0.443682,-0.525871,-0.628357,-0.693791,-0.823547,-0.958487,-1.091164,-1.185539,-1.161627,-1.195359,-1.306911,-1.343534,-1.391332,-1.365019,-1.241615,-1.11424,-1.086528,-1.15955,-1.18063,-1.139296,-1.149009,-1.10252,-1.033381,-0.964593,-0.980428,-1.076868,-0.971301,-0.924477,-0.927714,-0.843472,-0.718068,-0.563763,-0.41717,-0.260889,-0.102726,0.035272,0.135869,0.144864,0.311296,0.464326,0.519597,0.575772,0.699135,0.757046,0.807142,0.839527,0.914942,0.991204,1.064211,1.131598,1.194814,1.195771,1.208123,1.263229,1.301297,1.247921,1.104872,0.974992,0.838928,0.689894,0.578621,0.743295,0.897151,1.061782,1.202517,1.300008,1.367736,1.495503,1.629406,1.709736,1.706333,1.657195,1.593456,1.505075,1.410752,1.312864,1.195691,1.070377,0.935509,0.811211,0.671999,0.567332,0.533488,0.497983,0.375468,0.196026,0.034916,0.086262,0.047077,-0.024828,-0.20251,-0.36567,-0.473783,-0.352249,-0.353499,-0.484583,-0.651219,-0.810202,-0.953487,-0.815558,-0.698072,-0.775609,-0.873876,-1.029104,-1.194664,-1.216122,-1.11997,-1.169039,-1.326134,-1.482103,-1.439025,-1.351796,-1.427637,-1.567729,-1.558036,-1.611349,-1.754377,-1.926419,-2.094405,-1.971595,-1.824298,-1.719154,-1.826794,-1.820561,-1.74248,-1.757758,-1.833009,-1.952671,-1.867369,-1.741658,-1.780653,-1.691138,-1.575208,-1.483209,-1.385209,-1.257272,-1.115987,-0.958635,-0.810636,-0.639777,-0.478324,-0.319015,-0.136221,0.019884,0.202543,0.373903,0.47387,0.616933,0.810788,0.957035,1.131692,1.253272,1.383997,1.547358,1.681864,1.80908,1.925823,2.042634,2.143281,2.268203,2.356509,2.475895,2.492117,2.381049,2.467616,2.525545,2.533989,1
2.501641,2.427954,2.293997,2.1876,2.218021,2.103982,1.93744,1.79335,1.643396,1.466475,1.315431,1.140328,0.954651,0.766723,0.552419,0.436142,0.280418,0.127679,-0.002095,-0.212723,-0.398495,-0.548588,-0.763964,-0.972454,-1.163622,-1.330005,-1.462579,-1.584247,-1.693493,-1.798988,-1.917477,-2.025689,-1.917444,-1.765974,-1.598273,-1.428513,-1.25079,-1.077393,-0.910807,-0.749245,-0.588727,-0.430996,-0.280826,-0.26686,-0.320126,-0.47006,-0.560494,-0.696729,-0.776755,-0.725841,-0.770172,-0.857365,-0.948197,-0.982645,-1.056369,-1.166751,-1.208781,-1.200007,-1.294539,-1.405681,-1.498772,-1.556222,-1.577484,-1.447412,-1.305082,-1.180617,-1.030798,-0.928798,-1.009286,-0.911891,-0.869641,-0.891296,-0.917086,-0.868527,-0.763076,-0.64451,-0.487186,-0.319982,-0.16198,-0.046263,-0.010751,0.114123,0.235674,0.363798,0.494081,0.561029,0.596061,0.686185,0.764494,0.941585,1.047886,1.160707,1.232445,1.250215,1.416223,1.538159,1.61651,1.705818,1.743133,1.648558,1.627803,1.490018,1.376067,1.296398,1.1579,1.010889,0.943961,1.092021,1.255781,1.404396,1.539245,1.649254,1.742991,1.722427,1.799017,1.796544,1.727295,1.625067,1.510424,1.392427,1.283405,1.141148,1.024517,0.920611,0.815364,0.771995,0.736402,0.614275,0.415339,0.229406,0.057929,0.125769,0.234995,0.2812,0.137179,0.009974,-0.103826,-0.271797,-0.434946,-0.600762,-0.757241,-0.895769,-0.780159,-0.6217,-0.456603,-0.441614,-0.606437,-0.750146,-0.909484,-1.079171,-1.244958,-1.388009,-1.304708,-1.24455,-1.263065,-1.402606,-1.546671,-1.494959,-1.479805,-1.56,-1.669359,-1.790183,-1.86516,-1.887454,-1.78123,-1.6803,-1.806076,-1.780045,-1.678504,-1.651499,-1.555799,-1.417312,-1.378817,-1.270576,-1.109561,-0.969526,-0.841275,-0.764776,-0.613129,-0.445004,-0.315716,-0.262796,-0.175286,-0.002994,0.172429,0.338814,0.391165,0.468639,0.651836,0.811731,0.937522,1.080531,1.184509,1.30313,1.456068,1.587991,1.654259,1.790885,1.922394,1.996323,2.090037,2.180014,2.287687,2.367415,2.461655,1
2.499854,2.439826,2.33346,2.200869,2.062293,1.918516,1.782465,1.639019,1.480272,1.318679,1.183906,1.046468,0.903036,0.749596,0.622065,0.474294,0.270495,0.080615,-0.092871,-0.234764,-0.387504,-0.541459,-0.701669,-0.856227,-1.018626,-1.198924,-1.310198,-1.41793,-1.476897,-1.564194,-1.7014,-1.662467,-1.529874,-1.389704,-1.248251,-1.102178,-0.943883,-0.791216,-0.644955,-0.503025,-0.457909,-0.482826,-0.516945,-0.570819,-0.615253,-0.662089,-0.702286,-0.783358,-0.875493,-0.953083,-1.018419,-1.130462,-1.225969,-1.242426,-1.246225,-1.254521,-1.306229,-1.36784,-1.364628,-1.275516,-1.181998,-1.10064,-1.073555,-1.057134,-0.995983,-0.931407,-0.841267,-0.735417,-0.666347,-0.548791,-0.440105,-0.343881,-0.235491,-0.106478,0.033828,0.086126,0.088289,0.164103,0.223318,0.295958,0.435732,0.54255,0.606068,0.684148,0.759611,0.835151,0.899884,0.979703,1.063472,1.138812,1.176312,1.222097,1.257541,1.296709,1.32822,1.359669,1.287,1.174461,1.024961,1.003249,1.083251,1.242658,1.417385,1.568712,1.703372,1.778989,1.82657,1.843577,1.89092,1.944772,1.969875,1.948418,1.888826,1.793664,1.669479,1.529683,1.378035,1.315961,1.267462,1.170183,1.037298,0.922408,0.838623,0.679079,0.498534,0.336297,0.300153,0.312079,0.278402,0.132985,0.059357,-0.093321,-0.261986,-0.404114,-0.390877,-0.462836,-0.601759,-0.602226,-0.703896,-0.855779,-1.009639,-1.059324,-1.077748,-1.118077,-1.198324,-1.268419,-1.420852,-1.572282,-1.558906,-1.517315,-1.485441,-1.572135,-1.707093,-1.854971,-1.797927,-1.699151,-1.705937,-1.801291,-1.841843,-1.749196,-1.748783,-1.796846,-1.899719,-1.866415,-1.744234,-1.646139,-1.58838,-1.594101,-1.476985,-1.392281,-1.379279,-1.309749,-1.161429,-1.023718,-0.908959,-0.926468,-0.859953,-0.70422,-0.570814,-0.471718,-0.298822,-0.1619,-0.138497,-0.036454,0.126092,0.24678,0.351566,0.50448,0.670307,0.820247,0.951815,1.070336,1.251049,1.349064,1.485918,1.584533,1.659375,1.762563,1.84871,1.956612,2.0853,2.208484,2.313313,2.404122,2.477169,2
2.268775,2.201035,2.088374,1.963204,1.8192,1.667681,1.49997,1.373838,1.206297,1.023518,0.84168,0.655896,0.470625,0.272717,0.088403,-0.092058,-0.280801,-0.488124,-0.671241,-0.854326,-1.036207,-1.22092,-1.351841,-1.522879,-1.729853,-1.923646,-2.128454,-2.223304,-2.102451,-1.969656,-1.82584,-1.718802,-1.582116,-1.435817,-1.2833,-1.134582,-0.993449,-0.859962,-0.791989,-0.809589,-0.839191,-0.927253,-1.000772,-1.051332,-1.040582,-1.036255,-1.04227,-1.11624,-1.145131,-1.151103,-1.23049,-1.30962,-1.435737,-1.500706,-1.462623,-1.392168,-1.375726,-1.447501,-1.408009,-1.346178,-1.283968,-1.190258,-1.131313,-1.125174,-1.103964,-1.01096,-0.925916,-0.825265,-0.782782,-0.701725,-0.697707,-0.699143,-0.578234,-0.448584,-0.337581,-0.214858,-0.0701,0.069496,0.213236,0.298624,0.322977,0.358962,0.503149,0.550788,0.572297,0.59859,0.676638,0.765442,0.845911,0.899559,0.973946,1.050629,1.153715,1.199534,1.267871,1.316597,1.337599,1.380462,1.311836,1.219049,1.108688,1.00861,1.161859,1.328626,1.442621,1.530542,1.593018,1.673233,1.736799,1.784063,1.818702,1.786296,1.73649,1.812521,1.794179,1.748049,1.677771,1.569535,1.454349,1.351781,1.241752,1.140495,1.049664,0.986509,1.055301,1.010757,0.90998,0.815638,0.740886,0.545539,0.372433,0.256698,0.351423,0.3127,0.201956,0.017358,-0.123713,-0.212588,-0.267398,-0.311915,-0.46938,-0.607314,-0.595045,-0.683543,-0.770588,-0.884238,-0.975827,-1.129604,-1.249989,-1.255554,-1.191287,-1.257455,-1.368103,-1.426583,-1.44863,-1.488419,-1.570048,-1.650727,-1.688539,-1.699964,-1.767147,-1.79538,-1.821293,-1.765549,-1.648933,-1.59218,-1.497045,-1.399427,-1.286115,-1.171756,-1.052896,-0.928339,-0.778581,-0.639524,-0.553869,-0.399202,-0.255092,-0.112236,-0.099287,0.010102,0.173718,0.29101,0.34587,0.439874,0.588774,0.685691,0.742865,0.914996,1.054013,1.158932,1.249369,1.386615,1.432101,1.503025,1.584699,1.655513,1.732959,1.851845,1.95239,2.042869,2.13542,2.206429,2.248272,2.211563,2.25408,1
2.440722,2.349655,2.223117,2.073446,1.946569,1.806261,1.657006,1.492483,1.355704,1.219882,1.068371,0.968534,0.836683,0.702619,0.545279,0.376435,0.213195,0.054205,-0.10383,-0.248917,-0.382896,-0.532045,-0.672475,-0.807666,-0.924791,-1.045222,-1.163571,-1.299589,-1.402692,-1.494165,-1.543919,-1.418595,-1.27799,-1.135171,-0.989697,-0.845104,-0.709857,-0.599014,-0.597157,-0.65665,-0.675776,-0.638134,-0.628801,-0.64178,-0.698701,-0.752522,-0.826739,-0.912649,-0.949115,-0.972692,-1.067433,-1.193539,-1.32158,-1.419719,-1.492462,-1.459196,-1.346645,-1.218642,-1.108499,-1.041813,-0.983952,-0.959693,-0.888641,-0.796507,-0.715927,-0.661851,-0.671745,-0.694316,-0.736672,-0.652623,-0.543214,-0.439103,-0.323531,-0.204799,-0.081628,0.033591,0.157448,0.260326,0.358026,0.453368,0.558938,0.642775,0.705445,0.73655,0.821835,0.924549,1.005163,1.078222,1.126492,1.16816,1.213146,1.281887,1.33477,1.286808,1.152922,1.015341,0.882125,0.729158,0.806579,0.985809,1.158201,1.318355,1.487524,1.60905,1.672074,1.666886,1.619804,1.699872,1.77399,1.818002,1.838264,1.83062,1.812356,1.759207,1.670608,1.574537,1.4639,1.357273,1.233851,1.121556,1.013385,0.926734,0.818554,0.733142,0.638348,0.548029,0.414238,0.213119,0.045288,-0.130938,-0.190462,-0.096096,-0.100735,-0.183727,-0.326609,-0.431174,-0.515081,-0.640942,-0.805524,-0.95647,-1.105336,-1.230525,-1.111738,-1.01007,-0.941144,-1.020351,-1.132967,-1.290584,-1.448865,-1.602967,-1.716952,-1.698159,-1.63552,-1.667107,-1.778504,-1.9056,-1.885886,-1.859748,-1.879834,-1.93891,-2.072011,-2.206694,-2.236522,-2.114443,-1.965783,-1.843867,-1.736693,-1.659804,-1.564635,-1.496154,-1.397136,-1.263603,-1.149489,-1.144616,-1.089783,-0.938807,-0.78684,-0.649737,-0.509673,-0.39298,-0.32805,-0.227809,-0.06663,0.094781,0.257401,0.422095,0.568234,0.576017,0.737639,0.897064,1.07241,1.252143,1.427248,1.528749,1.696886,1.7975,1.877216,1.937192,1.974817,2.02814,2.158743,2.258156,2.340957,2.40872,2.453464,1
2.46167,2.407294,2.322945,2.206089,2.060449,1.907721,1.754501,1.585013,1.408699,1.223416,1.062843,0.919226,0.753246,0.576126,0.410907,0.2233,0.077834,-0.091379,-0.253606,-0.439495,-0.631681,-0.803722,-0.974968,-1.113698,-1.280401,-1.443137,-1.619762,-1.794091,-1.957668,-2.107053,-2.275445,-2.23919,-2.095099,-1.941182,-1.797764,-1.65625,-1.519381,-1.377927,-1.236647,-1.106428,-0.973473,-0.84103,-0.70722,-0.570129,-0.427998,-0.29451,-0.22723,-0.251216,-0.287486,-0.329915,-0.368087,-0.435703,-0.530068,-0.600886,-0.660192,-0.765709,-0.862389,-0.873092,-0.947717,-1.038326,-1.095406,-1.167187,-1.245664,-1.250706,-1.268638,-1.207153,-1.116286,-1.046301,-1.011134,-0.974033,-0.893892,-0.844603,-0.845081,-0.898579,-0.944224,-0.891459,-0.754477,-0.6165,-0.472065,-0.324985,-0.174872,-0.022187,0.095067,0.203925,0.37032,0.505432,0.632371,0.728126,0.80877,0.867017,0.914638,1.004553,1.079877,1.182755,1.255663,1.315629,1.367033,1.410652,1.480935,1.538989,1.57046,1.561641,1.441856,1.300508,1.137867,1.079739,1.192883,1.304773,1.424274,1.531577,1.628506,1.715021,1.795833,1.865473,1.918129,1.924373,1.871715,1.783807,1.69276,1.590949,1.458421,1.341182,1.305326,1.239257,1.140743,1.046109,0.879205,0.711171,0.550483,0.375071,0.298535,0.383938,0.39223,0.300765,0.159592,0.036647,-0.033267,-0.136687,-0.292411,-0.441525,-0.460297,-0.436997,-0.496589,-0.632154,-0.772754,-0.912713,-1.055061,-1.184151,-1.066113,-0.986675,-0.9997,-1.11758,-1.25112,-1.3791,-1.325531,-1.257727,-1.322359,-1.401877,-1.436291,-1.4754,-1.555907,-1.66661,-1.808108,-1.808836,-1.691808,-1.570665,-1.528564,-1.592477,-1.514602,-1.451747,-1.348165,-1.227412,-1.145788,-1.156377,-1.149554,-0.999973,-0.863064,-0.765602,-0.704629,-0.633602,-0.487618,-0.385087,-0.257875,-0.127011,-0.001229,0.143932,0.224995,0.377245,0.535551,0.712554,0.881675,1.044964,1.185891,1.311046,1.463237,1.619707,1.723488,1.877583,2.007516,2.131886,2.2507,2.320073,2.37186,2.418138,2.454277,2
2.482878,2.461522,2.388826,2.256695,2.109378,1.934093,1.756246,1.58019,1.378336,1.166521,0.976898,0.820619,0.661798,0.524914,0.380232,0.205836,0.043973,-0.111995,-0.279975,-0.466202,-0.639322,-0.813647,-0.982899,-1.14074,-1.317322,-1.465688,-1.5828,-1.681643,-1.834437,-1.775484,-1.630256,-1.478527,-1.320666,-1.167078,-1.006964,-0.85414,-0.696546,-0.538353,-0.385261,-0.311424,-0.325572,-0.354613,-0.415093,-0.495378,-0.606077,-0.66848,-0.754773,-0.830302,-0.887704,-0.938208,-0.998945,-1.074952,-1.164508,-1.215302,-1.137271,-1.038497,-0.96395,-0.893664,-0.810882,-0.728937,-0.673457,-0.682989,-0.762827,-0.84955,-0.798527,-0.675399,-0.551856,-0.424175,-0.371197,-0.290715,-0.15372,0.003337,0.113941,0.129137,0.174975,0.320718,0.428517,0.51835,0.622943,0.724881,0.77221,0.809665,0.828856,0.892231,0.95717,1.001889,1.066997,1.151488,1.209502,1.245057,1.299688,1.317806,1.229943,1.116821,1.072144,1.183333,1.290345,1.38651,1.493501,1.582438,1.643166,1.730074,1.812384,1.873339,1.930569,1.942688,1.910728,1.812844,1.682554,1.630963,1.626634,1.562975,1.442952,1.304441,1.185988,1.08076,0.97271,0.87516,0.785387,0.674929,0.499761,0.334809,0.177065,0.013109,-0.034738,0.070069,0.139551,0.091692,-0.026061,-0.185958,-0.349443,-0.455771,-0.531349,-0.624458,-0.759874,-0.92003,-1.090646,-1.247256,-1.405493,-1.530346,-1.37903,-1.211054,-1.103648,-1.052425,-1.061738,-1.158925,-1.278976,-1.406637,-1.527967,-1.549287,-1.524854,-1.599348,-1.740835,-1.875559,-1.88012,-1.833439,-1.793138,-1.817216,-1.887345,-2.040518,-2.2051,-2.135214,-2.016169,-1.893805,-1.763787,-1.632686,-1.531479,-1.378932,-1.223609,-1.091156,-1.034781,-1.041591,-1.062458,-1.052535,-0.919754,-0.756401,-0.580364,-0.531943,-0.522649,-0.420873,-0.260503,-0.082675,0.084185,0.207924,0.218019,0.284051,0.444051,0.628644,0.759448,0.824301,0.99525,1.188059,1.278823,1.399261,1.46903,1.656165,1.811576,1.925099,2.047181,2.14525,2.245097,2.314482,2.371581,2.424495,2.438218,2
