@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute target {1,2}

@data
-0.667489,-0.25533,0.500034,1.182834,1.584044,1.593907,1.263852,0.377122,-0.444141,-0.753736,-0.206372,0.588624,1.488345,1.859024,1.663928,1.744845,1.968931,1.46776,0.621325,-0.195672,-0.670363,-1.047698,-1.54932,-1.956441,-1.528168,-1.03218,-0.67469,-1.07342,-1.479851,-1.74211,-1.526599,-1.100995,2
-0.77284,-0.393115,0.4713,1.207199,1.681173,1.836323,1.460109,0.482424,-0.30411,-0.805739,-0.437553,0.404635,1.314778,1.896995,1.699588,1.781134,1.963906,1.383169,0.489613,-0.325891,-0.799415,-1.186362,-1.52117,-1.663217,-1.407299,-0.994815,-0.661039,-1.019148,-1.424966,-1.642601,-1.536365,-1.176703,2
-0.822197,-0.456359,0.359058,1.224363,1.75008,1.784094,1.475306,0.589765,-0.260108,-0.66714,-0.374371,0.342358,1.252445,1.866293,1.78172,1.741975,1.912969,1.37771,0.492174,-0.302157,-0.628314,-0.939101,-1.38743,-1.778049,-1.539582,-1.147727,-0.89452,-1.273989,-1.604039,-1.648309,-1.30836,-0.91856,1
-0.863749,-0.477733,0.508469,1.38099,1.619542,1.818042,1.243835,0.273407,-0.625817,-0.79855,-0.10839,0.685132,1.587316,1.874644,1.684484,1.65625,2.067913,1.335158,0.450779,-0.383997,-0.851009,-1.058753,-1.464546,-1.653721,-1.319291,-1.023295,-0.850743,-1.077406,-1.526164,-1.637808,-1.403541,-1.061447,1
-0.811566,-0.454202,0.362649,1.171078,1.834354,1.870282,1.840169,0.957347,0.024886,-0.709628,-0.631486,0.153308,0.915564,1.678843,1.778138,1.766819,1.668068,1.418044,0.495828,-0.336358,-0.70147,-1.093539,-1.542874,-1.761352,-1.377797,-0.996303,-0.730885,-1.102274,-1.525297,-1.64731,-1.429351,-1.083685,1
-0.830393,-0.352285,0.524915,1.361752,1.614492,1.717412,1.025462,-0.025686,-0.697907,-0.886437,-0.284443,0.571985,1.543827,2.057124,1.810686,1.545019,1.979459,1.540844,0.571911,-0.306659,-0.533006,-0.813995,-1.364675,-1.834537,-1.548091,-1.06952,-0.60084,-0.97176,-1.465817,-1.792482,-1.480995,-1.005359,2
-0.703519,-0.396994,0.372505,1.238297,1.653203,1.687378,1.452338,0.727458,-0.141195,-0.679699,-0.326796,0.362246,1.248451,1.863094,1.754378,1.695819,1.927745,1.433281,0.52603,-0.270195,-0.838301,-1.088535,-1.537679,-1.723599,-1.427557,-0.985824,-0.882944,-1.152895,-1.487465,-1.741654,-1.484664,-1.072706,1
-1.023144,-0.532156,0.433714,1.36779,1.739724,1.937241,1.49714,0.596405,-0.31431,-0.987223,-0.659051,0.108658,1.010623,1.922217,1.796429,1.697481,1.959786,1.326015,0.366673,-0.530068,-0.871552,-0.372571,-0.45271,-1.072929,-1.76466,-1.639415,-1.218391,-0.914828,-0.775079,-1.299366,-1.890803,-1.441639,1
-0.712669,-0.435538,0.375764,1.081519,1.845596,1.867181,1.829489,0.997242,0.164638,-0.608634,-0.600728,-0.159098,0.710345,1.533463,1.734938,1.732065,1.816255,1.600775,0.630992,-0.233689,-0.879604,-1.138559,-1.503773,-1.591732,-1.293654,-1.022515,-0.954177,-1.204773,-1.420548,-1.562084,-1.439538,-1.15895,1
-0.881815,-0.406832,0.413859,1.236171,1.531512,1.752549,1.291024,0.474731,-0.460701,-0.855803,-0.23201,0.631105,1.54677,1.767653,1.581237,1.805252,2.093708,1.45925,0.489401,-0.402088,-0.535711,-0.758238,-1.338018,-1.745951,-1.591284,-1.024539,-1.000787,-1.351265,-1.552815,-1.515662,-1.416151,-1.004552,2
