@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute target {1,2,3,4,5,6,7}

@data
3.075815,2.474941,1.873396,1.230167,0.582891,-0.071101,-0.450638,-1.072882,-1.529511,-1.799948,-1.675977,-1.406488,-1.705169,-1.624815,-1.242004,-0.743299,-0.135619,0.469315,0.926054,1.256075,0.8495,0.393843,0.005005,-0.343714,-0.604531,-0.738157,-0.167647,0.453821,1.087832,1.511947,1.493301,0.939322,0.308217,-0.324975,-0.696146,-0.464728,-0.185979,0.210522,0.623441,1.069469,0.840116,0.376928,-0.230243,-0.786059,-1.251419,-1.629129,-1.646625,-1.339606,-1.7776,-1.665165,-1.34895,-0.820873,-0.254781,0.266193,0.90342,1.531968,2.168737,2.811544,1
3.224693,2.431375,1.637752,0.847967,0.055923,-0.198031,-0.925096,-1.535231,-1.959737,-1.599016,-0.940089,-0.221061,0.535247,1.313116,1.771508,1.129796,0.36244,-0.40828,-1.162384,-1.907464,-2.572229,-1.879644,-0.850144,-0.234766,0.208831,0.616469,0.679558,0.172083,-0.273363,0.214394,0.076,-0.310992,-0.383015,0.003497,0.732159,0.517445,0.629033,-0.25385,-1.198683,-1.9183,-1.643211,-0.889506,-0.12172,0.65096,1.448059,1.427641,0.709992,-0.067388,-0.800795,-1.420062,-1.266643,-0.869456,-0.326751,-0.057139,0.563807,1.318667,2.07677,2.838859,4
3.423926,2.808905,2.15775,1.510642,0.86746,0.287301,-0.271888,-0.868143,-1.436823,-1.849149,-1.839619,-1.597171,-1.153548,-0.569965,0.015143,0.224785,0.146899,-0.349528,-0.778486,-1.090598,-0.644308,0.198601,0.85752,0.933833,0.817057,0.738088,0.173218,-0.521779,-0.837877,-0.76037,-0.734652,-0.272358,0.373556,0.783242,0.836429,0.94156,0.597458,-0.175003,-0.716421,-0.881062,-0.481653,-0.031431,0.141913,-0.107463,-0.673871,-1.2194,-1.611897,-1.854534,-1.871466,-1.545333,-0.986536,-0.421305,0.124594,0.611287,1.203391,1.833093,2.459911,3.086077,6
1.137181,0.539118,-0.049282,-0.588612,-1.22158,-1.88762,-2.37103,-1.826653,-1.131086,-0.396127,0.009174,0.080676,0.134931,-0.07878,-0.402346,-0.711356,-0.884349,-0.937049,-0.733779,-0.148478,0.450581,1.023379,1.421602,1.975597,2.584494,3.17637,2.872043,2.139247,1.479033,1.150119,0.481617,-0.150414,-0.737783,-0.906071,-0.874715,-0.705153,-0.404004,-0.106976,-0.036473,-0.062839,-0.287326,-0.712529,-1.327581,-1.935123,-2.298785,-1.922442,-1.396276,-0.778117,-0.248527,0.303016,0.911462,0.836746,0.62201,0.981666,1.40909,0.786581,0.738647,1.014882,5
3.290384,2.472693,1.642741,1.061885,0.37946,0.297579,-0.380817,-1.163595,-1.763524,-2.086723,-1.784775,-1.628401,-1.768213,-1.186373,-0.635025,-0.518701,0.084312,0.503813,0.808895,1.218543,0.780603,0.584033,0.6024,-0.039502,-0.629742,-1.057753,-1.176597,-0.695332,0.095409,0.349953,1.203824,1.65695,0.848356,0.032851,-0.70264,-1.122341,-0.676536,-0.109647,0.590479,0.453117,1.144569,0.946098,0.569495,0.151928,-0.295852,-0.733184,-1.346672,-1.741792,-1.615155,-1.900245,-1.537479,-0.821296,0.000551,0.19963,0.804362,1.359818,2.074137,2.909046,2
3.364246,2.759156,2.13491,1.508913,0.881508,0.334813,-0.147866,-0.686946,-1.247473,-1.799532,-2.011043,-1.928706,-1.609706,-1.172086,-0.603656,-0.02382,0.199887,0.112113,-0.324204,-0.708094,-0.966189,-0.445673,0.351871,0.900843,0.859847,0.777009,0.599735,-0.075661,-0.664781,-0.746991,-0.672659,-0.637311,-0.05892,0.609575,0.811206,0.899631,0.904896,0.300848,-0.462324,-0.854518,-0.507107,-0.07022,0.290208,0.174717,-0.291424,-0.925309,-1.446918,-1.786141,-1.894844,-1.625494,-1.077882,-0.516639,0.049891,0.567478,1.184868,1.823379,2.467078,3.121508,6
3.325134,2.728097,2.106811,1.487015,0.869207,0.293602,-0.214396,-0.786639,-1.333176,-1.869816,-2.030961,-1.886708,-1.482295,-0.955929,-0.307912,0.131886,0.327602,-0.044683,-0.450807,-0.804076,-0.974701,-0.368709,0.412397,0.944129,0.869859,0.804724,0.639392,0.078325,-0.548645,-0.65382,-0.576007,-0.398749,0.322843,0.772513,0.819892,0.925139,0.624509,-0.112517,-0.572703,-0.709146,-0.314965,0.127196,0.14853,-0.162525,-0.775522,-1.315202,-1.715274,-1.920752,-1.909881,-1.464097,-0.936973,-0.387503,0.110909,0.61069,1.208636,1.820435,2.430326,3.045296,6
3.067754,2.442194,1.815941,1.207668,0.612512,0.000575,-0.394436,-0.961208,-1.40262,-1.667059,-1.531727,-1.105617,-1.384885,-1.46812,-1.230052,-0.687856,-0.048706,0.48793,0.933324,0.770061,0.335055,-0.060897,-0.388416,-0.632445,-0.428474,0.110601,0.691699,1.117114,1.111754,1.66411,1.803674,1.204218,0.608879,0.017701,-0.580202,-0.720895,-0.526702,-0.252742,0.09238,0.384654,0.015031,-0.479462,-0.925921,-1.324901,-1.640404,-1.793759,-1.498958,-1.538746,-1.691437,-1.434542,-0.986384,-0.450513,0.006079,0.604307,1.165871,1.745561,2.323649,2.897792,1
3.141451,2.266232,1.416411,0.946116,0.413028,0.128737,-0.286791,-0.847908,-0.829571,-1.464331,-1.85745,-1.846905,-1.33527,-1.578459,-1.154681,-0.607808,-0.326512,0.142679,0.529812,0.868399,0.824349,0.552109,-0.013931,-0.597629,-1.0271,-0.640697,0.088549,0.428027,1.225709,2.021749,2.428864,1.606525,0.804161,0.08992,-0.72461,-1.075364,-0.658243,0.173445,-0.050553,0.110938,0.616042,0.234713,-0.109955,-0.385516,-0.899878,-1.203959,-1.716429,-1.597981,-1.826473,-1.841305,-1.457557,-0.655961,0.07353,0.264615,0.830198,1.358282,2.132692,2.901547,2
3.383584,2.688938,1.989292,1.294184,0.660049,0.181272,-0.469436,-1.09722,-1.659183,-1.768016,-1.668127,-1.372407,-0.957295,-0.424783,0.077578,0.275076,-0.041517,-0.571721,-1.003219,-1.222538,-0.466343,0.299288,0.928395,1.008274,0.895414,0.692568,-0.001973,-0.650246,-0.767886,-0.718379,-0.652063,-0.086199,0.581535,0.869052,0.91388,1.011558,0.473074,-0.259653,-0.725426,-0.747711,-0.373424,0.07272,-0.012327,-0.390907,-0.914088,-1.345916,-1.654398,-1.820416,-1.798636,-1.476329,-0.893639,-0.306941,0.236815,0.706441,1.309394,1.950792,2.58943,3.229758,6
