@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2}

@data
1.11706,3.28428,0.250883,-1.389503,-1.149774,-2.333337,-2.291141,-0.721766,0.344185,1.032947,0.784725,0.549165,0.648744,0.307331,0.399435,0.6027,1.06191,1.921991,-0.419193,-1.217474,-0.883077,-1.884747,-0.650138,0.120028,0.152769,0.294385,-0.143133,0.210744,2
-0.24093,3.918353,0.473295,-1.553156,1.577505,-2.457888,-1.2204,-0.807058,-0.413996,0.382736,0.97113,0.971268,1.270458,0.425007,0.342957,0.353608,0.94496,0.229998,-1.619931,-1.210665,0.226723,-2.535675,-0.487704,0.804573,-0.099907,-0.267413,-0.086959,0.109112,1
0.735078,2.777252,2.177456,-1.455143,-1.592899,-1.757519,-1.956813,-0.738615,0.057638,0.882034,0.625978,0.271019,0.160591,0.297329,0.049367,0.989795,0.471613,2.40719,0.256887,-1.864077,-0.095684,-1.481243,-1.33088,0.844483,0.423564,0.067116,-0.661899,-0.559618,2
0.714816,2.614036,1.808964,-1.24557,-1.520475,-1.353133,-1.971521,-0.772135,-0.357367,0.460331,0.552179,0.476159,0.106752,0.223012,0.016777,1.035918,1.526248,2.541843,0.848556,-1.184708,-0.812319,-2.193062,-1.670523,0.421463,-0.291042,0.271093,-0.124606,-0.121687,2
1.131736,1.886944,0.606335,-1.128815,-0.5554,-2.634191,-1.32273,-1.128522,0.572577,0.350079,-0.011496,0.580315,-0.029345,0.222286,0.458967,0.90941,0.354284,1.231618,1.885252,-1.86343,0.173467,-2.230871,-2.314198,-0.361682,-0.063539,1.334606,1.24921,0.69713,1
1.5105,3.00634,1.215157,-1.663888,-1.420128,-1.592605,-1.570093,-0.87509,-0.130698,0.437409,0.490309,0.251734,0.474838,0.390138,-0.1075,1.333959,1.50169,1.869621,-0.434405,-1.58613,-0.624047,-2.245789,-0.835525,0.35835,0.088728,0.243229,-0.21776,0.131655,2
1.466119,2.42746,-0.162165,-2.027763,-1.215894,-2.200585,-1.767952,-1.172095,0.066629,0.536194,0.433884,0.222748,0.346054,0.133356,-0.07691,1.50251,1.447349,2.312186,-0.592673,-1.389084,0.284003,-2.437238,-0.684784,0.669878,0.92215,0.552961,-0.156905,0.560569,2
1.732596,2.675483,0.21572,-1.676268,-1.305005,-2.266672,-1.995807,-0.949102,-0.106078,0.565093,0.564074,0.289679,0.267639,0.257787,-0.11267,0.532145,1.912036,1.985433,-0.907731,-1.695835,-0.662233,-2.092555,-0.524668,0.71814,0.605228,0.697295,0.407424,0.86885,2
1.106051,3.227674,-0.237047,-1.999379,-0.744977,-2.275521,-1.327735,-1.080274,-0.131105,0.693745,0.804668,0.690085,0.425598,0.190084,0.060854,-0.214603,1.412696,2.598476,-0.798672,-0.928274,-0.123189,-2.446708,-0.468094,0.157596,0.619025,0.802401,0.140964,-0.154338,2
-0.378889,2.017702,0.073638,-2.412319,1.158719,-1.629973,-1.223638,0.014011,0.886437,1.219122,1.072663,0.546812,0.321803,-0.263668,-0.421336,-0.65027,0.781056,0.023303,0.042917,0.568642,-2.257045,-3.128517,0.855248,2.130083,-0.457497,0.035105,0.538279,0.537614,1
