@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute target {1,2}

@data
-0.560392,-0.753156,-1.029721,-1.315292,-1.758163,-1.355629,-0.898747,-0.374817,0.164865,0.743917,0.92708,1.160176,0.662319,0.53311,0.319715,0.106709,0.076963,-0.039951,0.086509,0.413782,0.770212,1.317148,2.173224,3.012769,3.308743,2.909431,2.475597,1.621232,0.463999,0.383947,-0.116484,-0.039784,-0.457683,-0.604801,-0.760525,-0.742769,-0.717364,-0.709073,-0.804315,-0.831612,-0.885381,-0.77575,-0.781561,-0.847426,-0.998271,-0.734173,-0.858673,-0.687972,-0.705567,-0.714128,-0.887642,-0.648582,-0.526867,-0.596692,-0.577221,-0.480189,-0.548692,-1.313468,-1.595728,-1.629901,-1.509569,-0.70583,-0.72272,-0.24651,0.157635,0.387188,2.226031,0.66948,0.502773,0.325115,0.258722,0.095693,0.230598,0.226423,0.667501,1.14507,1.788404,2.554944,3.156089,3.397376,2.9852,2.28638,1.794454,1.050044,0.538802,-0.232251,-0.7693,-0.74247,-0.92289,-1.150749,-1.483164,-1.577415,-1.213712,-1.832556,-1.567757,-1.242805,-1.194935,-1.164802,-1.073357,-1.034022,-1.110487,-1.135501,-1.12032,-1.185502,-0.777157,-0.723336,-0.906137,-0.851253,-0.835011,-0.563419,-0.671558,-0.723449,-0.25132,-1.554047,-1.442806,-1.251565,-0.919493,-0.464467,-0.131973,0.324756,0.51295,0.652675,0.330736,0.340441,0.269692,0.082783,0.034532,-0.030243,-0.088263,0.104951,0.769144,1.28098,2.109729,2.836871,3.112305,2.44218,1.806216,0.701972,1
0.845947,0.42289,-0.157241,-0.551208,-0.862758,-1.043621,-0.934507,-0.884328,-0.830813,-0.861949,-0.977031,-0.683207,-0.549289,-0.672373,-0.742551,-0.724131,-0.828679,-0.91327,-0.848963,-0.796004,-0.859551,-0.820747,-0.77907,-0.657799,-0.66299,-0.550217,-0.528071,-0.371955,-0.299795,-0.417921,-0.721087,-0.983153,-1.092759,-0.74885,-0.209077,0.175752,0.405301,0.550591,0.42034,0.263379,0.291164,0.24967,0.234189,0.11795,0.512524,0.683603,0.909827,1.544683,2.340027,3.353214,3.922335,4.507857,3.592897,2.965508,2.410551,1.716683,1.123462,0.403529,-0.007772,-0.256645,-0.534386,-0.559189,-0.536356,-0.732735,-0.645639,-0.454484,-0.575076,-0.63242,-0.710822,-0.648243,-0.647058,-0.598801,-0.641933,-0.530503,-0.659789,-0.593,-0.64417,-0.86908,-0.815573,-0.69252,-0.353575,-0.191353,-0.26624,-0.168198,-0.255843,-0.590804,-0.762822,-0.863053,-0.311281,0.396344,0.782484,1.162427,1.250034,1.249085,0.754143,0.555414,0.457711,0.54973,1.00573,0.292786,0.436681,0.461598,0.919655,1.589308,2.271131,3.363043,3.855222,3.375816,2.671322,1.993503,1.270235,0.438815,-0.279634,-0.85914,-1.1083,-1.124261,-1.150854,-1.116513,-1.122229,-1.062276,-1.048659,-1.01357,-1.07297,-1.023036,-1.07282,-1.022081,-1.045177,-1.082961,-1.079417,-1.031679,-1.103824,-1.099958,-1.04601,-0.796963,-0.731745,-0.537454,-0.607986,-0.512243,1
-0.03136,-0.1421,-0.173534,-0.079325,-0.186302,-0.070545,-0.113228,-0.226187,-0.370592,-0.290103,-0.402443,-0.362639,-0.558982,-0.679904,-0.360849,-0.508505,-0.323265,-0.13327,-0.140563,-0.165791,0.28021,0.324713,0.282863,0.22991,0.224712,0.028459,0.275056,0.668751,0.657461,0.525888,0.202296,0.234838,0.25146,0.215359,-0.132543,-0.933922,-0.696715,-0.724906,-1.258304,-0.985497,-0.828523,-1.02617,-0.923127,-0.965832,-1.204126,-1.366289,-1.489234,-1.488196,-1.558787,-1.588715,-1.715903,-1.716475,-1.720543,-1.687977,-1.733427,-1.631857,-1.809914,-1.748688,-1.792681,-1.856879,-1.742976,-1.694997,-1.675225,-1.632806,-1.688729,-1.747567,-1.68471,-1.493566,-1.388895,-1.268898,-1.091387,-1.081129,-0.937616,-0.825671,-0.83114,-0.666783,-0.675485,-0.501186,-0.318106,-0.149589,-0.081107,0.247259,0.35718,0.361785,0.488349,0.745831,1.031887,1.225538,1.257867,1.316922,1.350845,1.319781,1.537386,1.780588,2.050037,2.111453,2.130501,2.170793,1.731182,1.831936,2.079404,2.324966,2.386062,2.120762,1.926594,1.71618,1.883065,1.812373,1.784365,1.572222,1.001859,0.653794,1.012292,1.345376,1.279879,0.934662,1.077233,1.380836,1.383634,1.521619,1.670284,1.829903,2.353453,2.879753,2.195672,0.079411,0.350473,-0.571806,-1.014287,-0.881392,-1.150599,-1.071916,-0.919388,-0.836639,-0.672072,-0.54163,-0.624634,-0.638576,2
-1.859531,-2.079225,-2.127346,-2.05611,-2.194761,-2.148348,-2.207711,-2.131933,-2.069574,-2.209411,-2.058626,-1.918891,-1.98808,-1.658459,-1.517195,-1.513178,-1.636924,-1.528169,-1.406046,-1.499024,-1.16284,-1.256179,-1.019884,-1.019894,-0.993629,-0.768115,-0.6474,-0.474697,-0.576732,-0.439199,-0.48629,-0.299306,-0.215223,-0.051503,0.084269,0.210056,0.44077,0.461357,0.55234,0.668937,0.920268,1.200813,1.171979,1.380602,1.431613,1.431143,1.312787,1.381969,1.275247,1.028295,1.049589,0.594336,0.292616,0.025881,-0.199375,0.006555,0.806831,0.482482,0.579254,0.364727,0.488356,0.391019,0.937952,1.092527,1.306977,1.456519,1.481693,1.664366,1.660354,1.640947,1.906,1.782272,1.768256,1.686658,1.717163,1.898812,1.89142,1.763948,1.720425,1.449765,1.732842,1.402129,1.351137,1.074359,0.697258,0.706532,0.016961,-1.134868,-0.900288,-0.734531,-0.955239,-0.861061,-0.803738,-0.696877,-0.759828,-0.829944,-0.865972,-0.986288,-1.064779,-1.263042,-1.463294,-1.409201,-1.469522,-1.358029,-1.348296,-1.353178,-1.330527,-1.249778,-1.06125,-0.880005,-0.805069,-0.715012,-0.730032,-0.536872,-0.527994,0.022998,0.100233,0.092269,0.190837,0.464182,0.325197,0.293911,0.630862,0.835504,1.048849,1.064894,1.539526,1.528439,1.557773,1.545709,1.502252,1.392741,1.13804,0.921057,0.746258,0.955037,0.923484,0.851906,2
-0.931177,-1.203784,-1.42068,-1.412931,-1.332698,-1.031817,-0.578238,1.321297,1.876915,2.536479,3.186491,3.713042,3.15491,2.644399,2.339303,1.580047,0.740883,0.308321,0.018289,-0.16546,-0.338367,-0.467211,-0.422046,-0.555123,-0.626903,-0.609361,-0.621641,-0.626567,-0.56647,-0.656978,-0.790134,-0.904711,-0.884612,-0.926388,-0.953155,-0.929739,-0.954539,-1.008441,-0.929693,-0.928517,-0.845443,-0.708714,-0.635658,-0.328998,-0.477399,-0.490401,-0.603298,-0.640152,-0.818045,-0.850978,-0.78853,-0.153557,0.223768,0.668214,0.998559,0.667566,0.659168,0.536865,0.901574,0.308939,0.349503,0.168382,0.177741,0.128364,0.136266,0.695398,1.282691,2.089635,2.83185,3.04642,2.161773,1.950139,1.265045,1.056526,0.066396,-0.003528,-0.794185,-0.394927,-0.696248,-0.693434,-1.214626,-1.097458,-1.274343,-1.558578,-1.52134,-1.625535,-1.593784,-1.607659,-1.101832,-0.933679,-0.930041,-0.897006,-0.909738,-0.822764,-1.014987,-0.893101,-0.63466,-0.822799,-0.506543,-0.502707,-0.541638,-0.733941,-1.388532,-1.241111,-1.102656,-0.606162,-0.147531,0.227419,0.800471,0.788918,0.759855,0.528304,0.524217,0.563241,0.449771,0.394688,0.403458,0.284389,0.400987,0.917006,1.799237,2.511522,3.040824,3.196297,2.522526,1.809429,1.006122,0.537274,-0.333433,-0.515059,-0.948426,-1.069566,-1.047075,-1.11416,-1.072484,-1.108293,-1.051473,-1.07152,1
-0.963651,-1.094214,-1.127141,-1.028899,-0.969647,-0.927983,-0.952036,-0.998437,-1.024441,-0.958839,-0.925197,-0.918939,-0.789475,-0.703736,-0.661918,-0.540231,-0.545146,-0.627543,-1.001449,-1.302766,-1.248988,-0.73587,-0.131243,0.386191,0.688065,0.792725,0.772967,0.620534,0.461907,0.41502,0.336252,0.202056,0.646344,0.35413,0.169708,0.63585,1.299217,2.423016,3.65536,4.769272,4.548933,3.419325,2.860411,2.070679,1.388825,1.185211,0.533803,0.214278,0.079443,-0.327047,-0.327739,-0.56062,-0.481423,-0.522185,-0.690295,-0.658485,-0.656857,-0.619117,-0.803584,-1.005777,-0.649194,-0.923531,-0.666817,-0.74588,-0.941428,-1.282201,-0.908831,-0.792716,-0.722114,-0.486393,-0.234414,-0.17382,-0.056359,-0.159131,-0.482686,-0.774362,-0.92438,-0.636445,0.032986,0.663715,1.155523,1.509967,1.259848,1.045553,0.844385,0.597751,0.474044,0.198405,0.809035,0.425586,0.46854,0.400173,0.516204,0.684906,1.808276,3.188745,3.756484,3.10633,2.02726,1.409048,0.498862,0.139685,-0.114413,-0.610779,-0.801714,-1.025951,-1.033797,-0.974975,-1.124913,-1.108519,-1.071938,-1.029248,-0.979236,-0.948977,-0.976141,-0.953018,-0.902653,-0.908237,-0.9815,-1.06936,-0.929046,-0.772813,-0.735164,-0.595476,-0.499095,-0.378343,-0.611347,-0.546191,-0.608147,-1.003735,-1.272134,-1.259349,-0.694591,-0.07877,0.385298,0.690758,0.930039,1.034261,1
0.959787,1.060093,1.067727,0.995294,0.871403,0.841484,0.699434,0.643842,0.379506,0.306348,-0.028571,0.030843,0.044496,-0.080336,-0.204916,-0.492318,-0.707994,-0.729556,-0.830006,-0.768362,-0.940416,-0.914081,-0.966393,-0.877236,-0.896839,-0.862968,-0.530397,-0.600012,-0.14259,-0.020119,0.394486,0.57595,0.697766,0.291117,0.52861,0.945918,1.746462,1.871324,2.314995,2.062,2.086991,2.172,2.005453,2.101052,2.07277,1.746463,2.057413,2.770249,3.501796,3.898901,3.797661,3.248986,2.237209,0.726036,0.482621,-0.116983,-0.566469,-0.632931,-0.659389,-0.704885,-0.805058,-0.906077,-0.995463,-0.970983,-0.688845,-0.76653,-0.873554,-0.824754,-0.987905,-1.004385,-1.068304,-1.086566,-1.095847,-1.15532,-1.103422,-1.242064,-1.226741,-1.360898,-1.465929,-1.676515,-1.673629,-1.773602,-1.678237,-1.828683,-1.462768,-1.49843,-1.568239,-1.516082,-1.449386,-0.961522,-0.835981,-0.986272,-0.814036,-0.760818,-1.291949,-1.606703,-0.876146,-0.356816,0.652275,1.26824,1.431877,1.472263,1.142169,1.175899,1.269657,1.248625,1.07839,0.913347,0.870516,0.837992,0.607181,0.388567,-0.258646,-0.126841,-0.727141,-0.744354,-1.260142,-0.793481,0.112426,-0.153689,-1.263135,-0.371127,-0.068593,-0.010164,0.133777,-0.18217,0.255979,-0.074066,-0.34168,-0.346274,-0.490643,-0.501126,-0.540693,-0.609273,-0.68669,-0.856542,-0.574181,-0.594786,2
-0.522503,-0.185263,0.011276,0.274096,0.552591,0.489342,0.499656,0.457742,0.551492,0.030136,-0.69415,-0.150096,0.138465,0.071069,0.219445,0.564971,1.018367,1.421074,1.437039,1.573769,1.63501,1.920772,1.839163,2.356567,1.935523,1.908037,1.450367,0.822324,0.627309,0.550208,0.433525,0.283197,0.164703,0.166821,-0.04056,-0.07549,-0.380595,-0.727927,-0.736568,-0.835094,-0.98524,-1.177125,-1.340767,-1.433852,-1.808898,-1.922786,-2.055384,-2.146785,-2.045542,-1.963411,-1.932284,-1.957748,-2.005619,-1.895679,-1.597431,-1.555755,-1.532461,-1.596734,-1.604062,-1.412459,-0.886736,-0.283832,0.04936,0.415238,0.767574,0.803879,1.043862,1.148764,1.111378,0.982553,0.794578,0.781948,0.792431,0.783674,1.035995,1.238431,1.230266,1.337861,1.727802,1.981709,2.179014,2.390261,2.509471,2.43473,2.411248,2.289371,1.946925,1.271701,0.887616,0.321967,0.234779,-0.02117,-0.321606,-0.335764,-0.54562,-0.598145,-0.627759,-0.635239,-0.936208,-1.203256,-1.163223,-1.496887,-1.537176,-1.692289,-1.834644,-1.786118,-1.61099,-1.461986,-1.437306,-1.390264,-1.246916,-1.09559,-1.099825,-1.069339,-0.983356,-0.943371,-0.879627,-0.915251,-1.024798,-0.984229,-1.141392,-1.14914,-0.73018,-0.240364,0.306011,0.721143,0.695395,1.012688,1.23561,1.119857,0.903214,1.035012,0.929694,0.854622,0.681288,0.952154,0.566132,0.306606,2
-0.237626,0.065762,0.508874,1.108951,1.944623,2.490679,2.929975,2.974283,2.989252,2.578516,1.85255,1.179843,0.456798,0.083718,-0.06961,-0.409179,-0.620855,-0.596033,-0.545451,-0.715904,-0.910804,-0.93518,-0.845752,-0.941161,-1.026279,-1.054235,-0.861795,-0.975952,-0.863397,-0.780598,-1.140487,-1.155621,-1.256539,-1.153929,-1.255631,-1.24996,-1.077118,-1.123817,-1.1182,-0.820447,-0.833639,-0.623067,-0.561992,-0.576272,-0.642399,-1.091099,-1.182235,-1.145775,-0.709127,-0.069089,0.387647,0.658705,0.893766,0.831023,0.387236,0.327117,0.24935,0.197494,0.267823,0.332861,0.565456,1.06329,1.519095,2.204028,3.037911,3.788647,3.324864,2.907882,2.408596,1.912663,1.01887,0.463744,0.2826,-0.10448,-0.351429,-0.428441,-0.507355,-0.775578,-0.892639,-1.006247,-0.74235,-0.932115,-0.800798,-0.798962,-1.011178,-1.1,-1.040769,-1.133478,-0.977418,-1.165611,-0.98661,-1.072733,-1.003748,-0.918687,-0.818392,-0.796414,-0.531927,-0.862859,-0.578971,-0.544265,-0.616717,-0.701417,-1.07539,-1.270264,-0.852714,-0.286695,0.292451,0.770602,0.747299,0.632592,0.495788,0.364671,0.287096,0.164793,0.142653,-0.079023,-0.072272,0.013563,0.23647,0.698058,1.455931,2.10094,2.656768,2.648474,2.12763,1.458269,0.589275,0.229168,-0.190045,-0.501225,-0.814815,-1.07605,-1.223939,-1.349842,-1.284699,-1.303316,-1.285289,-1.263562,1
-0.955093,-0.987594,-0.898873,-0.907993,-0.817173,-0.770337,-0.796274,-0.782076,-0.703025,-0.625797,-0.624997,-0.468831,-0.380302,-0.366425,-0.48507,-0.792818,-1.158985,-1.062515,-0.618032,-0.146508,0.183144,0.324545,0.383156,0.290068,0.30508,0.128073,0.133592,0.08565,0.075447,0.149957,0.212484,0.524136,0.925048,1.640591,2.409342,3.373523,4.066323,4.019152,3.480444,2.8667,2.430619,1.778052,1.220001,0.56373,0.385248,-0.048512,-0.30636,-0.613377,-0.586557,-0.785056,-0.850014,-0.961468,-0.856148,-0.791037,-0.707742,-0.73903,-0.773156,-0.703189,-0.749189,-0.672511,-0.652575,-0.676039,-0.774816,-0.710934,-0.746869,-0.939204,-0.773363,-0.59089,-0.443301,-0.325985,-0.301695,-0.283509,-0.622126,-0.893904,-0.840122,-0.598121,0.006265,0.560048,0.863148,1.020623,1.033838,0.607552,0.391706,0.325627,0.201865,0.523025,0.11726,0.308833,0.383173,0.526435,1.20718,2.189324,3.115354,3.802534,3.588808,3.025124,2.433733,1.876994,1.339983,0.959332,0.336593,-0.156288,-0.504718,-1.046791,-1.24984,-0.968941,-1.120873,-1.092054,-1.072846,-1.134103,-1.138383,-1.095444,-1.055704,-1.051786,-0.98245,-1.009297,-0.970566,-0.967028,-0.99559,-0.967931,-0.93415,-0.905185,-1.092032,-0.922307,-0.842428,-0.766683,-0.687857,-0.720583,-0.826659,-1.116808,-1.084522,-0.998829,-0.660242,-0.112126,0.315644,0.527201,0.666156,0.709107,1
