@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute target {1,2,3,4}

@data
0.699895,0.717164,0.736605,0.669125,0.768892,0.767638,0.766233,0.720385,0.730187,0.76699,0.743269,0.768778,0.80491,0.819522,0.714839,0.788871,0.81067,0.795468,0.737488,0.745767,0.783865,3.748486,4.619634,-2.178093,-2.414449,-2.456193,-2.474635,-2.382189,-2.381438,-2.356347,-2.377202,-2.337344,-2.224759,-2.273065,-2.167962,-2.164867,-2.059165,-2.072013,-1.968063,-1.914102,-1.883671,-1.75847,-1.736034,-1.578563,-1.528804,-1.31923,-1.191182,-1.086146,-1.024386,-0.910533,-0.763061,-0.724966,-0.604819,-0.484044,-0.339247,-0.2934,-0.101163,-0.161137,-0.097701,0.047928,0.154661,0.195168,0.21704,0.319075,0.478369,0.40988,0.402571,0.470506,0.486446,0.51422,0.56446,0.496445,0.558169,0.600544,0.661329,0.634446,0.666293,0.685554,0.734962,0.674648,0.665662,0.685122,0.733052,0.731316,0.752704,0.777786,0.675715,0.688863,0.723934,0.715896,0.711323,0.711945,0.742709,0.721745,0.688247,0.729804,0.66534,0.700953,0.717458,0.690744,0.699943,0.725364,0.735386,0.836341,0.748157,0.744293,0.705917,0.722173,0.680688,0.762468,1
0.913231,0.879024,0.920656,0.931517,0.941687,0.872472,0.964391,0.946216,0.886716,0.880709,0.956445,0.873499,0.891105,0.884818,0.86275,0.851596,0.9053,0.966608,0.850406,0.876906,0.878576,0.889996,0.86066,0.908308,0.801843,0.970151,0.92472,0.950962,0.903322,0.898844,0.910174,0.88605,1.003705,0.94648,0.941026,0.959574,0.900214,0.909049,0.851218,0.940067,0.951954,0.975237,0.99123,-0.025991,-2.554937,-2.617433,-2.624826,-2.61052,-2.608982,-2.480892,-2.521434,-2.438679,-2.396847,-2.368663,-2.317675,-2.318995,-2.259452,-2.198272,-2.113153,-2.093765,-1.948477,-1.880996,-1.766202,-1.656836,-1.579648,-1.490685,-1.355096,-1.364753,-1.206038,-1.077849,-0.987792,-0.827688,-0.797848,-0.629507,-0.505564,-0.392486,-0.260944,-0.177777,-0.076187,-0.001154,0.170646,0.081611,0.241902,0.352377,0.365497,0.42456,0.472233,0.550704,0.572653,0.591916,0.657852,0.632418,0.625909,0.664815,0.763025,0.702727,0.760511,0.776939,0.801889,0.829316,0.854804,0.844039,0.845617,0.838563,0.810936,0.806019,0.84047,0.815085,0.782444,0.847153,2
-2.229817,-2.503416,-2.512724,-2.538505,-2.489984,-2.557404,-2.56047,-2.539483,-2.498971,-2.594878,-2.488053,-2.502422,-2.546625,-2.510142,-2.53537,-2.501809,-2.41078,-2.390411,-2.254405,-2.141427,-1.87029,-1.566824,-1.397346,-1.056785,-0.657667,-0.254242,-0.068783,0.112185,0.304426,0.397536,0.508515,0.541374,0.576119,0.639645,0.672974,0.675894,0.685478,0.618163,0.696784,0.766953,0.677433,0.724073,0.641938,0.664718,0.727614,0.743116,0.659927,0.706689,0.731806,0.749997,0.737681,0.740678,0.766986,0.699091,0.709662,0.755806,0.707103,0.687128,0.721456,0.653235,0.673418,0.746619,0.714577,0.722946,0.685445,0.651549,0.729613,0.707522,0.76235,0.720492,0.734114,0.759603,0.779657,0.715511,0.65954,0.724305,0.712303,0.738571,0.673294,0.757321,0.684255,0.691766,0.647987,0.703121,0.720013,0.721396,0.644765,0.690218,0.678122,0.706365,0.740525,0.653951,0.67213,0.669848,0.642168,0.664792,0.690017,0.76062,0.649519,0.708464,0.690886,0.712149,0.725792,0.642717,0.6142,0.674254,0.673734,0.613103,0.714366,0.606857,4
-1.870314,-2.158009,-2.151908,-2.125936,-2.197378,-2.112216,-2.158608,-2.197847,-2.197726,-2.220388,-2.165068,-2.129824,-2.157739,-2.170336,-2.144025,-2.215551,-2.143906,-2.195082,-2.197196,-2.177701,-2.162714,-2.152836,-2.051926,-2.021003,-1.945763,-1.724133,-1.555016,-1.271598,-0.978042,-0.624643,-0.307998,0.00472,0.309802,0.483183,0.594696,0.668877,0.688171,0.801614,0.738044,0.756247,0.808258,0.766688,0.782005,0.821345,0.850019,0.854008,0.814118,0.82667,0.807686,0.791649,0.863483,0.785464,0.772641,0.742335,0.801176,0.786294,0.800371,0.781949,0.784629,0.801727,0.758686,0.781611,0.765259,0.789195,0.821432,0.827079,0.794853,0.808034,0.946836,1.317449,1.415975,0.958546,0.646931,0.239004,0.174923,0.5867,0.753018,0.75343,0.796033,0.740451,0.782932,0.726932,0.752403,0.758868,0.735061,0.749183,0.768521,0.794099,0.789064,0.772901,0.751911,0.820067,0.755323,0.787966,0.77198,0.762196,0.774013,0.790013,0.777471,0.781742,0.801135,0.726703,0.798585,0.807543,0.758212,0.764555,0.786904,0.753488,0.78248,0.736869,3
0.68412,0.679574,0.739022,0.682838,0.731352,0.655251,0.755966,0.678253,0.718548,0.740544,0.696154,0.765357,0.674695,0.744321,0.686219,0.695882,0.70268,0.754864,0.796534,0.783035,0.770361,0.829603,0.787505,0.869303,0.94297,3.945634,5.139673,-2.607801,-2.647921,-2.586732,-2.493074,-2.5131,-2.491433,-2.4125,-2.332466,-2.371341,-2.293931,-2.243524,-2.154573,-2.153283,-1.988598,-2.022278,-1.970457,-1.845967,-1.725824,-1.716507,-1.595611,-1.448304,-1.341384,-1.280124,-1.175867,-1.075082,-0.995846,-0.85623,-0.757817,-0.666998,-0.600206,-0.393416,-0.30851,-0.230217,-0.142714,-0.074385,0.098317,0.078076,0.12845,0.243375,0.205652,0.343601,0.393858,0.407512,0.452363,0.470209,0.507627,0.523306,0.490731,0.561926,0.597376,0.5495,0.632453,0.663606,0.575214,0.597288,0.718477,0.704034,0.734719,0.662963,0.627549,0.709413,0.645757,0.641506,0.717845,0.650268,0.746726,0.663999,0.657949,0.72296,0.671537,0.65336,0.783232,0.669472,0.707183,0.659882,0.719964,0.673119,0.646192,0.747055,0.743182,0.738292,0.687065,0.639622,1
-1.31517,-1.51205,-1.523487,-1.515213,-1.530683,-1.523666,-1.578164,-1.612765,-1.594265,-1.555506,-1.56635,-1.577982,-1.597089,-1.578271,-1.552153,-1.493476,-1.543857,-1.631749,-1.601289,-1.574698,-1.625483,-1.542162,-1.613065,-1.549564,-1.5382,-1.541686,-1.5239,-1.578407,-1.569791,-1.57543,-1.58133,-1.52875,-1.515535,-1.546729,-1.548581,-1.524981,-1.57435,-1.52412,-1.470855,-1.339659,-1.316908,-1.128221,-0.88314,-0.661713,-0.344805,-0.036648,0.171616,0.499074,0.728367,0.80037,0.903317,0.930154,0.982604,1.04859,1.088888,1.090308,1.047805,1.061291,1.159265,1.070995,1.072202,1.09144,1.118481,1.030315,1.039928,1.081239,1.07254,1.05737,1.118688,1.063769,1.081726,1.052175,1.170305,1.052294,1.11753,1.073758,1.102538,1.085079,1.150986,1.076356,1.051685,1.056826,1.126121,1.102949,1.083565,0.998659,1.076638,1.077828,1.101938,1.046539,1.092614,1.037721,1.017768,1.10248,1.078645,1.091029,1.040956,1.025636,1.049828,1.038249,1.092609,1.044544,1.055966,1.020531,1.062524,1.072721,1.08631,1.100919,1.02286,1.013872,4
-1.446085,-1.664152,-1.679633,-1.757024,-1.681706,-1.64391,-1.659499,-1.665357,-1.691194,-1.656159,-1.688044,-1.726782,-1.630486,-1.70052,-1.67829,-1.69827,-1.732593,-1.689556,-1.758935,-1.678844,-1.682096,-1.750858,-1.680993,-1.735744,-1.706789,-1.702281,-1.710896,-1.722319,-1.708599,-1.651875,-1.661866,-1.672142,-1.663183,-1.609182,-1.62546,-1.560678,-1.452137,-1.284018,-1.126362,-0.656862,-0.294211,-0.010621,0.236935,0.476562,0.743487,0.795516,0.936943,0.894666,0.931568,0.939851,0.997256,0.947655,1.001722,0.972183,1.025875,0.959516,1.00388,1.026537,1.01328,1.000783,1.04983,0.982176,0.98872,0.948012,1.000381,0.964073,0.939317,0.971407,0.96551,0.981821,1.012524,1.019431,1.012162,1.019158,1.000943,1.002205,1.008485,0.99436,0.966647,0.996851,0.988335,0.967525,0.92728,0.973554,1.040171,0.97541,0.927906,1.031969,1.004602,0.989889,0.984349,0.963222,1.009045,1.029755,0.931382,0.992911,0.95847,0.963668,0.958179,0.990392,1.024088,1.030624,1.019906,0.99996,1.01201,1.006484,0.956459,0.965396,0.956252,0.888792,4
0.768243,0.754843,0.742325,0.717438,0.777307,0.706882,0.739257,0.773367,0.724729,0.742636,0.783092,0.809187,0.805368,0.80134,0.733878,0.813282,0.790456,0.774896,0.737973,0.971486,4.375746,4.666913,-1.485557,-2.34822,-2.362398,-2.369633,-2.327104,-2.363186,-2.273367,-2.256251,-2.225845,-2.135742,-2.148113,-2.139914,-2.059745,-2.005058,-1.985723,-1.93881,-1.862671,-1.8702,-1.692872,-1.625326,-1.622287,-1.447481,-1.45441,-1.363477,-1.234056,-1.17397,-1.011049,-0.908738,-0.876067,-0.771531,-0.59168,-0.511351,-0.395976,-0.383748,-0.201152,-0.163835,-0.134091,0.019002,0.002617,0.084551,0.186124,0.243164,0.299265,0.360449,0.365305,0.426749,0.477452,0.41846,0.609273,0.590666,0.526136,0.616375,0.588475,0.559667,0.732456,0.616179,0.696909,0.64237,0.61974,0.709254,0.654878,0.690649,0.669639,0.749425,0.735125,0.730359,0.718913,0.740463,0.710136,0.651565,0.766616,0.73312,0.759347,0.832727,0.771589,0.735052,0.727373,0.763546,0.72121,0.792235,0.789759,0.843521,0.759282,0.729777,0.742836,0.720077,0.815838,0.764295,1
0.755854,0.836687,0.801424,0.767293,0.743107,0.778434,0.821105,0.778352,0.827961,0.717727,0.841762,0.738504,0.789492,0.819031,0.808305,0.769535,0.784293,0.759909,0.728382,0.782386,0.719472,0.741871,0.728485,0.77827,0.770597,0.760661,0.73338,0.803304,0.801905,0.754482,0.744357,0.807016,0.798117,0.780577,0.832668,0.798388,0.760689,0.807879,0.815702,0.799977,0.817625,0.806192,0.852124,0.887294,0.81807,1.990574,4.163243,4.193677,1.02907,-2.17608,-2.111768,-2.176289,-2.179915,-2.118394,-2.147588,-2.140488,-2.118381,-2.044871,-2.124021,-2.033474,-1.914855,-1.932468,-1.923841,-1.835874,-1.846771,-1.776782,-1.675539,-1.658963,-1.729708,-1.615197,-1.514617,-1.461725,-1.360058,-1.301203,-1.169919,-1.104073,-0.957218,-0.939805,-0.824958,-0.792067,-0.683133,-0.616799,-0.543385,-0.486727,-0.342332,-0.24566,-0.213847,-0.180284,-0.104364,0.005071,0.025576,0.157727,0.203069,0.221648,0.35949,0.423498,0.378616,0.47046,0.489283,0.536187,0.530325,0.538981,0.627561,0.575555,0.604268,0.615666,0.625587,0.656561,0.683944,0.649156,1
-1.413434,-1.596793,-1.627604,-1.652273,-1.650507,-1.666288,-1.661382,-1.663421,-1.686154,-1.687865,-1.655595,-1.696163,-1.679308,-1.707225,-1.708486,-1.662501,-1.676395,-1.701946,-1.702181,-1.67077,-1.650198,-1.678016,-1.734095,-1.623109,-1.645841,-1.692656,-1.657241,-1.68396,-1.745541,-1.674799,-1.639687,-1.654724,-1.624667,-1.672106,-1.562291,-1.537297,-1.457637,-1.276636,-1.100052,-0.950199,-0.616693,-0.237083,0.074274,0.331542,0.5801,0.711923,0.83125,0.925012,0.98152,0.93476,0.969549,1.017263,1.035296,1.001333,1.047483,0.975608,1.028282,1.027389,0.993496,0.99214,0.974432,1.006878,1.01421,0.914244,1.019106,0.996887,1.011388,0.984445,1.009952,1.001651,1.000669,1.002993,1.014405,1.010948,1.01897,1.005918,0.996127,0.965656,1.014418,0.982359,1.050204,1.0434,1.005388,0.938601,0.979138,1.028818,0.968159,1.001575,0.968704,0.967771,1.016491,1.003984,1.036644,1.057382,0.967007,0.988004,1.021817,1.013577,1.005219,0.95859,1.024543,0.98624,1.012026,0.97092,0.965597,0.993378,0.990841,0.982044,0.982196,0.94868,4
