@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute target {1,2}

@data
-1.951327,-2.11397,-2.132181,-2.14336,-1.211151,0.939724,1.957495,2.120652,2.152929,2.149942,2.121059,2.103529,2.083612,2.020216,-1.049264,-1.955329,-2.067343,-2.178996,-0.617007,0.352357,0.406293,0.380475,0.377671,0.377021,0.372607,0.368908,0.376289,0.373278,0.367844,0.365854,0.364149,0.362653,0.361492,0.355887,0.351664,0.35091,0.349766,0.348574,0.347449,0.347444,0.34326,0.342002,0.347201,0.358873,0.343159,0.344416,0.3286,0.325458,0.319962,0.316472,0.29554,0.246377,-0.553569,-1.340483,-1.384046,-1.400908,-1.410525,-1.417403,-1.423316,-1.429589,-1.4393,2
1.335508,1.322269,1.305387,1.294414,1.309521,1.282326,1.1931,0.37405,0.260028,0.419603,0.491564,0.528969,0.572613,1.36674,1.356986,1.340695,1.332406,1.324424,1.292734,0.871037,-1.123197,-1.142457,-1.17566,-1.208215,-1.224125,-1.249795,-1.281252,-1.281655,-1.298938,-1.305297,-1.306845,-1.307918,-1.308541,-1.307294,-1.322714,-1.3413,-1.34179,-1.344476,-1.316241,-1.320641,-1.279808,-1.221541,-1.206767,-1.209564,-1.212858,-1.24645,-1.244158,-1.269184,-1.412368,1.459759,1.41646,1.362337,1.351314,1.344303,1.339292,1.335325,1.331915,1.328773,1.325691,1.322493,1.319017,2
0.509212,0.525148,0.496187,0.498952,0.496672,0.525039,0.499183,0.480997,0.414515,0.551681,-0.256426,-0.346935,-0.301349,-0.247856,0.491498,0.651679,0.702261,0.762874,0.857971,1.042247,1.451249,5.986765,-1.250248,-0.978342,-0.792497,-0.703718,-0.643119,-0.602837,-0.598925,-0.541029,-0.54696,-0.565393,-0.504802,-0.497757,-0.490887,-0.487903,-0.458826,-0.46975,-0.441145,-0.441633,-0.461005,-0.453939,-0.426761,-0.405367,-0.428233,-0.47406,-0.444509,-0.518699,-0.465827,-0.431066,-0.486467,-0.506895,-0.509229,-0.484765,-0.49825,-0.57135,0.626376,0.554453,0.521211,0.54641,0.542178,2
-1.358793,-1.362389,-1.365718,-1.368223,-1.37901,-1.392423,-1.424701,-1.581121,1.529674,0.962207,0.528478,0.301138,0.203857,-1.319516,-1.358794,-1.353668,-1.354501,-1.356157,-1.358684,-1.364397,-1.369768,1.132858,1.228136,1.256975,1.272635,1.261636,1.23722,1.227734,1.217856,1.217054,1.198718,1.189884,1.196285,1.182095,1.174695,1.171448,1.176354,1.184638,1.184371,1.188649,1.201532,1.297043,1.318307,1.292901,1.294903,1.280569,1.268942,1.253064,1.238218,-0.955116,-1.326816,-1.341062,-1.346217,-1.34892,-1.350761,-1.352226,-1.35353,-1.354791,-1.356095,-1.35752,-1.359157,2
-1.352299,-1.353345,-1.354113,-1.354591,-1.354656,-1.357636,-1.354676,-1.345757,-1.254531,1.169031,0.435467,0.096195,-0.049154,-0.080625,-1.444715,-1.404315,-1.392719,-1.388559,-1.387856,-1.394452,-1.413781,-0.008321,1.140635,1.200204,1.24238,1.265341,1.249866,1.243023,1.233581,1.219492,1.210319,1.199318,1.197001,1.190811,1.193641,1.185584,1.182803,1.181543,1.185153,1.186912,1.202176,1.202339,1.270233,1.295439,1.258941,1.229962,1.20625,1.185338,1.161758,1.074432,-0.24314,-1.212985,-1.286832,-1.313194,-1.326643,-1.334782,-1.340224,-1.344106,-1.346998,-1.349215,-1.350945,2
0.486815,0.515568,0.495501,0.494568,0.496541,0.502306,0.516224,0.555411,0.783998,-1.063718,-0.881271,-0.787838,-0.840397,-0.934406,0.501875,0.404479,0.362297,0.315896,0.24146,0.053486,-0.39472,10.996943,-0.31908,-0.298967,-0.419105,-0.469228,-0.492496,-0.540101,-0.602024,-0.567114,-0.551057,-0.558127,-0.589097,-0.595226,-0.601004,-0.571457,-0.577754,-0.617209,-0.570706,-0.576205,-0.579597,-0.583079,-0.606359,-0.645768,-0.662484,-0.627153,-0.679788,-0.681339,-0.686087,-0.727213,-0.71517,-0.803062,0.632274,0.541044,0.520226,0.510551,0.504633,0.500426,0.497122,0.494289,0.491474,2
1.340499,1.338163,1.348972,1.329354,1.374357,1.384552,1.409033,1.50662,-0.09538,0.513006,0.629742,0.666485,0.67926,1.372711,1.333623,1.340798,1.345838,1.361048,1.368978,1.472659,-0.980361,-1.237115,-1.251587,-1.26927,-1.251061,-1.246281,-1.272588,-1.294855,-1.292561,-1.316805,-1.316231,-1.321154,-1.336314,-1.336862,-1.336899,-1.338282,-1.338497,-1.339242,-1.340642,-1.347245,-1.335807,-1.316079,-1.216009,-1.201627,-1.202202,-1.22495,-1.233709,-1.224152,-1.275261,-1.419576,1.617377,1.419493,1.406024,1.386636,1.376698,1.370699,1.366816,1.364236,1.362543,1.361498,1.360884,2
1.4117,1.417071,1.420807,1.402724,1.3724,1.37205,1.306111,0.549457,0.809271,0.967397,0.99836,1.014232,1.051833,1.460942,1.456373,1.451094,1.445117,1.437229,1.423764,1.369882,0.140471,-0.990649,-1.075669,-1.097626,-1.14983,-1.151672,-1.185919,-1.192991,-1.210363,-1.212732,-1.214526,-1.216107,-1.217583,-1.219034,-1.220672,-1.226485,-1.229811,-1.225772,-1.241523,-1.249606,-1.251494,-1.253023,-1.254803,-1.192528,-1.082795,-1.017795,-1.020006,-1.023916,-1.03047,-1.009986,-1.024716,-1.055999,-1.199979,1.583041,1.476536,1.47534,1.440292,1.431477,1.425237,1.420177,1.415694,2
-1.510467,-1.510847,-1.510239,-1.5086,-1.505661,-1.500704,-1.491637,-1.469237,-1.288311,2.157852,2.179352,2.20903,2.270912,2.545029,-1.920863,-1.695358,-1.6404,-1.616885,-1.605319,-1.601775,-1.61295,0.549535,0.674027,0.693825,0.713432,0.730374,0.745391,0.760065,0.766872,0.77447,0.780503,0.786568,0.797304,0.803015,0.810349,0.812806,0.819287,0.817252,0.824018,0.827141,0.827891,0.828082,0.818155,0.818501,0.755509,0.644268,0.569951,0.512149,0.506623,0.50094,0.494096,0.485906,0.4648,0.400836,-0.603751,-1.407966,-1.469419,-1.490408,-1.500448,-1.505914,-1.508955,2
-1.730739,-1.597496,1.063826,2.136127,2.323984,2.445666,2.43428,2.443497,2.465873,2.318473,-2.091308,-2.033415,-1.407118,0.195706,0.368623,0.531819,0.532957,0.54414,0.540432,0.541785,0.543011,0.547352,0.542511,0.546534,0.546925,0.546086,0.548437,0.54289,0.549251,0.550905,0.551534,0.552897,0.556641,0.551681,0.557769,0.557644,0.554853,0.558712,0.554405,0.558653,0.564517,0.579306,-1.159738,-1.279064,-1.283494,-1.284206,-1.283802,-1.283287,-1.283347,-1.28306,-1.282157,-1.2814,-1.281211,-1.280739,-1.279505,-1.278295,-1.277519,-1.276575,-1.274448,-1.271368,-1.266411,1
-1.44626,-1.446801,-1.448327,-1.451406,-1.457462,-1.472199,-1.501883,-1.654722,1.344947,0.625232,0.202426,0.007524,-0.06569,-1.495092,-1.428575,-1.412134,-1.400425,-1.38691,-1.344711,-0.892647,0.897079,1.107308,1.169777,1.194612,1.206819,1.20153,1.182972,1.170882,1.160075,1.152097,1.126889,1.130971,1.14574,1.127699,1.125595,1.12256,1.122154,1.133353,1.126054,1.126838,1.151313,1.202464,1.303866,1.294739,1.26998,1.278759,1.273375,1.272254,1.299494,1.454408,-1.732468,-1.536247,-1.493316,-1.474808,-1.464576,-1.458152,-1.453819,-1.450791,-1.448669,-1.447249,-1.446444,2
0.405219,0.41918,0.436962,0.46069,0.494391,0.54679,0.641032,0.865529,2.145254,-1.328097,-0.775729,-0.59214,-0.501748,-0.420677,0.097133,0.220004,0.254892,0.283571,0.31612,0.355179,0.494295,1.557448,-0.333399,-0.435446,-0.401331,-0.400573,-0.388384,-0.359008,-0.367098,-0.317922,-0.313792,-0.311163,-0.293419,-0.296402,-0.293495,-0.290406,-0.288042,-0.260807,-0.271798,-0.275199,-0.273362,-0.267985,-0.265634,-0.264657,-0.251774,-0.25801,-0.267797,-0.273257,-0.250623,-0.253093,-0.264338,-0.255491,-0.258862,0.317604,0.371534,0.353794,0.361586,0.368599,0.376013,0.38429,0.393848,2
