@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute target {1,2,3,4,5}

@data
0.209492,-0.86924,-1.263143,-1.44198,-1.426187,-1.133826,-0.688834,-0.542724,-0.351443,-0.106134,-0.058417,-0.062015,-0.070308,-0.034881,-0.065922,0.003012,-0.007799,0.042001,0.176198,0.358022,0.375818,0.319765,0.284046,0.14112,0.108581,0.055743,0.301862,0.036313,-0.021441,-0.143121,-0.141623,-0.115641,-0.124863,-0.121082,-0.19882,-0.167203,-0.216135,-0.182704,-0.130319,-0.164053,-0.07533,-0.021773,0.142482,0.313945,0.524145,0.552118,0.704716,0.817462,1.017021,1.093638,1.032243,1.028086,0.95028,0.873756,0.689925,0.650607,1
-0.487881,-1.506444,-1.642409,-1.706323,-1.549373,-1.268375,-0.711997,-0.508266,-0.376382,-0.147257,-0.102831,-0.078789,-0.035384,-0.104319,-0.033678,0.010943,0.062627,0.164276,0.405775,0.358437,0.389265,0.427431,0.397317,0.31609,0.274371,0.406217,0.487043,-0.417738,0.106478,0.065563,0.011427,-0.038117,-0.052033,-0.095575,-0.021034,-0.086489,-0.080001,-0.078797,-0.012618,0.157688,0.227364,0.334357,0.489157,0.591386,0.826107,0.962607,1.174766,1.150636,1.02082,1.00444,0.889732,0.776216,0.581882,0.35254,0.223208,-0.01523,1
-0.144103,-0.799609,-1.24284,-1.634047,-1.481398,-1.052877,-0.577637,-0.502324,-0.459547,-0.158203,-0.100537,-0.110654,-0.139118,-0.067865,-0.067855,0.00126,-0.013611,0.319053,0.560184,0.372389,0.304242,0.12811,0.03319,-0.190676,-0.168051,0.055243,0.259805,-0.118389,0.014383,-0.019858,-0.029322,-0.006718,-0.167834,-0.245349,-0.075722,-0.063114,-0.233742,-0.060418,0.063406,0.015686,0.131651,0.240478,0.423937,0.685291,0.700379,0.845372,1.091713,1.273993,1.184283,0.998926,0.951277,0.861431,0.763258,0.580798,0.370182,0.199436,1
0.12249,-0.734506,-1.276686,-1.545961,-1.466353,-1.325706,-1.04996,-0.622384,-0.457557,-0.368466,-0.108451,-0.050971,-0.110976,-0.025586,-0.046287,-0.041961,0.03168,0.192683,0.321985,0.239489,0.329408,0.328041,0.369128,0.470132,0.403513,0.447447,0.567604,-0.083916,0.08399,-0.027594,0.024262,-0.026648,-0.116198,-0.099837,-0.134357,-0.187522,-0.095246,-0.070531,0.007983,-0.008135,0.103604,0.22474,0.305781,0.401131,0.582646,0.743859,0.964012,0.882439,0.903133,0.894059,0.791592,0.739337,0.523959,0.425368,0.328657,0.073708,1
0.474147,-0.189661,-0.799578,-1.342477,-1.459144,-1.264436,-0.82518,-0.601038,-0.488662,-0.220834,-0.013865,-0.02826,-0.082813,-0.015715,-0.002138,0.012721,0.080985,0.082022,0.293946,0.380055,0.304592,0.350162,0.491334,0.424571,0.271754,0.275488,0.479756,0.387651,-0.118832,-0.185752,-0.230955,-0.294339,-0.270641,-0.197159,-0.348727,-0.303936,-0.302996,-0.351172,-0.381562,-0.330938,-0.21727,-0.143072,0.044367,0.195194,0.292466,0.400515,0.564414,0.769634,0.77443,0.814447,0.854457,0.872989,0.814206,0.699482,0.621444,0.496226,1
-0.551802,-1.222835,-1.534245,-1.538004,-1.184187,-0.752254,-0.49896,-0.437715,-0.14002,-0.089128,-0.11231,-0.028209,-0.066536,0.043787,0.009855,0.012074,0.096823,0.257618,0.475699,0.468691,0.402901,0.412402,0.366265,0.277283,0.325016,0.54836,0.441373,-0.328849,-0.107779,-0.220006,-0.161691,-0.208732,-0.213572,-0.245138,-0.297792,-0.262693,-0.250945,-0.199878,-0.139507,-0.138929,0.058035,0.180876,0.323758,0.456434,0.564294,0.761787,0.862038,0.997363,0.925098,0.91426,0.831833,0.671549,0.608487,0.422736,0.289883,0.098596,1
-0.18826,-1.009397,-1.479735,-1.581706,-1.478243,-1.299524,-0.856071,-0.473763,-0.432648,-0.239599,-0.057105,-0.050678,-0.029491,-0.046041,0.017704,-0.036905,0.08579,0.160939,0.364349,0.328469,0.364424,0.427177,0.443353,0.451461,0.367034,0.422729,0.504614,-0.240393,-0.007709,0.012259,-0.060222,-0.131787,-0.14405,-0.1631,-0.132708,-0.130667,-0.077602,-0.141239,-0.061569,0.020365,0.095287,0.210619,0.353431,0.480255,0.694394,0.85589,0.979837,0.982536,0.950437,0.893626,0.857849,0.687069,0.629703,0.444773,0.219596,0.025,1
0.057311,-0.568925,-1.143007,-1.57723,-1.581158,-1.290794,-0.867066,-0.561619,-0.486388,-0.259604,-0.08273,-0.063694,-0.06843,-0.033868,-0.002938,0.041448,0.21032,0.446914,0.492065,0.491551,0.572851,0.55573,0.402509,0.337618,0.429245,0.468348,0.33321,-0.368824,-0.054098,-0.065664,-0.104227,-0.149355,-0.179212,-0.15319,-0.231849,-0.273343,-0.245499,-0.218071,-0.132776,-0.051872,0.053813,0.240112,0.337629,0.437694,0.598178,0.732529,0.838532,0.844255,0.879749,0.813418,0.712767,0.576879,0.48116,0.381867,0.156134,-0.049824,1
0.192094,-0.514424,-1.099946,-1.567688,-1.506695,-1.150287,-0.732474,-0.507054,-0.457885,-0.09292,0.006345,-0.042489,0.075656,0.079933,0.062895,0.082222,0.259437,0.45531,0.652844,0.697333,0.854789,0.935007,0.75829,0.463423,0.27619,0.121904,-0.167008,-0.805875,0.041165,-0.021103,-0.04354,-0.095301,-0.152288,-0.134396,-0.218724,-0.182939,-0.2005,-0.235249,-0.167682,-0.176567,-0.087014,0.006933,0.122747,0.283719,0.285243,0.405686,0.470071,0.551672,0.717676,0.61051,0.481522,0.364947,0.368972,0.334648,0.377381,0.299019,1
-0.400691,-0.68949,-0.839441,-0.961865,-0.820157,-0.710789,-0.557658,-0.296838,-0.2182,-0.118565,0.048933,0.069078,0.066855,0.093187,0.156118,0.296055,0.430269,0.472901,0.4489,0.481914,0.504359,0.547309,0.543642,0.495068,0.542102,0.522136,0.386194,0.138621,-0.266325,-0.289261,-0.333638,-0.265315,-0.300998,-0.281142,-0.276288,-0.334801,-0.244424,-0.202742,-0.115881,-0.131535,-0.08015,0.020673,0.12491,0.181628,0.230251,0.272166,0.301975,0.363876,0.277894,0.245108,0.204147,0.154559,0.072786,0.020954,-0.109543,-0.183803,1
0.163851,-1.057377,-1.576857,-1.526761,-1.401017,-0.896231,-0.620743,-0.579385,-0.216028,-0.01087,0.014482,0.012907,0.082752,0.07369,0.095922,0.125914,0.104598,0.138915,0.319807,0.512462,0.521499,0.531044,0.450486,0.38993,0.3287,0.281491,0.49508,-0.081025,-0.148426,-0.177599,-0.221406,-0.183248,-0.302819,-0.269937,-0.28368,-0.326629,-0.275665,-0.251262,-0.284269,-0.273974,-0.22705,-0.164771,0.011635,0.192829,0.413189,0.504699,0.582509,0.670917,0.877304,0.960215,0.861972,0.849094,0.751226,0.695702,0.585146,0.418437,1
0.173991,-0.691316,-1.147683,-1.422096,-1.261543,-0.925041,-0.571508,-0.495895,-0.391771,-0.005666,0.026589,0.054047,0.033678,0.046011,0.093518,0.069708,0.122411,0.258742,0.513657,0.557924,0.552965,0.567089,0.536946,0.427034,0.353352,0.292613,0.437737,0.044708,-0.101768,-0.165014,-0.159413,-0.157467,-0.217625,-0.327632,-0.317315,-0.341983,-0.364895,-0.348777,-0.341666,-0.363124,-0.281207,-0.216043,-0.163363,-0.044307,0.134761,0.256447,0.376996,0.536379,0.646518,0.754161,0.784333,0.713439,0.75116,0.653514,0.514865,0.413723,1
-0.459961,-1.194003,-1.471241,-1.558472,-1.404872,-1.17531,-0.74782,-0.598681,-0.511771,-0.236318,-0.075677,-0.064898,-0.054898,-0.013095,-0.011172,0.056415,0.194749,0.398806,0.457611,0.49769,0.48875,0.456915,0.347072,0.265282,0.284981,0.431276,0.380003,-0.361598,-0.031911,-0.042365,-0.063926,-0.115899,-0.115222,-0.16083,-0.192793,-0.176404,-0.140171,-0.061151,0.027333,0.049305,0.170796,0.267557,0.429065,0.621643,0.849465,1.05897,1.075527,1.095314,1.015973,0.938784,0.842673,0.654858,0.393494,0.216454,0.03497,-0.121159,1
