@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute target {1,2}

@data
-0.349256,-0.372099,-0.381141,-0.380189,-0.380189,-0.380189,-0.381617,-0.383044,-0.81278,-0.852279,-0.533428,-0.61433,-0.134626,0.026703,0.192792,0.220394,0.252279,0.267508,0.279405,0.284164,0.282736,0.305579,0.291778,0.285592,0.282736,0.282736,0.282736,0.281309,0.282736,0.281309,0.998962,0.998962,0.998962,0.99682,0.937571,-0.535807,-0.657161,-0.680004,-0.695709,-0.700706,-0.704989,-0.70713,-0.709272,-0.70713,-0.273112,-0.14105,0.135208,0.247996,0.252279,0.272267,0.281547,0.281547,0.277264,0.270125,0.27298,0.27298,0.275122,0.275122,0.275122,0.275122,0.275122,2
0.371088,0.377516,0.383944,0.371088,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.36466,0.358232,0.36466,0.36466,-0.194573,-0.066013,0.036834,0.068974,0.088258,0.094686,0.113969,0.120397,0.120397,0.126825,0.126825,0.133253,-0.332774,-0.004948,0.004694,0.004694,0.014336,0.004694,0.014336,0.004694,0.014336,0.023978,0.03362,0.03362,0.052904,0.052904,0.052904,0.052904,0.052904,0.052904,-0.583464,-0.930574,-0.949858,-0.949858,-0.9595,-0.9595,-0.9595,-0.969142,-0.969142,-0.969142,-0.978784,-0.988426,-0.024232,2
-0.106926,-0.117135,-0.127344,-0.106926,-0.117135,-0.127344,-0.127344,-0.127344,-0.127344,-0.137553,-0.117135,-0.127344,-0.106926,-0.137553,-0.127344,-0.127344,-0.137553,0.127881,0.13809,0.13809,0.13809,0.13809,0.301434,-0.127344,-0.117135,-0.117135,-0.117135,-0.127344,-0.117135,-0.117135,-0.37236,-0.37236,-0.357047,-0.357047,-0.37236,0.010478,0.010478,0.025791,0.010478,0.010478,0.025791,0.010478,0.010478,0.025791,0.010478,0.010478,0.025791,0.010478,0.010478,-0.020149,-0.035463,0.010478,0.010478,5.263014,1.526516,-0.402987,-0.402987,-0.37236,-0.32642,-0.32642,-0.357047,2
-0.296566,-0.398151,-0.400359,-0.40404,-0.405512,-0.408456,-0.40772,-0.408456,-0.409193,-0.411401,-0.413609,-0.411401,-0.410665,-0.412873,-0.416554,-0.415818,-0.418026,-0.41729,-0.415818,0.184859,0.307792,0.276874,0.200318,0.146581,0.095052,0.061926,0.039107,0.013342,-0.002852,-0.019783,0.505441,0.494399,-0.000276,-0.078673,-0.078673,-0.078673,-0.077569,-0.074256,-0.074256,-0.068736,-0.055485,-0.037818,-0.017943,-0.023464,-0.023464,-0.028985,-0.033402,-0.033402,-0.032297,-0.033402,-0.03561,0.676589,0.920614,0.950427,0.971407,0.98024,0.984657,0.991282,0.992386,0.994595,0.992386,2
0.294677,0.298265,0.29683,-0.389833,-0.402748,-0.403466,-0.403466,-0.405618,-0.405618,-0.407053,-0.409206,-0.409923,-0.411358,-0.412076,-0.412793,-0.414228,-0.414946,-0.415663,-0.415663,-0.415663,-0.417098,0.209293,0.286784,0.199248,0.122473,0.051439,0.011258,-0.024617,-0.045425,-0.061928,0.434234,0.41809,0.400869,0.391183,-0.010267,-0.073767,-0.072691,-0.071615,-0.06731,-0.066233,-0.068386,-0.065157,-0.063004,-0.050089,-0.030716,-0.019954,-0.025335,-0.030716,-0.037174,-0.039326,-0.043632,-0.04686,0.383649,0.698997,0.919633,0.947616,0.958379,0.968066,0.977752,0.98421,0.991744,2
-0.198863,-0.178067,-0.178067,-0.188465,-0.188465,-0.198863,-0.198863,0.123477,0.113079,0.113079,0.113079,0.123477,0.123477,0.123477,0.133875,0.123477,0.133875,0.123477,0.123477,0.123477,0.123477,0.664177,-0.188465,-0.198863,-0.188465,-0.198863,-0.188465,-0.188465,-0.167669,-0.167669,-0.495208,-0.495208,-0.495208,-0.479611,0.003899,-0.011698,-0.011698,-0.011698,-0.011698,-0.011698,-0.011698,-0.011698,-0.011698,-0.011698,-0.027295,-0.027295,-0.042892,-0.011698,-0.074086,-0.058489,-0.011698,-0.011698,4.870195,1.392041,-0.43282,-0.495208,-0.495208,-0.464014,-0.448417,-0.464014,-0.479611,2
-0.284489,-0.284489,0.384302,0.371917,0.37811,0.371917,0.365725,0.365725,0.371917,0.37811,0.37811,0.371917,0.371917,0.371917,0.371917,0.371917,0.365725,0.359532,0.359532,-0.055366,0.031329,0.118024,0.155179,0.167564,0.179949,0.179949,0.192334,0.192334,0.198527,0.198527,-0.231853,-0.231853,0.009655,0.000367,0.000367,0.000367,0.000367,-0.008922,0.009655,0.000367,0.000367,0.018944,0.028233,0.04681,0.056099,0.065388,0.056099,0.074677,0.065388,-0.519804,-0.872777,-0.891355,-0.947088,-0.956376,-0.956376,-0.956376,-0.956376,-0.965665,-0.956376,-0.965665,-0.965665,2
-0.201369,-0.201369,-0.201369,-0.201369,-0.201369,-0.201369,-0.207974,-0.214579,-0.207974,0.419511,0.426116,0.432721,0.432721,0.432721,0.439326,0.439326,0.432721,0.432721,-0.056056,0.142097,0.221358,0.267594,0.280804,0.287409,0.294014,0.300619,0.300619,0.300619,0.300619,0.313829,-0.095687,0.102466,0.082651,0.082651,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.072743,0.082651,0.082651,0.112374,0.132189,0.142097,-0.501901,-0.818946,-0.818946,-0.848669,-0.848669,-0.858577,-0.858577,-0.858577,-0.868484,-0.878392,-0.868484,2
-0.08416,-0.082719,-0.080798,-0.079837,-0.078876,-0.076955,-0.075034,-0.074073,-0.072152,-0.073113,-0.072633,-0.071672,-0.071192,-0.623535,-0.624015,-0.623535,-0.623055,-0.621614,-0.620653,-0.619693,-0.619212,0.363959,0.36492,0.3654,0.36636,0.36636,0.36636,0.368282,0.368762,0.368282,1.175904,1.176624,1.177345,1.178065,-0.270035,-0.29309,-0.29309,-0.29381,-0.29381,-0.292369,-0.29309,-0.292369,-0.29381,-0.295971,-0.295971,-0.294531,-0.295251,-0.299574,-0.307499,-0.331273,-0.350725,0.036155,0.409347,0.508769,0.49508,0.486435,0.483553,0.485715,0.490037,0.492199,0.495801,2
-0.666824,-0.752937,-0.722365,-0.51513,-0.336476,0.127632,0.295387,0.383319,0.378909,0.414674,0.423236,0.451123,0.45567,0.461536,0.457485,0.454456,0.459158,0.45155,0.462939,0.451479,0.47095,0.4358,0.49587,0.115215,-0.700155,-0.692194,-0.724064,-0.719993,-0.722306,-0.738906,-0.271939,0.060625,0.287838,0.343288,0.36786,0.385088,0.423684,0.439984,0.458955,0.434798,0.470638,0.414146,0.521938,0.112832,-0.35176,-0.255104,-0.312718,-0.276905,-0.299973,-0.285411,-0.294003,-0.28953,-0.290098,-0.290315,-0.290584,-0.292226,-0.291129,-0.290392,-0.291038,-0.290533,-0.290572,1
