@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2,3,4,5}

@data
-0.112522,-2.827204,-3.773897,-4.349751,-4.376041,-3.474986,-2.181408,-1.818286,-1.250522,-0.477492,-0.363808,-0.491957,-0.309201,-0.495939,-0.342119,-0.316503,-0.471672,-0.364617,-0.552472,-0.475375,-0.6942,-0.593812,-0.769807,-0.59167,-0.024357,0.225228,0.128683,0.302483,0.179383,0.477844,0.624083,0.694273,0.362531,0.471666,0.221405,0.263564,0.586607,1.173345,1.433789,1.999043,2.125341,1.797437,0.99873,0.023132,-0.194914,-0.393456,-0.266419,-0.288694,-0.162338,0.160348,0.792168,0.933541,0.578621,0.25774,0.123431,0.925286,0.193137,1
-1.100878,-3.99684,-4.506579,-4.022377,-3.234368,-1.566126,-0.992258,-0.75468,0.042321,0.294876,0.190233,0.221742,0.050233,0.178042,0.046794,0.045724,-0.227254,-0.345825,-0.306178,-0.174563,-0.22448,-0.048684,0.230526,0.138027,0.244426,0.269202,0.127065,0.255983,0.153115,0.200865,0.34692,0.254537,0.486063,0.403188,0.387508,0.255703,0.150779,0.280942,1.202394,2.164346,1.764455,1.293428,0.244343,-0.286443,-0.732707,-0.832465,-0.721386,-0.832095,-0.711982,-0.85312,-0.519923,0.560327,0.538356,0.78749,0.476333,1.119621,-1.43625,1
-0.567088,-2.59345,-3.87423,-4.584095,-4.187449,-3.151462,-1.74294,-1.18358,-0.394229,-0.282897,-0.473244,-0.178594,-0.498447,-0.337251,-0.549749,-0.417368,-0.471005,-0.898612,-0.530164,-0.765674,-0.400114,-0.134987,-0.239347,0.315646,0.107364,0.314317,0.13829,0.458168,0.251916,0.298793,0.603211,0.521693,0.735248,0.394381,0.597563,0.377651,0.459127,0.298191,0.664659,0.701325,2.185398,2.262985,1.564784,-0.128587,-0.168606,-0.495989,-0.26823,-0.456415,-0.549203,-0.117429,1.284825,-0.021919,-0.713683,-0.532197,0.321097,0.904227,-0.421797,1
0.490473,-1.914407,-3.616364,-4.318823,-4.268016,-3.88111,-2.99328,-1.671131,-0.965629,-0.183319,-0.101657,-0.273874,-0.127818,-0.27426,-0.14096,-0.382549,-0.311937,-0.571433,-0.537886,-0.746683,-0.540094,-0.653949,-0.387787,-0.072745,-0.160125,0.067165,0.113832,0.271492,0.197608,0.386538,0.309801,0.669189,0.497853,0.638093,0.491908,0.57263,0.374382,0.371639,0.658724,1.216973,2.000769,1.898426,1.422492,-0.233161,-0.406388,-0.327528,-0.460868,-0.345752,-0.461069,-0.253524,0.213006,0.491173,0.350816,0.842069,1.086798,1.403011,-0.383564,1
0.800232,-0.874252,-3.973292,-4.338224,-3.802422,-2.53451,-1.783423,-1.59445,-0.753199,-0.298107,-0.491351,-0.290113,-0.597423,-0.504555,-0.815588,-0.782374,-1.060969,-1.122423,-0.088266,-0.168734,0.071899,0.109887,0.327062,0.242314,0.386105,0.633555,0.411671,0.588705,0.537772,0.640463,0.466596,0.634417,0.425175,0.321366,0.505122,0.98223,1.627534,1.741686,1.546928,0.92221,-0.123861,-0.319215,-0.074939,-0.196807,-0.210754,-0.100485,0.197446,0.966606,1.148884,0.958434,1.059025,1.371682,1.277392,0.960304,0.97102,1.614392,1.421456,1
-1.507674,-3.57455,-4.478011,-4.408275,-2.105171,-1.481048,-1.301362,-0.49824,-0.286928,-0.390031,-0.185916,-0.391101,-0.303259,-0.48138,-0.469118,-0.679036,-0.652052,-0.846853,-0.735148,-0.878061,-0.236842,-0.047711,-0.094409,0.006754,-0.082925,0.041113,-0.107166,0.085704,0.183204,0.418592,0.468299,0.636295,0.627545,0.41336,0.4433,0.241426,0.532063,1.960918,2.042437,1.758074,0.641264,0.175525,-0.10691,-0.098571,-0.266022,-0.100675,-0.210362,-0.069172,0.154878,1.214931,0.983369,0.952629,0.749326,1.007076,1.63499,1.493365,-0.783134,1
-0.297161,-2.766635,-4.102185,-4.589669,-4.219357,-3.650443,-2.300518,-1.293917,-1.065658,0.050751,-0.15818,-0.059199,-0.331247,-0.273794,-0.637873,-0.549653,-0.686732,-0.583037,-0.620849,0.011175,0.164471,0.078259,0.178519,0.169457,0.299697,0.236626,0.416508,0.396777,0.557269,0.590076,0.428521,0.206718,0.372457,0.459898,0.889528,1.285214,1.652374,1.9485,1.940691,1.551227,1.211925,1.133415,-0.128518,-0.394218,-0.506477,-0.545299,-0.376529,-0.49546,-0.332811,-0.386479,0.594978,0.581779,0.911651,1.053458,0.974787,1.288165,-0.823386,1
0.446769,-1.507397,-3.187468,-4.507462,-4.604201,-3.636115,-2.311604,-1.597727,-1.36245,-0.669216,-0.173393,-0.25399,-0.427739,-0.449746,-0.806785,-0.696292,-0.855282,-0.908456,-0.838837,-0.071802,0.16489,-0.004767,0.123816,0.055673,0.322792,0.215138,0.328084,0.512283,0.728414,0.620502,0.713632,0.488162,0.34957,0.799751,1.125994,1.281848,1.88281,1.82587,1.394902,0.928352,-0.144708,-0.349598,-0.251843,-0.432389,-0.289935,-0.282586,-0.169345,0.258729,0.896627,1.088203,1.001306,1.292059,1.378667,0.820793,1.258433,0.961215,-0.999476,1
0.087631,-1.75349,-3.304473,-4.704657,-4.686415,-3.611817,-2.267268,-1.570893,-1.41779,-0.500788,-0.225177,-0.308834,-0.211816,-0.30598,-0.848388,-0.699973,-0.754353,-0.00948,0.094493,0.045914,0.263469,0.089803,0.268983,0.186356,0.393549,0.577386,0.544917,0.657885,0.716175,0.529212,0.603281,0.393252,0.447389,0.274055,0.44789,0.788328,0.820852,1.061884,1.34086,0.68398,0.461937,-0.141968,-0.076308,-0.234292,-0.170077,-0.035914,0.332243,1.063251,1.575754,1.709046,2.142926,2.393528,1.92555,1.027624,0.192971,-0.648683,-2.441068,1
-0.832281,-1.700368,-2.853671,-2.853301,-2.701487,-2.285726,-1.555512,-1.085957,-0.694641,-0.588517,-0.768004,-0.772551,-0.621054,-0.692942,-0.611302,-0.620977,-0.769237,-0.699657,-0.800302,-0.697089,-0.767281,-0.573178,-0.614316,-0.40994,-0.46597,-0.354855,-0.427261,-0.361698,-0.220826,-0.253163,0.141005,0.101961,0.197859,0.119464,0.465326,0.556118,1.158648,1.137692,0.463925,0.135769,0.040806,0.018918,0.148973,0.395338,0.779733,0.941393,1.116197,1.42124,1.644654,2.007181,2.118599,2.028304,2.227544,2.045938,2.126852,1.679299,0.965814,1
