@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute target {1,2}

@data
-0.537901,-0.324187,1.060993,1.272234,1.312151,1.161139,0.999211,0.407525,-0.36527,-0.641225,-0.370003,0.062722,1.444335,1.534201,1.426143,1.426426,1.303426,1.28972,1.318651,1.506188,1.566028,0.799345,0.187771,-0.461564,-0.610881,-1.54122,-1.535776,-0.753133,-0.53133,-1.188791,-1.403892,-1.225599,-0.641048,2
-0.609238,-0.621048,-0.431347,0.047141,0.384237,1.291232,1.469617,1.384123,1.169925,-0.041174,-0.590468,-0.663028,-0.565121,-0.354129,1.335074,1.503047,1.345487,1.430432,1.572099,1.584429,0.118029,-0.37394,-0.545529,-0.707446,-1.286717,-1.297614,-1.024346,-0.558956,-0.523005,-1.033032,-1.297982,-1.221994,-0.727668,2
-0.672358,-0.620574,-0.25596,0.502693,1.377985,1.429613,1.378798,1.177197,-0.210024,-0.497681,-0.542898,-0.477574,-0.115493,1.295494,1.476706,1.38155,1.426423,1.588498,1.364852,0.999175,0.11916,-0.548277,-0.483797,-0.5737,-0.934436,-1.402959,-1.33836,-0.855291,-0.699439,-1.083659,-1.369815,-1.295582,-0.546338,1
-0.702323,-0.665425,-0.515592,0.415047,1.208439,1.45757,1.424102,1.264228,-0.222095,-0.683487,-0.673336,-0.566348,0.127192,1.504868,1.538336,1.434059,1.196683,1.262016,1.676635,1.215547,-0.419336,-0.586927,-0.799823,-1.1737,-1.321519,-1.292778,-0.927003,-0.672921,-0.814207,-1.223792,-1.31966,-1.118961,-0.663212,1
-0.65483,-0.469764,0.797203,1.409395,1.533746,1.474122,0.011402,-0.509107,-0.632977,-0.284313,0.010567,1.242364,1.386483,1.437282,1.411738,1.337737,1.369089,1.25382,0.108379,-0.389249,-0.563565,-0.625468,-1.239168,-1.418438,-1.372998,-0.951732,-0.616033,-0.578102,-1.120593,-1.324705,-1.229155,-1.051149,-0.66035,1
-0.691474,-0.416438,1.005457,1.230891,1.358423,1.339725,1.113919,-0.15367,-0.713837,-0.750923,-0.474893,0.318441,1.565966,1.712258,1.447317,1.26164,1.218343,1.557269,1.612245,0.146245,-0.574875,-0.406499,-0.47216,-0.708247,-1.43728,-1.450652,-1.244777,-0.474893,-0.540181,-1.324073,-1.416433,-1.053354,-0.523533,2
-0.561135,-0.409063,-0.209449,1.119338,1.316861,1.370094,1.314739,1.164175,0.702026,-0.363427,-0.532658,-0.526538,-0.266802,0.161581,1.298256,1.456846,1.48111,1.30539,1.307143,1.538802,1.524041,-0.095172,-0.507164,-0.682669,-0.700474,-1.333733,-1.358163,-0.648902,-0.872934,-1.317398,-1.400119,-0.911683,-0.744174,1
-0.813992,-0.741937,-0.548234,0.958289,1.377114,1.557316,1.423593,1.204962,-0.51936,-0.723632,-0.812278,-0.535095,0.216479,1.44047,1.565884,1.422295,1.464099,1.362314,1.567442,1.482794,-0.290396,-0.708468,-0.699847,-0.204528,-0.167293,-1.405127,-1.555335,-1.072245,-0.644904,-0.6132,-1.520713,-1.439404,-0.900068,1
-0.555587,-0.558043,-0.453387,0.009383,0.579015,0.73364,1.322256,1.480633,1.47677,1.599553,1.46932,0.348955,0.147894,-0.380572,-0.550427,-0.480178,-0.225754,-0.017464,1.367782,1.42738,1.321704,1.469596,1.416344,0.206305,-0.308723,-0.721662,-1.273021,-1.306362,-0.688497,-1.016784,-1.25481,-1.228661,-0.778998,1
-0.721367,-0.6702,-0.454352,0.637316,1.08203,1.417185,1.266424,0.519909,-0.372883,-0.613023,-0.716415,-0.430621,1.495975,1.233226,1.327058,1.563243,1.691238,1.32737,0.656686,-0.44476,-0.599849,-0.409444,-0.406081,-1.239546,-1.420316,-1.423377,-0.887543,-0.683934,-1.225968,-1.220767,-1.143596,-0.898007,-0.532364,2
-0.750982,-0.486438,0.787966,1.240436,1.177998,1.521407,0.696701,-0.492536,-0.762507,-0.491952,-0.238058,1.317462,1.535703,1.57655,1.352474,1.206008,1.22789,1.55671,1.590555,1.366187,-0.192601,-0.659776,-0.469895,-0.66885,-0.495745,-0.959682,-1.605222,-1.598903,-0.360424,-0.356135,-0.503944,-1.660174,-0.628557,1
-0.554852,-0.418846,0.923456,1.329672,1.329941,1.47768,1.406367,0.741944,-0.138599,-0.516128,-0.502915,-0.251919,1.270738,1.33317,1.28823,1.345549,1.479295,1.296303,-0.106683,-0.350977,-0.48074,-0.743523,-0.80173,-1.225958,-1.351181,-0.845702,-0.8344,-0.980686,-1.319429,-1.347733,-1.308979,-0.814028,-0.792904,1
-0.608759,-0.641954,-0.486515,0.272426,0.897242,1.328189,1.224226,1.408756,1.297903,0.853912,-0.389688,-0.577769,-0.622386,-0.234464,0.596716,1.234454,1.461732,1.529101,1.347573,1.15058,1.627092,1.419167,0.452516,-0.348593,-0.538389,-0.360015,-1.299046,-1.557506,-0.402733,-0.613506,-1.625053,-1.513435,-0.385217,1
-0.829908,-0.824301,-0.415677,0.931572,1.453404,1.400844,1.57928,1.49114,1.011356,-0.824975,-0.889369,-0.441014,1.407582,1.513782,1.379011,1.371464,1.591679,1.394105,-0.283413,-0.765029,-0.356189,-0.399262,-0.691687,-1.35422,-1.421632,-1.394921,-0.389612,-0.786081,-1.326915,-1.360581,-1.137158,-0.519531,-0.448615,2
-0.990218,-0.976087,-0.791973,0.916243,1.394356,1.421024,1.584601,1.278615,-0.559995,-0.976279,-0.936553,-0.444089,1.15765,1.627489,1.392157,1.413326,1.721236,1.525493,-0.108824,-0.893198,-0.266326,-0.297639,-0.919068,-1.211391,-1.313001,-1.247186,-0.392816,-0.451182,-1.17117,-1.309537,-1.234704,-0.474468,-0.378383,2
-0.685985,-0.575735,-0.073249,1.437043,1.544241,1.715172,1.659985,1.242427,-0.430933,-0.686718,-0.449198,0.293543,0.726046,1.285648,1.380636,1.297369,1.448276,1.453648,1.444125,1.192613,0.567081,-0.430469,-0.578275,-0.675339,-1.381506,-1.417196,-0.446194,-0.422655,-1.226028,-1.313149,-1.328891,-1.139952,-0.736556,1
-0.7832,-0.630292,0.472293,1.445962,1.403436,1.56525,1.557226,1.33336,-0.492255,-0.721978,-0.759048,-0.737651,-0.330975,0.743767,1.378294,1.469231,1.367863,1.365188,1.540109,1.360107,-0.235545,-0.687823,-0.28885,-0.743669,-1.543897,-1.469989,-0.379547,-0.36941,-0.479925,-1.281108,-1.42559,-1.277069,-0.305085,2
-0.787353,-0.587204,1.384013,1.460897,1.411902,1.60763,1.260898,-0.492732,-0.757881,-0.69449,-0.50635,0.241885,1.148588,1.369189,1.458133,1.466425,1.292808,-0.264367,-0.681224,-0.324015,-0.374291,-0.681525,-1.500411,-1.570109,-0.625922,-0.393914,-0.515119,-1.14225,-1.373304,-1.374987,-1.252652,-0.962051,-0.391401,2
-0.78371,-0.784528,-0.345717,1.359308,1.486227,1.442103,1.666689,1.628762,0.984253,-0.453176,-0.693801,-0.76383,-0.752823,-0.571468,0.224823,1.440615,1.471105,1.389054,1.446812,0.952028,1.005324,-0.245619,-0.68691,-0.45159,-0.772134,-1.442007,-1.422117,-0.459968,-0.540061,-1.264465,-1.325024,-1.187421,-0.539169,1
-0.651692,-0.651596,-0.462834,0.764985,1.283982,1.421882,1.59142,1.494576,0.802394,-0.341163,-0.559243,-0.633748,-0.59076,-0.064445,1.374789,1.454727,1.342427,1.295092,1.544568,1.49361,0.047566,-0.453439,-0.725207,-0.745686,-1.006538,-1.347554,-1.366481,-0.638723,-0.601918,-1.067349,-1.240838,-1.136661,-0.82135,1
-0.692868,-0.636956,-0.493612,1.473326,1.430465,1.567235,1.41698,0.91252,0.775581,0.531129,-0.399535,-0.747576,-0.556122,-0.330764,0.153734,1.302122,1.467547,1.358227,1.466102,1.298029,-0.45942,-0.61803,-0.811531,-1.327092,-1.406573,-1.435918,-0.50086,-0.282076,-1.12721,-1.239371,-1.430864,-1.366859,-0.8411,1
-0.583893,-0.581235,-0.41202,1.370041,1.447555,1.369792,1.60482,1.461965,-0.235551,-0.584117,-0.67224,-0.588986,-0.19488,0.610002,1.235136,1.357619,1.260726,1.391904,1.427431,1.253024,0.091476,-0.369313,-0.480889,-0.410008,-0.5589,-1.132308,-1.425014,-1.448487,-1.233797,-0.64824,-0.591819,-1.56931,-0.560242,1
-0.800824,-0.759311,-0.332114,0.912959,1.361877,1.438145,1.571372,1.48352,1.090354,-0.622559,-0.775626,-0.81294,-0.150519,1.310227,1.536617,1.604438,1.338466,1.349085,1.572579,-0.276651,-0.752215,-0.405968,-0.628762,-1.193289,-1.413846,-1.227972,-0.726004,-0.390353,-1.292606,-1.401918,-1.387121,-1.201278,-0.44835,1
-0.913202,-0.799982,-0.582589,0.978673,1.45308,1.592572,1.502548,1.300664,-0.7699,-0.890206,-0.849049,-0.485992,1.510347,1.570734,1.380883,1.511461,1.328963,1.533744,-0.332528,-0.822443,-0.352962,-0.168503,-0.205693,-1.402652,-1.436266,-1.363699,-0.502592,-0.525009,-0.791826,-1.357125,-1.417755,-1.337137,-0.554712,2
-0.408524,-0.443165,-0.097532,0.194826,0.603014,0.91304,1.089685,1.213981,1.054657,-0.377054,-0.545618,-0.522344,-0.013172,1.32811,1.500115,1.572566,1.380187,1.196854,1.364761,1.57187,1.53433,1.178529,0.312357,-0.607206,-0.88986,-1.424412,-1.270118,-0.708847,-1.009903,-1.378931,-1.409033,-0.994594,-0.685302,2
-0.735898,-0.519295,0.872816,1.315325,1.375331,1.54515,1.430462,0.94724,-0.431739,-0.612774,-0.708408,-0.501706,0.253159,1.442786,1.580836,1.623313,1.471652,1.34123,1.647543,1.581435,0.055402,-0.440084,-0.640175,-0.709425,-1.257756,-1.313101,-0.75265,-0.673409,-1.007901,-1.231016,-1.13267,-1.002367,-0.739159,1
-0.542661,-0.555894,-0.400686,0.532166,1.137209,1.338889,1.4273,1.066623,-0.331019,-0.622259,-0.544613,-0.171449,1.373622,1.494757,1.380224,1.359557,1.390845,1.522601,1.236958,0.155098,-0.323413,-0.498082,-0.663853,-1.1839,-1.358707,-1.341648,-1.070343,-0.661585,-0.691984,-1.279459,-1.354892,-1.081797,-0.652687,1
-0.639359,-0.613572,-0.180894,0.665192,1.157969,1.427283,1.555284,1.521649,1.419809,1.231312,-0.103066,-0.520375,-0.615884,-0.518039,-0.133852,1.07248,1.36632,1.495955,1.409064,1.429619,1.587751,1.373561,1.160305,-0.149595,-0.568678,-0.949643,-0.879803,-1.090146,-1.159255,-0.828907,-1.168434,-1.154361,-0.970267,1
-0.592426,-0.588992,-0.246175,0.946966,1.389704,1.446654,1.392974,1.516139,1.418588,1.196374,-0.346069,-0.558419,-0.530353,-0.143502,1.168063,1.375807,1.382619,1.515049,1.395971,1.333572,1.347196,1.48889,1.462186,1.267494,-0.113692,-0.730713,-1.288408,-1.339085,-0.72431,-0.829653,-1.24744,-1.306695,-0.757989,1
-0.7744,-0.658088,0.89804,1.398217,1.415371,1.564699,0.942866,-0.557889,-0.720659,-0.73981,-0.472905,0.290859,1.213175,1.40581,1.467678,1.382469,1.430557,1.561887,1.471896,1.254795,-0.006306,-0.69234,-0.172141,-0.170959,-1.621526,-1.525456,-0.659775,-0.409996,-0.654769,-1.423089,-1.429782,-0.980562,-0.250938,2
-0.841356,-0.763201,-0.539554,0.693881,1.458698,1.366504,1.519226,1.107016,-0.486227,-0.846344,-0.785647,-0.419254,0.110174,1.34941,1.493165,1.318025,1.330075,1.566584,1.472429,-0.041511,-0.71943,-0.158057,-0.876832,-1.604639,-1.582855,-0.591059,-0.238369,-0.627797,-1.300868,-1.499519,-1.494054,-1.172049,-0.206031,2
-0.619274,-0.602653,-0.490326,-0.270268,1.371387,1.412872,1.542844,1.182863,-0.477014,-0.672522,-0.382595,-0.156681,1.291041,1.463285,1.37585,1.398956,1.642619,1.499782,1.264784,0.095306,-0.543943,-0.642353,-1.345831,-1.370912,-1.290792,-0.755756,-0.646764,-0.623317,-1.027672,-1.217535,-1.289794,-1.057946,-0.683865,1
-0.760022,-0.53456,1.243798,1.394223,1.546621,0.936737,-0.456648,-0.810067,-0.558305,-0.311681,1.245859,1.445603,1.317588,1.431088,1.327748,1.541976,0.317216,-0.507796,-0.657146,-0.433774,-0.465792,-0.842985,-0.925222,-1.324099,-1.419634,-1.256609,-0.354788,-0.589481,-1.133326,-1.318816,-1.282328,-1.092251,-0.575606,2
-0.863398,-0.84208,-0.671245,0.673716,1.261186,1.450769,1.671817,1.571389,1.103332,-0.630366,-0.863948,-0.965112,-0.869638,-0.390516,1.393606,1.571913,1.418516,1.466502,1.66264,1.191437,-0.367992,-0.817431,-0.403208,-0.33136,-1.33877,-1.36376,-0.396705,-0.673055,-1.284229,-1.312077,-0.975181,-0.589958,-0.490709,2
-0.829286,-0.76118,-0.578668,0.967991,1.473729,1.556745,1.540431,1.743428,1.692007,1.533616,-0.417241,-0.65076,-0.748356,-0.708107,-0.394133,1.372747,1.499336,1.360976,1.339705,1.451632,1.521845,1.387202,-0.322434,-0.731257,-0.62569,-1.293245,-1.257312,-0.563449,-0.539411,-0.989288,-1.234206,-1.170932,-0.725186,1
-0.636836,-0.614175,-0.207611,0.871431,1.262742,1.433222,1.538915,1.460571,0.719195,-0.132359,-0.288027,-0.673018,-0.256669,1.435091,1.378491,1.501578,1.350496,-0.117682,-0.58139,-0.491836,-0.824575,-1.464574,-1.468657,-0.641966,-0.538821,-0.499174,-0.583089,-1.071123,-1.363362,-1.383155,-1.35226,-1.112231,-0.570179,2
-0.482297,-0.438452,-0.143086,0.926931,1.286857,1.369535,1.427115,1.339872,0.86779,0.36638,0.043801,-0.608002,-0.585244,-0.372964,0.125514,1.303118,1.512057,1.368049,1.355687,1.529283,0.999955,0.386762,-0.112643,-0.5946,-0.775918,-1.405821,-1.431389,-1.375242,-0.514633,-1.16484,-1.429437,-1.155039,-0.6602,2
-0.69713,-0.501873,0.322354,0.775846,1.106352,1.349294,1.457074,1.323369,1.439305,1.381337,-0.586349,-0.675544,-0.561035,-0.348243,0.164558,1.359198,1.483582,1.440762,1.295987,1.32366,1.543881,1.381919,0.434416,-0.417834,-0.594972,-0.582242,-1.562342,-1.459825,-0.316345,-1.359803,-1.397724,-1.291464,-0.664271,1
-0.675503,-0.426834,1.09289,1.252688,1.355446,1.306679,1.10762,0.623942,-0.565347,-0.743997,-0.662849,0.036176,1.092825,1.768975,1.736204,1.269366,1.254992,1.515244,1.038672,1.046686,-0.379884,-0.534815,-0.317068,-0.729266,-1.543907,-1.564984,-0.41856,-0.454121,-1.18676,-1.41051,-1.419725,-1.076378,-0.478878,1
-0.836121,-0.567226,1.357136,1.369704,1.600841,1.51232,1.029283,-0.225275,-0.797844,-0.699761,-0.314916,1.325171,1.35577,1.216706,1.24512,1.570241,1.506856,1.270802,-0.020258,-0.562199,-0.729022,-0.080036,-0.575177,-1.324486,-1.613123,-1.308011,-0.472668,-0.614765,-1.390685,-1.490325,-1.464179,-0.984283,-0.151099,2
-0.309878,-0.332611,-0.269805,0.155991,1.11511,1.327537,1.483278,1.3905,1.38442,1.46739,1.373239,1.183565,0.167661,-0.227104,-0.267196,-0.369507,-0.290616,0.042245,0.503504,1.248882,1.374612,1.303215,1.295958,1.345975,1.21593,1.338914,1.182192,0.972707,0.270737,0.123411,-0.25023,-1.106842,-1.106842,1
-0.850209,-0.864953,-0.69245,0.930937,1.474783,1.37983,1.409365,1.614894,1.516035,-0.580019,-0.870762,-0.798021,-0.338559,1.484303,1.540445,1.373971,1.357617,1.488941,1.346388,-0.263573,-0.768461,-0.279415,-0.887873,-1.481857,-1.458985,-0.545797,-0.350251,-0.578579,-1.078244,-1.292194,-1.17493,-1.049807,-0.367143,2
-0.607747,-0.545787,-0.22465,0.875264,1.56635,1.486489,1.505773,1.614266,1.569077,1.351895,0.58761,0.399899,-0.394811,-0.552604,-0.639224,-0.384644,0.029638,1.146011,1.429808,1.485321,1.435456,1.297161,-0.073499,-0.501357,-0.875669,-0.749587,-0.884766,-1.295563,-0.767877,-0.794932,-1.24887,-1.177542,-0.927443,1
-0.78416,-0.824,-0.606934,0.634453,1.445937,1.443982,1.63316,1.330084,0.952218,0.450848,-0.4815,-0.763702,-0.703405,-0.37188,0.452339,1.107666,1.323241,1.301732,1.46769,1.287312,-0.245981,-0.693042,-0.135261,-0.612751,-1.515476,-1.578782,-0.460627,-0.444007,-1.167037,-1.420838,-1.426973,-1.242586,-0.276093,2
-0.727072,-0.663783,-0.216694,1.348586,1.410359,1.528265,1.351164,0.385479,-0.477372,-0.691834,-0.785297,-0.661205,-0.224275,1.345918,1.38434,1.494603,1.242326,-0.198711,-0.651167,-0.449503,-0.48368,-0.902111,-1.258532,-1.432197,-0.627877,-0.573201,-0.816896,-1.146474,-1.312636,-1.341961,-1.294238,-1.08367,-0.600524,1
-0.733043,-0.443362,0.486466,1.266395,1.413421,1.329074,1.627343,1.237852,-0.365067,-0.763237,-0.762962,-0.209423,1.23122,1.414338,1.360857,1.469957,1.417088,-0.665261,-0.391043,-0.482724,-0.950541,-1.550376,-1.357849,-0.529756,-0.415369,-0.429946,-1.056188,-1.140076,-1.342599,-1.408542,-1.211771,-0.716541,-0.474503,1
-0.80108,-0.750703,-0.527639,1.376507,1.312782,1.463165,1.398232,0.388516,-0.317633,-0.85643,-0.752682,-0.531621,1.321954,1.577823,1.268366,1.359369,1.262091,0.984014,1.029636,1.498407,1.557546,1.421405,-0.209927,-0.702353,-0.120228,-1.582954,-1.510423,-0.705395,-0.52339,-1.27813,-1.443166,-1.117657,-0.230952,1
-0.725638,-0.650588,-0.474666,1.361591,1.52959,1.451149,1.287421,0.748342,-0.202894,-0.664509,-0.740798,-0.660173,-0.23279,1.397258,1.387118,1.466146,1.427643,1.492782,1.485805,1.289866,-0.189527,-0.645828,-0.488587,-0.504856,-1.211347,-1.38614,-1.355214,-0.599207,-0.646415,-1.285073,-1.335176,-1.040217,-0.609085,2
-0.558292,-0.523193,-0.331737,0.824826,1.362338,1.418422,1.477495,1.422521,1.023585,-0.007652,-0.425231,-0.509973,-0.463596,-0.320613,0.163805,1.304005,1.419408,1.430533,1.346191,1.417837,1.352724,1.468805,1.361167,0.083962,-0.496969,-0.885921,-1.043243,-1.183523,-1.123443,-0.960093,-1.210533,-0.882808,-0.856246,1
-0.291506,-0.176249,1.017595,1.261971,1.258506,1.150129,0.8145,-0.266209,-0.448353,-0.495739,-0.126381,1.248108,1.356639,1.206723,1.090536,1.242986,1.187065,1.372831,1.368278,1.325859,0.184056,-0.236929,-0.711974,-0.604115,-0.692782,-1.453199,-1.607667,-1.392824,-0.541728,-1.145426,-1.506264,-1.242473,-0.758635,2
-0.494878,-0.34032,0.224862,0.678483,1.094242,1.331106,1.285541,0.930679,-0.167246,-0.391742,-0.480955,-0.45094,-0.152348,0.285868,1.126571,1.32145,1.469824,1.330129,1.267749,1.500635,1.445379,1.32908,0.210361,-0.260907,-0.401362,-0.789095,-1.344903,-0.813721,-0.810864,-1.01916,-1.231248,-1.251279,-0.828042,2
-0.577403,-0.489556,-0.088255,1.101846,1.337331,1.219933,0.635084,-0.196343,-0.569185,-0.489071,-0.109022,0.395509,1.281547,1.41271,1.405949,1.262318,1.289846,1.496953,1.056951,0.169173,-0.292488,-0.664724,-0.658044,-0.7635,-1.489098,-1.490705,-0.574124,-0.614606,-0.999998,-1.388208,-1.404057,-1.330322,-0.746538,2
