@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.50175,-0.440701,-0.260056,-0.035858,0.253357,0.75887,1.144179,1.376866,1.47087,1.500537,1.403495,1.189752,0.908454,0.715013,-0.324429,-0.456553,-0.483021,-0.411499,-0.085165,0.343786,1.28322,1.465152,1.380977,1.437808,1.356135,1.45282,1.348451,1.1608,-0.06002,-0.271083,-0.412303,-1.064559,-1.064559,6
-0.418014,-0.435762,-0.279931,0.97072,1.402207,1.361294,1.387812,1.583099,1.472101,1.281171,0.33063,-0.220814,-0.370452,-0.413468,-0.380927,-0.250666,-0.07629,0.351863,1.057851,1.258062,1.284202,1.188168,1.189115,1.264313,1.296514,1.269427,1.326252,1.290263,0.835856,-0.16005,-0.337285,-1.092578,-1.092578,6
-0.418709,-0.362733,-0.18372,0.252654,0.516536,0.737438,1.096593,1.315809,1.300386,1.332055,1.416985,1.420892,1.051763,0.593302,0.39535,-0.093998,-0.298017,-0.42533,-0.347433,-0.040202,0.375382,1.309845,1.384905,1.356115,1.290515,1.282083,1.409377,1.380381,1.222036,0.02036,-0.329706,-1.106462,-1.106462,6
-0.380697,-0.412335,-0.294163,-0.073724,0.696632,0.977708,1.168463,1.398637,1.414748,1.356476,1.514667,1.385783,0.696632,0.492388,-0.05398,-0.383045,-0.432902,-0.34354,-0.19738,-0.006762,0.452901,1.188687,1.340537,1.244388,1.379785,1.242331,1.262041,1.383727,1.265469,0.053481,-0.297642,-1.094203,-1.094203,6
-0.462901,-0.402057,-0.216628,0.737636,1.408744,1.451024,1.407334,1.517867,1.474782,1.122044,0.847947,0.178148,-0.08862,-0.501134,-0.502825,-0.39793,-0.230259,-0.028763,1.149224,1.332438,1.272038,1.25573,1.451225,1.330828,1.390825,1.264588,0.990774,0.479425,-0.012999,-0.22291,-0.386192,-1.077132,-1.077132,6
-0.418634,-0.370753,-0.215533,0.002575,0.986254,1.268635,1.42723,1.315876,1.367024,1.476602,1.460441,1.292788,1.076119,0.788233,0.335109,-0.187348,-0.340828,-0.37807,-0.335394,-0.056423,0.330581,1.034739,1.329551,1.34074,1.284974,1.274673,1.360098,1.238621,0.2659,-0.158915,-0.32456,-1.099988,-1.099988,6
-0.482855,-0.434845,-0.270129,0.945729,1.131324,1.365974,1.450094,1.48321,1.426009,1.284865,0.761728,0.024733,-0.403676,-0.465641,-0.424361,-0.286688,-0.103554,0.828316,0.9475,1.381735,1.372349,1.313731,1.429551,1.437874,1.345077,1.395726,1.024536,0.487392,0.001994,-0.231239,-0.379786,-1.078458,-1.078458,6
-0.411043,-0.363551,-0.247077,0.723005,0.911868,1.381973,1.404443,1.336496,1.340776,1.428698,1.399807,1.263376,0.619835,0.396714,-0.158941,-0.327009,-0.42317,-0.270921,-0.103709,1.009598,1.36289,1.455984,1.294229,1.267478,1.301719,1.269797,1.367527,1.306891,0.851767,0.093107,-0.299652,-1.101595,-1.101595,6
-0.497439,-0.47073,-0.320724,-0.105645,0.946634,1.367337,1.466337,1.423302,1.515934,1.332407,1.120318,0.86039,0.636375,0.108817,-0.113306,-0.461312,-0.513534,-0.202059,0.757665,1.197318,1.386056,1.303073,1.371389,1.403231,1.367337,1.40053,1.394933,1.344372,1.189599,-0.036094,-0.435568,-1.068495,-1.068495,6
-0.439897,-0.430374,-0.264724,-0.034894,0.772827,1.148209,1.41909,1.374151,1.49809,1.433535,0.813664,0.076632,-0.344865,-0.432264,-0.41518,-0.292187,-0.111879,1.074737,1.270899,1.337059,1.243793,1.239691,1.370228,1.395907,1.203669,1.232915,1.384316,1.319404,0.277591,0.040039,-0.344491,-1.09142,-1.09142,6
-0.340294,-0.357225,-0.229157,-0.041865,0.473974,1.391592,1.452721,1.399612,1.414939,1.492999,1.515455,1.161867,0.528135,-0.175013,-0.354285,-0.411743,-0.237194,-0.0766,0.11536,1.061173,1.231372,1.289472,1.28163,1.357017,1.295888,1.327611,1.27771,1.073113,0.557523,0.092851,-0.24942,-1.100634,-1.100634,6
-0.507496,-0.440496,-0.285508,0.221781,0.898543,1.1078,1.453473,1.483689,1.458912,1.523977,1.48671,1.34409,1.064288,0.424209,-0.339554,-0.536685,-0.542466,-0.438079,-0.279847,-0.083563,1.332407,1.473214,1.392033,1.450854,1.374911,1.435142,1.439976,1.012115,0.236668,-0.240465,-0.430304,-1.060713,-1.060713,6
-0.418958,-0.398072,-0.237124,-0.139328,0.058976,1.095199,1.325125,1.456302,1.369461,1.406469,1.486165,1.386683,1.184788,0.896236,-0.100359,-0.310389,-0.415165,-0.396496,-0.304031,-0.136122,0.074512,1.270163,1.378805,1.298377,1.371293,1.316331,1.40995,1.244147,0.020521,-0.180659,-0.337229,-1.086072,-1.086072,6
-0.480888,-0.421934,-0.314298,0.144882,0.947097,1.299858,1.422085,1.40133,1.460033,1.466741,1.378478,0.875941,0.200965,-0.061562,-0.270586,-0.411913,-0.438979,-0.194063,0.264238,1.015884,1.240736,1.404684,1.360448,1.31705,1.394411,1.362335,1.363802,1.339063,1.194193,-0.030932,-0.422249,-1.079279,-1.079279,6
-0.385792,-0.251102,-0.03315,0.761932,0.993762,1.183417,1.333652,1.337474,1.421742,1.336468,0.692406,-0.059014,-0.283824,-0.399106,-0.367771,-0.268318,-0.130492,0.227862,1.349139,1.385541,1.294032,1.281764,1.340893,1.295641,1.345317,1.439441,1.269898,0.523406,0.059103,-0.146501,-0.301664,-1.101493,-1.101493,6
-0.379263,-0.379854,-0.287564,-0.060442,0.717701,1.351261,1.364371,1.331873,1.514863,1.469438,1.156453,0.485741,-0.016495,-0.333506,-0.228864,0.070993,1.005961,1.212956,1.336119,1.361971,1.279062,1.263736,1.3147,1.259858,1.325594,1.313592,1.150913,0.946688,0.224199,-0.172895,-0.305845,-1.106091,-1.106091,6
-0.50254,-0.443583,-0.248284,0.725361,1.001653,1.448355,1.465707,1.406326,1.452597,1.540896,1.477467,0.876338,0.637389,-0.424555,-0.525424,-0.515997,-0.363401,0.040868,1.225872,1.382613,1.232041,1.220281,1.391674,1.320148,1.334029,1.298362,1.382998,1.223944,0.996062,0.244419,-0.441829,-1.071839,-1.071839,6
-0.433704,-0.429788,-0.067668,0.441163,1.003508,1.36742,1.325759,1.335133,1.544273,1.455742,1.309511,1.113494,-0.125473,-0.331176,-0.443349,-0.405875,-0.10333,0.336677,1.298679,1.419497,1.362838,1.220772,1.235979,1.30472,1.250977,1.356172,1.25306,0.481804,0.00826,-0.192443,-0.348444,-1.091017,-1.091017,6
-0.384099,-0.398455,-0.280953,-0.089498,0.351223,1.335942,1.553972,1.924475,1.841832,1.810446,1.920389,1.280228,0.800153,0.278794,0.069418,-0.276867,-0.371452,-0.274657,-0.002379,0.414756,0.873325,0.915668,0.896354,0.831168,0.885768,0.829311,0.813339,0.915668,0.741634,0.035395,-0.286951,-1.058859,-1.058859,6
-0.48222,-0.488581,-0.362441,-0.131506,0.672453,1.100296,1.375919,1.441995,1.464431,1.426351,1.514657,1.529478,0.962032,0.502262,-0.245851,-0.443316,-0.482385,-0.396302,-0.037127,1.318283,1.383535,1.290495,1.293582,1.454139,1.3823,1.381683,1.24665,0.96162,0.209369,-0.024633,-0.41561,-1.069695,-1.069695,6
-0.340376,-0.358015,-0.053184,0.698472,1.286367,1.363253,1.340836,1.353617,1.418509,1.430504,1.086187,0.82208,0.086726,-0.128792,-0.303015,-0.387688,-0.367788,-0.255526,-0.080812,0.1198,0.577185,1.302688,1.478484,1.257854,1.318616,1.266899,1.283614,1.40848,1.297968,0.053651,-0.283174,-1.103595,-1.103595,6
-0.638612,-0.614782,-0.41941,0.638887,1.295419,1.41425,1.226277,0.726687,-0.501084,-0.645494,-0.671393,-0.359975,0.593336,1.442615,1.565941,1.303575,1.376297,1.336873,1.47289,1.389147,-0.116823,-0.57679,-0.39737,-1.203525,-1.466985,-1.515799,-0.59139,-0.554591,-0.631014,-1.098419,-1.403178,-1.16605,-0.47423,3
-0.462604,-0.394158,-0.271931,-0.036179,1.00636,1.445259,1.423323,1.604013,1.486155,1.293382,0.609863,0.10921,-0.171009,-0.352071,-0.494671,-0.46266,-0.364098,-0.21897,0.454102,0.943713,1.324798,1.375734,1.276094,1.388003,1.435406,1.396182,1.400644,1.193928,-0.075552,-0.281078,-0.405274,-1.067489,-1.067489,6
-0.464491,-0.44231,-0.067757,0.180918,0.480896,0.982632,1.415543,1.431526,1.415738,1.533858,1.397221,1.10582,0.506274,-0.271504,-0.483028,-0.415762,-0.237452,0.186103,1.136616,1.314966,1.390594,1.286508,1.279101,1.436594,1.370712,1.359407,1.385526,1.365254,0.966454,-0.023628,-0.388454,-1.078617,-1.078617,6
-0.546537,-0.467153,-0.275968,0.717223,0.988109,1.166171,1.423228,1.470067,1.437168,1.506683,1.39163,1.225278,0.937738,0.707874,0.198054,-0.346152,-0.477617,-0.543024,-0.442507,-0.285912,0.151289,1.351111,1.468766,1.427317,1.326576,1.454826,1.371185,1.452967,1.357059,-0.081214,-0.467357,-1.057566,-1.057566,6
-0.478214,-0.430414,-0.2843,0.491273,0.965335,1.147899,1.385962,1.471506,1.409956,1.466916,1.568735,1.481313,1.327959,1.113055,-0.094141,-0.47279,-0.459478,-0.181105,0.220411,0.966378,1.33401,1.36322,1.296036,1.309181,1.386588,1.368645,1.402862,0.945618,-0.035784,-0.257093,-0.397928,-1.076252,-1.076252,6
-0.524368,-0.451808,-0.270028,1.001513,1.414108,1.458544,1.442562,1.545467,1.481931,1.112213,0.66789,0.149447,-0.158957,-0.396126,-0.53343,-0.561105,-0.266968,0.165136,1.103443,1.302822,1.395398,1.477059,1.420344,1.26014,1.24065,1.315685,1.21161,1.017494,0.478529,-0.25432,-0.430856,-1.060682,-1.060682,6
-0.470469,-0.425398,-0.265241,0.998092,1.181867,1.423291,1.459452,1.392545,1.52007,1.499806,1.343457,1.13208,0.1899,-0.093712,-0.297716,-0.438046,-0.483204,-0.436281,-0.276911,0.885416,1.282839,1.379793,1.283538,1.40687,1.313235,1.416128,1.01626,0.534094,-0.001667,-0.226564,-0.393272,-1.074097,-1.074097,6
-0.546244,-0.492509,-0.32016,0.203326,0.617404,0.909591,1.353264,1.314464,1.096163,0.3784,-0.232366,-0.625425,-0.476111,-0.27006,0.163222,1.333231,1.498903,1.514707,1.262822,1.608467,-0.169266,-0.529294,-0.925988,-1.407907,-1.47412,-1.404905,-0.694096,-0.619103,-0.93389,-1.472113,-1.261597,-0.791372,-0.58054,4
