@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute attr205 numeric
@attribute target {1,2}

@data
0.425838,0.415901,0.409537,0.417255,0.429699,0.443844,0.456633,0.469077,0.480902,0.486369,0.489579,0.487182,0.475137,0.459397,0.441295,0.439688,0.443765,0.449359,0.454298,0.461675,0.460007,0.456583,0.469077,0.478625,0.481108,0.480669,0.468717,0.451202,0.428154,0.408753,0.390177,0.365662,0.352117,0.335475,0.325457,0.315272,0.302076,0.282039,0.284936,0.293755,0.297515,0.291121,0.285646,0.284987,0.28742,0.298417,0.306497,0.313947,0.322058,0.332374,0.345406,0.355253,0.359771,0.369844,0.373185,0.381148,0.399205,0.401565,0.389592,0.376169,0.361,0.341502,0.324102,0.316588,0.335858,0.362398,0.380812,0.400396,0.411508,0.422242,0.439012,0.460909,0.486562,0.502474,0.514562,0.521147,0.526189,0.541129,0.572606,0.609355,0.636789,0.662874,0.685187,0.706141,0.71975,0.726445,0.725417,0.727355,0.728498,0.722843,0.711264,0.709986,0.694772,0.674297,0.652096,0.623209,0.587981,0.557332,0.538365,0.52433,0.505017,0.497756,-0.224638,-0.221091,-0.218895,-0.229221,-0.241622,-0.250125,-0.26037,-0.295669,-0.329921,-0.356315,-0.384931,-0.406886,-0.419418,-0.446261,-0.483219,-0.5252,-0.580125,-0.630985,-0.686432,-0.739521,-0.789968,-0.847407,-0.898844,-0.944746,-0.982019,-1.025419,-1.063168,-1.065546,-1.042868,-1.018605,-0.984968,-0.942999,-0.892778,-0.849461,-0.81654,-0.782874,-0.761128,-0.75745,-0.76758,-0.777324,-0.772027,-0.758277,-0.750009,-0.754851,-0.760643,-0.77269,-0.779701,-0.796782,-0.81169,-0.831029,-0.855378,-0.873736,-0.878504,-0.904309,-0.922688,-0.920742,-0.905319,-0.868049,-0.846294,-0.831061,-0.805197,-0.788382,-0.794344,-0.799977,-0.796725,-0.797652,-0.792484,-0.790487,-0.796742,-0.808255,-0.817788,-0.83231,-0.85221,-0.831992,-0.792528,-0.749492,-0.718618,-0.692066,-0.667335,-0.637196,-0.609736,-0.595006,-0.587023,-0.590871,-0.604171,-0.627727,-0.655928,-0.677497,-0.663772,-0.636454,-0.610923,-0.58254,-0.5568,-0.529105,-0.5064,-0.48411,-0.457905,-0.426554,-0.390181,-0.346814,-0.317707,-0.310321,-0.312559,1
0.263222,0.254831,0.241818,0.230372,0.226649,0.219577,0.227981,0.246173,0.268056,0.294509,0.311551,0.319491,0.322591,0.32384,0.331583,0.326456,0.310503,0.294451,0.272016,0.25878,0.255877,0.253619,0.265663,0.28163,0.283058,0.275446,0.272815,0.269547,0.269802,0.261137,0.256448,0.241154,0.234232,0.224836,0.21911,0.220638,0.228016,0.231762,0.237744,0.23909,0.245379,0.252356,0.248924,0.253632,0.233814,0.223609,0.210847,0.193019,0.165832,0.150599,0.135106,0.11424,0.093886,0.077012,0.057085,0.039567,0.01665,0.000438,-0.012873,-0.010245,0.003598,0.02969,0.052196,0.070123,0.088681,0.09894,0.100302,0.113552,0.126113,0.135652,0.145702,0.158483,0.18823,0.219806,0.260544,0.306001,0.349367,0.388504,0.416135,0.444348,0.471522,0.501482,0.531964,0.558204,0.580079,0.59921,0.626954,0.640216,0.656125,0.670786,0.683268,0.699864,0.712719,0.723484,0.734853,0.742793,0.752561,0.760865,0.77308,0.783569,0.796541,0.805105,0.25734,0.268877,0.28724,0.30481,0.322528,0.33238,0.34623,0.34393,0.331469,0.315264,0.302019,0.269628,0.22149,0.177197,0.145043,0.103121,0.062862,0.052684,0.046107,0.036349,0.049982,0.054585,0.03284,0.010807,-0.010917,-0.039412,-0.065827,-0.089643,-0.117425,-0.144704,-0.167822,-0.198117,-0.240922,-0.29387,-0.346812,-0.387558,-0.421208,-0.455897,-0.483238,-0.522055,-0.546467,-0.54931,-0.544934,-0.552494,-0.561831,-0.558388,-0.553313,-0.569976,-0.583719,-0.593508,-0.611417,-0.624936,-0.646028,-0.679908,-0.715186,-0.749556,-0.795009,-0.845482,-0.895919,-0.926831,-0.928577,-0.908503,-0.881511,-0.860857,-0.847787,-0.848853,-0.855508,-0.863274,-0.868201,-0.877184,-0.86596,-0.833168,-0.809586,-0.781945,-0.764707,-0.758122,-0.76283,-0.787297,-0.826052,-0.872929,-0.91834,-0.95279,-0.97486,-0.980813,-0.986228,-0.986228,-0.960802,-0.926951,-0.88462,-0.837932,-0.795858,-0.759711,-0.743366,-0.732322,-0.73102,-0.726963,-0.718191,-0.69555,-0.666718,-0.638343,-0.62125,-0.597475,-0.580199,1
0.401014,0.401268,0.400995,0.406517,0.411403,0.421529,0.424709,0.427635,0.423097,0.408019,0.39282,0.382325,0.370492,0.361717,0.368896,0.378353,0.389336,0.399965,0.415587,0.4224,0.430411,0.428443,0.435824,0.44038,0.441071,0.442589,0.43893,0.414522,0.398781,0.392313,0.388857,0.376723,0.362178,0.347868,0.333264,0.315409,0.300429,0.284657,0.267766,0.247254,0.219229,0.206791,0.208637,0.21338,0.22857,0.247163,0.266347,0.280368,0.290751,0.30358,0.309326,0.318057,0.322817,0.322576,0.317698,0.310536,0.309787,0.316628,0.323758,0.330391,0.34018,0.34786,0.361321,0.371849,0.380813,0.385997,0.380626,0.371914,0.369135,0.366994,0.372158,0.375491,0.374398,0.389904,0.406483,0.423158,0.444943,0.462537,0.474486,0.484475,0.495684,0.502102,0.515864,0.542424,0.575185,0.600294,0.617264,0.62778,0.639105,0.652142,0.669144,0.68409,0.697801,0.713291,0.731949,0.742023,0.745223,0.742888,0.731569,0.714708,0.697579,0.682207,0.0714,0.063989,0.058594,0.034689,0.007869,-0.013707,-0.036349,-0.073332,-0.11034,-0.146563,-0.175243,-0.203414,-0.232299,-0.255972,-0.274982,-0.296322,-0.317594,-0.343031,-0.363867,-0.381218,-0.41716,-0.451788,-0.493523,-0.539462,-0.577493,-0.617165,-0.653116,-0.68991,-0.721833,-0.747748,-0.776824,-0.803989,-0.832019,-0.858223,-0.8935,-0.920963,-0.929796,-0.93969,-0.945257,-0.944877,-0.923032,-0.887908,-0.852928,-0.813959,-0.772906,-0.738822,-0.716903,-0.702626,-0.696053,-0.697291,-0.70558,-0.726363,-0.754218,-0.779649,-0.791643,-0.805093,-0.814494,-0.824322,-0.838554,-0.856992,-0.879012,-0.905706,-0.925303,-0.936519,-0.929381,-0.902335,-0.868235,-0.831142,-0.791317,-0.770264,-0.767322,-0.783463,-0.800856,-0.819103,-0.828474,-0.82178,-0.817809,-0.807292,-0.793368,-0.774037,-0.766762,-0.7766,-0.788476,-0.818643,-0.84182,-0.84096,-0.840266,-0.821435,-0.793146,-0.750976,-0.71164,-0.672219,-0.642888,-0.616289,-0.587253,-0.559589,-0.52579,-0.484959,-0.449247,-0.416756,-0.391357,-0.37171,-0.357903,2
0.398356,0.386742,0.375499,0.37227,0.383021,0.396602,0.407254,0.410765,0.402409,0.391294,0.376712,0.374379,0.377643,0.380443,0.387087,0.392744,0.388016,0.385395,0.383261,0.377022,0.375917,0.378542,0.381421,0.379649,0.378702,0.376444,0.370359,0.354295,0.335098,0.313276,0.302218,0.295831,0.281814,0.265257,0.250379,0.237107,0.221947,0.205702,0.187264,0.172677,0.169293,0.186751,0.19956,0.213685,0.227998,0.24268,0.259456,0.270404,0.281695,0.288057,0.288231,0.295548,0.305772,0.315564,0.327735,0.3284,0.337336,0.357006,0.38173,0.402235,0.412287,0.424546,0.447622,0.470347,0.499424,0.528389,0.555981,0.579069,0.603663,0.625758,0.649973,0.668423,0.688439,0.703077,0.723372,0.741631,0.759708,0.776904,0.790802,0.803397,0.815265,0.818658,0.802928,0.796894,0.791362,0.788077,0.787983,0.780171,0.774943,0.757312,0.721312,0.699072,0.674428,0.668462,0.68019,0.685459,0.677921,0.669529,0.659084,0.635905,0.60107,0.571745,-0.191772,-0.229244,-0.280979,-0.320375,-0.32547,-0.342077,-0.363477,-0.392739,-0.423623,-0.453942,-0.479341,-0.505382,-0.530949,-0.554165,-0.583548,-0.615372,-0.657992,-0.702547,-0.707095,-0.689202,-0.678323,-0.673332,-0.676864,-0.707007,-0.722384,-0.741831,-0.754207,-0.760592,-0.764681,-0.770666,-0.77619,-0.778959,-0.804837,-0.815017,-0.801044,-0.78845,-0.783673,-0.769316,-0.747977,-0.73926,-0.763989,-0.780022,-0.794812,-0.816346,-0.842878,-0.853472,-0.866431,-0.882947,-0.897778,-0.900765,-0.876014,-0.85515,-0.837578,-0.842253,-0.857502,-0.892791,-0.917732,-0.920668,-0.926539,-0.936618,-0.958665,-0.975936,-0.960392,-0.942434,-0.917445,-0.886152,-0.869943,-0.865587,-0.864274,-0.860374,-0.860123,-0.843692,-0.811608,-0.788407,-0.765987,-0.757813,-0.74994,-0.75026,-0.749075,-0.750832,-0.761182,-0.769026,-0.780856,-0.786227,-0.769579,-0.741312,-0.690557,-0.641482,-0.591373,-0.540592,-0.506919,-0.504166,-0.515435,-0.52871,-0.531376,-0.506896,-0.467513,-0.432388,-0.416485,-0.413519,-0.402918,-0.400389,-0.406768,1
0.26396,0.287791,0.300048,0.29161,0.272791,0.261303,0.250079,0.258647,0.271908,0.296926,0.306485,0.31352,0.3119,0.29861,0.300187,0.315009,0.331158,0.353034,0.355312,0.352217,0.356796,0.362376,0.366283,0.378019,0.385042,0.393363,0.391081,0.3845,0.391373,0.406726,0.418873,0.422404,0.41924,0.417677,0.421834,0.425324,0.433162,0.45433,0.468417,0.473736,0.455119,0.430377,0.41176,0.402418,0.397825,0.390085,0.372676,0.352721,0.336652,0.326775,0.311278,0.302319,0.298554,0.275809,0.240748,0.207022,0.175475,0.149266,0.124988,0.116786,0.125911,0.138791,0.154976,0.171381,0.187171,0.206482,0.230511,0.241785,0.256825,0.274001,0.280939,0.298129,0.31113,0.325922,0.345621,0.34853,0.349025,0.344361,0.349598,0.379361,0.418431,0.452269,0.479694,0.508102,0.530208,0.549857,0.56727,0.578319,0.59818,0.612548,0.632088,0.646176,0.660492,0.680105,0.698238,0.712833,0.721403,0.732739,0.748631,0.764845,0.774258,0.78882,0.189339,0.197624,0.203565,0.213559,0.21025,0.205328,0.197518,0.187021,0.160724,0.12483,0.074046,0.020597,-0.022316,-0.070427,-0.118268,-0.172922,-0.22314,-0.270228,-0.29061,-0.265169,-0.238415,-0.23358,-0.212523,-0.214279,-0.213567,-0.225434,-0.257289,-0.297207,-0.336023,-0.36024,-0.388272,-0.405827,-0.440542,-0.473308,-0.515592,-0.564497,-0.610855,-0.649239,-0.664388,-0.690055,-0.714993,-0.74796,-0.789528,-0.833293,-0.885048,-0.917118,-0.920252,-0.91667,-0.905201,-0.886701,-0.872143,-0.855429,-0.836455,-0.803595,-0.777392,-0.762486,-0.760932,-0.766564,-0.769521,-0.771596,-0.775912,-0.779899,-0.780547,-0.782248,-0.786979,-0.799159,-0.839563,-0.890994,-0.907975,-0.920193,-0.924749,-0.904789,-0.881034,-0.866376,-0.860728,-0.853807,-0.853569,-0.859658,-0.88081,-0.902207,-0.913889,-0.914491,-0.923258,-0.925893,-0.906041,-0.866361,-0.828134,-0.802571,-0.787493,-0.773674,-0.759115,-0.748795,-0.743497,-0.734987,-0.730951,-0.735533,-0.746867,-0.754744,-0.749835,-0.74339,-0.71462,-0.688075,-0.650388,1
0.368748,0.385051,0.395999,0.403633,0.409099,0.400324,0.394145,0.388431,0.393121,0.398526,0.40253,0.405968,0.405659,0.403273,0.398514,0.392495,0.391611,0.395498,0.402334,0.405097,0.404674,0.407329,0.409402,0.414662,0.415076,0.411662,0.398729,0.383309,0.373942,0.372023,0.373203,0.374867,0.380378,0.380936,0.370749,0.360062,0.343856,0.326706,0.309602,0.288965,0.270772,0.253687,0.252218,0.248219,0.240101,0.229541,0.234971,0.260551,0.279925,0.299371,0.319668,0.333612,0.343672,0.352514,0.360291,0.369844,0.381173,0.387254,0.39041,0.396753,0.402412,0.399846,0.396088,0.397954,0.403555,0.417374,0.422533,0.429569,0.446166,0.464844,0.470146,0.4653,0.465501,0.470171,0.462265,0.449094,0.443524,0.453546,0.466927,0.474271,0.480723,0.491551,0.506083,0.512664,0.519803,0.531299,0.550683,0.573799,0.599164,0.626389,0.647811,0.666441,0.68638,0.703492,0.714406,0.72352,0.737275,0.748964,0.763224,0.766739,0.762367,0.745874,0.087509,0.050675,0.016324,-0.014952,-0.04823,-0.083985,-0.118224,-0.12747,-0.12387,-0.132716,-0.137266,-0.142576,-0.153476,-0.175389,-0.206589,-0.24621,-0.288932,-0.309606,-0.334087,-0.368636,-0.410742,-0.447166,-0.48326,-0.522855,-0.563274,-0.605683,-0.626225,-0.63583,-0.649708,-0.664154,-0.680895,-0.699823,-0.723345,-0.743634,-0.745663,-0.742323,-0.750578,-0.778257,-0.815019,-0.848909,-0.883231,-0.914784,-0.939686,-0.957371,-0.957232,-0.940288,-0.929206,-0.917896,-0.903146,-0.892562,-0.890109,-0.898311,-0.90976,-0.909724,-0.920965,-0.930661,-0.94387,-0.958201,-0.975783,-0.988138,-1.003891,-1.001691,-0.98068,-0.954858,-0.930252,-0.907511,-0.8897,-0.876237,-0.858978,-0.854321,-0.851876,-0.854476,-0.856917,-0.865786,-0.874224,-0.883057,-0.873445,-0.839289,-0.805822,-0.772091,-0.73131,-0.704753,-0.682777,-0.671588,-0.671957,-0.685673,-0.70009,-0.706623,-0.696393,-0.671099,-0.640819,-0.616304,-0.613331,-0.6094,-0.609825,-0.606036,-0.596642,-0.591005,-0.586213,-0.561566,-0.533652,-0.506501,-0.472077,2
0.306984,0.314755,0.312407,0.312915,0.31457,0.314514,0.317696,0.314562,0.31781,0.321714,0.329923,0.336278,0.339023,0.347858,0.349687,0.35271,0.355403,0.36279,0.369605,0.376182,0.382684,0.388275,0.388167,0.386713,0.385247,0.394261,0.398381,0.394903,0.401609,0.401785,0.402575,0.406124,0.402825,0.391162,0.373399,0.354847,0.354242,0.352105,0.354601,0.342846,0.325559,0.311507,0.284116,0.260797,0.234887,0.207808,0.182907,0.166862,0.166549,0.183495,0.201717,0.208185,0.21462,0.217833,0.222864,0.231818,0.242472,0.254005,0.252621,0.252838,0.251105,0.25184,0.248727,0.247809,0.239552,0.235897,0.25195,0.254595,0.260441,0.286741,0.308967,0.326899,0.349327,0.357481,0.376308,0.405966,0.436199,0.458828,0.484617,0.503813,0.52469,0.548344,0.572459,0.590202,0.608503,0.631948,0.643662,0.656937,0.670363,0.681523,0.695591,0.70458,0.717577,0.724504,0.72327,0.715502,0.700444,0.682706,0.668583,0.664791,0.655411,0.639838,0.028194,0.020469,0.017613,0.023164,0.012001,-0.012408,-0.027753,-0.041279,-0.05833,-0.081883,-0.091175,-0.090685,-0.10882,-0.126934,-0.165524,-0.216948,-0.256813,-0.291081,-0.316662,-0.35267,-0.357222,-0.349025,-0.346436,-0.350534,-0.364394,-0.388873,-0.423695,-0.461861,-0.505006,-0.541675,-0.584736,-0.615959,-0.629494,-0.640924,-0.641919,-0.643892,-0.647012,-0.652728,-0.65967,-0.669537,-0.697573,-0.727179,-0.753823,-0.755996,-0.77503,-0.784189,-0.76903,-0.758038,-0.75192,-0.74959,-0.749779,-0.757739,-0.757528,-0.767743,-0.788756,-0.802442,-0.806042,-0.817608,-0.840173,-0.848349,-0.856927,-0.869121,-0.868976,-0.875117,-0.864692,-0.83821,-0.818013,-0.803855,-0.787606,-0.780644,-0.784508,-0.79598,-0.810065,-0.835975,-0.858702,-0.856301,-0.839081,-0.822745,-0.810777,-0.799839,-0.778519,-0.77489,-0.765399,-0.769548,-0.765876,-0.75454,-0.7383,-0.720453,-0.701754,-0.679274,-0.661074,-0.644319,-0.636818,-0.619212,-0.608937,-0.599251,-0.604628,-0.605676,-0.598026,-0.590873,-0.569017,-0.534853,-0.490123,1
0.322504,0.326555,0.334994,0.340261,0.348451,0.354848,0.358365,0.360767,0.363546,0.368908,0.376402,0.381225,0.3756,0.371037,0.37167,0.377287,0.374737,0.376531,0.382531,0.384201,0.382426,0.377929,0.36607,0.361025,0.354865,0.358666,0.361667,0.359275,0.350454,0.336618,0.325246,0.312612,0.296153,0.277654,0.263078,0.248947,0.226984,0.20256,0.184881,0.185706,0.191759,0.199935,0.219828,0.235857,0.258129,0.273766,0.293298,0.311361,0.332586,0.355588,0.373476,0.388987,0.402938,0.414128,0.422701,0.418732,0.39918,0.388547,0.386929,0.383266,0.39096,0.402017,0.41677,0.430217,0.442678,0.460397,0.467848,0.47663,0.487245,0.496198,0.504835,0.502982,0.502525,0.504952,0.514669,0.530826,0.548666,0.565907,0.582403,0.593889,0.608215,0.619745,0.630221,0.642868,0.64786,0.652813,0.661356,0.674261,0.692008,0.707079,0.720319,0.734816,0.74354,0.740989,0.739441,0.735171,0.72741,0.719758,0.70774,0.698062,0.691313,0.686092,0.039058,0.029262,0.015975,-0.000251,-0.013665,-0.032018,-0.055513,-0.085271,-0.124436,-0.160048,-0.205365,-0.245982,-0.281318,-0.323448,-0.368757,-0.407196,-0.448249,-0.460029,-0.45302,-0.441174,-0.429953,-0.422995,-0.444521,-0.472427,-0.502098,-0.540279,-0.580978,-0.62733,-0.668536,-0.702675,-0.732674,-0.761641,-0.788107,-0.808308,-0.82656,-0.842336,-0.850171,-0.857503,-0.868695,-0.869812,-0.874424,-0.879751,-0.88618,-0.893287,-0.907533,-0.913657,-0.890643,-0.857585,-0.832421,-0.812794,-0.794511,-0.764998,-0.744084,-0.731342,-0.72473,-0.72995,-0.731786,-0.736163,-0.746907,-0.762012,-0.779677,-0.801799,-0.828652,-0.858298,-0.883624,-0.914301,-0.940034,-0.965591,-0.987963,-0.976063,-0.948354,-0.917418,-0.886971,-0.87161,-0.858557,-0.846759,-0.847164,-0.844881,-0.846608,-0.846357,-0.850181,-0.838241,-0.811764,-0.779725,-0.757787,-0.736293,-0.719376,-0.70146,-0.689117,-0.678624,-0.673698,-0.680692,-0.684484,-0.692973,-0.700863,-0.705461,-0.706202,-0.692112,-0.662135,-0.62812,-0.59498,-0.561541,-0.526564,1
0.238961,0.258247,0.27594,0.294559,0.308402,0.312808,0.30898,0.301627,0.304815,0.312641,0.32054,0.323017,0.320336,0.324031,0.327669,0.330718,0.331887,0.332929,0.333013,0.327529,0.315672,0.305469,0.29214,0.278462,0.267909,0.274483,0.280486,0.296281,0.307014,0.311111,0.313066,0.308585,0.305362,0.305551,0.300852,0.289388,0.27998,0.274216,0.277444,0.287356,0.291532,0.288876,0.290405,0.288561,0.286785,0.289349,0.286293,0.275554,0.260528,0.237668,0.218702,0.205105,0.182183,0.155385,0.125149,0.108535,0.099887,0.097856,0.103828,0.116825,0.130067,0.143681,0.159134,0.168138,0.182323,0.192176,0.201435,0.214409,0.222825,0.231881,0.233607,0.238842,0.249406,0.256843,0.259935,0.272802,0.291438,0.32456,0.35289,0.383252,0.424308,0.458209,0.489773,0.519913,0.541032,0.560548,0.576526,0.598441,0.619376,0.635938,0.650537,0.661471,0.672933,0.67952,0.68497,0.693114,0.697181,0.703822,0.716455,0.730958,0.745751,0.754506,0.153236,0.160602,0.164217,0.172166,0.178728,0.185399,0.185434,0.177222,0.175962,0.170732,0.163137,0.161645,0.149592,0.119891,0.088674,0.053775,0.033938,0.014085,0.005702,0.013963,0.023035,0.024146,0.018913,0.005736,-0.013789,-0.044768,-0.079471,-0.120161,-0.157771,-0.195572,-0.219821,-0.240023,-0.255191,-0.285444,-0.319329,-0.350939,-0.394256,-0.436109,-0.471469,-0.491805,-0.520085,-0.549191,-0.560091,-0.562496,-0.575031,-0.585568,-0.601791,-0.620388,-0.645617,-0.675984,-0.712443,-0.748236,-0.783211,-0.817777,-0.843958,-0.863938,-0.886,-0.912618,-0.939217,-0.955374,-0.963606,-0.935212,-0.898334,-0.866142,-0.83975,-0.818098,-0.804781,-0.801072,-0.810752,-0.822423,-0.838047,-0.847818,-0.856625,-0.864759,-0.878305,-0.891061,-0.886774,-0.871986,-0.868505,-0.861567,-0.863013,-0.871132,-0.897773,-0.912032,-0.925339,-0.924023,-0.905933,-0.890812,-0.87615,-0.862002,-0.843685,-0.827748,-0.818864,-0.81498,-0.807868,-0.803126,-0.797833,-0.798071,-0.79781,-0.782571,-0.741754,-0.701798,-0.665164,2
0.420071,0.439234,0.458133,0.472647,0.481351,0.491613,0.499232,0.505437,0.515298,0.5229,0.530247,0.537158,0.54036,0.531545,0.525733,0.517008,0.503584,0.485733,0.465222,0.44816,0.432077,0.413512,0.394042,0.372775,0.357876,0.348397,0.336822,0.325998,0.312184,0.307231,0.316256,0.320653,0.318365,0.316561,0.314646,0.308555,0.306523,0.317747,0.327438,0.339675,0.350537,0.361063,0.376965,0.380815,0.385669,0.395684,0.40064,0.398563,0.393406,0.383186,0.373406,0.361667,0.365031,0.371187,0.375369,0.380387,0.387111,0.391657,0.383692,0.376512,0.362126,0.339495,0.32219,0.310116,0.30353,0.297628,0.301891,0.309453,0.308198,0.30168,0.287744,0.290646,0.311058,0.325044,0.333808,0.343587,0.367499,0.389797,0.415431,0.433259,0.45223,0.470046,0.486031,0.504734,0.523748,0.540738,0.556841,0.572488,0.593245,0.6094,0.626281,0.640821,0.65082,0.654523,0.658908,0.663988,0.664788,0.655817,0.641104,0.622922,0.608014,0.595225,-0.128861,-0.161134,-0.179929,-0.173849,-0.172306,-0.165672,-0.171187,-0.175897,-0.18915,-0.20167,-0.225513,-0.248388,-0.284117,-0.321432,-0.359464,-0.398875,-0.433435,-0.470597,-0.502358,-0.528674,-0.551566,-0.575658,-0.595988,-0.616962,-0.642971,-0.67176,-0.705067,-0.740132,-0.781226,-0.819502,-0.851794,-0.871796,-0.887571,-0.898021,-0.905975,-0.915545,-0.92973,-0.943192,-0.955993,-0.972879,-0.976256,-0.946824,-0.907067,-0.865259,-0.822785,-0.783583,-0.753626,-0.726613,-0.706021,-0.694841,-0.693523,-0.699793,-0.715426,-0.734128,-0.765435,-0.797005,-0.822286,-0.833292,-0.835698,-0.833502,-0.837145,-0.837115,-0.837356,-0.834215,-0.817074,-0.794999,-0.781213,-0.77054,-0.757582,-0.752683,-0.757927,-0.763065,-0.761671,-0.76427,-0.762368,-0.754504,-0.744246,-0.723771,-0.702426,-0.691214,-0.682307,-0.677289,-0.666765,-0.642657,-0.616413,-0.603721,-0.591799,-0.584848,-0.58907,-0.595775,-0.609763,-0.62697,-0.636795,-0.633017,-0.604646,-0.570595,-0.5413,-0.515213,-0.488778,-0.465431,-0.437205,-0.4174,-0.394222,2
