@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute target {1,2}

@data
-0.038623,-0.046707,-0.054555,-0.062121,-0.069322,-0.076347,-0.083206,-0.089555,-0.095598,-0.100991,-0.105935,-0.110339,-0.114174,-0.11735,-0.119968,-0.12204,-0.12343,-0.124371,-0.124615,-0.124281,-0.123264,-0.121682,-0.119638,-0.116913,-0.113743,-0.109889,-0.105369,-0.10041,-0.094894,-0.088708,-0.082194,-0.075359,-0.06822,-0.060778,-0.052951,-0.045304,-0.037366,-0.029178,-0.021377,-0.01379,-0.00653,0.000548,0.007386,0.013881,0.020005,0.02592,0.031578,0.036863,0.041737,0.046608,0.051323,0.055732,0.059692,0.06328,0.066563,0.069269,0.071376,0.073043,0.074136,0.074748,0.074818,0.074426,0.073603,0.072844,0.072164,0.072328,0.072839,0.073817,0.074901,0.076312,0.078144,0.080304,0.082839,0.085455,0.088435,0.092213,0.096283,0.101082,0.106398,0.112253,0.118294,0.124312,0.130506,0.136702,0.142961,0.149348,0.155646,0.161867,0.168027,0.174035,0.179985,0.18582,0.191784,0.197704,0.203473,0.209076,0.2141,0.218877,0.223377,0.2273,0.230695,0.233806,0.236568,0.23895,0.240586,0.242065,0.243017,0.243529,0.243648,0.243241,0.242543,0.241399,0.240203,0.238468,0.236352,0.233748,0.230821,0.227565,0.224036,0.220189,0.216099,0.211772,0.207162,0.202166,0.196968,0.19151,0.185804,0.180008,0.174016,0.167909,0.16157,0.155394,0.149149,0.142725,0.136535,0.130546,0.124782,0.119565,0.114712,0.110196,0.106351,0.103032,0.099774,0.097028,0.094398,0.091773,0.089187,0.08652,0.083915,0.081615,0.079435,0.077231,0.075355,0.073593,0.071745,0.07004,0.068434,0.066922,0.06546,0.064205,0.063,0.061687,0.059651,0.057196,0.054607,0.051649,0.048377,0.04492,0.041249,0.037457,0.033316,0.028846,0.024187,0.018971,0.013728,0.008319,0.003092,-0.001634,-0.00595,-0.009948,-0.013448,-0.016562,-0.019159,-0.021352,-0.023004,-0.024204,-0.025,-0.025164,-0.025248,-0.025544,-0.025783,-0.026307,-0.02674,-0.02746,-0.028178,-0.028854,-0.029774,-0.030723,-0.031946,-0.03334,-0.03472,-0.036157,-0.037598,-0.038744,1
-0.036185,-0.036337,-0.036305,-0.035641,-0.034147,-0.031877,-0.029108,-0.025536,-0.021244,-0.01621,-0.010436,-0.003919,0.003375,0.011201,0.019451,0.027946,0.036417,0.044843,0.053235,0.061474,0.06951,0.077484,0.085317,0.093015,0.100629,0.108189,0.115642,0.122938,0.130254,0.137613,0.144568,0.151019,0.157088,0.162672,0.167672,0.172035,0.175748,0.17872,0.181016,0.182601,0.183509,0.183752,0.183277,0.182015,0.180472,0.17872,0.176749,0.174612,0.172473,0.170101,0.167646,0.164964,0.16207,0.158896,0.155278,0.151429,0.147619,0.143503,0.139247,0.13485,0.130515,0.126176,0.121803,0.117344,0.112744,0.107796,0.102332,0.096076,0.089061,0.081506,0.073348,0.064924,0.056835,0.049167,0.041856,0.034721,0.027794,0.021298,0.015403,0.010136,0.005798,0.001998,-0.001324,-0.004602,-0.007684,-0.010634,-0.013578,-0.016638,-0.019721,-0.023022,-0.026273,-0.029349,-0.032127,-0.034635,-0.036993,-0.039179,-0.041195,-0.042942,-0.04444,-0.045734,-0.046806,-0.047636,-0.048387,-0.049023,-0.049545,-0.049962,-0.050271,-0.050338,-0.050171,-0.049778,-0.049168,-0.048347,-0.047254,-0.045933,-0.04445,-0.042693,-0.040729,-0.038608,-0.036292,-0.033839,-0.031101,-0.028228,-0.025161,-0.022015,-0.018485,-0.014724,-0.010661,-0.006209,-0.001307,0.004063,0.009969,0.016261,0.02277,0.029295,0.03567,0.041791,0.047506,0.053091,0.058395,0.063516,0.068402,0.073123,0.077524,0.081694,0.085683,0.089466,0.093048,0.096389,0.099467,0.102454,0.105444,0.10845,0.111245,0.113606,0.115324,0.11669,0.117417,0.117427,0.116716,0.115285,0.113073,0.110138,0.106505,0.102162,0.097098,0.091289,0.084946,0.07835,0.071019,0.062994,0.05462,0.045907,0.036738,0.027537,0.018112,0.008613,-0.001341,-0.011538,-0.021749,-0.032039,-0.042467,-0.052925,-0.06322,-0.073364,-0.08316,-0.092291,-0.100659,-0.108237,-0.114977,-0.121233,-0.127306,-0.133086,-0.138247,-0.142817,-0.146753,-0.150016,-0.152707,-0.154681,-0.156043,-0.156669,-0.156532,-0.155663,-0.154066,-0.151832,1
-0.014572,-0.021851,-0.028755,-0.035066,-0.040835,-0.046246,-0.051172,-0.056111,-0.06107,-0.066079,-0.070974,-0.075939,-0.080845,-0.085803,-0.090748,-0.095673,-0.100559,-0.105348,-0.110162,-0.114887,-0.1196,-0.124166,-0.12865,-0.132935,-0.13721,-0.141355,-0.145383,-0.149363,-0.153343,-0.157368,-0.161411,-0.165306,-0.169009,-0.172409,-0.175325,-0.177628,-0.17937,-0.180509,-0.18096,-0.180762,-0.179977,-0.178732,-0.177337,-0.175947,-0.174614,-0.173283,-0.171959,-0.170587,-0.169219,-0.167914,-0.166668,-0.165311,-0.163954,-0.16265,-0.161336,-0.160025,-0.158742,-0.157418,-0.156116,-0.155008,-0.154371,-0.154194,-0.154654,-0.155633,-0.156854,-0.15822,-0.159672,-0.161049,-0.162387,-0.163701,-0.165004,-0.166309,-0.167621,-0.168934,-0.17025,-0.171572,-0.172897,-0.174228,-0.175633,-0.177038,-0.178448,-0.179761,-0.180794,-0.181066,-0.180685,-0.179746,-0.178239,-0.176167,-0.173529,-0.170336,-0.166909,-0.163311,-0.159738,-0.156105,-0.152448,-0.148762,-0.145054,-0.141188,-0.137254,-0.133195,-0.129022,-0.124757,-0.120415,-0.11603,-0.111463,-0.106926,-0.10238,-0.097807,-0.093187,-0.088558,-0.083925,-0.07935,-0.074725,-0.070107,-0.065507,-0.060868,-0.055763,-0.050253,-0.044069,-0.037453,-0.030396,-0.022714,-0.014584,-0.006269,0.002064,0.010356,0.018724,0.027108,0.035502,0.043877,0.052232,0.060545,0.068848,0.077039,0.085148,0.093167,0.101248,0.109467,0.117467,0.124981,0.132007,0.13843,0.144315,0.149509,0.154127,0.158126,0.161388,0.164144,0.166318,0.167917,0.168975,0.169395,0.16914,0.168366,0.16692,0.164933,0.162452,0.159378,0.156315,0.153091,0.149442,0.145011,0.139954,0.134486,0.128787,0.123134,0.117466,0.111536,0.104995,0.097753,0.090239,0.082647,0.075055,0.067431,0.060155,0.053276,0.046922,0.041273,0.036231,0.031645,0.027645,0.024325,0.021595,0.019401,0.017888,0.016754,0.016203,0.016167,0.016754,0.017892,0.019727,0.022064,0.025126,0.028899,0.033331,0.038333,0.044102,0.050374,0.056745,0.062992,0.069129,0.07515,0.081216,0.087196,1
-0.208471,-0.212102,-0.216141,-0.220598,-0.22527,-0.229737,-0.233779,-0.237759,-0.241459,-0.245358,-0.249658,-0.254054,-0.258309,-0.26264,-0.266939,-0.270944,-0.274533,-0.277458,-0.279444,-0.280991,-0.281904,-0.281853,-0.281179,-0.280116,-0.278652,-0.276283,-0.273392,-0.270297,-0.266896,-0.263148,-0.259076,-0.254223,-0.249309,-0.243912,-0.23778,-0.230775,-0.223217,-0.21514,-0.206441,-0.197693,-0.188752,-0.179205,-0.1691,-0.158747,-0.148119,-0.136894,-0.125586,-0.114143,-0.102902,-0.092015,-0.081783,-0.072409,-0.063941,-0.056224,-0.049389,-0.043363,-0.038007,-0.033404,-0.029486,-0.026251,-0.02377,-0.021755,-0.020122,-0.019336,-0.01935,-0.019977,-0.021592,-0.023893,-0.0268,-0.029849,-0.03313,-0.036697,-0.04037,-0.044186,-0.048105,-0.052236,-0.056618,-0.061338,-0.065745,-0.070479,-0.075117,-0.079611,-0.084243,-0.088663,-0.092884,-0.096895,-0.100514,-0.103602,-0.106354,-0.108614,-0.110356,-0.111505,-0.112502,-0.113366,-0.114159,-0.114726,-0.115102,-0.115407,-0.115424,-0.115148,-0.114482,-0.113624,-0.112719,-0.111533,-0.110202,-0.108611,-0.107061,-0.105547,-0.104233,-0.102955,-0.101998,-0.10104,-0.099847,-0.09877,-0.097729,-0.096483,-0.095252,-0.093678,-0.091762,-0.089693,-0.087549,-0.084774,-0.081268,-0.076982,-0.072052,-0.066707,-0.060826,-0.054433,-0.048007,-0.041541,-0.034586,-0.027347,-0.019701,-0.011623,-0.002948,0.00631,0.016115,0.026247,0.036482,0.047009,0.057861,0.068965,0.0804,0.09164,0.102501,0.112858,0.123065,0.132759,0.142337,0.151427,0.160956,0.170413,0.179426,0.188058,0.196592,0.204591,0.212231,0.2195,0.226533,0.233055,0.23931,0.245299,0.25075,0.255967,0.260816,0.264925,0.268051,0.270708,0.272625,0.273599,0.273963,0.27342,0.272255,0.270535,0.268232,0.266116,0.264454,0.262962,0.261254,0.259719,0.258058,0.25663,0.255199,0.25379,0.252095,0.250006,0.247982,0.246215,0.244664,0.243208,0.241985,0.240855,0.239793,0.238651,0.237263,0.235728,0.233794,0.231945,0.229879,0.227814,0.226513,0.225145,0.223774,0.222342,1
0.123231,0.116305,0.109102,0.10186,0.094775,0.088244,0.082228,0.076647,0.072011,0.068276,0.065329,0.063135,0.061528,0.060443,0.06015,0.060713,0.06215,0.064074,0.065424,0.065892,0.06574,0.065187,0.064326,0.063472,0.062723,0.061963,0.061148,0.060255,0.059225,0.058726,0.058337,0.057841,0.057195,0.056295,0.055052,0.0533,0.050632,0.047089,0.042575,0.037072,0.030876,0.023999,0.016886,0.009545,0.002273,-0.005248,-0.012668,-0.019266,-0.02506,-0.030034,-0.034042,-0.037244,-0.039731,-0.041332,-0.042168,-0.042273,-0.04155,-0.040138,-0.038332,-0.036387,-0.034291,-0.032043,-0.029745,-0.027397,-0.025098,-0.02292,-0.020717,-0.01858,-0.016473,-0.01447,-0.012575,-0.010548,-0.008086,-0.005155,-0.00137,0.002974,0.007062,0.010496,0.013123,0.015048,0.016576,0.017823,0.0188,0.019249,0.018992,0.018069,0.016473,0.014303,0.011855,0.009076,0.006052,0.00266,-0.001158,-0.005316,-0.009922,-0.014823,-0.020039,-0.025246,-0.030241,-0.03476,-0.038726,-0.042145,-0.044928,-0.047055,-0.048468,-0.049237,-0.049379,-0.049086,-0.048378,-0.047293,-0.045733,-0.043611,-0.041403,-0.038825,-0.03571,-0.032037,-0.027699,-0.022627,-0.016865,-0.01068,-0.00396,0.003276,0.010581,0.017486,0.024527,0.031548,0.038296,0.044612,0.050541,0.055996,0.06089,0.065119,0.068682,0.07176,0.074277,0.076203,0.077421,0.078143,0.078299,0.078535,0.078462,0.077719,0.076163,0.073772,0.070588,0.066803,0.062399,0.057087,0.050918,0.044108,0.036952,0.029231,0.020652,0.011445,0.001786,-0.008041,-0.017753,-0.027359,-0.036764,-0.046191,-0.055596,-0.064807,-0.074027,-0.083278,-0.092524,-0.102059,-0.111896,-0.121184,-0.129831,-0.138113,-0.146143,-0.15372,-0.160856,-0.167562,-0.173618,-0.1791,-0.184007,-0.188607,-0.193415,-0.198404,-0.203559,-0.208868,-0.214263,-0.219735,-0.22539,-0.231168,-0.237049,-0.242706,-0.248173,-0.253801,-0.259337,-0.264581,-0.269051,-0.272719,-0.276004,-0.278733,-0.280657,-0.281768,-0.282061,-0.281537,-0.28019,-0.278037,-0.27507,-0.271606,1
0.006688,0.009706,0.011989,0.013953,0.016381,0.018987,0.021914,0.024821,0.027589,0.030345,0.032911,0.035553,0.038251,0.041004,0.043617,0.046305,0.048924,0.051543,0.054162,0.056852,0.059469,0.062009,0.063948,0.065095,0.065699,0.065689,0.065151,0.064072,0.06247,0.060373,0.057992,0.055329,0.052594,0.049783,0.047082,0.044333,0.041581,0.038593,0.035513,0.032373,0.029102,0.025833,0.022566,0.01941,0.016202,0.013043,0.009594,0.005618,0.001126,-0.003815,-0.009395,-0.015842,-0.022942,-0.029892,-0.036329,-0.042012,-0.047193,-0.05205,-0.056671,-0.060882,-0.065034,-0.069708,-0.074299,-0.077862,-0.080979,-0.083773,-0.086072,-0.0882,-0.090177,-0.091778,-0.092684,-0.093008,-0.092907,-0.092295,-0.091715,-0.091023,-0.090355,-0.089929,-0.089748,-0.089742,-0.089647,-0.089421,-0.088962,-0.088371,-0.087875,-0.087284,-0.086607,-0.085726,-0.084658,-0.083944,-0.083378,-0.082746,-0.082039,-0.081035,-0.079947,-0.078491,-0.076821,-0.074835,-0.072516,-0.069879,-0.066886,-0.063599,-0.060031,-0.056327,-0.052361,-0.048198,-0.04398,-0.03945,-0.034834,-0.029765,-0.024393,-0.018485,-0.012218,-0.005566,0.001302,0.008246,0.015666,0.02358,0.03204,0.040781,0.049719,0.059062,0.068668,0.078526,0.087982,0.097412,0.106328,0.115028,0.123505,0.131877,0.139913,0.147948,0.155302,0.162077,0.168196,0.173649,0.178398,0.182286,0.185778,0.188789,0.191065,0.192618,0.193653,0.194157,0.194019,0.193455,0.192025,0.19002,0.187397,0.184018,0.179977,0.175697,0.171059,0.165678,0.159681,0.153139,0.145808,0.137713,0.128953,0.119744,0.109751,0.099212,0.088321,0.077326,0.066029,0.054671,0.043037,0.031293,0.019509,0.007619,-0.004225,-0.015499,-0.026462,-0.036932,-0.047061,-0.056401,-0.065296,-0.073691,-0.081442,-0.088804,-0.095511,-0.101592,-0.107011,-0.111915,-0.11663,-0.12087,-0.124673,-0.127799,-0.130396,-0.13265,-0.134433,-0.135852,-0.136477,-0.136517,-0.135989,-0.135003,-0.13355,-0.131327,-0.1286,-0.125282,-0.12143,-0.116904,-0.111995,-0.106991,1
0.001654,-0.004064,-0.009537,-0.014961,-0.020359,-0.025832,-0.030933,-0.035504,-0.040059,-0.04432,-0.048253,-0.051798,-0.055582,-0.059393,-0.062606,-0.065256,-0.067428,-0.069234,-0.070606,-0.071947,-0.073194,-0.07444,-0.07544,-0.076444,-0.077563,-0.078492,-0.07931,-0.07989,-0.080582,-0.081187,-0.082048,-0.082794,-0.083494,-0.084228,-0.084876,-0.085452,-0.085751,-0.085483,-0.084759,-0.083742,-0.081991,-0.079988,-0.077601,-0.075108,-0.072517,-0.069731,-0.066772,-0.063454,-0.05979,-0.055849,-0.051589,-0.047023,-0.042192,-0.037159,-0.032105,-0.02669,-0.020902,-0.014909,-0.008793,-0.002511,0.003966,0.010506,0.017327,0.024423,0.032013,0.040037,0.048124,0.056768,0.065885,0.075403,0.085036,0.094605,0.104091,0.113016,0.121815,0.130341,0.13886,0.147223,0.155419,0.163269,0.170471,0.176885,0.182692,0.188047,0.19262,0.19655,0.200001,0.20313,0.205773,0.207782,0.209134,0.209984,0.210329,0.210142,0.20927,0.207756,0.205431,0.202021,0.197825,0.193214,0.188188,0.18255,0.176288,0.16923,0.161687,0.153378,0.144239,0.134752,0.12473,0.113984,0.103011,0.091832,0.080402,0.06898,0.057594,0.046115,0.034618,0.022824,0.011142,-0.000316,-0.011537,-0.02201,-0.031854,-0.041054,-0.049817,-0.05791,-0.065322,-0.072264,-0.078944,-0.084916,-0.090023,-0.094775,-0.099075,-0.102852,-0.106414,-0.109508,-0.112003,-0.113647,-0.1147,-0.115215,-0.115305,-0.114738,-0.1136,-0.11154,-0.109104,-0.106484,-0.103349,-0.099601,-0.095143,-0.090357,-0.085515,-0.080765,-0.076423,-0.072675,-0.069226,-0.066559,-0.064445,-0.062879,-0.062035,-0.061731,-0.062126,-0.062842,-0.064072,-0.065673,-0.067766,-0.070585,-0.073973,-0.077929,-0.082349,-0.087309,-0.092502,-0.097641,-0.102596,-0.107201,-0.111056,-0.11432,-0.11694,-0.119159,-0.120988,-0.122369,-0.123213,-0.12337,-0.122802,-0.121672,-0.120088,-0.117957,-0.115123,-0.111784,-0.108014,-0.103778,-0.098957,-0.093703,-0.088175,-0.082127,-0.075365,-0.067851,-0.059923,-0.051377,-0.042419,-0.032839,-0.022789,-0.012095,-0.000781,0.010925,1
-0.204482,-0.209548,-0.214423,-0.21881,-0.222649,-0.226213,-0.229136,-0.231414,-0.233281,-0.23444,-0.23522,-0.23542,-0.234903,-0.23388,-0.232128,-0.229903,-0.227175,-0.223651,-0.219702,-0.215126,-0.209729,-0.204033,-0.197882,-0.191347,-0.18418,-0.176507,-0.168487,-0.159991,-0.151087,-0.1418,-0.131988,-0.121462,-0.110439,-0.099414,-0.088278,-0.077263,-0.066525,-0.056148,-0.046368,-0.037158,-0.028421,-0.020125,-0.012326,-0.005037,0.001607,0.007835,0.013446,0.018486,0.023068,0.027101,0.030655,0.033593,0.035817,0.03748,0.038455,0.038794,0.038334,0.037228,0.035475,0.033147,0.030307,0.027106,0.02376,0.020309,0.016603,0.012598,0.008626,0.004587,0.000623,-0.003311,-0.007329,-0.011255,-0.015467,-0.020115,-0.025307,-0.031273,-0.037857,-0.044863,-0.052095,-0.059555,-0.066613,-0.073233,-0.079391,-0.085014,-0.090319,-0.095516,-0.100298,-0.10475,-0.10911,-0.113214,-0.117215,-0.121215,-0.124956,-0.128393,-0.131388,-0.133751,-0.135545,-0.13677,-0.137529,-0.137874,-0.138235,-0.138551,-0.13905,-0.139609,-0.14035,-0.14104,-0.141613,-0.14184,-0.141891,-0.141584,-0.14081,-0.139315,-0.137172,-0.134391,-0.130971,-0.126917,-0.122466,-0.117425,-0.111778,-0.105379,-0.098559,-0.091273,-0.083776,-0.07612,-0.068165,-0.059937,-0.05146,-0.042682,-0.033732,-0.024509,-0.015015,-0.005348,0.004604,0.014827,0.025226,0.035971,0.046934,0.057922,0.068441,0.078585,0.088522,0.098166,0.107644,0.116801,0.12559,0.134252,0.142764,0.150944,0.15896,0.166652,0.174003,0.181159,0.18802,0.194519,0.200381,0.205725,0.210306,0.214325,0.217853,0.220715,0.222988,0.224844,0.226098,0.226541,0.226374,0.225646,0.224305,0.222317,0.219893,0.216996,0.213916,0.210438,0.206869,0.202986,0.198747,0.194217,0.189467,0.184394,0.179228,0.173813,0.168158,0.162223,0.156009,0.149644,0.143089,0.136423,0.129676,0.122632,0.115462,0.108143,0.100545,0.092808,0.085348,0.078268,0.071522,0.065496,0.059967,0.055108,0.050744,0.047051,0.043943,0.041439,0.039591,0.038252,1
-0.044774,-0.051452,-0.05815,-0.064654,-0.070783,-0.076214,-0.081084,-0.085634,-0.089993,-0.094128,-0.097987,-0.101721,-0.105225,-0.108591,-0.112038,-0.115335,-0.118067,-0.120571,-0.12256,-0.123865,-0.124536,-0.124733,-0.124857,-0.124776,-0.124813,-0.124767,-0.124942,-0.125161,-0.125498,-0.125806,-0.125994,-0.126126,-0.126048,-0.125284,-0.12404,-0.122198,-0.119636,-0.116704,-0.11319,-0.109178,-0.104613,-0.099444,-0.093801,-0.087719,-0.0812,-0.074015,-0.066297,-0.058265,-0.049914,-0.041134,-0.032156,-0.022787,-0.013145,-0.003261,0.006971,0.017293,0.027863,0.038612,0.049605,0.060788,0.072188,0.083328,0.094268,0.104878,0.115262,0.125184,0.134612,0.143713,0.152453,0.16077,0.168912,0.177112,0.184984,0.192512,0.200037,0.207282,0.214212,0.220495,0.226038,0.231086,0.235646,0.23958,0.243144,0.246068,0.248475,0.250229,0.251465,0.252169,0.252224,0.25174,0.250747,0.249127,0.247361,0.245334,0.242806,0.240097,0.237166,0.2343,0.231119,0.227559,0.223877,0.220003,0.215963,0.211559,0.207014,0.202311,0.197678,0.192638,0.187317,0.181599,0.175803,0.169858,0.163903,0.15795,0.151741,0.145477,0.139318,0.133553,0.128,0.12306,0.118749,0.115111,0.111809,0.108782,0.106044,0.10355,0.101183,0.098759,0.096446,0.094269,0.092285,0.090268,0.088183,0.085962,0.083662,0.081584,0.079487,0.077322,0.075027,0.07275,0.07038,0.067978,0.065665,0.063385,0.06121,0.058854,0.056795,0.054927,0.053012,0.050906,0.048748,0.046747,0.04476,0.042917,0.04118,0.03964,0.038562,0.037993,0.037709,0.037652,0.037934,0.038588,0.039503,0.040812,0.042443,0.044147,0.045959,0.047749,0.04959,0.051596,0.053524,0.055387,0.057281,0.059219,0.061426,0.06387,0.066208,0.068647,0.071149,0.073649,0.076103,0.078379,0.080581,0.082697,0.084804,0.086925,0.089122,0.091244,0.093375,0.095394,0.097674,0.099981,0.102285,0.10451,0.106789,0.109001,0.111337,0.113955,0.116933,0.120325,0.124126,0.128298,0.133041,0.138328,1
0.073873,0.067105,0.06048,0.054279,0.048499,0.043462,0.038943,0.034991,0.031773,0.029233,0.027295,0.026003,0.025347,0.025301,0.02583,0.026997,0.028759,0.031137,0.034034,0.037545,0.041669,0.046406,0.051797,0.057661,0.064135,0.071294,0.079,0.087136,0.095952,0.105127,0.114014,0.122289,0.130028,0.137231,0.143808,0.149758,0.155122,0.159948,0.164144,0.16778,0.170732,0.172986,0.174681,0.175843,0.176617,0.176908,0.176796,0.176127,0.17516,0.17401,0.172568,0.170805,0.168761,0.16647,0.16403,0.161512,0.158954,0.156276,0.153533,0.150835,0.148043,0.145251,0.14249,0.139595,0.13687,0.13458,0.132912,0.131626,0.130367,0.128996,0.127745,0.126634,0.125555,0.124536,0.123627,0.122761,0.121946,0.121225,0.120406,0.119615,0.118907,0.118323,0.117816,0.11717,0.116575,0.115644,0.114204,0.112168,0.109435,0.106209,0.102447,0.098128,0.09312,0.087476,0.081079,0.07418,0.066865,0.059046,0.051073,0.042885,0.034575,0.026293,0.018064,0.009789,0.001577,-0.006576,-0.014634,-0.022378,-0.030019,-0.037209,-0.043954,-0.050096,-0.055675,-0.060839,-0.065648,-0.069994,-0.073963,-0.077555,-0.080752,-0.08354,-0.085903,-0.08783,-0.089341,-0.090393,-0.090872,-0.090628,-0.089838,-0.088489,-0.086637,-0.084287,-0.081437,-0.078096,-0.074359,-0.070166,-0.065597,-0.060584,-0.055386,-0.050295,-0.045436,-0.040859,-0.036557,-0.032901,-0.029883,-0.027366,-0.025222,-0.023415,-0.021963,-0.02102,-0.020449,-0.020182,-0.020303,-0.020741,-0.021453,-0.022527,-0.024217,-0.026162,-0.028566,-0.031299,-0.034492,-0.038237,-0.042651,-0.047611,-0.052847,-0.058358,-0.063922,-0.069581,-0.074909,-0.079778,-0.084271,-0.088268,-0.091967,-0.09515,-0.097633,-0.099508,-0.100846,-0.101622,-0.101802,-0.101478,-0.100605,-0.099315,-0.097475,-0.095329,-0.092812,-0.089789,-0.086461,-0.082718,-0.078611,-0.074006,-0.068876,-0.063201,-0.057102,-0.050346,-0.043265,-0.035955,-0.028537,-0.02114,-0.013861,-0.006407,0.001053,0.00839,0.015689,0.022821,0.030111,0.037353,1
