@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute target {1,2,3}

@data
0.563309,0.573186,0.583297,0.583848,0.575508,0.55738,0.525943,0.482233,0.428155,0.371997,0.314491,0.263711,0.218642,0.1787,0.143415,0.117525,0.096644,0.074054,0.047487,0.020134,-0.009874,-0.040359,-0.066321,-0.087609,-0.111025,-0.132488,-0.148805,-0.158064,-0.166667,-0.177773,-0.189967,2
0.520018,0.53102,0.539981,0.538874,0.526347,0.504962,0.471272,0.426041,0.375422,0.321096,0.266056,0.214129,0.169245,0.129803,0.097284,0.073219,0.059431,0.048885,0.040505,0.026756,0.008844,-0.010294,-0.02803,-0.042874,-0.058979,-0.075432,-0.08825,-0.100754,-0.113529,-0.127976,-0.143058,2
0.502594,0.511196,0.514234,0.513113,0.501854,0.483395,0.454039,0.418441,0.376512,0.330662,0.282903,0.238333,0.196514,0.160824,0.132091,0.110498,0.097012,0.082071,0.068941,0.058533,0.04751,0.038694,0.028435,0.016766,0.004882,-0.010201,-0.026944,-0.044126,-0.062489,-0.081191,-0.100987,2
0.496355,0.517193,0.531792,0.538423,0.532785,0.515403,0.486635,0.448359,0.399106,0.344543,0.29229,0.242691,0.195947,0.156775,0.124022,0.098542,0.080952,0.062901,0.041797,0.019514,-0.003644,-0.026614,-0.050373,-0.070782,-0.085101,-0.094743,-0.10089,-0.105441,-0.110594,-0.11558,-0.123632,2
0.508633,0.526087,0.539648,0.545217,0.540553,0.530489,0.50627,0.46995,0.420575,0.36654,0.315465,0.266291,0.218452,0.175373,0.136959,0.107737,0.084893,0.065238,0.043972,0.022022,0.001134,-0.018315,-0.037108,-0.051815,-0.066562,-0.080448,-0.093982,-0.107342,-0.122227,-0.136997,-0.153661,2
0.48299,0.501944,0.518315,0.526171,0.522459,0.511749,0.490007,0.456679,0.411323,0.364209,0.316098,0.271743,0.228257,0.186805,0.150898,0.120861,0.09298,0.06462,0.037345,0.007696,-0.022482,-0.050903,-0.078084,-0.099814,-0.114385,-0.121225,-0.121632,-0.11993,-0.12059,-0.120576,-0.125179,3
0.552025,0.565032,0.57935,0.583921,0.581888,0.56912,0.544402,0.509604,0.464007,0.411376,0.353734,0.297153,0.244153,0.19347,0.14972,0.113144,0.084149,0.057415,0.031261,0.003654,-0.021214,-0.04773,-0.074148,-0.098982,-0.116595,-0.129688,-0.139041,-0.148815,-0.159616,-0.170409,-0.184612,3
0.488877,0.507617,0.525902,0.53595,0.534177,0.5212,0.496285,0.459127,0.410107,0.357183,0.304167,0.252101,0.205687,0.164652,0.129535,0.099901,0.076795,0.054917,0.032715,0.0092,-0.014773,-0.03887,-0.061415,-0.07958,-0.093775,-0.104036,-0.110305,-0.115438,-0.119797,-0.124524,-0.131212,3
0.490879,0.507221,0.523352,0.529009,0.523349,0.509061,0.487741,0.457302,0.417063,0.369465,0.315592,0.262077,0.211572,0.165799,0.124905,0.093436,0.067889,0.045658,0.02332,0.002174,-0.020485,-0.043445,-0.064694,-0.080644,-0.091389,-0.095248,-0.095837,-0.100483,-0.105466,-0.112283,-0.120938,3
0.484035,0.504613,0.521897,0.533991,0.532295,0.519216,0.493683,0.460561,0.414644,0.363832,0.313403,0.262948,0.214456,0.170477,0.133046,0.103731,0.080658,0.058417,0.038681,0.01454,-0.012488,-0.039166,-0.067238,-0.09494,-0.115765,-0.127731,-0.13195,-0.133387,-0.133523,-0.134365,-0.13664,3
