@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute attr181 numeric
@attribute attr182 numeric
@attribute attr183 numeric
@attribute attr184 numeric
@attribute attr185 numeric
@attribute attr186 numeric
@attribute attr187 numeric
@attribute attr188 numeric
@attribute attr189 numeric
@attribute attr190 numeric
@attribute attr191 numeric
@attribute attr192 numeric
@attribute attr193 numeric
@attribute attr194 numeric
@attribute attr195 numeric
@attribute attr196 numeric
@attribute attr197 numeric
@attribute attr198 numeric
@attribute attr199 numeric
@attribute attr200 numeric
@attribute attr201 numeric
@attribute attr202 numeric
@attribute attr203 numeric
@attribute attr204 numeric
@attribute target {1,2}

@data
0.06998,0.076214,0.076214,0.065948,0.072927,0.072927,0.072927,0.072927,0.066538,0.056582,0.056582,0.056582,0.055899,0.055899,0.059094,0.059094,0.059094,0.051588,0.058908,0.05196,0.045602,0.032359,0.031087,0.024512,0.01682,0.01682,0.01682,0.010586,0.018588,0.026062,0.034375,0.02752,0.033723,0.027365,0.019301,0.019301,0.011423,0.011423,0.001498,0.001498,-0.008861,0.000971,-0.005728,-0.004209,-0.004209,-0.004209,-0.004209,-0.004209,-0.004209,-0.012459,-0.018972,-0.018972,-0.018972,-0.018972,-0.026695,-0.026695,-0.026695,-0.026695,-0.02043,-0.02043,-0.02043,-0.018817,-0.025609,-0.025609,-0.025609,-0.025609,-0.025609,-0.025609,-0.025609,-0.03206,-0.03907,-0.03907,-0.032432,-0.032432,-0.032432,-0.032681,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.039504,-0.045924,-0.045924,-0.045924,-0.038201,-0.038201,-0.038201,-0.044901,-0.044901,-0.044901,-0.044901,-0.035379,-0.035379,-0.035379,-0.028773,-0.028773,-0.035038,-0.026664,-0.026664,-0.026664,-0.030479,-0.037209,-0.043412,-0.043412,-0.043412,-0.037209,-0.037209,-0.037209,-0.045025,-0.052065,-0.052065,-0.052065,-0.04456,-0.04456,-0.04456,-0.04456,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.044001,-0.051073,-0.057276,-0.057276,-0.048033,-0.048033,-0.040745,-0.040745,-0.040745,-0.040745,-0.052189,-0.052189,-0.060067,-0.060067,-0.052717,-0.058982,-0.050732,-0.050732,-0.050732,-0.057431,-0.057431,-0.064192,-0.064192,-0.072225,-0.072225,-0.072225,-0.072225,-0.064378,-0.072039,-0.059788,-0.069868,-0.070985,-0.070985,-0.070985,-0.070985,-0.070985,-0.070985,-0.070985,-0.070985,-0.070985,-0.078149,-0.070488,-0.078056,-0.078056,-0.078056,-0.078056,-0.078056,-0.078056,-0.078056,-0.078056,-0.087299,-0.087299,-0.087299,-0.096355,-0.103768,-0.103768,-0.096944,-0.096944,-0.104202,-0.097006,-0.106125,-0.106125,-0.112948,-0.119648,-0.119648,-0.119648,-0.126502,-0.126502,-0.126502,-0.126502,-0.120082,-0.120082,2
0.000102,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,-0.007331,0.002898,0.002898,0.002898,0.002898,0.002898,0.002898,0.002898,0.002898,0.002898,0.002898,-0.007154,-0.007154,-0.007154,-0.007154,-0.007154,-0.007154,-0.007154,-0.007154,0.003783,0.003783,0.003783,-0.00457,-0.00457,-0.00457,-0.00457,-0.00457,-0.014729,-0.014729,-0.014729,-0.014729,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.005243,-0.013596,-0.013596,-0.013596,-0.013596,-0.027648,-0.027648,-0.027648,-0.027648,-0.027648,-0.027648,-0.027648,-0.027648,-0.040002,-0.040002,-0.040002,-0.040002,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.047753,-0.036391,-0.036391,-0.036391,-0.036391,-0.036391,-0.036391,-0.036391,-0.036391,-0.028887,-0.028887,-0.028887,-0.021525,-0.021525,-0.021525,-0.021525,-0.021525,-0.021525,-0.021525,-0.021525,-0.021525,-0.029843,-0.029843,-0.029843,-0.037772,-0.045099,-0.045099,-0.03625,-0.03625,-0.043718,-0.051328,-0.051328,-0.051328,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.060213,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.050373,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.041099,-0.032285,-0.032285,-0.023684,-0.03317,-0.024746,-0.024746,-0.008641,0.007181,0.007181,0.016809,0.007146,0.007146,0.015606,0.025021,0.034684,0.04233,0.049834,0.049834,0.049834,0.049834,0.049834,0.049834,0.049834,0.049834,0.049834,0.049834,0.03971,0.03971,0.03971,0.03971,0.03971,0.036772,0.036772,0.036772,0.029021,0.029021,0.028773,0.040808,0.040808,0.040808,0.040808,0.040808,0.040808,0.040808,0.040808,0.040808,1
0.048894,0.039332,0.039332,0.039332,0.039332,0.039332,0.039332,0.039332,0.039332,0.048672,0.048672,0.038487,0.038487,0.038487,0.038487,0.038487,0.038487,0.038487,0.038487,0.038487,0.029192,0.029192,0.019275,0.019275,0.019275,0.019275,0.019275,0.019275,0.019275,0.019275,0.010247,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,0.001085,-0.008788,-0.008788,-0.008788,-0.008788,-0.021419,-0.021419,-0.034939,-0.034939,-0.034939,-0.034939,-0.034939,-0.034939,-0.034939,-0.034939,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.025288,-0.015815,-0.015815,-0.015815,-0.015815,-0.015815,-0.015815,-0.015815,-0.01537,-0.01537,-0.01537,-0.024443,-0.034138,-0.034138,-0.034138,-0.043878,-0.029469,-0.014125,-0.002562,-0.017283,-0.017283,-0.003273,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,0.006422,-0.004874,-0.004874,-0.004874,-0.004874,-0.013903,-0.013903,-0.013903,-0.013903,-0.023687,-0.023687,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.033605,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.047169,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.037563,-0.026978,-0.026978,-0.026978,-0.026978,-0.026978,-0.026978,-0.026978,-0.026978,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.043567,-0.053129,-0.053129,-0.053129,-0.053129,-0.063491,-0.063491,-0.063491,-0.054018,-0.054018,-0.042811,-0.042811,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.028446,-0.038319,1
-0.221142,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.212904,-0.206015,-0.206015,-0.206015,-0.206015,-0.195165,-0.186641,-0.186641,-0.186641,-0.18001,-0.170796,-0.161037,-0.161037,-0.161037,-0.153746,-0.153746,-0.145451,-0.13862,-0.131989,-0.131989,-0.131989,-0.125617,-0.119532,-0.112787,-0.106185,-0.106185,-0.09832,-0.09832,-0.108596,-0.10208,-0.107993,-0.098378,-0.098378,-0.098378,-0.09057,-0.100416,-0.092379,-0.100645,-0.100645,-0.100645,-0.094359,-0.094359,-0.087011,-0.087011,-0.087011,-0.07995,-0.080869,-0.080869,-0.080869,-0.080869,-0.070794,-0.064709,-0.056499,-0.050185,-0.050185,-0.050185,-0.050185,-0.044071,-0.044071,-0.044071,-0.04077,-0.034197,-0.027767,-0.027452,-0.027452,-0.027452,-0.036694,-0.036694,-0.036694,-0.036694,-0.036694,-0.036694,-0.030265,-0.030265,-0.030265,-0.030265,-0.030265,-0.030265,-0.021654,-0.021654,-0.028801,-0.028801,-0.029002,-0.020907,-0.010258,-0.010258,-0.00225,-0.003083,-0.003083,-0.003083,-0.003083,0.003864,0.011355,0.020713,0.030386,0.036758,0.036758,0.042929,0.042929,0.042929,0.051224,0.051224,0.059663,0.066954,0.073412,0.073412,0.073412,0.081994,0.081994,0.087993,0.087993,0.087993,0.087993,0.095542,0.088653,0.096748,0.096748,0.096748,0.096748,0.096748,0.09006,0.083516,0.083516,0.083516,0.075507,0.082941,0.08894,0.08894,0.09471,0.09471,0.101513,0.109205,0.114974,0.114974,0.108889,0.108889,0.114946,0.105847,0.105847,0.099733,0.10688,0.112621,0.112621,0.118849,0.124619,0.124619,0.116524,0.110009,0.110009,0.104211,0.104211,0.104211,0.104211,0.104211,0.111128,0.111128,0.111128,0.111128,0.10467,0.112678,0.112678,0.119739,0.12792,0.135153,0.142845,0.142845,0.142845,0.142845,0.149045,0.149045,0.149045,0.156508,0.163799,0.169798,0.169798,0.169798,0.169798,0.169798,0.169798,0.169798,0.17594,0.169597,0.178265,0.172352,0.172352,0.172352,0.172352,0.172352,0.166497,0.166497,1
0.00691,0.015648,0.007189,0.001466,0.001466,0.00906,0.010539,0.004677,-0.002386,0.005123,0.012549,0.012549,0.006575,0.00007,-0.001046,-0.001046,-0.007076,-0.008723,-0.008723,-0.008723,-0.008723,-0.008723,-0.000153,-0.000153,-0.000153,-0.000153,-0.006658,-0.000348,-0.000348,-0.000348,-0.000348,-0.006183,0.000992,0.000992,0.008613,0.008501,0.001801,0.001801,0.001801,0.001801,0.001801,-0.005345,-0.012241,-0.012241,-0.012241,-0.018578,-0.012492,-0.019081,-0.019081,-0.019081,-0.019081,-0.012688,-0.004955,-0.004955,-0.004955,-0.004955,-0.004955,-0.004955,0.00088,0.00088,0.010986,0.004481,0.004481,0.004481,0.004481,0.004481,0.011042,0.018635,0.018635,0.018635,0.018635,0.011991,0.006408,0.006408,0.006408,0.000657,0.000657,0.007245,0.007245,0.007245,0.007245,0.007245,0.007245,0.007245,-0.00032,-0.00032,-0.006211,0.000824,0.000824,0.000824,-0.00635,-0.00635,-0.015898,-0.024078,-0.018075,-0.02405,-0.02405,-0.02405,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.029828,-0.024022,-0.022151,-0.022151,-0.022151,-0.022151,-0.014167,-0.014167,-0.014167,-0.008137,-0.013776,-0.013776,-0.013776,-0.006071,-0.006071,-0.006071,-0.006071,-0.004955,-0.012855,-0.012855,-0.019276,-0.019276,-0.024999,-0.018997,-0.011794,-0.011794,-0.011571,-0.013972,-0.016708,-0.010008,-0.010008,-0.016568,-0.009226,-0.009226,-0.009226,-0.009226,-0.016205,-0.016205,-0.016205,-0.008249,-0.016093,-0.016093,-0.017936,-0.011403,-0.011403,-0.017657,-0.017657,-0.017657,-0.017657,-0.012045,-0.006267,-0.000348,-0.000348,0.006463,0.006463,0.006463,-0.000181,-0.000181,-0.000181,-0.000181,0.007385,0.005263,0.011209,0.011209,0.011209,0.017044,0.025531,0.025531,0.026954,0.038317,0.032175,0.025251,0.02313,0.02313,0.017379,0.017379,0.017379,0.017379,0.017379,0.017379,0.018551,0.018551,0.018551,0.009786,0.003755,0.003755,0.009646,0.009646,0.009646,0.009646,0.016402,0.009367,0.009367,0.002555,0.010623,0.010623,2
0.022637,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,0.006563,-0.004508,-0.004508,-0.004508,-0.004508,-0.004508,-0.004508,-0.004508,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.007255,0.01971,0.01971,0.01971,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.006936,0.017634,0.017634,0.017634,0.017634,0.017634,0.017634,0.017634,-0.001368,-0.001368,-0.012279,-0.012279,-0.012279,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.023616,-0.035911,-0.035911,-0.035911,-0.035911,-0.049857,-0.049857,-0.049857,-0.049857,-0.049857,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.034794,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.055126,-0.035007,-0.035007,-0.035007,-0.035007,-0.035007,-0.035007,-0.035007,-0.023297,-0.035432,-0.02335,-0.02335,-0.02335,-0.02335,-0.02335,-0.02335,-0.02335,-0.02335,-0.037987,-0.051666,-0.051666,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.037668,-0.049697,-0.049697,-0.049697,-0.049697,-0.049697,-0.049697,-0.035752,-0.035752,-0.035752,-0.035752,-0.035752,-0.035752,-0.035752,-0.035752,-0.022392,-0.022392,-0.022392,-0.022392,-0.022392,-0.022392,1
-0.027546,-0.027546,-0.027546,-0.027546,-0.027546,-0.027546,-0.027546,-0.027546,-0.019589,-0.019589,-0.019589,-0.010621,-0.010621,-0.010621,-0.010621,-0.010621,-0.000776,0.006069,0.015172,0.015172,0.008429,0.017869,0.017869,0.009744,0.009744,0.001551,0.001551,0.001551,-0.007485,-0.007485,-0.007485,-0.014363,-0.014363,-0.021208,-0.029165,-0.029165,-0.029165,-0.020938,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.027883,-0.020061,-0.020061,-0.020061,-0.020061,-0.020061,-0.012846,-0.012846,-0.012846,-0.002596,-0.01352,-0.01352,-0.01352,-0.023568,-0.023568,-0.023568,-0.023568,-0.023568,-0.023568,-0.023568,-0.01524,-0.019218,-0.019218,-0.028254,-0.037728,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.029434,-0.040426,-0.040426,-0.040426,-0.040426,-0.040426,-0.040426,-0.040426,-0.040426,-0.040426,-0.03021,-0.023298,-0.023298,-0.030985,-0.030985,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,-0.023703,-0.01669,-0.008362,-0.008362,-0.000641,-0.000641,-0.007957,-0.007957,-0.007957,-0.01588,-0.01588,-0.01588,-0.01588,-0.01588,-0.01588,-0.022725,-0.022725,-0.022725,-0.022725,-0.029974,-0.037627,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.039549,-0.049563,-0.049563,-0.049563,-0.049563,-0.049563,-0.049563,-0.049563,-0.0411,-0.0411,-0.0411,-0.0411,-0.0411,-0.0411,-0.0411,-0.0411,-0.03021,-0.03021,-0.03021,-0.03021,-0.03021,-0.03021,-0.03021,-0.03021,-0.022893,-0.022893,-0.015813,-0.009036,-0.001315,-0.001315,-0.002158,0.004619,0.004619,0.004619,0.004619,0.004619,0.004619,0.004619,0.004619,0.013284,0.023904,0.013318,0.004585,0.004585,0.004585,0.004585,0.004585,0.011429,0.011429,0.011429,0.011429,0.011429,0.021342,0.021342,0.021342,0.028422,0.028422,0.028422,0.036615,0.036615,0.036615,0.045415,0.045415,0.054282,0.054282,0.054282,0.046427,0.046427,0.046427,1
0.013149,0.013149,0.013149,0.013149,0.020398,0.020398,0.020398,0.011122,0.011122,0.011122,0.018309,0.011952,0.020705,0.011214,0.011214,0.011214,0.011214,0.011214,0.004273,-0.00276,-0.009885,-0.009885,-0.009885,-0.009885,-0.003313,-0.003313,-0.003313,-0.003313,-0.003313,0.004365,0.004365,0.002891,0.005655,-0.001716,0.001663,-0.004541,-0.004541,0.001816,0.001816,0.002154,0.002154,-0.004265,-0.004265,-0.004265,-0.011052,-0.011052,-0.011052,-0.017441,-0.024658,-0.024658,-0.031047,-0.023798,-0.014707,-0.014707,-0.012834,-0.006323,-0.006323,0.001571,0.001571,0.001571,0.001571,-0.00577,-0.00577,-0.00577,-0.013694,-0.013694,-0.01351,-0.01351,-0.01351,-0.007367,-0.007367,0.003505,0.003505,0.011337,0.014501,0.005225,0.005225,-0.003528,-0.003528,-0.003528,-0.010223,-0.010223,-0.017809,-0.025119,-0.025119,-0.032275,-0.032275,-0.040691,-0.040691,-0.040691,-0.040691,-0.040691,-0.040691,-0.040691,-0.047724,-0.047724,-0.047724,-0.055249,-0.055249,-0.055249,-0.0484,-0.0484,-0.0484,-0.0484,-0.040414,-0.047232,-0.047232,-0.047232,-0.053621,-0.053621,-0.053621,-0.046802,-0.040445,-0.040445,-0.040445,-0.040445,-0.040445,-0.040445,-0.03421,-0.03421,-0.035592,-0.035592,-0.035592,-0.035592,-0.035592,-0.035592,-0.029204,-0.021556,-0.011267,-0.011267,-0.011267,-0.00448,-0.00448,-0.00448,-0.012127,-0.003988,0.00283,0.00283,0.013272,0.020582,0.028076,0.034556,0.034556,0.028045,0.028045,0.028045,0.028045,0.028045,0.028045,0.028045,0.027492,0.020858,0.014316,0.014316,0.007928,0.007928,0.007928,0.007928,0.007928,0.007928,0.001048,0.001048,-0.007674,-0.007674,-0.014277,-0.014277,-0.014277,-0.014277,-0.014277,-0.014277,-0.01265,-0.004633,-0.004633,-0.004633,-0.001439,-0.002944,-0.01222,-0.019775,-0.019775,-0.012435,-0.019284,-0.026532,-0.019038,-0.010223,-0.010223,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,-0.00276,1
0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.004263,0.018275,0.018275,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.032533,0.026879,0.041382,0.028907,0.028907,0.028907,0.028907,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.014403,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.00162,0.014219,0.014219,0.014219,0.014219,0.014219,0.014219,0.028108,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.043165,0.026018,0.026018,0.026018,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.039969,0.061048,0.061048,0.061048,0.061048,0.061048,0.061048,0.061048,0.035851,0.035851,0.022147,0.022147,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,0.008749,1
-0.016107,-0.022606,-0.022606,-0.022606,-0.022366,-0.022366,-0.022366,-0.022366,-0.022366,-0.022366,-0.022366,-0.022366,-0.01479,-0.01479,-0.01479,-0.01479,-0.01479,-0.022097,-0.022097,-0.022097,-0.022097,-0.020569,-0.020569,-0.020569,-0.026619,-0.026619,-0.033716,-0.023355,-0.023355,-0.023355,-0.023355,-0.023355,-0.023504,-0.017455,-0.017455,-0.017455,-0.023714,-0.023714,-0.016527,-0.016527,-0.009878,-0.013712,-0.006704,-0.006704,-0.007004,-0.007004,-0.007004,-0.007004,-0.007004,-0.007004,-0.000475,-0.007303,-0.007303,-0.007303,-0.007303,-0.000805,-0.00901,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009998,-0.009938,-0.009938,-0.017096,-0.017096,-0.017096,-0.017096,-0.010148,-0.010148,-0.010148,-0.010148,-0.010148,-0.010148,-0.010148,-0.000625,-0.000625,-0.007273,-0.015718,-0.022276,-0.022276,-0.022276,-0.022276,-0.022276,-0.022276,-0.022276,-0.022276,-0.022276,-0.015808,-0.015808,-0.015808,-0.016107,-0.016107,-0.009699,-0.009699,-0.002721,-0.002721,-0.002721,-0.002721,-0.010807,-0.017665,-0.021348,-0.021378,-0.021378,-0.021378,-0.021378,-0.021378,-0.021378,-0.021378,-0.021378,-0.027697,-0.027697,-0.027697,-0.027697,-0.027697,-0.027697,-0.027697,-0.027697,-0.027697,-0.018683,-0.018683,-0.018683,-0.02596,-0.034315,-0.041442,-0.035094,-0.035094,-0.041203,-0.049498,-0.056146,-0.055697,-0.064412,-0.064412,-0.064412,-0.064412,-0.071449,-0.071449,-0.071449,-0.071449,-0.078576,-0.078576,-0.078576,-0.068874,-0.076181,-0.076181,-0.069113,-0.069113,-0.069113,-0.069113,-0.071359,-0.062016,-0.062016,-0.055428,-0.055428,-0.055428,-0.055428,-0.055428,-0.066897,-0.073036,-0.073036,-0.073036,-0.073036,-0.080852,-0.087471,-0.087471,-0.077948,-0.077948,-0.087111,-0.087111,-0.087111,-0.073036,-0.069023,-0.058243,-0.049708,-0.039765,-0.030093,-0.022097,-0.013861,-0.012813,-0.005117,0.001591,0.001591,0.001591,-0.007363,-0.000475,-0.000475,0.008838,0.016295,0.009138,0.009138,0.009138,0.002999,0.002999,0.002999,-0.00335,-0.00335,-0.00335,-0.00335,-0.00335,1
