@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute target {1,2}

@data
0.154041,0.180302,0.205922,0.230643,0.254343,0.276682,0.297704,0.31743,0.335617,0.35168,0.366852,0.379174,0.391339,0.399964,0.406934,0.411497,0.414015,0.415251,0.415301,0.414443,0.413219,0.411898,0.410748,0.409866,0.409246,0.408864,0.408593,0.408459,0.408384,0.408337,0.408283,0.408233,0.4082,0.40819,0.408242,0.408407,0.40862,0.408846,0.409077,0.409288,0.409487,0.409652,0.409783,0.409921,0.410019,0.410099,0.410187,0.410258,0.410308,0.410364,0.410464,0.410659,0.410887,0.411001,0.410683,0.409566,0.407659,0.404614,0.40075,2
0.306094,0.325212,0.342824,0.359235,0.374181,0.38801,0.400044,0.409444,0.416241,0.420568,0.423355,0.424847,0.425073,0.424212,0.42272,0.420854,0.418851,0.416821,0.414816,0.412875,0.411082,0.409442,0.407886,0.406535,0.405302,0.404201,0.403213,0.402324,0.401515,0.40082,0.400188,0.399619,0.399074,0.398596,0.398129,0.39767,0.397203,0.39671,0.396201,0.395683,0.395159,0.394637,0.39413,0.393614,0.393079,0.39256,0.392077,0.391527,0.390703,0.389248,0.387417,0.384776,0.381475,0.376718,0.370731,0.362728,0.352404,0.339799,0.325384,2
0.242611,0.266353,0.288738,0.309568,0.328666,0.345894,0.361322,0.374769,0.386345,0.396687,0.405431,0.412897,0.41896,0.423916,0.42813,0.431718,0.434788,0.43745,0.439837,0.442155,0.444342,0.446348,0.448091,0.449611,0.451021,0.452465,0.453967,0.455726,0.457736,0.459921,0.462319,0.464868,0.46738,0.46967,0.471635,0.473177,0.474349,0.475112,0.475242,0.474607,0.473592,0.472458,0.471257,0.470115,0.468888,0.467441,0.465771,0.463978,0.462091,0.459984,0.457352,0.453858,0.449498,0.441966,0.431201,0.418795,0.404415,0.38708,0.36705,1
0.330845,0.347535,0.362362,0.375366,0.386596,0.396253,0.404539,0.411448,0.417216,0.421939,0.42599,0.42945,0.432566,0.435458,0.438072,0.440558,0.44294,0.44523,0.447461,0.449581,0.451678,0.453743,0.455819,0.457905,0.459947,0.46198,0.463938,0.465772,0.467393,0.468675,0.469529,0.469839,0.469458,0.468171,0.466158,0.463827,0.461418,0.458951,0.456579,0.454369,0.452319,0.450341,0.44839,0.446375,0.444253,0.441998,0.439314,0.435897,0.431624,0.426524,0.419417,0.410266,0.399592,0.386454,0.371125,0.353742,0.334262,0.31275,0.28918,1
0.387968,0.388593,0.387831,0.386467,0.384997,0.383616,0.382438,0.381442,0.380584,0.379799,0.379089,0.378415,0.377797,0.377302,0.376944,0.37684,0.376957,0.377352,0.377925,0.378532,0.379142,0.379639,0.38001,0.380218,0.380266,0.380161,0.379993,0.379798,0.379586,0.379357,0.379148,0.378922,0.378651,0.378356,0.378108,0.377786,0.377451,0.377089,0.376751,0.37631,0.375859,0.375312,0.374667,0.373929,0.372976,0.37162,0.36954,0.366229,0.360622,0.352611,0.342389,0.329902,0.315733,0.30027,0.283948,0.266584,0.247618,0.226609,0.2034,2
0.388307,0.399051,0.408574,0.416974,0.424014,0.429468,0.43349,0.435873,0.437111,0.437223,0.436434,0.434903,0.432767,0.430343,0.427878,0.425556,0.423417,0.421409,0.419544,0.417861,0.416401,0.415153,0.414117,0.413142,0.412221,0.411363,0.410556,0.409714,0.408823,0.40796,0.407062,0.40622,0.405382,0.404553,0.40376,0.402963,0.40217,0.401353,0.400562,0.399709,0.398895,0.398076,0.39717,0.396282,0.39537,0.394293,0.392495,0.389414,0.384048,0.375913,0.365087,0.351308,0.335368,0.317726,0.298603,0.278322,0.256814,0.234015,0.209874,2
0.202034,0.225211,0.248734,0.272416,0.296228,0.319931,0.343586,0.367156,0.390561,0.413858,0.437048,0.460106,0.483079,0.505934,0.528567,0.551021,0.573367,0.59529,0.616909,0.638214,0.6591,0.679416,0.69916,0.717821,0.73495,0.749568,0.760867,0.767829,0.76974,0.766717,0.758573,0.745888,0.729422,0.709904,0.688252,0.66557,0.642218,0.618439,0.594518,0.570552,0.54687,0.523373,0.500259,0.47723,0.454332,0.431404,0.408429,0.385304,0.362126,0.338809,0.315373,0.291879,0.268344,0.244745,0.221123,0.19744,0.173833,0.15023,0.126613,2
-0.277356,-0.249376,-0.221364,-0.193384,-0.165393,-0.137371,-0.109379,-0.081295,-0.05333,-0.02533,0.002666,0.030698,0.058676,0.08662,0.11462,0.142581,0.17052,0.198487,0.226479,0.254493,0.282522,0.310547,0.338642,0.366637,0.394453,0.421733,0.447836,0.472217,0.494359,0.513756,0.530225,0.543596,0.553863,0.561297,0.566416,0.56958,0.571352,0.572192,0.572513,0.572541,0.572581,0.572604,0.572585,0.5728,0.573081,0.573207,0.573091,0.572819,0.57206,0.57069,0.56843,0.56533,0.560939,0.554917,0.547099,0.53723,0.524992,0.510195,0.492925,2
0.5132,0.533177,0.552296,0.57043,0.587456,0.603074,0.617068,0.629257,0.639515,0.647928,0.654713,0.659808,0.663338,0.665678,0.666938,0.667413,0.667307,0.666917,0.66602,0.664554,0.661907,0.657494,0.650813,0.641639,0.629765,0.615213,0.59825,0.579207,0.55866,0.536783,0.514359,0.49136,0.468135,0.444961,0.421668,0.398468,0.375353,0.352261,0.329196,0.306031,0.282841,0.259637,0.236411,0.213195,0.189974,0.166722,0.143504,0.120392,0.09729,0.074168,0.051083,0.028041,0.005069,-0.017882,-0.040795,-0.063678,-0.086549,-0.109359,-0.132161,2
0.249381,0.274991,0.300519,0.325943,0.351228,0.376153,0.400764,0.424896,0.448331,0.470868,0.492462,0.512867,0.532083,0.550099,0.566908,0.582406,0.596494,0.608908,0.619334,0.627878,0.634344,0.639173,0.642468,0.644733,0.646111,0.646786,0.646642,0.645884,0.644668,0.643173,0.641501,0.639722,0.637995,0.63629,0.634451,0.632111,0.629063,0.624635,0.618386,0.610361,0.600329,0.588526,0.574829,0.559532,0.542576,0.524067,0.503743,0.48172,0.458061,0.432914,0.406536,0.379489,0.352341,0.325301,0.298567,0.271865,0.245141,0.218269,0.191481,1
0.452277,0.470482,0.48699,0.501889,0.515053,0.526351,0.536047,0.543997,0.550484,0.555621,0.559473,0.56233,0.564412,0.565944,0.566917,0.567467,0.567258,0.566617,0.56544,0.564008,0.562641,0.5615,0.560728,0.560255,0.55979,0.559009,0.557962,0.556577,0.55489,0.552774,0.550124,0.546761,0.542092,0.536192,0.529416,0.522132,0.514293,0.505875,0.496398,0.485663,0.473533,0.459782,0.44408,0.426685,0.407626,0.387218,0.365505,0.342704,0.31902,0.294508,0.269269,0.243539,0.217234,0.190921,0.164563,0.138033,0.111422,0.084795,0.058161,1
0.228074,0.253448,0.278869,0.304142,0.329245,0.354094,0.378828,0.403268,0.427224,0.450597,0.473382,0.495236,0.515903,0.535396,0.553464,0.569946,0.584839,0.597961,0.609035,0.618024,0.624779,0.629412,0.632196,0.633663,0.633887,0.633393,0.632354,0.630916,0.629287,0.627673,0.625995,0.624185,0.622245,0.620276,0.618213,0.616118,0.614011,0.611762,0.60892,0.604686,0.59887,0.590882,0.580486,0.567525,0.551806,0.533433,0.513036,0.491098,0.468036,0.444332,0.420004,0.395175,0.369995,0.344672,0.319181,0.293729,0.268435,0.243227,0.218021,1
-0.01226,0.01162,0.036259,0.061715,0.087979,0.114719,0.141709,0.168578,0.194844,0.220776,0.246722,0.272785,0.298925,0.325128,0.351256,0.377282,0.403072,0.428635,0.453991,0.479236,0.504086,0.527974,0.55051,0.571218,0.589737,0.60614,0.620506,0.633181,0.644287,0.65396,0.662155,0.66893,0.674469,0.678438,0.680848,0.681742,0.681521,0.68044,0.678654,0.676203,0.673346,0.670129,0.666372,0.66144,0.655061,0.647032,0.637084,0.625287,0.611729,0.596647,0.580176,0.562577,0.543814,0.524097,0.50348,0.482194,0.460282,0.437913,0.414959,1
0.257441,0.283039,0.308733,0.33428,0.359575,0.384515,0.408877,0.432667,0.455787,0.478108,0.499469,0.519516,0.538158,0.555548,0.571474,0.586288,0.599594,0.611358,0.621638,0.630286,0.637029,0.642086,0.645034,0.646125,0.645993,0.644908,0.643418,0.641883,0.64023,0.63842,0.636478,0.634435,0.632242,0.629753,0.626716,0.623503,0.619849,0.614992,0.608285,0.599528,0.589098,0.576601,0.561607,0.545197,0.527649,0.508939,0.488906,0.467453,0.444676,0.420351,0.394995,0.368154,0.340403,0.312667,0.285003,0.257941,0.231783,0.206482,0.181694,1
0.293883,0.312128,0.329116,0.344745,0.358835,0.371088,0.382969,0.392723,0.399456,0.403822,0.406521,0.407728,0.407326,0.40566,0.40314,0.400029,0.396779,0.393574,0.390615,0.38793,0.385431,0.38307,0.380923,0.378974,0.377276,0.375838,0.374625,0.373606,0.372818,0.372169,0.371635,0.371211,0.370884,0.370712,0.370632,0.370605,0.370723,0.370914,0.371174,0.371463,0.3718,0.372096,0.372285,0.372363,0.372265,0.371998,0.371549,0.370958,0.370274,0.369536,0.368633,0.367553,0.366105,0.364178,0.361395,0.357826,0.353634,0.346196,0.336821,2
0.213908,0.239874,0.265727,0.291505,0.317283,0.342837,0.368207,0.393236,0.41789,0.441948,0.465231,0.487503,0.50851,0.528222,0.546259,0.562641,0.576999,0.589294,0.599262,0.606982,0.612443,0.615988,0.618322,0.619704,0.620296,0.62052,0.620373,0.619957,0.619369,0.618725,0.618067,0.617347,0.616557,0.61557,0.614427,0.613114,0.611745,0.610074,0.607824,0.604437,0.599532,0.592959,0.584271,0.573284,0.560264,0.545274,0.528165,0.509107,0.488569,0.466593,0.443657,0.419991,0.395794,0.371097,0.346012,0.320626,0.295204,0.269801,0.2443,1
0.235707,0.260353,0.283769,0.305684,0.326153,0.345214,0.362949,0.379391,0.394594,0.40846,0.420953,0.431615,0.440496,0.44761,0.452984,0.45675,0.459072,0.46018,0.460539,0.460627,0.460745,0.461029,0.4616,0.46233,0.463084,0.463822,0.464493,0.465112,0.465752,0.466454,0.467272,0.468249,0.469261,0.470293,0.471264,0.472169,0.472995,0.47376,0.474502,0.475236,0.475961,0.476626,0.477277,0.477922,0.478541,0.478934,0.478888,0.478088,0.476019,0.472017,0.465696,0.456049,0.443937,0.430812,0.416625,0.401347,0.385127,0.367837,0.349209,2
0.277516,0.298872,0.31842,0.336161,0.352338,0.367063,0.380044,0.392693,0.402509,0.411976,0.418666,0.422155,0.424141,0.424438,0.423072,0.420452,0.41718,0.413669,0.410152,0.4067,0.403342,0.400225,0.39736,0.394828,0.39268,0.390888,0.389438,0.38827,0.3874,0.386783,0.386411,0.386263,0.386346,0.386603,0.386975,0.387406,0.387832,0.388269,0.38873,0.389173,0.389654,0.390222,0.390872,0.391605,0.392369,0.393158,0.39393,0.394507,0.39465,0.394316,0.393429,0.391787,0.389719,0.386488,0.382017,0.373751,0.364178,0.35359,0.341842,2
0.259391,0.284707,0.309932,0.335054,0.360145,0.385133,0.409606,0.433459,0.456182,0.47759,0.497489,0.515799,0.532595,0.547974,0.561352,0.573402,0.583701,0.592524,0.599386,0.604366,0.607833,0.610031,0.611166,0.611923,0.612511,0.612889,0.612801,0.612512,0.612009,0.611391,0.610647,0.609879,0.608966,0.608036,0.606969,0.605631,0.603605,0.600692,0.596375,0.590234,0.58193,0.571541,0.558642,0.543588,0.526454,0.507557,0.487592,0.466641,0.444937,0.422376,0.39908,0.375162,0.350562,0.325829,0.300963,0.276152,0.251214,0.226257,0.201226,1
0.444278,0.466725,0.489037,0.511063,0.532429,0.553232,0.573196,0.592244,0.610227,0.6269,0.642168,0.655955,0.668126,0.67866,0.687616,0.695016,0.700906,0.705336,0.708431,0.710173,0.710258,0.708187,0.703661,0.696383,0.686479,0.673809,0.658674,0.641233,0.621814,0.601088,0.579423,0.557045,0.534164,0.511033,0.487663,0.464242,0.4409,0.417395,0.393941,0.370508,0.347064,0.323543,0.30001,0.276426,0.252816,0.229188,0.205539,0.181876,0.158254,0.134566,0.110967,0.087384,0.063811,0.040271,0.016992,-0.006344,-0.029724,-0.053107,-0.076447,2
