@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute target {1,2,3,4,5,6}

@data
0.638736,0.627479,0.615002,0.598912,0.578338,0.55198,0.520368,0.4839,0.443371,0.399196,0.350367,0.299659,0.248893,0.197391,0.146089,0.096728,0.051642,0.012181,-0.02341,-0.053624,-0.078341,-0.097999,-0.112801,-0.124962,-0.136592,-0.149654,-0.165673,-0.185261,-0.208885,-0.237052,-0.269898,6
0.655547,0.642055,0.628919,0.612666,0.591721,0.565767,0.534664,0.498672,0.457406,0.411682,0.361786,0.311989,0.262911,0.213303,0.16193,0.108417,0.057123,0.009648,-0.032743,-0.070781,-0.10396,-0.132424,-0.155016,-0.172452,-0.186894,-0.200476,-0.214709,-0.231547,-0.251873,-0.276401,-0.30529,6
0.663877,0.650122,0.635247,0.616792,0.593875,0.566692,0.534233,0.497355,0.457091,0.41303,0.364584,0.31655,0.268413,0.219643,0.169174,0.118627,0.071642,0.028477,-0.010111,-0.044107,-0.074143,-0.099295,-0.119544,-0.135713,-0.149336,-0.164516,-0.182394,-0.203719,-0.229477,-0.259114,-0.293634,6
0.656522,0.642252,0.628614,0.612613,0.592204,0.566347,0.535453,0.499637,0.458199,0.412945,0.363088,0.312909,0.263063,0.214049,0.163627,0.11145,0.06185,0.016836,-0.02368,-0.059496,-0.091228,-0.11734,-0.138144,-0.155445,-0.169668,-0.182894,-0.197908,-0.215844,-0.237593,-0.263877,-0.29482,6
0.646279,0.633994,0.620493,0.603283,0.581411,0.554601,0.523155,0.48686,0.446238,0.401224,0.351506,0.300943,0.251254,0.200526,0.148626,0.097588,0.049871,0.005888,-0.032614,-0.06641,-0.096014,-0.121119,-0.14089,-0.156427,-0.167947,-0.179433,-0.193017,-0.209955,-0.230922,-0.25649,-0.286886,6
0.659993,0.646366,0.631781,0.614092,0.592041,0.565094,0.533251,0.496112,0.454387,0.407015,0.35647,0.306896,0.258578,0.209238,0.157706,0.106498,0.058642,0.01512,-0.022644,-0.055959,-0.084661,-0.107946,-0.126199,-0.141382,-0.155821,-0.171113,-0.188865,-0.209736,-0.234269,-0.262881,-0.296328,6
0.647075,0.635163,0.622291,0.606124,0.585268,0.559182,0.528378,0.492672,0.452189,0.407993,0.359104,0.309631,0.25906,0.208436,0.157203,0.107113,0.059847,0.017373,-0.019431,-0.0513,-0.078312,-0.100375,-0.11844,-0.131936,-0.144192,-0.157274,-0.17311,-0.192608,-0.216555,-0.245002,-0.278133,6
0.660957,0.647146,0.632385,0.615294,0.593568,0.566747,0.535031,0.498539,0.45827,0.41357,0.363899,0.313778,0.265017,0.216169,0.165563,0.115535,0.068236,0.025213,-0.013562,-0.04799,-0.077956,-0.102407,-0.12126,-0.136752,-0.15032,-0.165103,-0.181717,-0.201674,-0.225644,-0.254015,-0.286979,6
0.641097,0.629676,0.61772,0.602765,0.583508,0.559133,0.529531,0.494537,0.454234,0.409763,0.361047,0.31035,0.260514,0.210161,0.158816,0.107128,0.05911,0.015333,-0.023244,-0.057342,-0.086082,-0.109628,-0.128732,-0.144489,-0.156633,-0.167732,-0.18188,-0.199209,-0.221326,-0.248304,-0.280154,6
0.654852,0.641822,0.628601,0.612067,0.590936,0.564516,0.532322,0.495037,0.4538,0.409008,0.358797,0.309154,0.259843,0.209212,0.157422,0.106922,0.060054,0.018015,-0.020087,-0.053519,-0.081712,-0.105073,-0.124201,-0.139133,-0.152316,-0.16584,-0.181825,-0.201416,-0.225347,-0.253959,-0.287469,6
