@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute target {1,2}

@data
0.553086,0.556103,0.55885,0.561068,0.562724,0.563427,0.563034,0.561698,0.559945,0.558037,0.555787,0.553203,0.550553,0.54784,0.544973,0.541737,0.538135,0.534424,0.53026,0.525723,0.520993,0.515753,0.509773,0.503269,0.496174,0.488428,0.480579,0.472683,0.464012,0.45366,0.441403,0.427256,0.412014,0.395968,0.37865,0.359581,0.339219,0.318475,0.297755,0.276987,0.255989,0.234102,0.210635,0.185778,0.160133,0.13443,0.108566,0.081983,0.054711,0.027834,0.003737,-0.01724,-0.036231,-0.054989,-0.074365,-0.093444,-0.110843,-0.126181,-0.139713,-0.15154,-0.161956,-0.171405,-0.179974,-0.187705,-0.195064,-0.202458,-0.209438,-0.215613,-0.220575,-0.224338,-0.226927,-0.228418,-0.229495,-0.230909,-0.233228,-0.236555,-0.240742,-0.246049,-0.252705,-0.260968,-0.270604,-0.281629,-0.29398,-0.307447,-0.321987,-0.337341,-0.353192,-0.369329,-0.385419,-0.401313,-0.416894,-0.432005,-0.446654,2
0.523886,0.52604,0.528124,0.529831,0.530741,0.530481,0.529058,0.526814,0.524136,0.521273,0.518251,0.515103,0.511847,0.508522,0.505082,0.501481,0.49743,0.492445,0.486289,0.479512,0.472536,0.464785,0.456052,0.447014,0.437842,0.428222,0.418228,0.407971,0.397216,0.385572,0.372517,0.358082,0.342777,0.326625,0.308986,0.289338,0.267971,0.245665,0.222725,0.198791,0.173177,0.145125,0.114503,0.082272,0.049998,0.019192,-0.009457,-0.03679,-0.063913,-0.090241,-0.114304,-0.135539,-0.154777,-0.173559,-0.192458,-0.210658,-0.227087,-0.24151,-0.254351,-0.266203,-0.277529,-0.288498,-0.299223,-0.309826,-0.320382,-0.330922,-0.341398,-0.351734,-0.36168,-0.370828,-0.378815,-0.385688,-0.391809,-0.397559,-0.403199,-0.408808,-0.414326,-0.419655,-0.424743,-0.429646,-0.434434,-0.43918,-0.443991,-0.448942,-0.4541,-0.459552,-0.465346,-0.471465,-0.477864,-0.484447,-0.491158,-0.49798,-0.50487,2
0.544813,0.548339,0.551285,0.553468,0.55476,0.554703,0.55324,0.550426,0.546832,0.543104,0.539415,0.535785,0.532331,0.529077,0.526056,0.523195,0.520331,0.517326,0.513698,0.509372,0.504378,0.498354,0.490843,0.481626,0.470364,0.457173,0.443058,0.42863,0.414038,0.399284,0.384061,0.367776,0.350841,0.333635,0.315797,0.296778,0.276773,0.256256,0.23528,0.213442,0.190206,0.165354,0.139278,0.112837,0.086812,0.061697,0.03757,0.014057,-0.008905,-0.030458,-0.049306,-0.065622,-0.081021,-0.097018,-0.113852,-0.130732,-0.146812,-0.161642,-0.175197,-0.187775,-0.199653,-0.211091,-0.222185,-0.232844,-0.242853,-0.251961,-0.259759,-0.266164,-0.271192,-0.274979,-0.277516,-0.278904,-0.279839,-0.281019,-0.283026,-0.286127,-0.290249,-0.295549,-0.302024,-0.309801,-0.318772,-0.328944,-0.340208,-0.35234,-0.365231,-0.378683,-0.39248,-0.406497,-0.420519,-0.434411,-0.448037,-0.46129,-0.474178,2
0.551941,0.554394,0.556531,0.558005,0.558638,0.558048,0.556284,0.553644,0.550465,0.54701,0.543316,0.539384,0.535288,0.531107,0.526798,0.522362,0.517608,0.512272,0.506082,0.499263,0.492035,0.484064,0.47516,0.46557,0.455254,0.444173,0.432754,0.421212,0.409142,0.395972,0.381206,0.364693,0.347097,0.328716,0.309142,0.28789,0.265356,0.242366,0.219348,0.196188,0.172327,0.147218,0.120768,0.093595,0.066696,0.040526,0.015239,-0.009628,-0.034276,-0.057337,-0.077845,-0.095794,-0.112479,-0.129259,-0.146774,-0.164435,-0.180915,-0.195698,-0.208884,-0.220828,-0.231797,-0.24191,-0.251032,-0.259375,-0.266999,-0.273849,-0.279711,-0.284504,-0.287986,-0.290132,-0.290905,-0.290581,-0.289973,-0.289774,-0.2905,-0.292456,-0.29558,-0.300021,-0.305772,-0.312993,-0.321564,-0.331421,-0.342502,-0.354636,-0.367679,-0.381488,-0.395806,-0.410354,-0.424894,-0.439219,-0.453177,-0.466695,-0.479728,2
0.560719,0.563329,0.565382,0.566656,0.567099,0.566328,0.564271,0.560997,0.557065,0.552862,0.548418,0.543768,0.539005,0.534195,0.52938,0.524469,0.519279,0.513758,0.507518,0.500668,0.49341,0.485452,0.476459,0.466543,0.455475,0.443242,0.430564,0.417705,0.404365,0.390075,0.374457,0.35726,0.338985,0.31995,0.299668,0.277774,0.25464,0.23096,0.207108,0.18293,0.157949,0.131768,0.104447,0.076659,0.049336,0.023047,-0.002097,-0.026712,-0.051086,-0.074015,-0.094265,-0.111961,-0.128415,-0.145126,-0.162508,-0.179859,-0.196184,-0.210985,-0.224244,-0.236362,-0.247585,-0.258055,-0.267653,-0.276392,-0.284262,-0.291236,-0.296974,-0.301405,-0.304354,-0.305913,-0.30615,-0.305158,-0.303715,-0.302591,-0.302342,-0.303142,-0.304935,-0.30802,-0.312631,-0.319126,-0.327337,-0.337186,-0.348513,-0.361017,-0.374567,-0.388926,-0.403783,-0.418913,-0.434001,-0.44887,-0.463377,-0.477376,-0.490815,2
0.546742,0.548925,0.55083,0.552145,0.552701,0.552092,0.550336,0.547721,0.544579,0.541179,0.537583,0.5338,0.529909,0.525986,0.521982,0.517853,0.51343,0.508497,0.502745,0.496355,0.489526,0.481888,0.473175,0.463519,0.452823,0.441149,0.429029,0.416759,0.40401,0.390256,0.374972,0.357985,0.339853,0.320809,0.300324,0.27795,0.254196,0.229927,0.205669,0.181335,0.156354,0.130116,0.10255,0.074363,0.046425,0.01932,-0.006717,-0.032351,-0.057899,-0.081888,-0.103012,-0.12132,-0.138176,-0.155059,-0.172577,-0.190112,-0.206533,-0.221422,-0.234843,-0.247095,-0.258529,-0.269283,-0.279292,-0.288702,-0.29754,-0.305787,-0.313298,-0.319987,-0.32561,-0.33003,-0.333144,-0.335154,-0.336713,-0.33841,-0.340639,-0.343593,-0.347249,-0.351721,-0.357038,-0.363347,-0.370562,-0.378636,-0.387542,-0.397166,-0.40743,-0.418238,-0.429425,-0.440851,-0.45235,-0.463752,-0.474951,-0.485885,-0.496518,2
0.551155,0.554258,0.557042,0.55913,0.560286,0.560185,0.558956,0.55677,0.55392,0.550758,0.547341,0.54375,0.539999,0.536156,0.532216,0.528155,0.523841,0.518968,0.513252,0.506917,0.500186,0.492708,0.484268,0.475138,0.465276,0.454627,0.443574,0.43233,0.420563,0.407716,0.393196,0.376882,0.359424,0.34104,0.3212,0.299531,0.27653,0.253038,0.229571,0.206037,0.181857,0.156417,0.129626,0.102081,0.074583,0.047924,0.02231,-0.002773,-0.027608,-0.051178,-0.072242,-0.090683,-0.107654,-0.124655,-0.142435,-0.160229,-0.176767,-0.191604,-0.204833,-0.216837,-0.227903,-0.23813,-0.247419,-0.255976,-0.263816,-0.270867,-0.276926,-0.28191,-0.285577,-0.287851,-0.288713,-0.288482,-0.287913,-0.287693,-0.288368,-0.290284,-0.293391,-0.297821,-0.303576,-0.310843,-0.319459,-0.329337,-0.340416,-0.352495,-0.36544,-0.379121,-0.393295,-0.407723,-0.422147,-0.436344,-0.450177,-0.463575,-0.476485,2
0.524899,0.528039,0.530592,0.532362,0.533234,0.532849,0.531353,0.529075,0.526292,0.523155,0.519706,0.516012,0.512054,0.507945,0.503734,0.499391,0.494809,0.489697,0.483832,0.477436,0.470709,0.463399,0.455408,0.447094,0.4385,0.429443,0.420155,0.410821,0.400922,0.389786,0.376938,0.362374,0.346851,0.330622,0.313307,0.294505,0.27464,0.254544,0.234717,0.214992,0.194799,0.173567,0.151191,0.128176,0.105432,0.083379,0.062191,0.041212,0.020072,0.000091,-0.017691,-0.03299,-0.047186,-0.061616,-0.076974,-0.092695,-0.10733,-0.120237,-0.131338,-0.141033,-0.149575,-0.157028,-0.16308,-0.16802,-0.171916,-0.174604,-0.175806,-0.175537,-0.173498,-0.16979,-0.164592,-0.158452,-0.152503,-0.147711,-0.144794,-0.144218,-0.145892,-0.150076,-0.156676,-0.165908,-0.177485,-0.191251,-0.20709,-0.22466,-0.243651,-0.263793,-0.284624,-0.305702,-0.326606,-0.34696,-0.366561,-0.385329,-0.403186,2
0.556083,0.558821,0.561148,0.562695,0.563294,0.562555,0.560476,0.557266,0.553245,0.548839,0.544229,0.5395,0.534652,0.529797,0.524948,0.520111,0.515171,0.509845,0.503864,0.497319,0.490265,0.482326,0.47322,0.462979,0.451424,0.438564,0.424987,0.411127,0.396937,0.382131,0.366147,0.348702,0.330217,0.310971,0.290495,0.268354,0.244932,0.220912,0.196652,0.171989,0.146437,0.119666,0.091904,0.063921,0.036518,0.010225,-0.014803,-0.039066,-0.062765,-0.084837,-0.104254,-0.12125,-0.136995,-0.152883,-0.169616,-0.186482,-0.202379,-0.216907,-0.230055,-0.242169,-0.253439,-0.263917,-0.273587,-0.282548,-0.290586,-0.297481,-0.302942,-0.307012,-0.309631,-0.310838,-0.310633,-0.30931,-0.307636,-0.306282,-0.305815,-0.306589,-0.308558,-0.311909,-0.316747,-0.323382,-0.331699,-0.34158,-0.352883,-0.36532,-0.378702,-0.39287,-0.407528,-0.422423,-0.437283,-0.451857,-0.466,-0.479657,-0.492758,2
0.539962,0.54184,0.543531,0.544729,0.545267,0.544663,0.542946,0.540377,0.537284,0.533927,0.530368,0.526641,0.522776,0.518851,0.51482,0.510652,0.506191,0.501212,0.49547,0.489159,0.482431,0.474888,0.466267,0.456759,0.446259,0.434705,0.422676,0.410534,0.397913,0.384265,0.36905,0.35212,0.334002,0.314836,0.2941,0.27139,0.247212,0.222515,0.197813,0.173083,0.14785,0.121393,0.093527,0.064991,0.036745,0.00925,-0.017253,-0.04325,-0.069101,-0.093417,-0.114892,-0.133438,-0.150406,-0.167365,-0.184885,-0.202329,-0.218636,-0.23336,-0.246626,-0.258813,-0.270218,-0.280924,-0.290872,-0.300312,-0.309353,-0.317996,-0.326134,-0.333647,-0.340237,-0.345687,-0.349871,-0.352976,-0.355572,-0.358178,-0.36116,-0.364731,-0.368851,-0.373582,-0.378917,-0.384925,-0.391558,-0.398789,-0.40661,-0.414988,-0.423864,-0.433195,-0.442888,-0.452803,-0.462813,-0.472769,-0.482586,-0.492235,-0.501675,2
0.550123,0.55326,0.556016,0.55803,0.55913,0.559032,0.557814,0.555732,0.553104,0.550194,0.546963,0.543478,0.53978,0.53597,0.53203,0.527954,0.523578,0.518551,0.5127,0.506285,0.499503,0.49201,0.483656,0.474813,0.46549,0.455517,0.445246,0.434891,0.423983,0.411828,0.397706,0.381593,0.364236,0.345899,0.326106,0.30445,0.281455,0.25814,0.235038,0.212021,0.188576,0.164038,0.138097,0.11129,0.084617,0.05879,0.033924,0.009352,-0.015261,-0.038799,-0.059798,-0.077909,-0.094402,-0.11105,-0.128466,-0.145859,-0.162068,-0.176547,-0.189366,-0.200946,-0.211531,-0.221181,-0.229729,-0.237399,-0.244262,-0.250316,-0.25544,-0.259509,-0.262214,-0.263469,-0.263265,-0.261987,-0.260473,-0.259439,-0.259468,-0.26096,-0.26384,-0.268289,-0.274304,-0.282086,-0.291452,-0.302268,-0.314453,-0.327813,-0.342195,-0.357424,-0.373178,-0.389161,-0.405088,-0.420713,-0.435869,-0.450482,-0.464472,2
0.553034,0.555791,0.558177,0.559821,0.56053,0.560047,0.558536,0.556273,0.553509,0.550448,0.547089,0.543455,0.539598,0.535605,0.531505,0.527284,0.522759,0.517651,0.511712,0.505199,0.498374,0.490896,0.482594,0.473829,0.464593,0.454777,0.444721,0.434592,0.423934,0.411994,0.398116,0.382344,0.365441,0.347632,0.328464,0.307591,0.285528,0.263115,0.240834,0.21853,0.195628,0.171573,0.146119,0.119751,0.0935,0.068141,0.043606,0.019156,-0.005258,-0.028676,-0.049574,-0.067785,-0.084664,-0.101534,-0.118908,-0.136142,-0.151994,-0.16597,-0.178264,-0.189281,-0.199196,-0.208114,-0.215767,-0.222357,-0.22804,-0.232834,-0.236482,-0.238838,-0.239643,-0.238966,-0.236886,-0.233797,-0.230638,-0.228249,-0.227287,-0.228197,-0.230895,-0.235548,-0.242063,-0.250545,-0.260749,-0.272582,-0.285982,-0.300749,-0.316706,-0.333603,-0.351045,-0.368716,-0.38625,-0.403376,-0.419963,-0.435887,-0.451084,2
0.551304,0.553527,0.555382,0.556544,0.556825,0.555902,0.553859,0.550845,0.547169,0.543246,0.539202,0.535075,0.530845,0.526624,0.522398,0.518136,0.513644,0.508639,0.502895,0.496535,0.489595,0.481627,0.472076,0.460481,0.447136,0.433346,0.419539,0.405792,0.391797,0.377164,0.361259,0.343772,0.325132,0.305594,0.284671,0.261921,0.237808,0.213149,0.18828,0.163086,0.137088,0.109787,0.081238,0.052289,0.023892,-0.003471,-0.029748,-0.055447,-0.08081,-0.104747,-0.125824,-0.144078,-0.160835,-0.177719,-0.195174,-0.212543,-0.228894,-0.243806,-0.257426,-0.270069,-0.281959,-0.293259,-0.303923,-0.31401,-0.323533,-0.332408,-0.340398,-0.347434,-0.353397,-0.35819,-0.361715,-0.364148,-0.366044,-0.367919,-0.370182,-0.373049,-0.376486,-0.380588,-0.385434,-0.391171,-0.397738,-0.405088,-0.413163,-0.421851,-0.431086,-0.440792,-0.450832,-0.461096,-0.471441,-0.481731,-0.49186,-0.501771,-0.511436,2
0.556654,0.558774,0.560445,0.561421,0.561533,0.560429,0.558218,0.555169,0.551521,0.547593,0.543517,0.539289,0.534903,0.530432,0.525896,0.521349,0.516611,0.51136,0.505312,0.498661,0.491617,0.48377,0.47485,0.465076,0.454347,0.442588,0.430306,0.417851,0.404983,0.391201,0.375875,0.358841,0.340751,0.321845,0.301617,0.27964,0.256391,0.232686,0.208876,0.184823,0.160024,0.133943,0.106595,0.078702,0.051251,0.024771,-0.000737,-0.02581,-0.050556,-0.073798,-0.094219,-0.111912,-0.128295,-0.144693,-0.161524,-0.178335,-0.194005,-0.208063,-0.22061,-0.232015,-0.242511,-0.252178,-0.260828,-0.268603,-0.275508,-0.281448,-0.286193,-0.289701,-0.291819,-0.292539,-0.291875,-0.290172,-0.288252,-0.286879,-0.286657,-0.28803,-0.290939,-0.295522,-0.301667,-0.309408,-0.318538,-0.328963,-0.340653,-0.353455,-0.367207,-0.381743,-0.396771,-0.412027,-0.427223,-0.442116,-0.456586,-0.470543,-0.483931,2
0.562143,0.564405,0.566135,0.566984,0.566949,0.565744,0.563379,0.559997,0.555982,0.551704,0.547238,0.542597,0.537886,0.53319,0.528472,0.523743,0.518774,0.513375,0.507255,0.500485,0.493211,0.485096,0.475474,0.46375,0.450325,0.436793,0.423507,0.41031,0.396781,0.382467,0.36685,0.349668,0.331327,0.312144,0.291681,0.269521,0.246076,0.222091,0.197875,0.173252,0.147747,0.120893,0.0928,0.064285,0.036236,0.009339,-0.016324,-0.041386,-0.066065,-0.089383,-0.109967,-0.127781,-0.144113,-0.160582,-0.177739,-0.19481,-0.210815,-0.225383,-0.238559,-0.250687,-0.261972,-0.272583,-0.282384,-0.291403,-0.29965,-0.30703,-0.313211,-0.318135,-0.321679,-0.323877,-0.324747,-0.324449,-0.323697,-0.323209,-0.323542,-0.324947,-0.327364,-0.330995,-0.335958,-0.342482,-0.350403,-0.359656,-0.370132,-0.38164,-0.394073,-0.407221,-0.420805,-0.434656,-0.448521,-0.462206,-0.475565,-0.488472,-0.500888,2
0.553403,0.556075,0.558289,0.559834,0.560473,0.55982,0.558014,0.555302,0.551975,0.548284,0.544333,0.540185,0.535859,0.531407,0.526806,0.522062,0.517074,0.511583,0.505293,0.498368,0.490997,0.482879,0.473861,0.464145,0.453643,0.442313,0.430581,0.418721,0.40635,0.392943,0.377991,0.361329,0.343575,0.325074,0.305423,0.284155,0.26174,0.238957,0.216159,0.193185,0.169537,0.144753,0.118772,0.092191,0.066014,0.0407,0.01628,-0.007802,-0.031767,-0.05426,-0.074219,-0.091691,-0.107881,-0.124247,-0.141467,-0.158927,-0.175365,-0.190169,-0.203273,-0.215026,-0.225715,-0.235456,-0.244099,-0.251847,-0.258698,-0.264529,-0.269083,-0.272359,-0.274135,-0.274427,-0.27329,-0.271069,-0.268647,-0.266811,-0.266111,-0.266883,-0.269067,-0.272868,-0.278323,-0.285659,-0.294712,-0.305382,-0.317562,-0.331009,-0.345534,-0.360954,-0.376949,-0.393191,-0.409386,-0.425299,-0.440753,-0.455644,-0.469935,2
0.521844,0.526615,0.53044,0.533137,0.53516,0.536053,0.535618,0.533996,0.531922,0.529824,0.527558,0.525073,0.522679,0.520326,0.518134,0.515898,0.513343,0.510855,0.507815,0.504077,0.499869,0.495232,0.489748,0.483341,0.475789,0.467156,0.458486,0.449685,0.440292,0.429847,0.418447,0.405643,0.392155,0.378452,0.364321,0.34946,0.333982,0.318296,0.302545,0.286472,0.269503,0.251177,0.231548,0.211276,0.190805,0.170338,0.150072,0.12974,0.109407,0.089724,0.072506,0.057624,0.043288,0.02807,0.012114,-0.003643,-0.018357,-0.031407,-0.042756,-0.052615,-0.061264,-0.06916,-0.07621,-0.082206,-0.087381,-0.091937,-0.095037,-0.096435,-0.095903,-0.093849,-0.090566,-0.086004,-0.081287,-0.077661,-0.076136,-0.077018,-0.080058,-0.085715,-0.094011,-0.105057,-0.118384,-0.134036,-0.151857,-0.171503,-0.192812,-0.215249,-0.238248,-0.261513,-0.284556,-0.307135,-0.328993,-0.349891,-0.36988,2
0.56331,0.565358,0.566994,0.567971,0.568302,0.567487,0.565504,0.56255,0.559168,0.555684,0.551982,0.548073,0.544221,0.540404,0.536602,0.532704,0.528496,0.524008,0.518764,0.51285,0.506494,0.499387,0.491145,0.481815,0.471169,0.45929,0.446986,0.434519,0.421513,0.407553,0.392443,0.37572,0.357871,0.339172,0.319319,0.297947,0.275274,0.252049,0.228659,0.204886,0.180193,0.154104,0.126694,0.098613,0.070499,0.0431,0.016431,-0.010044,-0.036253,-0.06136,-0.083671,-0.103122,-0.121086,-0.139142,-0.157482,-0.175398,-0.191999,-0.207157,-0.221039,-0.233613,-0.245272,-0.256331,-0.266565,-0.275965,-0.284833,-0.293289,-0.300793,-0.307229,-0.312419,-0.316522,-0.319505,-0.321204,-0.322372,-0.32378,-0.325996,-0.32907,-0.332935,-0.337831,-0.343792,-0.350823,-0.358757,-0.367705,-0.377593,-0.388326,-0.399854,-0.411883,-0.424255,-0.436862,-0.449466,-0.462003,-0.474309,-0.486254,-0.497832,2
