@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute target {1,2}

@data
-0.065588,-0.080569,-0.094263,-0.106919,-0.119146,-0.131046,-0.142574,-0.153585,-0.164008,-0.173785,-0.182863,-0.191331,-0.199337,-0.206938,-0.214099,-0.220798,-0.226995,-0.232724,-0.238025,-0.242902,-0.247399,-0.251552,-0.255348,-0.25879,-0.261913,-0.264735,-0.267243,-0.269424,-0.271226,-0.272652,-0.273724,-0.27447,-0.275153,-0.275791,-0.276703,-0.278119,-0.28091,-0.286218,-0.29462,-0.303382,-0.307343,-0.304957,-0.297637,-0.28684,-0.273647,-0.258646,-0.242098,-0.224769,-0.206772,-0.188483,-0.169514,-0.148918,-0.127065,-0.105203,-0.083676,-0.06309,-0.043043,-0.024284,-0.006929,0.008869,0.023051,0.035694,0.046871,0.056198,0.064239,0.071001,0.076239,0.079929,0.082433,0.083808,0.084251,0.083648,0.082028,0.07969,0.076609,0.072848,0.068296,0.063154,0.057397,0.051117,0.044287,0.037031,0.029388,0.021386,0.01307,0.004467,-0.004441,-0.013589,-0.022967,-0.032549,-0.042296,-0.052226,-0.062324,1
-0.06647,-0.081356,-0.09495,-0.107514,-0.119654,-0.131471,-0.142924,-0.153883,-0.164265,-0.174015,-0.183078,-0.191527,-0.199506,-0.207102,-0.214261,-0.220955,-0.227154,-0.23289,-0.238192,-0.243067,-0.24755,-0.251669,-0.255427,-0.258812,-0.261833,-0.264519,-0.266852,-0.268849,-0.27046,-0.271679,-0.272534,-0.273076,-0.273561,-0.274004,-0.274751,-0.276043,-0.278755,-0.284064,-0.292557,-0.301467,-0.305554,-0.303216,-0.29589,-0.285091,-0.271902,-0.256926,-0.24047,-0.223249,-0.205366,-0.18722,-0.168399,-0.147933,-0.126136,-0.104295,-0.082814,-0.062249,-0.042194,-0.023435,-0.006098,0.009682,0.02385,0.036471,0.047628,0.056928,0.064923,0.071629,0.076807,0.080435,0.082875,0.084196,0.084598,0.083973,0.082343,0.080004,0.076932,0.073196,0.068688,0.063599,0.057907,0.051699,0.044945,0.037763,0.030193,0.022258,0.014005,0.005464,-0.00338,-0.012466,-0.021785,-0.031305,-0.040995,-0.050866,-0.060903,1
-0.064817,-0.079665,-0.093222,-0.105737,-0.117837,-0.129627,-0.14105,-0.151989,-0.16237,-0.172108,-0.181149,-0.189586,-0.197564,-0.205151,-0.212303,-0.218989,-0.225177,-0.230897,-0.236203,-0.241086,-0.245576,-0.249699,-0.253451,-0.256829,-0.259849,-0.262537,-0.264886,-0.266906,-0.268539,-0.269802,-0.270709,-0.271288,-0.271818,-0.272333,-0.273154,-0.274528,-0.277341,-0.282768,-0.291413,-0.300489,-0.304708,-0.302467,-0.295222,-0.284493,-0.271368,-0.256452,-0.240054,-0.222904,-0.205119,-0.187087,-0.168391,-0.148033,-0.126329,-0.104561,-0.083139,-0.06264,-0.042627,-0.023892,-0.006573,0.009183,0.023321,0.035933,0.047083,0.056361,0.064338,0.071031,0.076189,0.079787,0.082194,0.083485,0.083862,0.083217,0.081571,0.079219,0.076135,0.072382,0.067857,0.062756,0.057048,0.050823,0.04405,0.036847,0.02926,0.021305,0.013037,0.004488,-0.004368,-0.013464,-0.022796,-0.032333,-0.042042,-0.05193,-0.061994,1
-0.078402,-0.09332,-0.106971,-0.119589,-0.131752,-0.143563,-0.154985,-0.165887,-0.17621,-0.185909,-0.194927,-0.203331,-0.211257,-0.218774,-0.225829,-0.232415,-0.238508,-0.244125,-0.249318,-0.254078,-0.258441,-0.262443,-0.266066,-0.269305,-0.272174,-0.274698,-0.276854,-0.27865,-0.280037,-0.281021,-0.281604,-0.281813,-0.281927,-0.281943,-0.282177,-0.282829,-0.28471,-0.2889,-0.29598,-0.30344,-0.30635,-0.303168,-0.29523,-0.283919,-0.270258,-0.254799,-0.237789,-0.219946,-0.201383,-0.182527,-0.163024,-0.141986,-0.119744,-0.097572,-0.075834,-0.0551,-0.034913,-0.016038,0.001384,0.01722,0.031419,0.044075,0.055279,0.064604,0.072618,0.079354,0.084556,0.088195,0.090639,0.091956,0.092349,0.091713,0.090066,0.087707,0.08462,0.080883,0.076377,0.071298,0.065627,0.059455,0.052742,0.045608,0.038094,0.030216,0.02203,0.01356,0.004782,-0.004233,-0.01347,-0.022906,-0.032504,-0.042275,-0.052206,1
-0.078894,-0.093836,-0.107513,-0.120161,-0.13236,-0.144192,-0.155625,-0.166542,-0.176886,-0.186601,-0.195629,-0.204047,-0.211986,-0.219502,-0.226561,-0.233153,-0.239248,-0.24488,-0.250079,-0.254842,-0.259212,-0.263212,-0.266835,-0.270072,-0.272939,-0.275455,-0.277604,-0.279391,-0.280762,-0.281733,-0.282315,-0.282524,-0.282625,-0.282613,-0.282809,-0.283429,-0.285271,-0.289407,-0.296429,-0.303795,-0.306618,-0.303384,-0.295413,-0.284072,-0.27037,-0.254864,-0.23782,-0.219967,-0.201395,-0.182506,-0.162979,-0.141904,-0.119626,-0.097431,-0.075682,-0.054955,-0.03476,-0.015868,0.001565,0.017406,0.031604,0.044268,0.055474,0.064796,0.072815,0.079552,0.084748,0.08838,0.090817,0.092127,0.092507,0.091858,0.090209,0.087852,0.084763,0.081017,0.076501,0.071419,0.065745,0.059572,0.052866,0.045737,0.038224,0.030354,0.022171,0.013703,0.004928,-0.004084,-0.013321,-0.022748,-0.032333,-0.042095,-0.052019,1
-0.080039,-0.094998,-0.108678,-0.121333,-0.133532,-0.145375,-0.156814,-0.167744,-0.1781,-0.187808,-0.196825,-0.205243,-0.213186,-0.22071,-0.227779,-0.234365,-0.240458,-0.246091,-0.251291,-0.256052,-0.260415,-0.264406,-0.268015,-0.271238,-0.274086,-0.276587,-0.278724,-0.280495,-0.28185,-0.282806,-0.283378,-0.283567,-0.283656,-0.283634,-0.28382,-0.28442,-0.286235,-0.290343,-0.297317,-0.304651,-0.307461,-0.304212,-0.296221,-0.284878,-0.271188,-0.255695,-0.238649,-0.220757,-0.202152,-0.183224,-0.16363,-0.142477,-0.120108,-0.097874,-0.076115,-0.055334,-0.03508,-0.01613,0.001358,0.017232,0.031465,0.044157,0.055387,0.064733,0.072765,0.079515,0.084727,0.088374,0.090824,0.092141,0.092532,0.091888,0.090243,0.087891,0.084813,0.081084,0.076591,0.071527,0.065876,0.059728,0.053045,0.045944,0.038468,0.030628,0.022473,0.014037,0.005295,-0.003678,-0.012878,-0.022271,-0.031825,-0.041552,-0.051441,1
-0.055064,-0.069173,-0.082025,-0.093891,-0.105456,-0.116761,-0.127765,-0.13834,-0.148424,-0.157935,-0.166791,-0.175077,-0.182956,-0.190496,-0.197648,-0.204381,-0.210654,-0.21654,-0.222036,-0.227137,-0.231887,-0.236302,-0.240377,-0.244121,-0.247564,-0.250732,-0.253554,-0.256029,-0.258129,-0.259868,-0.261266,-0.262337,-0.263414,-0.264526,-0.266047,-0.268213,-0.271952,-0.278436,-0.288186,-0.298327,-0.303492,-0.302049,-0.295445,-0.285188,-0.272427,-0.25783,-0.241671,-0.224747,-0.207117,-0.189185,-0.17057,-0.150185,-0.12842,-0.106778,-0.085543,-0.065318,-0.045572,-0.027161,-0.010234,0.005068,0.018692,0.030801,0.041446,0.050185,0.057664,0.063916,0.068652,0.071849,0.073912,0.074885,0.075001,0.074097,0.072227,0.069698,0.066473,0.062602,0.057964,0.05278,0.04701,0.040746,0.033953,0.026761,0.019193,0.011276,0.003062,-0.005435,-0.014234,-0.023253,-0.03249,-0.041906,-0.051486,-0.061243,-0.071154,1
-0.054822,-0.06891,-0.081766,-0.093647,-0.10522,-0.116521,-0.127513,-0.138077,-0.148159,-0.157666,-0.166525,-0.174812,-0.18269,-0.190228,-0.197374,-0.204105,-0.210381,-0.216267,-0.221749,-0.226846,-0.231597,-0.23601,-0.240087,-0.243832,-0.247277,-0.250442,-0.253254,-0.255723,-0.257819,-0.259543,-0.260924,-0.26199,-0.263068,-0.264174,-0.265684,-0.267844,-0.271567,-0.278016,-0.287742,-0.297852,-0.302993,-0.301534,-0.294904,-0.284633,-0.271863,-0.257255,-0.241086,-0.224145,-0.206497,-0.188544,-0.169901,-0.149527,-0.127788,-0.106162,-0.084934,-0.064724,-0.045005,-0.026614,-0.009698,0.005598,0.019222,0.031331,0.04197,0.050699,0.058167,0.064406,0.069128,0.072322,0.074387,0.075351,0.075458,0.074547,0.072665,0.070125,0.066884,0.063,0.058353,0.053164,0.047386,0.041116,0.034313,0.027107,0.019525,0.01159,0.003356,-0.005158,-0.013973,-0.023008,-0.03226,-0.041695,-0.051294,-0.061064,-0.070987,1
-0.055337,-0.069465,-0.082353,-0.094251,-0.105825,-0.11714,-0.128154,-0.138739,-0.148826,-0.158347,-0.167216,-0.175514,-0.183397,-0.190946,-0.198101,-0.204844,-0.211124,-0.216995,-0.22249,-0.227592,-0.232341,-0.236766,-0.240854,-0.244605,-0.248047,-0.251206,-0.254019,-0.2565,-0.258607,-0.260333,-0.261703,-0.262777,-0.263857,-0.264953,-0.266449,-0.268588,-0.272279,-0.278691,-0.288385,-0.29845,-0.303536,-0.302024,-0.29537,-0.285081,-0.272291,-0.257659,-0.241462,-0.224496,-0.206806,-0.188808,-0.170113,-0.149699,-0.127918,-0.106259,-0.085014,-0.064817,-0.045117,-0.026722,-0.009785,0.005518,0.019117,0.031214,0.041856,0.05057,0.058034,0.064292,0.069035,0.072225,0.074282,0.075255,0.075378,0.074474,0.072594,0.070055,0.066827,0.062969,0.058333,0.053143,0.047367,0.041097,0.034291,0.027088,0.01952,0.011596,0.003373,-0.005127,-0.013932,-0.022962,-0.032205,-0.041631,-0.051212,-0.060968,-0.070886,1
-0.064231,-0.078792,-0.092093,-0.104392,-0.116298,-0.127911,-0.139181,-0.149984,-0.160245,-0.169893,-0.178883,-0.187297,-0.195265,-0.202854,-0.210028,-0.216775,-0.223038,-0.228849,-0.234255,-0.239247,-0.243862,-0.248126,-0.252036,-0.255575,-0.258758,-0.261605,-0.26411,-0.26628,-0.26807,-0.269481,-0.270515,-0.271227,-0.271898,-0.272524,-0.273457,-0.274931,-0.277822,-0.283263,-0.291801,-0.300689,-0.304773,-0.302492,-0.295252,-0.284513,-0.271354,-0.256373,-0.239873,-0.222615,-0.204673,-0.186449,-0.167533,-0.146972,-0.125162,-0.103418,-0.082066,-0.061701,-0.04189,-0.023416,-0.006401,0.00902,0.022789,0.035012,0.04577,0.054665,0.062285,0.068675,0.073575,0.07695,0.07918,0.080322,0.080581,0.079828,0.078108,0.075707,0.072604,0.068862,0.064357,0.059293,0.053634,0.047462,0.04074,0.033601,0.026085,0.018202,0.010003,0.001516,-0.007281,-0.016312,-0.025567,-0.035016,-0.044632,-0.054416,-0.064361,1
