@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3}

@data
-1.469683,0.887882,3.325013,4.420149,3.49373,0.758334,-1.859811,-0.939922,1.899438,4.779181,4.505489,4.709498,4.94057,2.113478,-0.803957,-2.191189,-3.857287,-5.042501,-3.429209,-1.995086,-2.940078,-4.352067,-4.314369,-2.637602,2
-1.851546,0.670381,3.487105,4.808759,4.167778,1.007283,-1.641615,-1.538718,1.414386,4.440443,4.690183,4.760047,4.85979,1.799328,-1.07096,-2.567258,-3.85371,-4.35978,-3.257748,-1.873027,-2.84079,-4.163333,-4.206177,-2.880821,2
-1.916957,1.013765,3.639955,4.548228,3.253716,-0.319943,-2.363899,-1.210453,1.912502,5.168152,4.926306,4.250139,5.039122,2.02133,-1.082088,-1.738588,-3.292688,-4.796841,-3.508622,-1.840701,-2.641239,-4.457995,-4.270128,-2.333072,2
-2.067054,0.708034,3.393542,4.553335,3.831519,0.81613,-2.052258,-1.122514,2.026564,4.761106,4.215041,4.993801,5.080449,1.689405,-1.190169,-1.675031,-3.153779,-4.807159,-3.457195,-2.450726,-3.774717,-4.058936,-3.927896,-2.331492,2
-2.563494,0.174852,3.893354,4.913011,4.9541,2.633188,-1.234145,-2.756196,-0.788732,2.857641,4.887504,4.578165,4.990004,1.835573,-1.622332,-1.5736,-3.42635,-4.7008,-2.682516,-1.442386,-2.648079,-4.421201,-3.996794,-1.860768,3
-3.069538,0.109729,3.73362,5.025827,4.512984,1.522743,-2.156434,-2.72973,0.278645,4.085824,5.135459,4.842763,4.911711,1.101248,-1.879596,-1.452557,-3.158248,-4.45396,-2.77833,-1.33075,-2.509577,-4.233926,-3.812737,-1.695169,3
-2.345786,0.089558,3.603528,4.923684,4.963627,2.846541,-1.01686,-2.42794,-0.505797,2.900332,4.760048,4.571886,4.792636,1.895282,-1.423613,-1.620733,-3.685784,-4.879591,-2.979335,-1.275419,-2.781269,-4.65343,-4.058807,-1.692758,3
-2.320447,0.291967,3.59305,5.006296,4.929176,2.635631,-0.963256,-2.355609,-0.246051,3.103069,4.739607,4.727813,4.635513,1.703466,-1.508645,-1.451068,-3.37713,-4.991523,-3.266116,-1.43821,-2.987646,-4.543122,-3.996372,-1.920394,3
-2.576213,0.591599,3.941026,5.216514,4.617534,1.701798,-1.888188,-2.630811,0.046196,3.476378,5.058455,4.630281,4.612377,1.581821,-1.832906,-0.984983,-1.827207,-4.203917,-4.420118,-2.447531,-1.990598,-4.066481,-4.275218,-2.329809,3
-1.259862,0.878692,3.412228,4.109919,3.116514,0.36138,-1.693084,-0.375349,2.420719,5.08568,4.475651,4.220091,5.019922,2.466453,-0.463583,-2.368769,-3.715113,-4.72628,-3.569999,-2.484913,-3.367783,-4.554041,-4.2317,-2.756772,1
