@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3,4,5,6}

@data
-1.344761,1.247221,3.799504,5.099699,4.2545,1.626118,-1.146994,-1.156256,0.990987,3.683618,4.822798,4.655742,4.351595,1.87621,-0.875018,-3.506551,-3.527178,-3.569819,-3.530941,-3.562375,-3.538122,-3.555778,-3.544255,-3.549944,6
-1.245543,1.05633,3.877108,4.763763,4.885514,2.952287,-0.092664,-1.325527,0.263595,2.987182,4.197977,4.129556,4.354935,2.461744,-0.561761,-3.57077,-3.63454,-3.6529,-3.632356,-3.649568,-3.636154,-3.64595,-3.639551,-3.642711,6
-1.076454,1.292892,3.588304,4.565332,4.307437,2.234291,-0.512629,-0.989699,1.165658,3.770234,4.57052,4.323842,4.428323,2.067707,-0.615244,-3.621336,-3.671252,-3.708081,-3.67114,-3.701864,-3.677845,-3.695455,-3.683917,-3.689625,6
-1.193137,0.984541,3.885329,4.757735,4.623714,2.573516,-0.296846,-1.281094,0.56456,3.327122,4.42939,4.287993,4.316431,2.28825,-0.537036,-3.543611,-3.655984,-3.647656,-3.645452,-3.649348,-3.645639,-3.648606,-3.646573,-3.647601,6
-1.198107,1.25628,3.817136,4.992253,4.534735,2.321827,-0.502707,-1.51925,0.525766,3.229319,4.443737,4.591968,4.410475,2.122983,-0.782341,-3.520019,-3.587241,-3.597903,-3.583604,-3.595996,-3.586202,-3.593408,-3.588681,-3.59102,6
-1.117496,1.22129,3.974166,4.726509,4.460879,2.091001,-0.70333,-0.947538,1.003018,3.545188,4.445522,4.279617,4.342813,2.189169,-0.593422,-3.583257,-3.663401,-3.675417,-3.658409,-3.67337,-3.661463,-3.670255,-3.664476,-3.667339,6
-1.315709,1.122177,3.723641,4.934501,4.428935,1.943574,-0.832369,-1.220252,1.024446,3.458036,4.598425,4.635896,4.387899,2.163406,-0.76777,-3.526446,-3.589831,-3.603711,-3.586972,-3.601217,-3.590037,-3.598234,-3.592867,-3.595521,6
-1.124762,1.142433,3.745672,4.711873,4.300952,2.267612,-0.616002,-1.104604,0.912224,3.497897,4.584046,4.198823,4.430011,2.49622,-0.481363,-3.582485,-3.671354,-3.679027,-3.665014,-3.67782,-3.66746,-3.67518,-3.670078,-3.672613,6
-1.433546,0.906699,3.786252,4.961662,4.614571,2.289472,-0.57081,-1.414795,0.732193,3.489062,4.559645,4.61605,4.33943,1.986654,-0.853921,-3.525381,-3.541021,-3.581058,-3.546074,-3.57368,-3.552717,-3.567815,-3.55803,-3.562842,6
-1.261474,1.20296,3.860679,4.846562,4.419173,2.042589,-0.619648,-1.24114,1.042835,3.614287,4.460715,4.25691,4.328149,2.36496,-0.668164,-3.532914,-3.654097,-3.631938,-3.6413,-3.636136,-3.639268,-3.637336,-3.638463,-3.637942,6
-1.026694,1.040042,3.801798,4.898028,4.638627,2.64483,-0.01841,-1.278714,0.270088,2.889975,4.362787,4.350315,4.359355,2.411201,-0.430598,-3.552413,-3.679808,-3.668488,-3.666919,-3.670951,-3.66686,-3.670229,-3.667884,-3.66908,6
-1.359094,1.100236,3.561865,5.045506,4.5417,2.34206,-0.541812,-1.666408,0.314481,3.079629,4.791529,4.679534,4.526725,2.162491,-0.798954,-3.506007,-3.51114,-3.558163,-3.517682,-3.549702,-3.525278,-3.54294,-3.531458,-3.537115,6
-1.195306,0.581836,3.542538,4.814319,4.573052,2.471004,-0.560489,-1.160749,0.849245,3.653668,4.548533,4.4521,4.380166,2.208618,-0.660587,-3.530459,-3.625467,-3.621666,-3.618128,-3.622093,-3.618813,-3.621235,-3.619656,-3.620432,6
