@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3,4,5,6}

@data
-1.943774,0.82321,3.654123,5.137555,3.534891,1.269119,-1.632478,-1.664303,0.996622,4.000122,5.117188,5.300799,4.763435,1.59741,-1.331707,-2.960584,-3.830781,-4.006394,-3.067411,-2.443754,-3.324942,-4.268559,-3.382393,-2.337396,1
-1.99121,0.442456,3.157326,5.058926,3.683032,1.076013,-1.911254,-1.847811,0.891574,4.296242,5.347296,5.49478,4.831769,1.589709,-1.384971,-2.421813,-3.270732,-4.200451,-3.33047,-2.656557,-2.36862,-3.725329,-4.07631,-2.683596,1
-2.102495,0.612843,3.507339,5.137726,3.986504,1.349102,-1.716712,-1.748872,0.971289,4.110017,5.054668,5.359924,4.674902,1.469955,-1.505479,-2.572966,-3.356686,-4.026403,-3.285064,-2.718711,-3.024494,-4.033628,-3.703045,-2.439714,1
-1.937395,0.495656,3.461308,5.174621,3.928591,1.300608,-1.722496,-1.682653,0.956927,4.066028,5.188068,5.276086,4.664929,1.617958,-1.232882,-2.79992,-3.493864,-3.985459,-3.304225,-2.707785,-3.245466,-4.077726,-3.432594,-2.508316,1
-1.793846,0.644313,3.689085,5.304328,3.807134,1.221932,-1.700873,-1.906429,0.674669,3.824374,5.160223,5.533584,4.701194,1.401799,-1.468091,-2.360737,-3.175211,-3.922108,-3.54179,-2.863398,-3.178558,-3.910028,-3.628302,-2.513265,1
-2.02039,0.726958,3.451097,4.967597,3.872866,1.567156,-1.167256,-1.8539,0.524136,3.987457,5.106505,4.960216,4.978057,1.768296,-1.137274,-2.625881,-3.718109,-4.347342,-3.384101,-2.359732,-2.865016,-4.268138,-3.91481,-2.248391,1
-1.721195,1.076611,3.751597,5.179177,4.449895,2.223161,-0.658845,-1.800977,0.467403,3.371404,4.956753,4.988705,4.2594,1.564707,-1.147309,-3.477275,-3.384397,-3.481617,-3.406975,-3.463647,-3.421351,-3.451534,-3.432074,-3.441618,6
-1.302258,1.024393,3.723878,4.761606,3.678517,1.142262,-1.48188,-0.784594,1.642583,4.373237,4.820158,4.824356,4.515816,1.813305,-0.834128,-3.548889,-3.500432,-3.590953,-3.516137,-3.574876,-3.530189,-3.562456,-3.541501,-3.551819,6
-1.468933,0.625573,3.387249,5.063161,4.245279,1.877609,-0.866206,-1.447301,0.755586,3.546315,5.111484,5.107527,4.556657,1.713476,-0.903692,-3.476008,-3.439922,-3.516304,-3.453472,-3.502517,-3.46537,-3.492109,-3.47478,-3.483302,6
-1.536179,1.0242,3.785716,4.980673,4.335026,2.089338,-0.853769,-1.572772,0.697668,3.481343,5.049279,4.84239,4.343308,1.719593,-0.987596,-3.500535,-3.446037,-3.525923,-3.462628,-3.51121,-3.474766,-3.500844,-3.484004,-3.49227,6
