@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute target {1,2}

@data
0.179822,-1.637093,-1.565241,0.247694,-2.87244,0.579552,1.71106,0.070495,-2.76603,-0.750466,-0.11315,0.738212,-0.313332,1.539487,-1.136391,-1.340452,-0.949366,-2.758185,-0.590897,1.378631,3.231512,-0.716013,0.709404,-0.728268,0.057314,-1.277828,-0.215157,-1.573353,-5.031496,2.34767,2.410772,-1.018721,0.281434,-2.92234,-0.868425,-1.329293,-1.023174,-1.295907,1.071911,1.261654,1.405004,-0.207727,0.103465,0.324856,1.015903,2.589164,1.174223,-3.073889,-0.586136,2.988897,-1.868339,1.075213,-1.918728,-1.495465,2.858192,3.674143,-1.016294,-0.63612,1.320747,-3.770349,2.549356,1.446323,0.250393,-2.041991,-1.37051,0.178662,0.960538,-0.314873,1.230175,-2.376059,-2.162452,1.903556,-1.279523,-1.177056,0.315749,0.872793,0.159703,0.584292,-0.027481,-1.499065,2.758911,-1.559356,-1.229273,0.615149,-0.833958,0.104247,1.717001,-2.474532,-1.177133,2.907646,0.160767,0.9267,-1.366066,1.268616,0.077006,0.486054,-1.329715,-0.664235,3.809431,4.538245,-0.586954,0.247073,1.274197,-1.684608,-0.829429,2.829618,0.12105,1.374712,3.831488,2.142088,-1.872472,-2.278724,-1.127205,2.350237,1.160959,-0.925984,-0.148056,-1.510667,-0.607052,0.920995,0.630336,0.887991,2.442911,2.836276,2.971589,-1.288956,-2.975748,0.481932,1.591825,2.015694,0.92977,0.232508,-0.976008,0.675711,-1.619049,-3.535385,1.257588,-0.291679,3.323753,0.041364,-1.110723,-1.146271,-1.392367,0.562779,0.836762,-0.941674,-1.799664,-1.077802,0.021917,-2.185049,1
0.100993,-0.865759,2.770827,-0.524289,1.43212,0.35636,0.531599,1.219636,3.237755,0.139062,1.536971,1.190229,2.762726,1.589023,-0.322878,-1.933223,3.769018,1.657312,-1.404967,-1.578279,-1.991561,-0.697244,-1.348183,0.110653,-0.252317,-1.583111,0.938102,-2.47622,-1.978121,-0.718083,0.970715,0.449058,4.025146,0.772741,-3.628919,0.618518,1.895277,0.404241,-1.296813,-0.307166,-1.87666,0.437617,-0.097022,-2.943262,1.250704,2.827935,-0.611408,-3.034329,-0.489809,1.044698,-0.467846,-0.058871,0.069659,-3.036968,-0.062861,2.600268,1.3483,-2.426844,3.143152,-0.769145,-0.752741,1.124691,-0.712271,1.119886,1.674056,1.412858,-0.149278,3.305458,0.984318,0.531198,-2.266978,-0.943926,-1.364855,-0.242661,-0.258864,1.702085,-0.438362,1.26236,-1.842767,-1.130301,-2.336122,-2.978467,1.704523,0.526239,-1.263629,-3.28976,-3.960608,0.252196,2.507677,0.828186,0.102608,1.972359,-3.58613,-1.226555,2.002101,-0.575663,-2.043805,-0.10199,1.3919,-0.604425,2.396239,-0.63777,-1.210571,2.706034,1.849767,3.357264,-2.73808,-0.649084,-0.659671,-0.059295,-0.465527,0.53712,-2.789234,-1.158736,-0.877961,-1.969713,-1.849123,0.486709,1.348597,-0.362494,-0.086561,-1.414311,2.666094,-1.481611,0.48426,0.709869,0.747661,0.847851,-3.168846,-1.866895,0.230183,1.55888,1.041583,-0.655034,1.521452,-0.236063,-1.654036,-1.068055,-1.771453,1.457519,-0.190501,0.56877,-1.22544,0.729587,3.898025,1.7946,0.039406,-1.691847,-0.703374,2.911013,1
0.352477,-0.936595,2.430287,2.449747,2.494396,-1.429494,-1.897065,-2.328199,-2.47469,0.050609,3.612655,-2.177845,-0.059047,-1.259971,-1.844655,0.089168,-0.670871,1.134496,1.063478,0.963017,-0.773229,1.486555,-2.067823,-1.527607,2.593249,-3.988476,1.694831,1.393371,0.703067,-2.570788,-1.26434,0.636056,1.682556,0.557205,2.208266,-2.053617,-2.746296,3.264637,2.188225,-3.745505,0.466274,-0.131865,-0.252023,-2.970742,0.077483,-4.400353,1.388129,2.739049,-2.201414,-2.20003,0.382739,-1.91371,2.271798,2.138326,-1.050979,2.932587,-1.183314,-0.503382,-0.105481,0.743259,0.589313,-1.107414,-1.517573,-1.707451,0.747124,-0.491285,-1.34296,-3.243945,-4.023847,0.381812,-1.804388,2.475875,1.061302,-0.440882,-1.356459,-1.060248,-1.478813,-1.657772,1.332766,1.041136,0.614896,3.143678,0.920185,2.87977,-2.01175,0.458901,-0.60303,-1.275721,0.05922,0.344447,-0.990661,-2.770708,-1.834166,3.139659,0.359194,2.768938,2.543014,-2.372208,3.609497,0.827852,-0.288264,-1.800238,1.20058,3.604304,3.401944,-1.432516,1.596729,2.850519,-1.456466,0.074152,-1.377732,4.969215,-0.092854,-3.183926,1.511931,-1.858648,-0.952565,-0.415608,-0.954916,-0.27455,-1.008516,-0.832948,-0.28765,2.705477,-1.568236,2.330208,-0.504395,1.816678,0.987656,-0.751781,0.536513,0.257863,1.486532,-0.368116,-3.182478,-0.530157,-2.182804,2.83693,-1.375436,-0.771389,2.51175,-0.151438,-2.071948,1.707857,0.081409,1.82593,2.391134,0.493335,-1.681195,0.512242,1
-3.111044,-2.562313,-1.365578,-0.735132,-2.170364,1.79155,3.123059,-0.121884,1.897202,0.232829,-0.702058,2.975162,-0.940987,2.552285,-0.427306,1.423833,0.069819,0.311308,-1.791562,-2.078917,0.41577,0.465107,0.560125,0.528798,-3.178934,-0.147668,-0.157803,-0.010142,0.926391,0.84579,-2.950552,1.433781,2.077236,1.792182,2.083198,-0.545763,0.520267,1.982202,0.723358,-1.107568,-1.176285,-2.18131,1.347415,-0.510368,-0.548291,-0.052347,-0.628078,0.122631,-2.174867,-1.487996,-1.769469,-0.259368,2.869169,-0.115601,-2.243061,1.975461,-0.982579,1.731566,1.412554,1.467411,3.633724,0.769349,1.639803,2.497456,4.194952,0.334443,-3.983859,1.70378,-2.155514,-1.435516,0.264514,0.967035,-2.121652,1.499908,2.276518,-5.065062,-0.910246,-0.846132,0.029016,-0.080487,-0.270737,-0.68717,0.29466,0.557927,-1.102311,-4.8188,3.436438,-2.687074,-2.565187,-1.558417,-1.822641,1.239566,1.18382,-3.618135,-1.872714,2.909085,-0.529488,-1.740657,-2.564645,-0.265231,-0.445452,-4.285863,-0.726727,-0.426405,0.016954,-2.158792,-2.402386,2.735854,2.69335,1.517409,0.080116,-1.410125,-0.887559,-0.291171,0.353875,1.983935,-3.33071,0.959211,0.586367,-0.998043,1.722241,0.83547,-0.028368,0.412579,1.546565,1.526303,3.48261,0.306916,-1.606595,-2.30852,1.22312,0.28702,3.26275,0.348481,0.117542,-1.892005,0.318683,-0.322912,-0.202567,5.703972,0.435394,-1.372787,-0.057798,0.455747,0.279545,-0.661598,1.215519,-0.62292,0.499933,3.379248,1
1.897646,1.953123,-0.032947,-0.668957,-1.064856,-0.957496,0.095842,-2.641499,2.26666,0.119914,1.88992,-3.579148,1.79601,0.06406,2.285424,2.710387,-3.11502,1.020472,1.210603,0.314809,-3.946277,1.306304,-2.359044,1.49336,-0.46041,0.199827,-1.889842,-1.72176,2.959183,0.203992,0.703864,0.12835,-1.019868,0.136773,0.73826,0.30448,0.961162,0.292272,4.961884,1.888106,-2.751185,1.248392,-3.22504,-0.41147,-0.584045,1.412575,2.069635,-3.690972,-2.052403,1.977313,1.238184,0.58472,-1.393556,1.741883,-0.599335,-0.943428,-0.916675,-1.240617,1.279171,1.345769,-0.504915,-1.619801,-2.059292,-0.319036,-2.294928,-0.531054,1.676422,1.859866,0.52573,-0.353539,-1.3075,-0.649703,2.70979,0.242262,-0.15782,0.951422,0.232592,-0.38714,2.244797,-0.526237,0.879787,-1.449455,-0.167308,1.367286,-0.073433,-0.153974,-2.706723,2.978694,-2.087272,-0.188014,0.458424,-0.896621,-2.156109,0.839277,4.534468,0.106313,1.580703,1.542921,0.35285,-1.562696,1.985336,-1.721369,-0.650808,0.063384,1.245517,1.958989,-1.6781,1.339764,-1.563579,0.363728,-1.706475,-2.526147,-0.863766,2.183634,-0.8808,4.052891,-4.588499,0.118321,-1.34178,0.593266,-0.667185,-1.096982,3.265783,-0.932401,2.052498,0.504781,-1.414291,0.730526,-3.729723,-0.618705,1.576901,-2.094084,4.451293,-1.131516,-3.360358,-0.34826,0.560548,1.696878,-0.897004,1.146722,-1.91489,0.300846,-0.541592,-0.809597,0.561269,-0.175447,-1.634114,0.440862,-0.304048,-0.46773,1
1.010425,0.273351,-5.4686,0.144321,3.719803,1.703061,0.728277,-1.263823,-1.116963,1.52405,-0.010244,-3.995234,0.871884,2.791745,-0.543166,2.70248,0.226331,0.594186,1.299226,0.747416,0.962636,-1.314259,3.002101,-4.071554,0.334362,1.496991,-0.124395,2.718046,1.823249,1.540976,-1.301776,1.866532,1.073297,-1.518827,0.599162,-1.610326,0.743271,-1.437326,-1.27519,0.086836,2.203403,0.247911,-0.171032,-1.651525,1.781879,-2.057027,-2.282354,1.075771,0.302142,-3.300865,-1.481243,0.617742,-1.32164,1.817963,-0.543602,-0.675587,0.265639,1.642144,1.690669,1.911763,0.428847,5.135659,-0.497443,-0.069578,-3.189042,0.174595,-0.534088,0.003009,-0.090341,-0.140926,-2.201874,2.034327,0.592903,1.000263,-0.547118,1.937542,3.918473,0.969347,2.400345,1.693906,0.608296,0.962925,0.371441,0.029822,0.504031,-3.122686,-2.506602,-2.129872,-2.293473,1.238263,1.300929,-0.078263,2.854055,1.021588,-0.348683,0.736317,2.479448,-2.143069,-0.787751,-3.793923,-0.468575,-0.851272,0.798853,-4.28684,-0.196226,-2.786938,0.561794,-2.316827,-1.511277,-1.81215,-1.120529,1.88344,-2.57942,4.630355,-1.940088,0.723187,2.49613,-3.379049,-0.952677,-1.722523,-3.302004,-0.170549,0.05351,-0.24108,-2.00274,-1.017365,1.535248,3.157192,0.207788,3.393177,0.755271,-2.359826,-1.254324,-2.130191,-0.953074,1.809562,-0.339183,-0.904973,3.050882,-2.789229,0.341119,-0.744068,3.264115,-1.191622,3.442609,-0.829854,-2.156625,1.483253,-2.402928,-0.399536,1
-0.680384,-0.231579,1.629432,-0.647319,0.5936,-1.533029,0.300947,1.893148,1.090281,-2.292404,-0.411079,0.551918,-1.083427,1.30305,1.222594,-0.233223,0.565232,-2.836427,0.418509,-2.291572,-4.027542,-2.285399,1.258299,-1.099743,0.681066,-3.049137,0.186368,1.414353,1.485153,2.822144,-3.222398,1.011622,-0.491641,-4.105212,0.550303,-2.121946,-2.458884,0.190945,-0.351473,1.705277,-0.939372,-2.749744,0.061596,-1.483931,0.418754,1.195567,-0.906478,0.885534,0.668769,0.640799,-0.660031,-1.610079,2.011773,0.533479,4.766621,2.000539,1.653736,2.610212,1.645064,1.721911,-3.171891,2.120581,2.187917,0.957983,-0.923387,-1.11489,-0.571358,2.030552,-0.138228,0.976014,-3.315165,-0.651106,1.185318,0.414637,1.094611,0.762487,3.910871,1.447254,-2.895271,1.104449,0.162704,-1.402924,-2.140533,-1.632358,3.205107,-1.347197,-0.215158,0.841499,-2.022412,2.025289,2.00583,-2.219493,0.723933,-3.055074,-1.736111,-0.48832,-1.131267,1.238689,-2.339808,-0.120464,-1.46018,1.20698,1.479786,3.883483,2.532225,-1.626491,-4.051137,-1.028697,-2.153177,-0.029803,1.170756,-3.073409,0.198705,1.217086,-0.607178,-0.13966,0.633647,-1.2869,-0.529809,0.556306,-1.096996,0.587656,-0.04472,0.653454,1.684741,0.662211,-0.624123,-3.582437,0.112635,-1.585971,2.172969,1.248511,-0.376303,-2.886568,3.616698,1.285251,1.733785,2.301522,0.363811,-2.695059,0.283211,1.51054,-1.931998,0.701583,1.089521,0.76078,2.538938,1.133637,1.162892,-1.32116,1
-1.534736,0.513934,-3.231669,-0.990753,-0.704777,2.414012,1.115478,1.965291,-3.40544,0.306094,0.617404,1.142926,-0.274864,-0.188727,-4.358494,3.58082,-0.634938,2.359359,1.856462,-0.955043,-3.101716,-3.530502,0.76218,1.991394,-3.758801,1.780898,0.706971,-1.994399,-0.932623,-0.172665,-1.611192,1.81643,-1.28816,-0.687887,-3.143003,-3.225548,1.444663,1.15084,-2.100021,2.238704,-2.540327,0.642587,0.227956,-1.412173,0.858175,-2.316327,1.322565,2.644229,0.572895,0.437244,0.351787,1.256416,0.456235,0.172786,1.049189,-1.970146,-3.568526,1.131946,-1.823359,-1.873667,3.714139,1.81909,0.722789,-0.469957,0.73408,-0.039895,3.196453,0.12353,0.622975,0.901722,-0.487211,-1.301941,0.290425,-1.369441,1.218011,3.001425,2.712653,0.468406,-0.676234,-0.058236,-1.172021,-0.655306,-4.745951,0.302114,3.505099,-2.45852,-0.154641,0.674287,0.302423,0.446442,2.422662,0.754536,-1.136126,1.902522,-0.319614,-1.880979,1.554106,-0.245633,0.543302,0.796168,-2.056551,0.683207,1.711048,-0.54339,-1.485587,-0.949429,2.544417,-1.151574,-2.524191,-1.178343,-1.904141,0.426098,1.062919,-0.73287,-3.382911,0.00354,-0.719344,0.132124,-0.27063,1.606169,-0.155845,3.310679,3.091945,-0.917383,4.113555,-0.421839,2.593178,-1.178515,1.321389,-1.368859,-2.11922,1.385257,0.917015,2.168499,1.039606,-0.905115,0.285677,0.547293,-2.584054,-0.921629,-1.582932,-0.52084,-2.478511,3.66433,2.40216,-1.622126,-0.001302,2.14211,-2.851295,2.261171,1
0.210129,-4.73964,0.257463,2.477754,1.33664,-1.245243,-1.168969,0.267955,-2.504745,0.47366,-2.126953,0.761696,-2.353355,-2.304426,-2.864761,1.789138,-2.255074,-2.084953,0.721695,-2.329136,-1.690624,0.038362,-3.224642,-3.518265,2.659536,1.919674,-1.232825,2.001407,-0.262477,-2.141424,-1.216097,0.19329,0.77526,-0.931037,-0.095522,-0.632212,-0.572184,-2.663098,-1.775383,-0.06962,2.809809,1.260301,1.271746,-3.088602,3.689707,0.448345,1.973152,0.999974,-1.023279,5.479736,0.412572,-0.321557,-3.407436,4.289054,-2.521579,0.631576,1.062971,1.422335,-0.354536,1.42699,-1.005829,0.144402,-0.616876,-1.678907,-0.141913,1.122886,-0.950867,-0.712015,2.312424,3.413325,-0.159763,-0.826841,2.271276,2.588572,0.220957,1.456877,-2.128246,-2.168464,-0.663062,0.901998,1.047072,-0.471299,2.724743,-2.213586,-1.984,-1.289965,-0.134668,0.591194,4.838712,-2.599624,2.752893,-0.19711,-0.143046,-1.862179,-2.309058,-2.689101,1.805639,-0.742233,-1.152319,2.548412,-2.155284,-0.320509,2.848439,1.428837,1.16043,3.20203,2.578691,0.289011,3.028608,-0.269306,0.6815,0.501869,1.455586,-1.095593,0.129376,1.379444,1.465584,-1.643601,1.368157,-0.758269,2.705834,-0.348141,-0.591205,-1.240296,-3.044332,2.004293,-1.558354,-0.232577,-4.631541,-0.339847,-1.300799,1.301487,2.992514,1.646726,2.683399,-1.847442,-0.672197,-2.043243,1.960365,3.436358,-0.561588,0.059938,-2.303041,0.570853,-1.342475,1.426739,-1.759598,0.662653,-1.002699,-0.149468,1
-0.33236,-2.323224,1.280209,-1.117297,-3.240151,-2.29906,-0.275809,1.298902,-0.493784,0.570043,2.006858,-1.929565,1.174043,-3.456048,1.095688,-3.560264,-0.109679,0.59348,-2.444218,-0.180789,2.403975,-1.790167,-1.07811,-1.661463,-0.133163,-3.906794,-0.987506,-1.390904,2.03918,-0.790846,-0.091482,1.690418,2.924891,-1.234671,0.944301,-0.197488,-0.381969,0.54471,2.399712,0.392358,0.595239,-2.282425,3.644172,-0.276831,3.121776,-0.373557,1.970561,-1.621368,-1.262749,-0.85287,1.707635,-0.012614,3.051333,-1.173993,2.320354,-0.145188,2.688251,-1.791442,-0.459204,1.956602,-0.545211,-0.435351,-2.852762,3.204312,2.278511,-0.660283,-0.135505,1.100258,1.015739,0.923184,0.182167,-2.701889,2.599656,0.682481,1.588634,-0.284166,0.566125,0.806962,0.571927,4.083339,3.394826,2.454445,1.276985,2.760522,3.380927,-0.697404,-1.693219,1.052734,-0.596419,0.315296,0.647605,-0.865206,-1.128442,-1.142586,0.759746,0.621406,1.113613,-1.835134,-2.867371,-1.785588,0.777426,0.642078,0.425992,-0.575332,-1.614308,0.529444,-0.532768,-3.733776,-1.044115,1.954084,-4.261651,0.757144,-1.000667,-0.329538,-1.65405,-1.429097,0.162272,-1.23975,-2.733463,-1.983982,2.10282,0.596887,0.779329,1.845775,1.703337,-2.224623,-0.837718,0.119137,-0.070273,0.407277,2.087373,-0.149586,1.407242,1.738429,-2.364269,-0.445112,1.553212,-2.015907,1.188673,-0.610099,-0.262654,-2.454076,-0.736343,-1.618837,2.093576,1.278237,-0.467547,-2.895105,0.377989,0.846415,1
