@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute target {1,2}

@data
5.442426,4.014323,2.990968,1.996342,1.27111,0.693851,0.31353,0.08387,-0.046788,0.184606,1.720582,5.950165,2.235364,-0.191196,1.260403,0.235893,-0.970113,-1.219623,-1.405971,-1.659348,-1.73566,-1.880867,-1.88567,-1.880864,-1.782404,-1.741412,-1.663181,-1.621758,-1.495626,-1.281349,-1.341251,-1.409543,-1.305261,-1.198083,-1.214813,-1.371714,-1.47797,-1.157168,-0.842894,-0.938114,-0.82154,-0.885166,-1.188696,-1.034224,-1.322516,-1.716538,-1.689741,-1.825006,-1.651163,-1.505797,-1.223156,-0.848687,-0.177699,0.776536,2.220191,4.264214,6.918037,9.368294,10.222703,8.975801,6.996696,4.363003,1.808781,-0.424435,-2.187518,-3.477376,-4.474638,-5.185933,-5.67063,-6.012886,-6.265696,1
5.435239,4.001712,2.981284,1.987754,1.263391,0.684151,0.302665,0.074135,-0.062771,0.172226,1.741897,6.055598,2.273467,-0.198643,1.286103,0.242652,-0.991554,-1.235978,-1.418293,-1.674907,-1.755665,-1.901575,-1.911684,-1.912993,-1.81654,-1.773405,-1.693201,-1.650565,-1.526989,-1.298627,-1.3577,-1.428076,-1.311789,-1.197921,-1.219091,-1.378262,-1.482731,-1.155568,-0.829162,-0.912058,-0.779147,-0.831149,-1.14536,-0.996258,-1.297178,-1.710815,-1.690747,-1.83261,-1.660491,-1.500037,-1.171776,-0.768212,-0.096674,0.857705,2.278501,4.289855,6.902396,9.326586,10.187649,8.948401,6.974832,4.341263,1.771798,-0.4741,-2.219279,-3.49484,-4.477356,-5.185129,-5.673112,-6.014141,-6.267104,1
5.424791,3.991427,2.97178,1.981085,1.255069,0.678186,0.29753,0.072252,-0.055435,0.192524,1.775543,6.115512,2.305739,-0.188562,1.316247,0.269016,-0.977829,-1.228531,-1.419456,-1.677675,-1.755781,-1.906595,-1.916354,-1.915622,-1.818498,-1.778271,-1.69766,-1.651187,-1.517458,-1.29443,-1.359898,-1.428075,-1.309898,-1.194582,-1.214838,-1.377107,-1.480339,-1.147266,-0.819567,-0.90411,-0.76774,-0.82029,-1.138942,-0.987305,-1.292858,-1.714805,-1.693177,-1.836447,-1.666811,-1.505927,-1.17437,-0.778286,-0.099797,0.849861,2.270383,4.277657,6.887929,9.308688,10.166245,8.936338,6.971134,4.333132,1.761413,-0.488483,-2.233152,-3.506272,-4.487329,-5.196443,-5.683822,-6.024592,-6.277608,1
5.420251,3.999625,2.984446,1.995778,1.267868,0.692966,0.306245,0.070051,-0.083436,0.117752,1.547123,5.55474,2.057853,-0.271737,1.092512,0.116899,-1.007158,-1.226208,-1.402807,-1.670475,-1.747128,-1.885912,-1.886444,-1.890458,-1.796129,-1.756448,-1.680535,-1.650219,-1.542914,-1.334781,-1.38687,-1.445213,-1.330961,-1.225705,-1.242885,-1.390185,-1.486181,-1.192262,-0.888804,-0.958179,-0.827535,-0.87971,-1.17711,-1.034247,-1.296578,-1.68118,-1.658237,-1.776015,-1.600306,-1.434443,-1.099054,-0.681041,0.011886,0.981792,2.414505,4.421454,7.043204,9.469181,10.297546,9.024243,7.021119,4.373357,1.789322,-0.462972,-2.211168,-3.475304,-4.445069,-5.14218,-5.624868,-5.965844,-6.218821,1
5.429204,4.007196,2.993128,2.002401,1.275765,0.699903,0.310942,0.072162,-0.082467,0.114149,1.534256,5.523063,2.041947,-0.277293,1.080208,0.11159,-1.011909,-1.228409,-1.403436,-1.66847,-1.74575,-1.884015,-1.88517,-1.886879,-1.795612,-1.7546,-1.679613,-1.649419,-1.543447,-1.336295,-1.386529,-1.444609,-1.331936,-1.228054,-1.246397,-1.39254,-1.487495,-1.196387,-0.894015,-0.964783,-0.834535,-0.885561,-1.179769,-1.038745,-1.299176,-1.679856,-1.655536,-1.770589,-1.596312,-1.429933,-1.093297,-0.676001,0.014359,0.986201,2.416564,4.429543,7.052459,9.467383,10.306085,9.024239,7.021993,4.374408,1.790934,-0.465055,-2.21307,-3.475402,-4.444394,-5.138001,-5.622693,-5.96216,-6.214468,1
5.428213,4.010246,2.996078,2.009046,1.282838,0.704462,0.315237,0.07332,-0.080876,0.113239,1.523311,5.501996,2.027013,-0.284667,1.070496,0.099257,-1.02116,-1.239145,-1.40685,-1.667404,-1.746887,-1.882521,-1.885268,-1.888664,-1.799136,-1.757285,-1.682475,-1.651942,-1.545461,-1.340192,-1.390469,-1.44919,-1.336725,-1.232491,-1.252736,-1.398296,-1.494251,-1.20087,-0.90089,-0.971342,-0.841346,-0.892564,-1.185528,-1.043398,-1.30045,-1.677614,-1.649623,-1.764603,-1.590676,-1.420026,-1.08462,-0.667377,0.019717,0.984855,2.412058,4.419928,7.041814,9.476237,10.325703,9.034453,7.036149,4.381715,1.800399,-0.460837,-2.208867,-3.46971,-4.435072,-5.128704,-5.61005,-5.948838,-6.200681,1
5.055244,3.72413,2.779664,1.848256,1.181598,0.657892,0.316028,0.1234,0.024288,0.311658,2.040882,6.535046,2.577886,0.008876,1.53102,0.394268,-0.88861,-1.145053,-1.350889,-1.635894,-1.716629,-1.861884,-1.867376,-1.872507,-1.778819,-1.737213,-1.66339,-1.630983,-1.502694,-1.266256,-1.335593,-1.403025,-1.282843,-1.180693,-1.216409,-1.384144,-1.489794,-1.148543,-0.805963,-0.881272,-0.757637,-0.84787,-1.183594,-1.033362,-1.347078,-1.786271,-1.780619,-1.938605,-1.786151,-1.637206,-1.338327,-0.921278,-0.229253,0.7294,2.17529,4.226662,6.932982,9.451851,10.297742,8.92813,6.872765,4.159904,1.581759,-0.617108,-2.303062,-3.522749,-4.47613,-5.154549,-5.619827,-5.949151,-6.190321,1
5.055433,3.724132,2.778494,1.849277,1.178887,0.656622,0.3158,0.123912,0.019745,0.310474,2.038418,6.52623,2.575501,0.008537,1.524915,0.395009,-0.885212,-1.14343,-1.352578,-1.636513,-1.71918,-1.862887,-1.868173,-1.873111,-1.776958,-1.735073,-1.662011,-1.6282,-1.499615,-1.262828,-1.331647,-1.398618,-1.280038,-1.176504,-1.211544,-1.377599,-1.485292,-1.143599,-0.801797,-0.878266,-0.755094,-0.846997,-1.179844,-1.031965,-1.347096,-1.784143,-1.780872,-1.938778,-1.786634,-1.636683,-1.337828,-0.91922,-0.229168,0.733386,2.179425,4.233609,6.937407,9.45563,10.295978,8.921928,6.868998,4.157422,1.575099,-0.621405,-2.308879,-3.529435,-4.480002,-5.158707,-5.626182,-5.955269,-6.195393,1
5.06389,3.726509,2.784851,1.852114,1.183805,0.660863,0.317893,0.127125,0.022322,0.310089,2.030012,6.504821,2.559843,0.006561,1.516981,0.38586,-0.887785,-1.143872,-1.349065,-1.634357,-1.719354,-1.860504,-1.867047,-1.869341,-1.773581,-1.735517,-1.660427,-1.629555,-1.501431,-1.264929,-1.33393,-1.402715,-1.282937,-1.178922,-1.216145,-1.382199,-1.487306,-1.149107,-0.8081,-0.883838,-0.76037,-0.849716,-1.185699,-1.036486,-1.350275,-1.784706,-1.781581,-1.937569,-1.782222,-1.638923,-1.333971,-0.91996,-0.227512,0.734086,2.179831,4.234038,6.944189,9.466713,10.307995,8.92013,6.869,4.156179,1.579416,-0.618212,-2.304811,-3.52129,-4.475873,-5.152814,-5.620777,-5.949709,-6.190677,1
5.237046,3.857628,2.882062,1.923559,1.231947,0.678135,0.314635,0.102947,-0.020785,0.226092,1.811106,6.077973,2.332643,-0.096499,1.372834,0.327602,-0.884529,-1.134797,-1.327941,-1.622558,-1.730834,-1.880119,-1.895796,-1.903801,-1.808187,-1.759272,-1.67571,-1.639069,-1.516798,-1.290265,-1.353135,-1.423174,-1.315616,-1.211669,-1.234682,-1.401462,-1.496507,-1.170095,-0.845663,-0.914118,-0.787233,-0.866028,-1.195837,-1.056646,-1.351981,-1.75988,-1.74696,-1.886719,-1.718288,-1.559479,-1.220316,-0.813003,-0.126716,0.837893,2.28156,4.32389,6.992491,9.453446,10.291413,8.974029,6.925808,4.243313,1.664536,-0.548965,-2.253969,-3.488587,-4.455309,-5.156159,-5.634704,-5.969741,-6.214988,1
