@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute target {1,2}

@data
-1.64698,-0.012246,1.682184,-0.841953,-0.085771,0.697335,4.559397,0.99712,0.59246,0.938961,2.150219,1.784545,1.343723,-0.262299,-0.657396,0.240524,1.937863,-0.237416,2.107162,-1.231528,-1.042187,0.594612,0.512881,-0.862432,-0.831985,-0.918901,-0.305158,-0.019585,-1.040538,-0.725605,1.152964,0.466228,0.203173,-1.432736,2.452631,-0.470631,1.186545,-1.032149,-1.004219,-1.237084,2.310384,-0.388218,0.021697,1.066913,0.976949,0.867922,1.081091,-1.566541,1.077805,0.555234,-0.337911,-0.160904,1.489157,-0.705211,-0.323986,-0.435072,-0.698971,1.742908,2.173094,-0.056479,-1.535618,-1.211635,-1.141244,-1.270526,1.601107,-1.140556,-0.923376,-0.816078,-0.006236,-1.757613,0.193778,0.564045,1.509377,-1.089934,-0.187639,0.688615,-0.789359,-0.054574,-1.526738,-1.338875,-1.531796,-0.526771,-0.988449,-1.123684,-1.351368,2.352232,0.149915,-0.950705,-1.499532,0.401545,0.195503,-0.620246,-1.191582,2.028464,1.720563,0.041172,0.788624,2.176093,2.231577,0.951298,-0.871647,2.019547,0.775996,-1.21135,-1.060438,1.925496,-0.221802,-0.519519,-0.535717,-0.470574,1.230079,1.76893,-0.533389,-0.363807,0.584413,0.411623,-1.253568,-0.93036,-0.758418,-0.332591,-1.101677,-0.813447,-0.139264,0.165154,0.067777,-2.191645,-0.319965,-1.243217,1.065462,1.589104,-0.824077,-0.807356,-0.793863,-0.824701,1.410539,-1.045991,-0.902531,1.502613,-1.216786,-0.995253,-0.775236,2.088291,-0.451205,-1.000905,-1.315477,0.237397,-0.511893,-0.557831,-0.447737,1.010722,0.903754,-1.194727,-0.991218,-0.639081,2
1.376651,-0.865759,-0.838019,-0.826143,-0.828541,-0.851312,-0.920909,-1.202008,1.85229,-0.219611,-0.29364,1.617052,-1.403996,0.378538,-0.275824,-0.29893,-0.153048,1.929946,0.444023,-1.982459,-1.876584,1.499777,2.067138,-0.373782,-0.474801,-0.513897,-0.534113,-0.547597,-0.560798,-0.581566,-0.631855,-0.86696,-0.158574,1.603981,3.715409,1.318179,-1.082169,-0.75368,-0.650597,-0.596158,-0.558475,-0.526845,-0.495943,-0.461678,-0.419023,-0.358881,-0.258352,-0.02554,2.694949,-0.890154,1.185954,-1.355655,-0.944242,-0.793727,-0.665341,2.328806,-0.989237,-0.040303,1.993118,-0.871569,-0.759737,-0.713374,-0.684,-0.661534,-0.642325,-0.624499,-0.606665,-0.587185,-0.56296,-0.525024,-0.430728,0.484017,-1.681981,2.018764,4.045662,0.037984,2.153196,-0.360971,0.053858,2.906289,3.363461,0.662844,-0.035704,-0.193981,-1.168084,-1.053984,-0.528882,-0.329114,-0.734975,-0.706493,-0.5745,1.431851,-1.202597,-1.014273,-0.971471,-0.979604,-1.054524,-1.410254,1.324308,-0.288737,-0.431535,-0.435299,-0.295861,2.048564,-1.353201,-1.144852,-1.390775,1.305902,-0.358649,-0.512167,-0.565472,-0.591548,-0.607142,-0.618284,-0.627982,-0.638454,-0.65241,-0.675563,-0.738445,-0.683916,-0.882083,1.318667,1.513037,-0.062834,-0.164703,-0.095524,0.76072,-0.989659,-0.647287,-0.550765,-0.485859,-0.392858,2.517831,-0.585754,-0.469551,-0.369883,-0.178665,1.967499,-0.836042,-0.43095,1.506307,2.497613,5.796334,0.476126,4.082004,2.106005,-0.570196,-0.585558,-0.543771,-0.431294,-0.354732,4.022401,-1.508957,-1.042119,1
2.485055,-0.506485,-0.528095,2.555629,-0.678354,-0.915228,2.300331,-1.068135,-1.161215,3.805138,-0.321041,-0.457185,-0.553998,-0.769238,-0.66401,3.604776,-0.817064,-0.545616,-0.520681,-0.523769,-0.534067,-0.546125,-0.549724,-0.424831,-0.687304,-0.535116,-0.820675,2.891859,0.312188,0.053234,-0.019208,3.662583,2.165144,-0.035194,1.980196,-0.671183,-0.598221,3.649125,-0.501714,-0.493104,-0.482131,-0.470437,-0.456825,-0.43914,-0.41345,-0.371106,-0.287423,-0.050117,4.047163,-1.233006,-0.888546,-0.789945,-0.746837,-0.716226,-0.530603,-1.592626,0.35045,-0.456612,-0.599435,-0.727571,-1.097232,1.553944,-0.032016,-0.145479,-0.039638,1.422194,-1.13071,1.994422,-1.279018,-1.496833,1.35599,-0.558393,-1.134104,2.267988,-0.034016,-0.293519,-0.444894,-0.686968,2.879563,-0.168609,-0.612362,0.682906,0.15474,0.237606,1.935707,2.241841,1.153861,1.930763,-1.159607,-0.808513,-0.74188,-0.7796,-1.14211,0.817402,0.054872,0.728765,-0.975823,-0.652456,-0.581747,-0.552914,-0.537955,-0.529219,-0.523933,-0.521005,-0.520159,-0.52176,-0.527077,-0.539334,-0.567392,-0.643058,-0.991989,1.092652,0.099174,0.129225,1.272071,-0.800597,0.06774,-1.027417,-0.803295,8.161382,0.367655,-0.903497,-0.854215,-0.772507,-0.727022,-0.698765,-0.679835,-0.666527,-0.656855,-0.64959,-0.643788,-0.638373,-0.631312,-0.616512,-0.562406,2.190367,-0.928451,-0.947797,-1.323724,0.648255,-0.311649,-0.449238,-0.505088,-0.536902,-0.559212,-0.577611,-0.594987,-0.613079,-0.630797,-0.604691,1.700543,1.222459,-0.236882,-0.404401,1
-0.839579,-0.865317,-0.877641,-0.883848,-0.886455,-0.886328,-0.883475,-0.87713,-0.865316,-0.843284,-0.797716,-0.674273,0.266523,0.229035,-0.734484,0.93451,-1.573761,-1.846919,0.724111,-0.80178,-1.018404,-1.210267,0.404749,0.690156,1.338365,-0.33875,-0.568281,-0.707203,1.374585,-0.120957,1.629316,-0.801188,-0.724012,-0.695256,-0.667473,-0.627591,-0.558127,-0.397501,1.019286,-0.835072,2.359232,0.453976,-1.528771,-1.06416,0.219011,0.577258,-0.680967,-1.429289,2.422152,0.085257,-0.669254,-0.551188,-1.102677,-0.964929,-0.929221,-0.901324,-0.863463,-0.783313,-0.277322,0.560192,-0.742958,1.106094,-1.159273,-0.927357,-1.252402,-1.123421,-1.088535,-1.070871,-1.058471,-1.016254,-1.10706,-0.09213,-0.791452,-0.820677,-0.728389,0.556202,-1.363706,-1.173839,5.486032,-1.501308,-1.247754,-1.114318,0.988416,-1.877947,1.18064,-1.634203,-0.458268,-0.214433,-0.966558,-1.493067,0.109545,-0.728263,0.1626,1.90091,-0.544543,-0.621719,-0.557517,1.022514,-0.631878,-0.956128,4.294321,0.739878,3.234782,0.078476,1.430606,-0.054276,1.799816,0.331966,-0.482776,0.827641,-0.943701,-0.229048,3.228654,0.438467,1.065865,3.080369,0.990713,-0.482177,-0.609589,-0.50522,0.337971,-1.710768,3.577467,2.503845,0.518934,4.129528,0.312807,1.039691,2.895909,1.381579,-0.551006,1.591367,-0.736575,-0.717214,-0.705268,0.904641,2.286342,-1.372568,0.413653,2.554765,2.160812,-0.924064,-0.730915,0.737692,-1.585525,0.988904,3.283789,-0.551715,-0.655565,0.4698,-1.085528,0.545801,-0.354277,-0.771782,1
-0.514693,-1.51545,2.170774,-0.901208,0.903758,1.094843,-0.520605,-0.686324,-0.512487,1.280285,0.415232,-0.806951,2.174167,-0.483773,0.143667,-0.977668,-0.954471,-0.87746,1.059468,-0.949043,-0.741486,1.727692,-0.479231,-1.714593,-1.50461,0.828085,-1.060108,1.204295,1.024731,0.166127,-1.456585,-1.306821,-1.445093,0.488474,-0.580993,0.477338,-1.155837,-0.34685,0.21914,-0.033329,1.935576,-1.021515,-1.106366,1.043686,-0.02239,0.202239,0.126184,-0.779891,-0.883788,1.033395,-1.206162,-0.882789,-1.202867,0.705703,1.639068,-0.453681,0.707004,1.187569,-1.7015,-1.344335,0.794344,-1.154489,-1.070751,-1.359673,-1.620168,1.633501,-0.855,-0.95994,-0.993151,-0.99949,-0.960267,-0.224909,-0.009332,3.396055,3.765558,-1.296613,0.805969,1.830174,4.602963,-0.951895,-1.351406,-1.019905,-0.581757,-1.312962,-0.950798,0.6519,3.083506,0.005275,0.593699,-1.827975,1.154645,-1.546582,0.050316,2.023077,1.419619,-1.339347,-1.272446,0.296344,0.490423,0.716489,-1.807406,0.274712,0.254255,2.015022,-1.31509,-1.194378,-1.08098,-1.165468,1.898356,-1.928424,-0.497654,-0.245653,-1.501329,0.483559,-1.04627,-1.429042,0.40401,-0.989679,-1.364639,0.629978,-0.914384,0.858547,-0.850141,-0.98797,-1.103603,-1.286316,0.104979,1.497131,1.08395,2.066712,0.77231,-1.265847,1.3053,1.080748,-0.190661,0.249278,-1.20033,0.953844,2.806909,-0.603041,2.463087,0.928299,-1.126604,0.328658,-0.924985,1.683148,2.770312,1.301881,0.063897,1.407866,-0.86471,1.299581,0.955554,-0.539821,2
4.443058,-0.45483,-0.441787,-0.451247,-0.478088,-0.533718,-0.696847,2.853507,-0.186674,-0.326981,-0.39702,-0.459072,-0.538773,-0.684939,-1.185686,2.045077,0.135849,-0.096952,-0.198356,-0.267018,-0.33562,-0.446804,-0.821969,5.473281,1.29634,-0.661688,-0.315054,-0.236142,3.895587,3.173495,-1.115666,-0.740385,-0.649752,-0.62471,-0.63373,-0.679668,-0.808109,-1.403845,0.996106,-0.019616,-0.185906,-0.251149,-0.282916,-0.297586,-0.299214,-0.284937,-0.239067,-0.082092,2.892129,-1.018286,-0.969635,6.902122,-0.576431,-0.477065,-0.395353,3.124104,-0.717181,-0.639196,-0.619645,-0.615237,-0.617683,-0.624405,-0.63451,-0.647831,-0.664657,-0.685709,-0.712287,-0.74664,-0.792845,-0.859032,-0.964278,-1.167997,-1.819045,3.232776,-0.249608,-1.012102,2.644742,1.649972,0.08562,-0.172953,-0.313103,-0.42908,-0.576335,-1.004183,0.537462,-0.23126,-0.425997,-0.621369,-1.153588,1.969622,0.130396,-0.106349,-0.209204,-0.271689,-0.316806,-0.353259,-0.38536,-0.415884,-0.447332,-0.483196,-0.531475,-0.628084,3.07273,-0.457479,-0.589421,-0.747187,-1.210614,2.251641,0.008936,-0.243385,-0.367333,-0.472351,-0.619146,-1.069347,1.243514,-0.025915,-0.213284,-0.301757,-0.362552,-0.415438,-0.471843,-0.547237,-0.686373,-1.210971,0.943226,-0.050294,-0.221875,-0.301698,-0.353355,-0.393566,-0.429054,-0.463551,-0.499961,-0.541501,-0.592961,-0.663352,-0.773974,-0.994691,-1.80336,1.835535,-0.320473,3.438317,-0.61738,-0.605952,-1.176658,1.589867,0.111066,-0.153021,-0.355612,-0.839758,3.203601,0.802312,3.176274,-0.877807,1
-0.768016,-0.768485,-0.788265,-0.822032,-0.89126,-1.156861,0.331994,2.164079,1.435076,0.474118,2.176132,1.27308,-1.074835,-1.003122,-1.043251,-1.162736,-1.54189,1.481855,1.647505,0.021949,2.053309,3.581928,-0.71397,-0.832581,-1.254238,0.836843,-0.156793,-0.184485,0.824072,-1.093254,-0.813219,-0.733703,-0.645621,1.312491,1.393859,-1.097024,1.042336,3.477728,-1.106003,-1.132705,-1.429214,-0.210263,-1.023776,0.530974,-0.39959,-0.523141,-0.563677,-0.561705,-0.482977,0.319962,-1.423938,-1.222567,-1.614196,2.928942,-0.322011,-0.504296,-0.564576,-0.58323,-0.567096,-0.465025,1.285813,-1.183565,-1.025362,-1.059301,-1.3889,0.400135,-0.480855,-0.596751,-0.625663,-0.576554,1.857176,1.485157,-1.000132,-1.445003,0.360771,-0.801282,1.086938,-0.241066,-0.311732,0.081694,-0.609774,1.696969,-1.540157,2.384252,2.34895,-1.084935,1.190094,-1.439653,0.850493,-0.999498,0.120622,-0.513174,2.31007,0.03836,-0.496349,1.641569,1.907397,-0.648198,3.076577,2.200954,-0.600519,-0.709967,-0.819666,-1.128072,1.132089,-0.273864,-0.362735,1.690829,-1.0389,-0.173553,-0.656566,-0.663539,-0.814542,3.616022,0.74371,-1.167869,-0.866998,-0.794926,-0.753267,-0.67664,0.164441,-1.291468,0.854555,-0.67727,-1.038345,1.940416,-0.608634,-0.572028,-0.56459,-0.490723,0.519293,-1.009672,-0.923121,-0.937102,-1.046182,-1.591334,1.20659,-0.013971,2.929854,-0.579184,-0.292198,1.692955,0.897902,-0.791656,-0.6131,3.595997,-1.551694,-0.841595,-1.986055,1.140612,0.403423,0.649093,2.321319,-0.896247,1
-1.443478,-1.755069,0.930738,0.765186,-0.053777,1.149142,-0.230959,-0.867341,-0.856634,1.860937,2.422174,-1.143866,0.237158,0.423281,2.017499,-0.148356,1.113467,-0.892845,1.052478,1.075444,-0.756323,-0.954532,2.543798,0.469018,0.843958,0.665727,0.954943,-0.959888,1.038885,1.346067,-0.422147,0.451893,0.06761,-1.654336,-1.494075,-1.703212,0.727024,-0.841747,-0.990246,-1.053977,1.24174,-1.215837,-1.482902,0.007303,-0.915509,3.071327,0.660866,-1.34382,1.098856,0.782758,-1.373706,0.59172,2.081036,1.611725,2.927646,-0.984187,-0.962103,-0.971998,-0.981764,-0.990679,-1.005441,-1.11762,1.526115,-1.49789,-1.263898,-1.270698,-1.484003,0.511562,1.985686,0.860292,-0.793071,-0.117948,-1.978345,0.91911,-0.805348,-1.101243,1.159042,-1.071037,-1.06146,-1.294313,2.280591,0.134702,-0.066166,3.110083,0.645693,0.663053,-0.587425,0.43212,1.295379,0.660933,-1.305604,0.708155,-0.26331,-0.908475,0.800425,-0.997432,1.496599,-1.447816,-1.253809,-1.326696,0.857415,-0.069989,1.656113,0.714139,0.912378,-1.237785,-1.098655,-1.007571,2.353352,1.811179,0.2623,-1.028765,-1.091543,-0.965702,1.221278,2.42543,-0.742843,-0.935042,-1.012196,-1.064047,-1.117784,-1.206455,-1.499869,0.048616,1.744224,-0.450667,2.099832,-1.331163,0.16498,-0.011576,-0.955515,4.186415,1.246984,0.483515,1.11803,1.377692,-1.487682,-1.673422,0.135076,-0.928364,-1.034672,-1.078706,-1.124367,-1.29508,3.167395,3.808288,-1.244134,-0.985823,0.865244,-1.578416,-1.359313,-1.32054,-1.322896,-1.355873,1
-0.47451,-0.459646,-0.446864,-0.435569,-0.425338,-0.415854,-0.406868,-0.398166,-0.389559,-0.380856,-0.371857,-0.36233,-0.351991,-0.340461,-0.327212,-0.311457,-0.291945,-0.266514,-0.231034,-0.176337,-0.076715,0.179956,2.68625,2.100895,3.974097,-0.635568,-0.329638,0.625881,-1.292353,-0.827809,-0.708469,-0.652447,-0.620666,-0.601718,-0.591333,-0.588088,-0.59242,-0.607112,-0.640184,-0.71775,-0.982878,4.536424,-0.027622,-0.227968,-0.296419,-0.329758,-0.348632,-0.359947,-0.366419,-0.368877,-0.366647,-0.356543,-0.328019,-0.23577,0.418818,2.117088,0.506426,-0.390103,-0.513039,-0.605876,-0.767562,-1.382323,1.582519,0.112497,-0.108523,-0.206132,-0.271562,-0.333718,-0.418225,-0.589449,-1.273309,2.505531,0.626533,0.491106,0.742021,4.729176,-1.319937,-0.695714,-0.528579,-0.455227,-0.415866,-0.392417,-0.377745,-0.368638,-0.363656,-0.362416,-0.365534,-0.37528,-0.398269,-0.458366,-0.720058,7.527183,-0.220028,-0.200696,-0.209555,-0.214378,-0.21548,-0.213795,-0.209806,-0.203626,-0.195055,-0.183526,-0.167891,-0.145852,-0.112319,-0.053519,0.085152,0.960592,3.436393,-0.385834,-0.293984,-0.227205,-0.157866,-0.055738,0.181129,2.633962,-1.003978,-0.585875,-0.455212,-0.383439,-0.331461,-0.285841,-0.239007,-0.183607,-0.107822,0.016638,0.298502,2.571479,-0.625765,5.34395,-1.806466,-1.123947,-0.978502,-1.011502,-1.46341,2.247967,0.095281,-0.110603,-0.167634,-0.178598,-0.164729,-0.128546,-0.060485,0.074049,0.424385,3.30775,-1.787583,-0.965794,-0.746378,-0.643714,-0.583533,-0.543493,-0.51455,-0.492345,1
0.730717,0.833847,-0.918624,-1.059972,-1.314908,0.843812,1.093885,0.997826,-0.435141,0.086144,-1.384788,-0.927783,2.106826,1.073082,-0.928835,0.938825,-1.58169,1.094519,-0.727906,-1.014678,1.106636,-0.853633,-0.873174,-0.921897,-0.810587,1.770022,-0.765049,-0.921529,-1.209115,-0.32878,-0.713942,2.281188,1.607256,-0.3892,0.290849,-1.225257,-1.002058,-0.952368,3.001649,-1.339355,2.503077,-0.909525,0.955595,1.811389,0.795855,-1.302245,1.465327,-1.117066,-0.885242,-0.38413,2.70614,-1.128996,-2.011715,-0.73012,-1.488504,0.65655,0.711171,-2.167732,-0.29947,-0.439263,-0.705934,-1.115453,0.505813,0.868542,2.830143,-0.694397,-0.877869,-1.048109,-1.464536,1.751118,3.287281,-0.897253,0.400021,-0.102769,-0.339233,0.800179,-1.251154,0.356795,-0.626026,-0.581604,-1.631227,-0.626713,-1.426876,-0.049326,0.213516,-0.562837,-0.846173,0.97377,1.02697,-0.354196,-0.434034,-0.196634,2.157354,-1.649971,0.79993,-0.553792,0.526331,-1.535686,-1.36813,1.006884,-1.534154,1.302137,0.380394,-0.970505,0.784017,2.70505,0.521938,-1.292921,-0.000705,0.38534,0.038344,-1.044688,-1.390514,0.386844,-1.139309,-0.563316,-1.359128,0.672771,-0.574807,-0.825055,-1.14654,-0.386427,0.683986,0.067692,-1.081747,1.269707,-0.469938,-0.668171,-0.788126,-0.950612,1.862062,-0.923919,0.715282,0.833145,-1.257875,-1.151064,-1.413445,1.399589,1.086872,2.967556,0.660258,-0.703438,-0.832358,-1.144042,1.629983,1.49402,4.0583,3.78738,3.796253,-0.665267,2.309291,-1.624064,-1.258364,-1.20034,1
