@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute target {1,2}

@data
-1.076354,-1.063762,-1.073691,-1.082716,-1.105334,-1.105581,-1.10561,-1.105799,-1.105068,-1.101483,-1.099474,-1.095863,-1.085171,-1.079323,-1.076857,-1.103794,-0.994903,-0.545232,0.602427,1.432966,2.563819,2.990506,3.033817,3.055001,3.07863,3.063599,3.048336,3.003588,2.822086,2.228706,1.428581,0.551525,-0.606801,-1.226594,-1.266792,-1.147054,-1.107576,-1.101985,-1.066585,-1.054376,-1.057885,-1.060125,-1.066015,-1.06721,-1.068575,2
-1.069031,-1.078196,-1.062851,-1.056446,-1.051199,-1.041995,-1.019567,-1.014353,-1.017734,-1.017684,-1.010332,-0.99729,-0.995214,-0.989401,-0.957919,-0.677709,-0.039332,1.073522,1.803086,2.725224,3.088997,3.168715,3.189842,3.204545,3.203638,3.189891,2.980569,2.308696,1.562035,0.86905,-0.387172,-1.080391,-1.349471,-1.328828,-1.24072,-1.173047,-1.126874,-1.095275,-1.077093,-1.075762,-1.072487,-1.072796,-1.06933,-1.063148,-1.059162,2
-1.275312,-1.293257,-1.271365,-1.276817,-1.299094,-1.295886,-1.304894,-1.284989,-1.287318,-1.291281,-1.285147,-1.228642,-1.059759,-1.037007,-0.94067,-0.698186,0.569474,1.7637,2.69602,2.825468,2.840069,2.830705,2.829407,2.814253,2.779949,2.758345,2.728746,2.612338,2.060122,1.167184,0.292456,-0.409811,-0.808938,-0.942908,-1.04768,-1.056785,-0.953245,-0.90682,-1.089137,-1.204878,-1.23402,-1.217025,-1.205562,-1.18266,-1.179147,1
-1.242288,-1.241348,-1.242842,-1.244305,-1.244424,-1.243002,-1.243129,-1.241818,-1.237409,-1.218842,-0.988262,-0.947748,-0.979309,-0.893302,-0.606091,0.169082,1.25362,2.31155,2.892594,2.956038,2.971181,2.96795,2.960886,2.957115,2.938555,2.892334,2.588639,1.862575,0.933773,0.096997,-0.51338,-0.778674,-0.875696,-0.915748,-0.923415,-0.933118,-1.035943,-1.247108,-1.320526,-1.304738,-1.253463,-1.2043,-1.203924,-1.216414,-1.212323,1
-1.008321,-0.999415,-0.980337,-0.969418,-0.962591,-0.960903,-0.960246,-0.957367,-0.957176,-0.952636,-0.947672,-0.948164,-0.933625,-0.881382,-0.336905,0.825737,1.472074,2.387605,3.362414,3.420991,3.395346,3.394181,3.382279,3.379457,3.066646,2.189363,1.206334,-0.235374,-1.153079,-1.181284,-1.096362,-1.054291,-0.957467,-0.86474,-0.91039,-0.978706,-0.991036,-0.989875,-0.998456,-1.00773,-1.030325,-1.05642,-1.072618,-1.077913,-1.070199,2
-0.969323,-0.944746,-0.962455,-0.980735,-1.002801,-1.020207,-1.037197,-1.035161,-1.029791,-1.024267,-1.025165,-1.026696,-1.029383,-1.023349,-0.477176,0.925713,1.81451,2.449448,3.020405,3.153275,3.183872,3.190393,3.204414,3.173332,3.000236,2.386795,1.552948,1.021591,0.485606,-0.260298,-0.943103,-1.333348,-1.345408,-1.283099,-1.192127,-1.159563,-1.160162,-1.151644,-1.149417,-1.152379,-1.163991,-1.164905,-1.175762,-1.171091,-1.16779,2
-2.117424,-2.201478,-2.169489,-2.129632,-2.121913,-2.122492,-2.119712,-2.005824,-1.028121,0.393995,1.18817,1.390668,1.442817,1.474717,1.471816,1.477227,1.490512,1.484982,1.485202,1.484042,1.482811,1.487703,1.491691,1.489633,1.486795,1.481784,1.474778,1.449974,1.448696,1.431966,1.428775,1.391859,1.305659,1.14177,0.86084,0.169869,-0.917582,-1.87588,-2.250793,-2.252182,-2.086382,-2.04126,-2.100593,-2.132616,-2.135375,2
-3.044703,-3.304575,-3.326886,-3.335082,-3.342287,-3.348953,-3.355466,-3.291209,-2.557423,-1.07557,0.298495,0.910799,0.974043,0.923811,0.921022,0.946985,0.960193,0.972472,0.977682,0.985545,0.995039,0.98923,0.990832,0.986724,0.968796,0.966022,0.96852,0.960824,0.943102,0.944611,0.938443,0.935462,0.928607,0.934543,0.939988,0.948606,0.95365,0.967861,0.966642,0.965721,0.951609,0.915216,0.700298,0.179962,-0.829203,2
-1.762619,-1.776241,-1.776269,-1.78083,-1.774772,-1.747088,-1.146109,0.195083,1.337381,1.777675,1.821102,1.796172,1.813758,1.812484,1.793435,1.785545,1.78148,1.779859,1.766448,1.768254,1.761334,1.753913,1.761041,1.764964,1.759411,1.712944,1.635111,1.469761,1.108898,0.453578,-0.484241,-1.305126,-1.771872,-1.859723,-1.789901,-1.754262,-1.744027,-1.74237,-1.738402,-1.740926,-1.745261,-1.750566,-1.749101,-1.744917,-1.725008,2
-1.9893,-1.955251,-1.946781,-1.94962,-1.95917,-1.777691,-1.363144,-1.267688,-1.17815,-1.124784,-1.071602,-0.519373,0.38393,1.106044,1.66543,1.929717,1.981796,2.005073,2.001667,2.000124,1.996328,1.988703,1.981712,1.98386,1.980709,1.987813,1.980389,1.97296,1.953624,1.846104,1.513025,0.933168,0.299328,-0.302696,-0.837266,-1.232604,-1.37703,-1.385681,-1.368533,-1.393849,-1.48366,-1.661186,-2.043783,-2.196304,-2.106355,1
