@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute target {1,2,3}

@data
-0.81423,-0.50526,-0.481869,-0.462958,-0.422407,-0.362818,-0.311481,-0.313381,-0.28325,-0.226408,-0.133027,-0.053476,-0.062048,-0.153977,-0.264062,-0.339852,-0.375098,-0.368619,-0.329074,-0.334581,-0.417446,-0.484231,-0.485602,-0.453173,-0.428998,-0.420638,-0.422002,-0.470123,-0.512161,-0.522881,-0.515602,-0.496953,-0.455751,-0.413889,-0.358972,-0.305902,-0.262725,-0.246966,-0.258439,-0.293664,-0.325988,-0.339166,-0.351692,-0.348144,-0.336049,-0.319366,-0.28408,-0.238554,-0.229666,-0.27961,-0.356313,-0.409888,-0.420807,-0.438414,-0.450834,-0.451371,-0.427797,-0.390462,-0.330761,-0.170908,0.035124,0.185341,0.155798,0.017673,-0.087035,-0.182489,-0.264336,-0.306349,-0.250691,-0.184014,-0.119599,-0.148349,-0.187698,-0.242042,-0.347844,-0.328726,-0.225473,-0.04395,0.184626,0.496841,0.845753,1.080437,1.437393,1.820761,2.120379,2.3689,2.201488,1.824974,1.705764,1.638726,1.647092,1.754454,1.956248,2.260203,2.724823,3.350329,4.087916,4.798163,5.37652,5.406252,5.209068,4.753325,4.208073,3.354897,2.578319,1.875725,1.21903,0.598663,0.039575,-0.453781,-0.805073,-1.061292,-1.282468,-1.441877,-1.584766,-1.701075,-1.814477,-1.93093,-2.017276,-2.084101,-2.140763,-2.181581,-2.216779,-2.246211,-2.271316,-2.29717,-2.315476,-2.329808,-2.34141,-2.354157,-2.361854,-2.36888,-2.369882,-2.363558,-2.340233,1
-0.800122,-0.496115,-0.470699,-0.448043,-0.40774,-0.349262,-0.295496,-0.291286,-0.266624,-0.202995,-0.115398,-0.030654,-0.042955,-0.135705,-0.244542,-0.328857,-0.365177,-0.359244,-0.326995,-0.333235,-0.416156,-0.479425,-0.480075,-0.443621,-0.422762,-0.40979,-0.408661,-0.455867,-0.502426,-0.512027,-0.501719,-0.4785,-0.440812,-0.393424,-0.344368,-0.292414,-0.253276,-0.236555,-0.260525,-0.292641,-0.322929,-0.334865,-0.347795,-0.345939,-0.333572,-0.318873,-0.281165,-0.239205,-0.229513,-0.278637,-0.355577,-0.41212,-0.423814,-0.44151,-0.451305,-0.45281,-0.434382,-0.394572,-0.333948,-0.173052,0.027818,0.178232,0.146617,0.014255,-0.096628,-0.187194,-0.271686,-0.313853,-0.255145,-0.190651,-0.12264,-0.156283,-0.192083,-0.250251,-0.352115,-0.337288,-0.232104,-0.05286,0.166852,0.482868,0.827571,1.073231,1.422244,1.805301,2.126363,2.34224,2.180601,1.795979,1.677584,1.616272,1.629313,1.742101,1.946591,2.257463,2.716311,3.361503,4.099872,4.796366,5.312305,5.512976,5.298699,4.731475,4.19414,3.321177,2.541593,1.855533,1.190616,0.580506,0.028457,-0.465315,-0.806545,-1.061397,-1.27842,-1.436119,-1.578296,-1.692133,-1.805503,-1.930141,-2.019762,-2.089582,-2.142687,-2.187356,-2.224409,-2.252024,-2.275803,-2.300886,-2.320765,-2.336034,-2.347355,-2.360227,-2.370066,-2.375281,-2.375355,-2.371197,-2.345814,1
-0.80448,-0.486711,-0.467837,-0.445633,-0.399201,-0.340849,-0.294011,-0.302226,-0.281498,-0.222653,-0.133372,-0.050047,-0.059059,-0.155163,-0.264083,-0.3321,-0.370046,-0.356203,-0.312423,-0.316125,-0.397309,-0.459802,-0.460887,-0.420323,-0.397921,-0.386712,-0.394189,-0.445088,-0.491648,-0.507392,-0.503747,-0.486297,-0.450857,-0.40987,-0.355721,-0.302535,-0.259722,-0.244411,-0.259984,-0.295553,-0.322814,-0.334664,-0.344609,-0.348456,-0.339089,-0.321869,-0.288536,-0.239138,-0.228919,-0.279727,-0.35631,-0.411628,-0.421164,-0.439002,-0.454105,-0.451517,-0.429747,-0.389434,-0.328427,-0.173664,0.02327,0.17556,0.135342,-0.002141,-0.101139,-0.189508,-0.272461,-0.314235,-0.261009,-0.192398,-0.118493,-0.154842,-0.189729,-0.256436,-0.358147,-0.344141,-0.23887,-0.061265,0.151129,0.464913,0.793942,1.048253,1.392257,1.767333,2.060385,2.299872,2.143492,1.813417,1.700159,1.650749,1.661821,1.777289,1.977037,2.272239,2.727432,3.358171,4.122043,4.803276,5.332972,5.465685,5.305493,4.725195,4.217257,3.352038,2.569488,1.882231,1.222872,0.599885,0.042445,-0.445908,-0.796438,-1.056895,-1.276365,-1.432576,-1.566687,-1.668271,-1.778344,-1.913553,-2.015976,-2.093505,-2.14975,-2.192444,-2.231268,-2.258295,-2.28425,-2.310155,-2.329677,-2.34364,-2.356861,-2.369931,-2.377602,-2.384898,-2.385,-2.380516,-2.354817,1
-0.802987,-0.490304,-0.46571,-0.445021,-0.40308,-0.342789,-0.297879,-0.301531,-0.281316,-0.226341,-0.130487,-0.050044,-0.063531,-0.163918,-0.271632,-0.35088,-0.385082,-0.372032,-0.330948,-0.331174,-0.419753,-0.483991,-0.476983,-0.433263,-0.404226,-0.390612,-0.393111,-0.445413,-0.493487,-0.504403,-0.503176,-0.481555,-0.44894,-0.405813,-0.356193,-0.301918,-0.257843,-0.248722,-0.267066,-0.298091,-0.320478,-0.334093,-0.344876,-0.343473,-0.338313,-0.323166,-0.285973,-0.235047,-0.226644,-0.27495,-0.355481,-0.408039,-0.421142,-0.440251,-0.454397,-0.453019,-0.430101,-0.392481,-0.327904,-0.170246,0.029682,0.178716,0.145334,0.005585,-0.094219,-0.187693,-0.268578,-0.313599,-0.257654,-0.188446,-0.121146,-0.156249,-0.19478,-0.254641,-0.356729,-0.340415,-0.237326,-0.058919,0.160206,0.470563,0.805512,1.063485,1.403028,1.796124,2.084526,2.316406,2.177973,1.80377,1.705623,1.653629,1.662929,1.786557,1.977236,2.271821,2.734491,3.386054,4.098063,4.797406,5.331504,5.393706,5.256371,4.729107,4.232963,3.35373,2.590392,1.891907,1.217854,0.607331,0.053466,-0.449817,-0.792968,-1.056921,-1.276668,-1.431612,-1.566081,-1.67212,-1.781217,-1.913906,-2.016944,-2.09271,-2.149924,-2.192632,-2.228762,-2.25725,-2.282655,-2.309335,-2.328864,-2.342551,-2.35549,-2.366771,-2.377031,-2.38238,-2.383353,-2.379106,-2.354265,1
-0.797022,-0.483067,-0.459573,-0.438168,-0.400302,-0.341764,-0.290011,-0.297612,-0.275099,-0.216418,-0.13138,-0.048327,-0.056851,-0.154489,-0.259441,-0.331333,-0.36892,-0.355809,-0.316572,-0.318508,-0.405754,-0.469783,-0.466881,-0.427518,-0.40486,-0.395629,-0.398152,-0.445958,-0.491422,-0.505097,-0.50167,-0.477138,-0.443849,-0.398997,-0.349718,-0.298737,-0.258103,-0.243128,-0.263123,-0.294278,-0.32349,-0.334499,-0.348923,-0.34834,-0.339846,-0.322339,-0.287434,-0.244467,-0.232021,-0.278533,-0.358879,-0.412929,-0.42387,-0.439787,-0.453538,-0.453687,-0.429132,-0.391719,-0.334346,-0.178987,0.020155,0.168768,0.131067,-0.005078,-0.104544,-0.196224,-0.275141,-0.318566,-0.263642,-0.197315,-0.127609,-0.162336,-0.195744,-0.255384,-0.35821,-0.342124,-0.240808,-0.068507,0.149214,0.456934,0.779062,1.022747,1.373895,1.737625,2.052294,2.28371,2.13626,1.780346,1.682615,1.645468,1.663252,1.776122,1.98573,2.294253,2.756639,3.398804,4.140946,4.808673,5.34251,5.440318,5.280237,4.752906,4.213165,3.366626,2.591545,1.892482,1.220132,0.612034,0.052517,-0.437781,-0.78741,-1.046448,-1.266716,-1.422772,-1.558777,-1.669107,-1.780078,-1.915931,-2.014332,-2.091466,-2.149831,-2.191594,-2.228606,-2.258308,-2.283068,-2.30803,-2.328581,-2.343246,-2.355263,-2.367292,-2.377321,-2.384019,-2.385239,-2.377112,-2.352267,1
-0.787644,-0.472247,-0.451659,-0.435824,-0.395152,-0.336654,-0.288493,-0.30112,-0.279759,-0.226518,-0.13449,-0.058141,-0.071234,-0.165514,-0.271451,-0.34268,-0.375377,-0.361278,-0.322114,-0.319044,-0.408326,-0.47201,-0.471858,-0.436403,-0.407334,-0.400638,-0.404136,-0.450644,-0.494745,-0.507811,-0.506734,-0.4848,-0.450491,-0.414898,-0.361489,-0.313664,-0.269047,-0.252973,-0.273935,-0.302176,-0.330422,-0.338054,-0.353062,-0.352461,-0.339966,-0.326544,-0.28667,-0.24189,-0.231802,-0.280103,-0.355681,-0.409678,-0.424097,-0.436552,-0.450651,-0.450309,-0.428767,-0.392908,-0.331523,-0.178943,0.018243,0.16619,0.131756,-0.001264,-0.100504,-0.188458,-0.27208,-0.315941,-0.264556,-0.199411,-0.131458,-0.164778,-0.202086,-0.257479,-0.349679,-0.336531,-0.229749,-0.060907,0.14969,0.451811,0.772337,1.015802,1.35298,1.715463,2.039766,2.246488,2.10179,1.788187,1.688212,1.646214,1.679924,1.794272,1.996134,2.299701,2.765153,3.403051,4.141781,4.785134,5.388797,5.415429,5.314783,4.768938,4.214187,3.364717,2.584277,1.892067,1.228696,0.6235,0.068614,-0.427538,-0.775875,-1.037564,-1.259744,-1.420889,-1.56373,-1.675846,-1.787994,-1.914379,-2.009491,-2.082163,-2.141366,-2.181828,-2.219721,-2.249186,-2.275029,-2.299048,-2.320187,-2.33495,-2.346561,-2.360913,-2.368228,-2.374685,-2.375266,-2.370713,-2.345724,1
-0.78554,-0.468272,-0.444678,-0.4242,-0.387205,-0.325585,-0.280045,-0.293351,-0.273481,-0.224347,-0.132085,-0.047999,-0.061071,-0.163807,-0.263824,-0.337297,-0.370805,-0.357574,-0.312897,-0.31657,-0.402468,-0.464817,-0.46472,-0.429866,-0.406757,-0.397503,-0.40051,-0.447602,-0.489104,-0.502935,-0.502263,-0.480946,-0.445818,-0.407561,-0.356625,-0.30845,-0.269111,-0.251874,-0.270234,-0.297015,-0.324994,-0.334491,-0.348747,-0.347279,-0.338494,-0.323653,-0.285564,-0.24136,-0.230583,-0.278964,-0.355046,-0.40886,-0.421707,-0.438257,-0.451235,-0.453173,-0.426819,-0.388489,-0.334899,-0.18201,0.012723,0.159749,0.124025,-0.007457,-0.107654,-0.193446,-0.269343,-0.31529,-0.264052,-0.198533,-0.132561,-0.1659,-0.1991,-0.257056,-0.350281,-0.337512,-0.23421,-0.064491,0.147665,0.457164,0.772322,1.007447,1.358928,1.717548,2.011951,2.250689,2.108907,1.782826,1.679438,1.634502,1.661374,1.79364,1.999745,2.31208,2.766997,3.427651,4.142773,4.821581,5.329738,5.407112,5.267693,4.71559,4.232756,3.387414,2.608111,1.915408,1.243785,0.634674,0.079743,-0.417476,-0.77233,-1.038325,-1.262982,-1.426855,-1.572647,-1.682985,-1.795926,-1.922029,-2.016411,-2.09039,-2.147429,-2.190421,-2.22771,-2.258362,-2.283407,-2.308376,-2.329505,-2.343264,-2.355226,-2.369385,-2.378577,-2.385432,-2.385946,-2.379683,-2.354347,1
-0.786279,-0.472006,-0.444189,-0.425391,-0.382268,-0.325406,-0.283303,-0.289639,-0.269896,-0.214653,-0.121397,-0.043074,-0.057859,-0.157683,-0.257527,-0.335091,-0.364258,-0.351302,-0.312748,-0.310976,-0.397669,-0.459799,-0.460444,-0.425365,-0.403515,-0.395387,-0.396301,-0.446689,-0.490562,-0.503659,-0.500087,-0.478332,-0.447205,-0.404001,-0.35464,-0.303005,-0.261979,-0.249097,-0.263953,-0.295653,-0.326633,-0.339106,-0.352937,-0.350048,-0.34029,-0.324572,-0.289207,-0.241771,-0.231883,-0.28163,-0.359438,-0.411985,-0.424726,-0.441995,-0.452977,-0.452305,-0.42915,-0.393203,-0.334181,-0.181058,0.007391,0.154429,0.117827,-0.00909,-0.107848,-0.194867,-0.272788,-0.318995,-0.264506,-0.198351,-0.131687,-0.162437,-0.198282,-0.25374,-0.354482,-0.338754,-0.236288,-0.072723,0.146274,0.440817,0.763066,1.004516,1.341655,1.715534,2.024304,2.257586,2.107546,1.770228,1.67703,1.63043,1.655903,1.785016,1.991198,2.287064,2.759244,3.402056,4.146521,4.799109,5.336534,5.454257,5.281203,4.761081,4.2347,3.374628,2.601711,1.90641,1.244262,0.63288,0.069293,-0.4231,-0.773249,-1.039942,-1.259003,-1.422472,-1.56605,-1.680179,-1.793021,-1.920492,-2.017652,-2.088942,-2.146686,-2.190577,-2.226687,-2.256372,-2.28301,-2.307119,-2.32837,-2.341844,-2.354469,-2.368789,-2.377973,-2.384113,-2.383582,-2.378375,-2.353416,1
-0.742811,-0.408335,-0.374733,-0.348881,-0.294402,-0.235255,-0.210279,-0.242946,-0.244704,-0.205402,-0.123444,-0.039865,-0.043623,-0.147677,-0.257076,-0.315179,-0.341239,-0.323823,-0.281823,-0.279786,-0.379064,-0.454849,-0.46366,-0.429074,-0.41417,-0.410201,-0.413788,-0.454284,-0.490633,-0.505568,-0.507522,-0.492082,-0.464554,-0.431371,-0.388025,-0.339275,-0.29911,-0.283719,-0.290704,-0.315554,-0.338444,-0.344868,-0.358301,-0.35809,-0.348638,-0.335385,-0.297335,-0.250162,-0.230636,-0.278494,-0.350797,-0.400511,-0.410036,-0.4246,-0.434412,-0.432891,-0.414719,-0.380102,-0.330846,-0.189917,-0.003668,0.130441,0.095155,-0.021734,-0.104547,-0.192317,-0.269945,-0.318531,-0.274732,-0.213572,-0.145423,-0.177515,-0.214055,-0.262806,-0.346857,-0.333806,-0.240364,-0.083225,0.11968,0.400727,0.705597,0.933426,1.246451,1.590497,1.865995,2.110224,1.986954,1.718797,1.668883,1.650877,1.721191,1.854559,2.069519,2.372288,2.845648,3.467519,4.186524,4.818281,5.344521,5.450072,5.261372,4.694012,4.21243,3.399293,2.636674,1.938527,1.270276,0.677291,0.114147,-0.379499,-0.739961,-1.016321,-1.251603,-1.424663,-1.582295,-1.705361,-1.822227,-1.93535,-2.020823,-2.091146,-2.149029,-2.194557,-2.231313,-2.261813,-2.288345,-2.314694,-2.33476,-2.351258,-2.364273,-2.375446,-2.386141,-2.393837,-2.394214,-2.386571,-2.361573,1
-0.74965,-0.418172,-0.382112,-0.356192,-0.298857,-0.237034,-0.210385,-0.249726,-0.249521,-0.210166,-0.124436,-0.048219,-0.049648,-0.153912,-0.252336,-0.31821,-0.333396,-0.316558,-0.27617,-0.273063,-0.371603,-0.44751,-0.454956,-0.424752,-0.41295,-0.409805,-0.413494,-0.456174,-0.494833,-0.504269,-0.511127,-0.492679,-0.464082,-0.430143,-0.383686,-0.337443,-0.296063,-0.278272,-0.288295,-0.313128,-0.33911,-0.348278,-0.359801,-0.360858,-0.353228,-0.335459,-0.302745,-0.250429,-0.232641,-0.282745,-0.35289,-0.401341,-0.416029,-0.426227,-0.437356,-0.437069,-0.411242,-0.383148,-0.332776,-0.190185,-0.005321,0.133107,0.097039,-0.020621,-0.106571,-0.194536,-0.273755,-0.318589,-0.277085,-0.213244,-0.144122,-0.176565,-0.212627,-0.257605,-0.351906,-0.334637,-0.245769,-0.079345,0.120305,0.407529,0.708799,0.928087,1.251095,1.596145,1.882074,2.102716,2.017887,1.730336,1.67228,1.665407,1.718253,1.859743,2.080896,2.378029,2.839337,3.479572,4.18394,4.811818,5.344824,5.422379,5.219517,4.748256,4.226094,3.3973,2.629356,1.932358,1.267383,0.666722,0.109279,-0.391036,-0.74865,-1.025047,-1.258209,-1.430242,-1.581888,-1.70477,-1.819716,-1.936534,-2.022222,-2.092031,-2.148736,-2.193619,-2.230916,-2.261452,-2.28847,-2.313555,-2.33372,-2.348427,-2.361565,-2.373352,-2.383708,-2.389178,-2.389429,-2.384891,-2.357613,1
