@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3}

@data
-1.123438,-0.18659,1.202864,2.474377,2.190667,0.947145,-0.546282,-1.215568,-0.073548,1.510262,2.799932,2.576023,2.732369,1.2968,-0.21823,-1.022328,-1.626437,-2.260139,-1.641332,-1.068171,-1.27485,-2.004898,-2.11677,-1.35186,2
-1.189346,-0.216502,1.308772,2.496019,2.544583,1.266165,-0.286413,-1.246054,-0.255314,1.367611,2.635913,2.47744,2.670289,1.175371,-0.359292,-1.071393,-1.651637,-2.222302,-1.659645,-1.144559,-1.361729,-2.074336,-1.98078,-1.222861,2
-1.321199,-0.355237,1.212783,2.591761,2.495973,1.06293,-0.565149,-1.354342,-0.132774,1.346742,2.635406,2.5223,2.809012,1.372911,-0.272641,-1.112418,-1.563537,-2.090255,-1.666325,-1.216518,-1.252513,-1.759478,-2.0368,-1.350632,2
-1.179534,-0.318764,1.217677,2.602732,2.645535,1.248984,-0.284856,-1.265014,-0.45375,1.129002,2.50714,2.516642,2.754653,1.273107,-0.340389,-0.949842,-1.582753,-2.169345,-1.695738,-1.095122,-1.246612,-2.02281,-2.078224,-1.212718,2
-1.224091,-0.307068,1.287626,2.614232,2.549332,1.107912,-0.442044,-1.334636,-0.250625,1.38081,2.672757,2.593955,2.680548,1.142965,-0.503144,-0.972712,-1.571303,-2.170211,-1.766735,-1.142112,-1.36292,-2.126782,-1.939268,-0.916485,2
-1.330027,-0.312794,1.296034,2.579175,2.489566,1.106935,-0.498676,-1.332344,-0.110657,1.447898,2.648333,2.519935,2.674294,1.104179,-0.460781,-0.98061,-1.450073,-2.17004,-1.81119,-1.036273,-1.059737,-1.876071,-2.196778,-1.240298,2
-1.271597,-0.368358,1.242519,2.658674,2.575221,1.425826,-0.309974,-1.46044,-0.556458,1.075384,2.603371,2.521935,2.692377,1.188742,-0.466156,-0.880439,-1.508633,-2.352243,-1.632037,-0.883235,-1.049977,-1.944118,-2.165913,-1.134472,2
-1.406564,-0.480847,1.185515,2.648819,2.613368,1.627638,0.000664,-1.360846,-0.745099,0.884156,2.433162,2.421524,2.687159,1.304164,-0.384532,-1.203964,-2.030924,-2.061171,-1.259792,-1.025697,-1.756086,-2.271537,-1.279746,-0.539363,3
-1.287129,-0.326976,1.255313,2.649069,2.537144,1.101628,-0.472552,-1.352283,-0.325042,1.231138,2.48801,2.651392,2.799026,1.233347,-0.366326,-0.971321,-1.474858,-2.268458,-1.673641,-0.955522,-1.05169,-1.70651,-2.246616,-1.467144,3
-1.264088,-0.310822,1.373189,2.638281,2.505745,1.020588,-0.590656,-1.514195,-0.444811,1.187244,2.610181,2.652031,2.763953,1.21843,-0.42929,-0.921621,-1.487579,-2.229401,-1.586695,-0.940398,-1.00918,-1.852857,-2.120504,-1.267544,3
