@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute target {1,2}

@data
1.570462,3.518495,-1.928187,-1.568866,-3.464193,-1.511544,0.325404,1.340427,0.723287,0.89215,0.264617,0.422044,1.367614,1.760068,-1.441213,-1.204918,-2.247182,0.376209,0.373399,0.191897,0.24003,2
-0.859729,5.308828,-1.687905,2.150517,-3.945358,-0.463774,-0.562215,0.927573,1.229712,1.557214,0.235558,0.004983,1.370661,0.089479,-3.117727,0.13729,-2.841659,1.147214,-0.173024,-0.739607,0.231969,1
0.957925,3.746609,-0.609237,-2.216978,-3.023268,-1.38325,0.079091,1.226645,0.557078,0.164131,0.407758,0.592254,0.738646,3.391537,-1.80174,-0.134028,-2.78115,0.749876,0.510326,-0.257089,-0.915136,2
0.894206,3.665284,-0.520549,-2.001159,-2.594108,-1.539736,-0.453149,0.75152,0.764932,0.087408,0.318863,0.652471,2.017171,3.546807,-0.82236,-1.157849,-3.341404,-0.146641,-0.339025,0.360615,-0.143298,2
1.38843,2.752628,-1.623585,-0.962194,-3.922146,-1.239515,0.762098,0.103431,0.561023,-0.166505,0.541729,1.127293,0.310099,3.413582,-1.353195,0.304569,-3.597776,-1.058232,-0.099796,1.774745,0.983316,1
2.096755,3.702271,-1.577935,-2.049494,-2.178544,-1.615655,-0.125791,0.198842,0.573454,0.689915,0.433693,1.295643,1.854612,1.427118,-1.664043,-0.876279,-2.937867,0.471869,0.177455,-0.068865,0.172845,2
1.973885,2.479714,-2.118323,-1.645809,-3.173302,-1.576476,0.162377,0.561269,0.72674,0.527024,-0.101599,1.32394,1.813135,1.421359,-1.976338,0.207435,-3.394322,0.863914,1.193243,0.236732,0.495401,2
2.21018,2.756781,-1.726083,-1.74414,-3.352215,-1.649531,-0.149272,0.683165,0.494169,0.263509,0.352019,0.343796,2.572014,1.17409,-1.872897,-0.860494,-2.532162,0.844794,0.784778,0.766284,0.641215,2
1.249361,3.401587,-2.382945,-1.079057,-2.908235,-1.497479,-0.306528,1.050613,1.055688,0.371814,-0.022119,0.162662,1.7683,1.699026,-1.735989,-0.354382,-3.050998,0.734544,0.827779,0.866178,0.15018,2
-0.656825,2.674464,-2.956399,1.502464,-3.060181,-0.340331,1.291683,2.063152,1.139824,0.487863,-0.561931,-0.296481,1.477199,-1.499105,1.455657,-3.119098,-2.983328,3.405249,-0.74777,0.202084,0.521809,1
1.3522,3.846735,0.065812,-2.879,-2.095497,-2.112126,0.313587,0.783902,0.489831,0.37705,0.460984,-0.439871,0.355381,3.204749,-0.03983,-1.683205,-2.736342,0.059969,0.090884,0.530682,0.054103,2
1.465868,3.326861,-1.718161,-0.025848,-3.500698,-0.636247,0.280786,1.577221,1.810017,0.283702,-0.440951,-1.596642,-2.831923,2.675104,-1.358494,0.296082,-3.520294,1.824049,0.570369,1.151686,0.367513,1
1.595516,4.542723,-0.986265,-1.920966,-2.366085,-1.457247,-0.22195,0.271318,0.137753,0.088282,0.186833,0.627514,1.929747,1.121448,-2.019959,0.024041,-2.957985,0.514132,0.383781,0.045257,0.462115,2
0.80166,3.411417,-1.041529,-1.721097,-2.53215,0.239327,-0.121534,0.05612,0.817165,1.455113,0.474762,0.779958,1.772272,2.596483,-2.593242,-1.58549,-3.107749,-0.721466,-0.01236,0.614755,0.417585,2
0.424265,3.058884,-1.241589,-1.322485,-2.560408,0.189251,-0.050185,0.262958,1.815531,1.030385,0.853639,1.135678,1.665426,2.467722,-2.356762,-1.777956,-3.405555,-1.216043,-0.082525,0.639201,0.470568,2
-0.535926,2.279524,-1.052701,-0.426005,-2.276811,-0.028849,0.404314,0.755049,1.019681,1.650509,0.860409,0.971502,1.476242,3.77131,-1.101061,-3.72434,-2.937227,-1.388824,-0.058438,0.277681,0.063963,2
-0.597939,3.310781,-0.524859,-1.086576,-0.903496,-2.391193,-0.652667,0.691516,0.349108,0.541674,0.759906,0.092648,2.710851,3.786794,-2.237412,-2.133097,-4.289007,0.366858,0.475136,0.7231,1.007872,1
0.615818,0.68466,-0.607938,-0.49876,-2.793701,0.399582,0.5921,0.569621,0.567844,1.363892,1.450053,0.854738,2.321195,3.164945,-2.162494,-1.354805,-4.262821,-1.726238,-0.071314,0.751458,0.142167,2
-0.7616,3.130992,-1.111753,-0.612981,-4.078805,1.207929,-0.470799,0.124508,0.131999,0.980527,0.571007,0.743927,0.427904,2.815608,-0.273801,-0.329967,-3.955972,-0.873572,-0.104217,1.226362,1.212705,1
2.57169,3.090155,-2.482012,-1.31096,-3.101734,-1.33535,-0.068229,1.236693,0.478404,-0.654362,-0.3478,-0.451789,1.221914,2.498303,-1.049727,-0.306515,-2.64117,0.886695,0.706556,0.142717,0.916525,2
