@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute target {1,2,3,4}

@data
0.931431,0.857373,0.911567,1.005914,0.983652,0.999854,0.962499,0.991219,1.045574,1.053509,1.04733,1.029012,1.013192,0.948166,0.948069,0.89992,5.630541,0.505954,-3.019327,-3.167339,-3.077321,-3.068288,-3.054759,-3.083362,-2.89625,-2.948924,-2.875591,-2.729478,-2.723232,-2.588528,-2.516504,-2.330691,-2.179654,-2.064867,-1.74083,-1.575021,-1.313884,-1.158291,-1.041176,-0.82853,-0.60837,-0.379518,-0.177786,-0.143102,-0.005585,0.156632,0.251792,0.35863,0.547208,0.543923,0.580843,0.638107,0.694113,0.774268,0.7247,0.780745,0.836217,0.877525,0.881373,0.951978,0.937837,0.916093,0.959689,0.943768,0.992623,0.910202,0.916716,0.938371,0.92963,0.996747,0.974022,0.893377,0.920165,0.992335,0.965409,0.939641,0.922887,0.947737,0.976665,1.051042,0.975243,0.999985,0.933195,1
1.202668,1.212797,1.146403,1.199565,1.14705,1.223114,1.181264,1.141343,1.255033,1.209693,1.143,1.270937,1.198757,1.271861,1.110935,1.166051,1.176765,1.215155,1.062956,1.255891,1.201711,1.244495,1.237252,1.135536,1.319184,1.27647,1.202861,1.180166,1.232903,1.210659,1.287898,1.322621,1.283995,-3.180419,-3.502881,-3.513707,-3.411124,-3.298433,-3.352574,-3.18053,-3.171035,-3.069094,-2.992563,-2.905851,-2.808358,-2.598851,-2.519868,-2.336883,-2.187034,-1.991295,-1.779787,-1.633765,-1.424298,-1.216726,-1.039455,-0.853376,-0.566162,-0.501503,-0.259111,-0.062063,0.100654,0.120164,0.336073,0.450958,0.541679,0.654965,0.723329,0.768305,0.875825,0.877699,0.927353,1.044831,1.063776,0.990592,1.051617,1.164808,1.061977,1.115428,1.143217,1.071379,1.130193,1.106641,1.108295,2
-2.536251,-3.188785,-3.285677,-3.281666,-3.359103,-3.394982,-3.291511,-3.419772,-3.37182,-3.374475,-3.304338,-3.332948,-3.239074,-3.148463,-2.949958,-2.506506,-1.991913,-1.616923,-0.893759,-0.267933,0.038822,0.400964,0.546988,0.688494,0.818958,0.912762,0.901667,0.930732,0.864561,0.901519,0.92069,0.98235,0.843905,0.937153,0.965028,0.941496,0.935773,0.975525,0.935363,0.979434,0.931921,0.920458,0.927853,0.935392,0.944566,0.907683,0.993229,0.938319,0.989312,0.891372,1.027206,0.933133,0.943527,0.960992,0.987463,0.92171,0.873777,0.907405,0.941292,0.885299,0.927676,0.943749,0.919624,0.900256,0.92038,0.848846,0.951639,0.905325,0.984938,0.912001,0.856208,0.858969,0.845503,0.991252,0.887691,0.913257,0.890562,0.936183,0.861763,0.864095,0.861469,0.874313,0.716065,4
-2.085221,-2.812413,-2.729246,-2.905893,-2.792081,-2.906679,-2.86519,-2.910508,-2.898231,-2.858694,-2.871719,-2.884596,-2.844251,-2.867588,-2.913015,-2.825117,-2.81104,-2.735347,-2.578904,-2.268544,-1.878855,-1.380396,-0.721185,-0.198257,0.341054,0.649465,0.828208,0.950722,1.040887,1.037155,1.04481,1.044517,1.075751,1.040216,1.064143,1.084622,1.025998,1.040512,1.070604,1.068243,0.992657,1.064459,1.044542,1.029264,1.023035,1.057366,1.044852,0.974404,1.102584,1.077068,1.029531,1.125228,1.672126,1.730586,1.013174,0.365843,0.326423,0.961205,1.019141,1.054408,1.128745,0.976446,1.001963,0.990631,1.030243,1.016374,0.99199,1.010805,1.000731,1.040417,1.058518,1.000241,1.004611,1.064739,1.065567,1.041695,0.977636,1.041865,1.046477,1.029619,1.039935,0.975488,0.893433,3
0.881294,0.834802,0.883934,0.90509,0.863702,0.842494,0.920293,0.974086,0.95504,0.842941,0.874438,0.751568,0.868039,0.875674,0.889154,0.895088,0.896037,0.870964,0.801749,5.361453,2.782514,-2.955069,-3.096976,-3.195407,-3.146034,-3.100102,-2.946358,-2.940257,-2.88963,-2.727564,-2.624369,-2.592913,-2.49523,-2.289552,-2.251274,-2.028245,-1.781844,-1.676157,-1.497625,-1.338634,-1.135022,-0.958509,-0.781139,-0.536934,-0.384702,-0.265456,-0.054248,0.202028,0.127138,0.350974,0.382577,0.433857,0.497388,0.608543,0.63147,0.658344,0.646431,0.740805,0.72614,0.811951,0.765791,0.77618,0.89558,0.847001,0.898404,0.869489,0.882944,0.826265,0.924784,0.910374,0.859312,0.8495,0.897556,0.842107,1.007229,0.870966,0.812099,0.907684,0.865083,0.930178,0.945836,0.870452,0.846435,1
-1.405885,-1.979367,-1.962457,-2.043203,-2.028542,-2.040694,-2.057591,-2.046393,-2.091988,-2.10814,-2.054936,-2.044794,-2.055953,-2.132595,-2.131001,-2.117981,-2.043529,-2.047708,-2.058677,-2.098201,-2.108731,-2.024399,-2.101917,-2.033106,-2.025178,-2.073263,-2.034431,-2.038438,-1.985769,-1.875667,-1.781993,-1.454086,-1.117663,-0.630271,-0.021642,0.433337,0.863786,1.040385,1.206658,1.322604,1.405622,1.397096,1.41619,1.403478,1.522938,1.400434,1.443521,1.485905,1.479165,1.451933,1.423753,1.465432,1.396654,1.429741,1.480482,1.364577,1.431341,1.436951,1.406395,1.48875,1.399805,1.396948,1.442913,1.446873,1.358538,1.424945,1.441609,1.437237,1.475618,1.370912,1.427898,1.3867,1.422003,1.410724,1.407298,1.396607,1.403575,1.409581,1.389238,1.349727,1.389147,1.382003,1.289161,4
-1.545793,-2.191502,-2.218916,-2.177669,-2.169352,-2.207271,-2.245306,-2.199639,-2.211543,-2.141583,-2.235783,-2.282931,-2.299834,-2.243284,-2.20635,-2.229754,-2.305359,-2.257148,-2.288186,-2.258166,-2.245142,-2.249364,-2.214624,-2.206366,-2.209915,-2.102531,-2.105337,-1.929024,-1.648717,-1.272244,-0.540707,0.000242,0.489539,0.927918,1.048771,1.1716,1.268593,1.273475,1.293455,1.327987,1.305935,1.361978,1.337977,1.34253,1.329654,1.353813,1.304835,1.328612,1.25838,1.288835,1.260546,1.297648,1.301853,1.334658,1.319791,1.319271,1.322688,1.351434,1.328875,1.290689,1.300125,1.276051,1.254833,1.33648,1.303188,1.246049,1.297399,1.302338,1.298362,1.267363,1.338116,1.227281,1.323536,1.305398,1.289064,1.322469,1.270752,1.309267,1.255618,1.329356,1.237897,1.230556,1.17626,4
1.016357,1.022223,0.960727,1.012116,0.95107,1.001854,0.994161,0.980492,0.987682,1.056029,1.072261,0.99416,1.040949,1.026229,1.087621,5.174041,5.153496,-3.144915,-3.202808,-3.139384,-3.05731,-2.99095,-2.97358,-2.848831,-2.922514,-2.818665,-2.82648,-2.645334,-2.560862,-2.460533,-2.279759,-2.169778,-2.07478,-1.927673,-1.787383,-1.604352,-1.382962,-1.189701,-1.125763,-0.86011,-0.69914,-0.507145,-0.295507,-0.235085,-0.134179,0.002402,0.125578,0.256934,0.356222,0.439165,0.469331,0.66107,0.518955,0.742382,0.734457,0.823253,0.814746,0.798826,0.798715,0.900033,0.817254,0.924498,0.883582,0.876292,0.977481,0.931733,0.957322,0.938985,0.900689,0.840836,0.973906,0.949403,0.998423,0.985047,0.964143,1.012824,0.986807,0.968141,0.968803,0.999709,0.998077,1.048381,0.98961,1
1.001833,1.121668,1.01679,0.996983,1.050873,1.071882,1.061946,0.923867,1.061048,1.051985,1.054372,1.064791,1.028553,1.004045,1.003057,1.002726,0.999452,0.997776,1.050109,1.035755,1.063323,1.046373,0.985413,1.028778,1.0916,1.030582,1.143713,0.987083,1.080347,1.116682,1.136088,1.091249,1.084006,1.187535,2.916441,6.12497,2.957176,-3.060502,-2.891717,-2.987104,-2.842933,-2.884157,-2.791378,-2.705708,-2.738376,-2.616331,-2.598857,-2.528605,-2.566329,-2.38188,-2.27984,-2.271332,-2.108212,-1.952097,-1.839594,-1.725436,-1.528085,-1.415344,-1.234311,-1.106502,-0.966372,-0.806363,-0.709914,-0.522861,-0.321622,-0.25066,-0.159345,-0.061906,0.053465,0.231959,0.29003,0.477391,0.444708,0.614575,0.646987,0.702667,0.779153,0.856348,0.797851,0.752143,0.794375,0.881609,0.859546,1
-1.537077,-2.148419,-2.127993,-2.173201,-2.184262,-2.152871,-2.217876,-2.206623,-2.253828,-2.215026,-2.242306,-2.212276,-2.194783,-2.207044,-2.260964,-2.175351,-2.209587,-2.220026,-2.214232,-2.263071,-2.222766,-2.323015,-2.224594,-2.24627,-2.153754,-2.211722,-2.058756,-1.989352,-1.713516,-1.36821,-0.907124,-0.288898,0.252605,0.745446,0.97643,1.149274,1.264092,1.250253,1.324241,1.341741,1.318462,1.30133,1.399843,1.348102,1.318882,1.304503,1.322598,1.336765,1.336728,1.295238,1.328993,1.266319,1.323535,1.302724,1.36862,1.326316,1.312912,1.32846,1.312961,1.332515,1.359911,1.393783,1.352464,1.350171,1.355861,1.255686,1.321262,1.30807,1.334003,1.393884,1.375205,1.305065,1.314053,1.318095,1.324663,1.281374,1.287788,1.335089,1.331702,1.300958,1.291756,1.248563,1.1955,4
