@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute target {1,2}

@data
-2.514228,-2.780028,-2.798455,-1.847497,1.972171,2.788531,2.926155,2.92271,2.941514,3.013986,3.296238,-3.086205,-2.919742,-2.688474,-0.04907,0.353275,0.365314,0.390858,0.399641,0.405718,0.425593,0.420264,0.423484,0.426045,0.428554,0.425739,0.42305,0.424618,0.425701,0.426158,0.429463,0.428739,0.440554,0.443095,0.444573,0.427463,0.42549,0.426472,0.40496,0.183491,-1.88701,-1.892067,-1.896106,-1.899451,-1.904243,-1.917044,2
1.804962,1.779562,1.778084,1.819021,1.823418,1.806143,0.005703,0.479423,0.628763,0.752352,1.785569,1.790425,1.787116,1.824612,1.955412,-1.709542,-1.648633,-1.672241,-1.700021,-1.728546,-1.753113,-1.762312,-1.777039,-1.777131,-1.777516,-1.780487,-1.779052,-1.807922,-1.809969,-1.778584,-1.749691,-1.646227,-1.638071,-1.647094,-1.707474,-1.734013,-1.932562,2.039754,1.887289,1.828075,1.807274,1.796136,1.7894,1.785116,1.782445,1.781186,2
0.513955,0.542741,0.518191,0.514642,0.52705,0.507169,0.442345,-0.341794,-0.639679,-0.645802,-0.702615,0.820777,0.782154,0.828931,0.949792,1.201226,12.285974,-1.8935,-1.081555,-0.950358,-0.871001,-0.844361,-0.788991,-0.765329,-0.742879,-0.729217,-0.719888,-0.679091,-0.697776,-0.702105,-0.677773,-0.670424,-0.665732,-0.669961,-0.738022,-0.722647,-0.716665,-0.671261,-0.695861,-0.740047,-0.695333,-0.682189,0.143319,0.508842,0.509094,0.545653,2
-1.805558,-1.811661,-1.816353,-1.832613,-1.860892,-1.991609,1.908745,1.052945,0.517949,0.327439,-1.910392,-1.845698,-1.833449,-1.83512,-1.845121,-1.8638,1.587108,1.657512,1.686805,1.663107,1.622665,1.60899,1.606117,1.573619,1.576028,1.552737,1.538334,1.54821,1.558847,1.557012,1.574194,1.72397,1.722226,1.704979,1.68085,1.652936,1.630259,-1.272002,-1.747315,-1.777848,-1.787623,-1.792951,-1.79661,-1.79957,-1.802299,-1.805099,2
-1.815678,-1.81418,-1.812436,-1.809653,-1.80777,-1.78793,-1.538975,1.210412,0.21011,-0.143438,-0.544053,-1.784891,-1.797306,-1.805403,-1.817417,-1.866567,0.624998,1.558124,1.651554,1.692254,1.672445,1.657329,1.636752,1.620663,1.611455,1.606038,1.602596,1.59772,1.598501,1.607582,1.628843,1.636917,1.783669,1.741656,1.704685,1.698916,1.711029,1.797148,-1.905662,-1.858311,-1.839002,-1.830022,-1.824863,-1.821498,-1.819097,-1.817243,2
0.670842,0.685793,0.685416,0.696011,0.722507,0.799424,1.314296,-1.488553,-1.217227,-1.097945,-0.819675,0.266534,0.225869,0.101008,-0.193192,-1.370987,9.238034,0.290731,-0.136982,-0.380877,-0.510642,-0.608843,-0.598279,-0.597841,-0.655897,-0.670802,-0.674352,-0.690255,-0.724784,-0.67584,-0.6838,-0.69027,-0.766334,-0.745311,-0.736911,-0.801819,-0.799696,-0.826283,-0.790639,0.271445,0.63379,0.662409,0.670354,0.672917,0.673488,0.673169,2
1.809402,1.816637,1.78714,1.855387,1.879564,1.958194,-0.141079,0.74245,0.871267,0.884621,1.838221,1.785885,1.793208,1.798131,1.816516,-0.837516,-1.55442,-1.615383,-1.601563,-1.607879,-1.643187,-1.664824,-1.700674,-1.698443,-1.736049,-1.735189,-1.753643,-1.73539,-1.73638,-1.735794,-1.748282,-1.710826,-1.56124,-1.549446,-1.578257,-1.576139,-1.605211,-1.757699,2.009955,1.888441,1.861498,1.847499,1.839937,1.835563,1.833098,1.831901,2
1.88605,1.914663,1.879712,1.875944,1.901469,1.865408,0.759754,1.165184,1.246723,1.341139,1.866243,1.863014,1.853685,1.833747,1.743867,0.685464,-1.354471,-1.455819,-1.545477,-1.555511,-1.588885,-1.632172,-1.63376,-1.636115,-1.638205,-1.639736,-1.63895,-1.671496,-1.649633,-1.689279,-1.689857,-1.692473,-1.679511,-1.489391,-1.376662,-1.385568,-1.400268,-1.382287,-1.432635,-1.643764,2.190384,2.000037,1.929016,1.910282,1.898829,1.891309,2
-2.06067,-2.059106,-2.056925,-2.05278,-2.042623,-2.006733,-1.56973,2.695185,2.688149,2.616461,1.737667,-1.91082,-1.992916,-2.026962,-2.055796,-2.114472,0.981808,0.986224,1.006256,1.027172,1.042722,1.057298,1.064095,1.072037,1.086681,1.095166,1.10308,1.115125,1.110239,1.123296,1.121236,1.122224,1.115105,1.066389,0.874484,0.741399,0.710024,0.711223,0.713492,0.729563,0.786042,-2.078244,-2.076662,-2.068531,-2.064577,-2.062292,2
-2.397796,-1.482307,2.775656,3.062418,3.188175,3.125174,3.02955,0.735707,-2.340863,-1.862569,0.485586,0.735638,0.778106,0.785601,0.772306,0.768542,0.769344,0.762114,0.761351,0.755269,0.754722,0.76089,0.762973,0.764784,0.767482,0.762192,0.770502,0.772085,0.78251,0.788382,0.82531,0.96455,-1.92102,-1.790458,-1.760221,-1.746929,-1.741055,-1.737928,-1.73662,-1.736705,-1.73777,-1.739918,-1.743611,-1.749721,-1.759747,-1.781678,1
